Geo,Event Year,Date,Day,Name,Type
namibia,2000,1 Jan,Saturday,New Year,Public Holiday
namibia,2000,20 Mar,Monday,March Equinox,Season
namibia,2000,21 Mar,Tuesday,Independence Day,Public Holiday
namibia,2000,2 Apr,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
namibia,2000,21 Apr,Friday,Good Friday,Public Holiday
namibia,2000,23 Apr,Sunday,Easter Sunday,Observance
namibia,2000,24 Apr,Monday,Easter Monday,Public Holiday
namibia,2000,1 May,Monday,Workers' Day,Public Holiday
namibia,2000,4 May,Thursday,Cassinga Day,Public Holiday
namibia,2000,25 May,Thursday,Africa Day,Public Holiday
namibia,2000,1 Jun,Thursday,Ascension Day,Public Holiday
namibia,2000,21 Jun,Wednesday,June Solstice,Season
namibia,2000,26 Aug,Saturday,Heroes' Day,Public Holiday
namibia,2000,3 Sep,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
namibia,2000,22 Sep,Friday,September Equinox,Season
namibia,2000,10 Dec,Sunday,Day of the Namibian Women and International Human Rights Day,Public Holiday
namibia,2000,11 Dec,Monday,Day of the Namibian Women and International Human Rights Day observed,Public Holiday
namibia,2000,21 Dec,Thursday,December Solstice,Season
namibia,2000,25 Dec,Monday,Christmas Day,Public Holiday
namibia,2000,26 Dec,Tuesday,Family Day,Public Holiday
namibia,2001,1 Jan,Monday,New Year,Public Holiday
namibia,2001,20 Mar,Tuesday,March Equinox,Season
namibia,2001,21 Mar,Wednesday,Independence Day,Public Holiday
namibia,2001,1 Apr,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
namibia,2001,13 Apr,Friday,Good Friday,Public Holiday
namibia,2001,15 Apr,Sunday,Easter Sunday,Observance
namibia,2001,16 Apr,Monday,Easter Monday,Public Holiday
namibia,2001,1 May,Tuesday,Workers' Day,Public Holiday
namibia,2001,4 May,Friday,Cassinga Day,Public Holiday
namibia,2001,24 May,Thursday,Ascension Day,Public Holiday
namibia,2001,25 May,Friday,Africa Day,Public Holiday
namibia,2001,21 Jun,Thursday,June Solstice,Season
namibia,2001,26 Aug,Sunday,Heroes' Day,Public Holiday
namibia,2001,27 Aug,Monday,Heroes' Day observed,Public Holiday
namibia,2001,2 Sep,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
namibia,2001,23 Sep,Sunday,September Equinox,Season
namibia,2001,10 Dec,Monday,Day of the Namibian Women and International Human Rights Day,Public Holiday
namibia,2001,21 Dec,Friday,December Solstice,Season
namibia,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
namibia,2001,26 Dec,Wednesday,Family Day,Public Holiday
namibia,2002,1 Jan,Tuesday,New Year,Public Holiday
namibia,2002,20 Mar,Wednesday,March Equinox,Season
namibia,2002,21 Mar,Thursday,Independence Day,Public Holiday
namibia,2002,29 Mar,Friday,Good Friday,Public Holiday
namibia,2002,31 Mar,Sunday,Easter Sunday,Observance
namibia,2002,1 Apr,Monday,Easter Monday,Public Holiday
namibia,2002,7 Apr,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
namibia,2002,1 May,Wednesday,Workers' Day,Public Holiday
namibia,2002,4 May,Saturday,Cassinga Day,Public Holiday
namibia,2002,9 May,Thursday,Ascension Day,Public Holiday
namibia,2002,25 May,Saturday,Africa Day,Public Holiday
namibia,2002,21 Jun,Friday,June Solstice,Season
namibia,2002,26 Aug,Monday,Heroes' Day,Public Holiday
namibia,2002,1 Sep,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
namibia,2002,23 Sep,Monday,September Equinox,Season
namibia,2002,10 Dec,Tuesday,Day of the Namibian Women and International Human Rights Day,Public Holiday
namibia,2002,22 Dec,Sunday,December Solstice,Season
namibia,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
namibia,2002,26 Dec,Thursday,Family Day,Public Holiday
namibia,2003,1 Jan,Wednesday,New Year,Public Holiday
namibia,2003,21 Mar,Friday,Independence Day,Public Holiday
namibia,2003,21 Mar,Friday,March Equinox,Season
namibia,2003,6 Apr,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
namibia,2003,18 Apr,Friday,Good Friday,Public Holiday
namibia,2003,20 Apr,Sunday,Easter Sunday,Observance
namibia,2003,21 Apr,Monday,Easter Monday,Public Holiday
namibia,2003,1 May,Thursday,Workers' Day,Public Holiday
namibia,2003,4 May,Sunday,Cassinga Day,Public Holiday
namibia,2003,5 May,Monday,Cassinga Day observed,Public Holiday
namibia,2003,25 May,Sunday,Africa Day,Public Holiday
namibia,2003,26 May,Monday,Africa Day observed,Public Holiday
namibia,2003,29 May,Thursday,Ascension Day,Public Holiday
namibia,2003,21 Jun,Saturday,June Solstice,Season
namibia,2003,26 Aug,Tuesday,Heroes' Day,Public Holiday
namibia,2003,7 Sep,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
namibia,2003,23 Sep,Tuesday,September Equinox,Season
namibia,2003,10 Dec,Wednesday,Day of the Namibian Women and International Human Rights Day,Public Holiday
namibia,2003,22 Dec,Monday,December Solstice,Season
namibia,2003,25 Dec,Thursday,Christmas Day,Public Holiday
namibia,2003,26 Dec,Friday,Family Day,Public Holiday
namibia,2004,1 Jan,Thursday,New Year,Public Holiday
namibia,2004,20 Mar,Saturday,March Equinox,Season
namibia,2004,21 Mar,Sunday,Independence Day,Public Holiday
namibia,2004,22 Mar,Monday,Independence Day observed,Public Holiday
namibia,2004,4 Apr,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
namibia,2004,9 Apr,Friday,Good Friday,Public Holiday
namibia,2004,11 Apr,Sunday,Easter Sunday,Observance
namibia,2004,12 Apr,Monday,Easter Monday,Public Holiday
namibia,2004,1 May,Saturday,Workers' Day,Public Holiday
namibia,2004,4 May,Tuesday,Cassinga Day,Public Holiday
namibia,2004,20 May,Thursday,Ascension Day,Public Holiday
namibia,2004,25 May,Tuesday,Africa Day,Public Holiday
namibia,2004,21 Jun,Monday,June Solstice,Season
namibia,2004,26 Aug,Thursday,Heroes' Day,Public Holiday
namibia,2004,5 Sep,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
namibia,2004,22 Sep,Wednesday,September Equinox,Season
namibia,2004,10 Dec,Friday,Day of the Namibian Women and International Human Rights Day,Public Holiday
namibia,2004,21 Dec,Tuesday,December Solstice,Season
namibia,2004,25 Dec,Saturday,Christmas Day,Public Holiday
namibia,2004,26 Dec,Sunday,Family Day,Public Holiday
namibia,2004,27 Dec,Monday,Family Day observed,Public Holiday
namibia,2005,1 Jan,Saturday,New Year,Public Holiday
namibia,2005,20 Mar,Sunday,March Equinox,Season
namibia,2005,21 Mar,Monday,Independence Day,Public Holiday
namibia,2005,25 Mar,Friday,Good Friday,Public Holiday
namibia,2005,27 Mar,Sunday,Easter Sunday,Observance
namibia,2005,28 Mar,Monday,Easter Monday,Public Holiday
namibia,2005,3 Apr,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
namibia,2005,1 May,Sunday,Workers' Day,Public Holiday
namibia,2005,2 May,Monday,Workers' Day observed,Public Holiday
namibia,2005,4 May,Wednesday,Cassinga Day,Public Holiday
namibia,2005,5 May,Thursday,Ascension Day,Public Holiday
namibia,2005,25 May,Wednesday,Africa Day,Public Holiday
namibia,2005,21 Jun,Tuesday,June Solstice,Season
namibia,2005,26 Aug,Friday,Heroes' Day,Public Holiday
namibia,2005,4 Sep,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
namibia,2005,23 Sep,Friday,September Equinox,Season
namibia,2005,10 Dec,Saturday,Day of the Namibian Women and International Human Rights Day,Public Holiday
