Geo,Event Year,Date,Day,Name,Type
nauru,2000,1 Jan,Saturday,New Year's Day,Public Holiday
nauru,2000,3 Jan,Monday,Day off for New Year's Day,Public Holiday
nauru,2000,31 Jan,Monday,Independence Day,Public Holiday
nauru,2000,1 Feb,Tuesday,Independence Day Holiday,Public Holiday
nauru,2000,20 Mar,Monday,March Equinox,Season
nauru,2000,21 Apr,Friday,Good Friday,Public Holiday
nauru,2000,24 Apr,Monday,Easter Monday,Public Holiday
nauru,2000,25 Apr,Tuesday,Easter Tuesday,Public Holiday
nauru,2000,17 May,Wednesday,Constitution Day,Public Holiday
nauru,2000,21 Jun,Wednesday,June Solstice,Season
nauru,2000,23 Sep,Saturday,September Equinox,Season
nauru,2000,26 Oct,Thursday,Angam Day,Public Holiday
nauru,2000,22 Dec,Friday,December Solstice,Season
nauru,2000,25 Dec,Monday,Christmas Day,Public Holiday
nauru,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
nauru,2001,1 Jan,Monday,New Year's Day,Public Holiday
nauru,2001,31 Jan,Wednesday,Independence Day,Public Holiday
nauru,2001,1 Feb,Thursday,Independence Day Holiday,Public Holiday
nauru,2001,21 Mar,Wednesday,March Equinox,Season
nauru,2001,13 Apr,Friday,Good Friday,Public Holiday
nauru,2001,16 Apr,Monday,Easter Monday,Public Holiday
nauru,2001,17 Apr,Tuesday,Easter Tuesday,Public Holiday
nauru,2001,17 May,Thursday,Constitution Day,Public Holiday
nauru,2001,21 Jun,Thursday,June Solstice,Season
nauru,2001,23 Sep,Sunday,September Equinox,Season
nauru,2001,26 Oct,Friday,Angam Day,Public Holiday
nauru,2001,22 Dec,Saturday,December Solstice,Season
nauru,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
nauru,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
nauru,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
nauru,2002,31 Jan,Thursday,Independence Day,Public Holiday
nauru,2002,1 Feb,Friday,Independence Day Holiday,Public Holiday
nauru,2002,21 Mar,Thursday,March Equinox,Season
nauru,2002,29 Mar,Friday,Good Friday,Public Holiday
nauru,2002,1 Apr,Monday,Easter Monday,Public Holiday
nauru,2002,2 Apr,Tuesday,Easter Tuesday,Public Holiday
nauru,2002,17 May,Friday,Constitution Day,Public Holiday
nauru,2002,22 Jun,Saturday,June Solstice,Season
nauru,2002,23 Sep,Monday,September Equinox,Season
nauru,2002,26 Oct,Saturday,Angam Day,Public Holiday
nauru,2002,28 Oct,Monday,Day off for Angam Day,Public Holiday
nauru,2002,22 Dec,Sunday,December Solstice,Season
nauru,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
nauru,2002,26 Dec,Thursday,Boxing Day,Public Holiday
nauru,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
nauru,2003,31 Jan,Friday,Independence Day,Public Holiday
nauru,2003,1 Feb,Saturday,Independence Day Holiday,Public Holiday
nauru,2003,21 Mar,Friday,March Equinox,Season
nauru,2003,18 Apr,Friday,Good Friday,Public Holiday
nauru,2003,21 Apr,Monday,Easter Monday,Public Holiday
nauru,2003,22 Apr,Tuesday,Easter Tuesday,Public Holiday
nauru,2003,17 May,Saturday,Constitution Day,Public Holiday
nauru,2003,19 May,Monday,Constitution Day observed,Public Holiday
nauru,2003,22 Jun,Sunday,June Solstice,Season
nauru,2003,23 Sep,Tuesday,September Equinox,Season
nauru,2003,26 Oct,Sunday,Angam Day,Public Holiday
nauru,2003,27 Oct,Monday,Day off for Angam Day,Public Holiday
nauru,2003,22 Dec,Monday,December Solstice,Season
nauru,2003,25 Dec,Thursday,Christmas Day,Public Holiday
nauru,2003,26 Dec,Friday,Boxing Day,Public Holiday
nauru,2004,1 Jan,Thursday,New Year's Day,Public Holiday
nauru,2004,31 Jan,Saturday,Independence Day,Public Holiday
nauru,2004,1 Feb,Sunday,Independence Day Holiday,Public Holiday
nauru,2004,2 Feb,Monday,Day off for Independence Day,Public Holiday
nauru,2004,3 Feb,Tuesday,Day off for Independence Day Holiday,Public Holiday
nauru,2004,20 Mar,Saturday,March Equinox,Season
nauru,2004,9 Apr,Friday,Good Friday,Public Holiday
nauru,2004,12 Apr,Monday,Easter Monday,Public Holiday
nauru,2004,13 Apr,Tuesday,Easter Tuesday,Public Holiday
nauru,2004,17 May,Monday,Constitution Day,Public Holiday
nauru,2004,21 Jun,Monday,June Solstice,Season
nauru,2004,23 Sep,Thursday,September Equinox,Season
nauru,2004,26 Oct,Tuesday,Angam Day,Public Holiday
nauru,2004,22 Dec,Wednesday,December Solstice,Season
nauru,2004,25 Dec,Saturday,Christmas Day,Public Holiday
nauru,2004,26 Dec,Sunday,Boxing Day,Public Holiday
nauru,2004,27 Dec,Monday,Christmas Day observed,Public Holiday
nauru,2004,28 Dec,Tuesday,Boxing Day observed,Public Holiday
nauru,2005,1 Jan,Saturday,New Year's Day,Public Holiday
nauru,2005,3 Jan,Monday,Day off for New Year's Day,Public Holiday
nauru,2005,31 Jan,Monday,Independence Day,Public Holiday
nauru,2005,1 Feb,Tuesday,Independence Day Holiday,Public Holiday
nauru,2005,21 Mar,Monday,March Equinox,Season
nauru,2005,25 Mar,Friday,Good Friday,Public Holiday
nauru,2005,28 Mar,Monday,Easter Monday,Public Holiday
nauru,2005,29 Mar,Tuesday,Easter Tuesday,Public Holiday
nauru,2005,17 May,Tuesday,Constitution Day,Public Holiday
nauru,2005,21 Jun,Tuesday,June Solstice,Season
nauru,2005,23 Sep,Friday,September Equinox,Season
nauru,2005,26 Oct,Wednesday,Angam Day,Public Holiday
nauru,2005,22 Dec,Thursday,December Solstice,Season
nauru,2005,25 Dec,Sunday,Christmas Day,Public Holiday
nauru,2005,26 Dec,Monday,Boxing Day,Public Holiday
nauru,2005,27 Dec,Tuesday,Christmas Day observed,Public Holiday
nauru,2006,1 Jan,Sunday,New Year's Day,Public Holiday
nauru,2006,2 Jan,Monday,Day off for New Year's Day,Public Holiday
nauru,2006,31 Jan,Tuesday,Independence Day,Public Holiday
nauru,2006,1 Feb,Wednesday,Independence Day Holiday,Public Holiday
nauru,2006,21 Mar,Tuesday,March Equinox,Season
nauru,2006,14 Apr,Friday,Good Friday,Public Holiday
nauru,2006,17 Apr,Monday,Easter Monday,Public Holiday
nauru,2006,18 Apr,Tuesday,Easter Tuesday,Public Holiday
nauru,2006,17 May,Wednesday,Constitution Day,Public Holiday
nauru,2006,22 Jun,Thursday,June Solstice,Season
nauru,2006,23 Sep,Saturday,September Equinox,Season
nauru,2006,26 Oct,Thursday,Angam Day,Public Holiday
nauru,2006,22 Dec,Friday,December Solstice,Season
nauru,2006,25 Dec,Monday,Christmas Day,Public Holiday
nauru,2006,26 Dec,Tuesday,Boxing Day,Public Holiday
nauru,2007,1 Jan,Monday,New Year's Day,Public Holiday
nauru,2007,31 Jan,Wednesday,Independence Day,Public Holiday
nauru,2007,1 Feb,Thursday,Independence Day Holiday,Public Holiday
nauru,2007,21 Mar,Wednesday,March Equinox,Season
nauru,2007,6 Apr,Friday,Good Friday,Public Holiday
nauru,2007,9 Apr,Monday,Easter Monday,Public Holiday
nauru,2007,10 Apr,Tuesday,Easter Tuesday,Public Holiday
nauru,2007,17 May,Thursday,Constitution Day,Public Holiday
nauru,2007,22 Jun,Friday,June Solstice,Season
nauru,2007,23 Sep,Sunday,September Equinox,Season
nauru,2007,26 Oct,Friday,Angam Day,Public Holiday
nauru,2007,22 Dec,Saturday,December Solstice,Season
nauru,2007,25 Dec,Tuesday,Christmas Day,Public Holiday
nauru,2007,26 Dec,Wednesday,Boxing Day,Public Holiday
nauru,2008,1 Jan,Tuesday,New Year's Day,Public Holiday
nauru,2008,31 Jan,Thursday,Independence Day,Public Holiday
nauru,2008,1 Feb,Friday,Independence Day Holiday,Public Holiday
nauru,2008,20 Mar,Thursday,March Equinox,Season
nauru,2008,21 Mar,Friday,Good Friday,Public Holiday
nauru,2008,24 Mar,Monday,Easter Monday,Public Holiday
nauru,2008,25 Mar,Tuesday,Easter Tuesday,Public Holiday
nauru,2008,17 May,Saturday,Constitution Day,Public Holiday
nauru,2008,19 May,Monday,Constitution Day observed,Public Holiday
nauru,2008,21 Jun,Saturday,June Solstice,Season
nauru,2008,23 Sep,Tuesday,September Equinox,Season
nauru,2008,26 Oct,Sunday,Angam Day,Public Holiday
nauru,2008,27 Oct,Monday,Day off for Angam Day,Public Holiday
nauru,2008,22 Dec,Monday,December Solstice,Season
nauru,2008,25 Dec,Thursday,Christmas Day,Public Holiday
nauru,2008,26 Dec,Friday,Boxing Day,Public Holiday
nauru,2009,1 Jan,Thursday,New Year's Day,Public Holiday
nauru,2009,31 Jan,Saturday,Independence Day,Public Holiday
nauru,2009,1 Feb,Sunday,Independence Day Holiday,Public Holiday
nauru,2009,2 Feb,Monday,Day off for Independence Day,Public Holiday
nauru,2009,3 Feb,Tuesday,Day off for Independence Day Holiday,Public Holiday
nauru,2009,20 Mar,Friday,March Equinox,Season
nauru,2009,10 Apr,Friday,Good Friday,Public Holiday
nauru,2009,13 Apr,Monday,Easter Monday,Public Holiday
nauru,2009,14 Apr,Tuesday,Easter Tuesday,Public Holiday
nauru,2009,17 May,Sunday,Constitution Day,Public Holiday
nauru,2009,18 May,Monday,Constitution Day observed,Public Holiday
nauru,2009,21 Jun,Sunday,June Solstice,Season
nauru,2009,23 Sep,Wednesday,September Equinox,Season
nauru,2009,26 Oct,Monday,Angam Day,Public Holiday
nauru,2009,22 Dec,Tuesday,December Solstice,Season
nauru,2009,25 Dec,Friday,Christmas Day,Public Holiday
nauru,2009,26 Dec,Saturday,Boxing Day,Public Holiday
nauru,2009,28 Dec,Monday,Boxing Day observed,Public Holiday
nauru,2010,1 Jan,Friday,New Year's Day,Public Holiday
nauru,2010,31 Jan,Sunday,Independence Day,Public Holiday
nauru,2010,1 Feb,Monday,Independence Day Holiday,Public Holiday
nauru,2010,2 Feb,Tuesday,Day off for Independence Day,Public Holiday
nauru,2010,21 Mar,Sunday,March Equinox,Season
nauru,2010,2 Apr,Friday,Good Friday,Public Holiday
nauru,2010,5 Apr,Monday,Easter Monday,Public Holiday
nauru,2010,6 Apr,Tuesday,Easter Tuesday,Public Holiday
nauru,2010,17 May,Monday,Constitution Day,Public Holiday
nauru,2010,21 Jun,Monday,June Solstice,Season
nauru,2010,23 Sep,Thursday,September Equinox,Season
nauru,2010,26 Oct,Tuesday,Angam Day,Public Holiday
nauru,2010,22 Dec,Wednesday,December Solstice,Season
nauru,2010,25 Dec,Saturday,Christmas Day,Public Holiday
nauru,2010,26 Dec,Sunday,Boxing Day,Public Holiday
nauru,2010,27 Dec,Monday,Christmas Day observed,Public Holiday
nauru,2010,28 Dec,Tuesday,Boxing Day observed,Public Holiday
nauru,2011,1 Jan,Saturday,New Year's Day,Public Holiday
nauru,2011,3 Jan,Monday,Day off for New Year's Day,Public Holiday
nauru,2011,31 Jan,Monday,Independence Day,Public Holiday
nauru,2011,1 Feb,Tuesday,Independence Day Holiday,Public Holiday
nauru,2011,21 Mar,Monday,March Equinox,Season
nauru,2011,22 Apr,Friday,Good Friday,Public Holiday
nauru,2011,25 Apr,Monday,Easter Monday,Public Holiday
nauru,2011,26 Apr,Tuesday,Easter Tuesday,Public Holiday
nauru,2011,17 May,Tuesday,Constitution Day,Public Holiday
nauru,2011,22 Jun,Wednesday,June Solstice,Season
nauru,2011,23 Sep,Friday,September Equinox,Season
nauru,2011,26 Oct,Wednesday,Angam Day,Public Holiday
nauru,2011,22 Dec,Thursday,December Solstice,Season
nauru,2011,25 Dec,Sunday,Christmas Day,Public Holiday
nauru,2011,26 Dec,Monday,Boxing Day,Public Holiday
nauru,2011,27 Dec,Tuesday,Christmas Day observed,Public Holiday
nauru,2012,1 Jan,Sunday,New Year's Day,Public Holiday
nauru,2012,2 Jan,Monday,Day off for New Year's Day,Public Holiday
nauru,2012,31 Jan,Tuesday,Independence Day,Public Holiday
nauru,2012,1 Feb,Wednesday,Independence Day Holiday,Public Holiday
nauru,2012,20 Mar,Tuesday,March Equinox,Season
nauru,2012,6 Apr,Friday,Good Friday,Public Holiday
nauru,2012,9 Apr,Monday,Easter Monday,Public Holiday
nauru,2012,10 Apr,Tuesday,Easter Tuesday,Public Holiday
nauru,2012,17 May,Thursday,Constitution Day,Public Holiday
nauru,2012,21 Jun,Thursday,June Solstice,Season
nauru,2012,23 Sep,Sunday,September Equinox,Season
nauru,2012,26 Oct,Friday,Angam Day,Public Holiday
nauru,2012,21 Dec,Friday,December Solstice,Season
nauru,2012,25 Dec,Tuesday,Christmas Day,Public Holiday
nauru,2012,26 Dec,Wednesday,Boxing Day,Public Holiday
nauru,2013,1 Jan,Tuesday,New Year's Day,Public Holiday
nauru,2013,31 Jan,Thursday,Independence Day,Public Holiday
nauru,2013,1 Feb,Friday,Independence Day Holiday,Public Holiday
nauru,2013,20 Mar,Wednesday,March Equinox,Season
nauru,2013,29 Mar,Friday,Good Friday,Public Holiday
nauru,2013,1 Apr,Monday,Easter Monday,Public Holiday
nauru,2013,2 Apr,Tuesday,Easter Tuesday,Public Holiday
nauru,2013,17 May,Friday,Constitution Day,Public Holiday
nauru,2013,21 Jun,Friday,June Solstice,Season
nauru,2013,23 Sep,Monday,September Equinox,Season
nauru,2013,26 Oct,Saturday,Angam Day,Public Holiday
nauru,2013,28 Oct,Monday,Day off for Angam Day,Public Holiday
nauru,2013,22 Dec,Sunday,December Solstice,Season
nauru,2013,25 Dec,Wednesday,Christmas Day,Public Holiday
