Geo,Event Year,Date,Day,Name,Type
netherlands,2000,1 Jan,Saturday,New Year's Day,Public Holiday
netherlands,2000,14 Feb,Monday,Valentine's Day,Observance
netherlands,2000,20 Mar,Monday,March Equinox,Season
netherlands,2000,21 Apr,Friday,Good Friday,Public Holiday
netherlands,2000,23 Apr,Sunday,Easter Sunday,Public Holiday
netherlands,2000,24 Apr,Monday,Easter Monday,Public Holiday
netherlands,2000,30 Apr,Sunday,Queen's Birthday,Public Holiday
netherlands,2000,4 May,Thursday,Remembrance Day,Observance
netherlands,2000,5 May,Friday,Liberation Day,Public Holiday
netherlands,2000,14 May,Sunday,Mother's Day,Observance
netherlands,2000,1 Jun,Thursday,Ascension Day,Public Holiday
netherlands,2000,11 Jun,Sunday,Whit Sunday,Public Holiday
netherlands,2000,12 Jun,Monday,Whit Monday,Public Holiday
netherlands,2000,18 Jun,Sunday,Father's Day,Observance
netherlands,2000,21 Jun,Wednesday,June Solstice,Season
netherlands,2000,1 Jul,Saturday,Keti Koti,Observance
netherlands,2000,22 Sep,Friday,September Equinox,Season
netherlands,2000,5 Dec,Tuesday,St Nicholas' Eve/Sinterklaas,Observance
netherlands,2000,6 Dec,Wednesday,St Nicholas' Day,Observance
netherlands,2000,21 Dec,Thursday,December Solstice,Season
netherlands,2000,24 Dec,Sunday,Christmas Eve,Observance
netherlands,2000,25 Dec,Monday,Christmas Day,Public Holiday
netherlands,2000,26 Dec,Tuesday,Second Day of Christmas,Public Holiday
netherlands,2000,31 Dec,Sunday,New Year's Eve,Observance
netherlands,2001,1 Jan,Monday,New Year's Day,Public Holiday
netherlands,2001,14 Feb,Wednesday,Valentine's Day,Observance
netherlands,2001,20 Mar,Tuesday,March Equinox,Season
netherlands,2001,13 Apr,Friday,Good Friday,Public Holiday
netherlands,2001,15 Apr,Sunday,Easter Sunday,Public Holiday
netherlands,2001,16 Apr,Monday,Easter Monday,Public Holiday
netherlands,2001,30 Apr,Monday,Queen's Birthday,Public Holiday
netherlands,2001,4 May,Friday,Remembrance Day,Observance
netherlands,2001,5 May,Saturday,Liberation Day,Public Sector
netherlands,2001,13 May,Sunday,Mother's Day,Observance
netherlands,2001,24 May,Thursday,Ascension Day,Public Holiday
netherlands,2001,3 Jun,Sunday,Whit Sunday,Public Holiday
netherlands,2001,4 Jun,Monday,Whit Monday,Public Holiday
netherlands,2001,17 Jun,Sunday,Father's Day,Observance
netherlands,2001,21 Jun,Thursday,June Solstice,Season
netherlands,2001,1 Jul,Sunday,Keti Koti,Observance
netherlands,2001,23 Sep,Sunday,September Equinox,Season
netherlands,2001,5 Dec,Wednesday,St Nicholas' Eve/Sinterklaas,Observance
netherlands,2001,6 Dec,Thursday,St Nicholas' Day,Observance
netherlands,2001,21 Dec,Friday,December Solstice,Season
netherlands,2001,24 Dec,Monday,Christmas Eve,Observance
netherlands,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
netherlands,2001,26 Dec,Wednesday,Second Day of Christmas,Public Holiday
netherlands,2001,31 Dec,Monday,New Year's Eve,Observance
netherlands,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
netherlands,2002,14 Feb,Thursday,Valentine's Day,Observance
netherlands,2002,20 Mar,Wednesday,March Equinox,Season
netherlands,2002,29 Mar,Friday,Good Friday,Public Holiday
netherlands,2002,31 Mar,Sunday,Easter Sunday,Public Holiday
netherlands,2002,1 Apr,Monday,Easter Monday,Public Holiday
netherlands,2002,30 Apr,Tuesday,Queen's Birthday,Public Holiday
netherlands,2002,4 May,Saturday,Remembrance Day,Observance
netherlands,2002,5 May,Sunday,Liberation Day,Public Sector
netherlands,2002,9 May,Thursday,Ascension Day,Public Holiday
netherlands,2002,12 May,Sunday,Mother's Day,Observance
netherlands,2002,19 May,Sunday,Whit Sunday,Public Holiday
netherlands,2002,20 May,Monday,Whit Monday,Public Holiday
netherlands,2002,16 Jun,Sunday,Father's Day,Observance
netherlands,2002,21 Jun,Friday,June Solstice,Season
netherlands,2002,1 Jul,Monday,Keti Koti,Observance
netherlands,2002,23 Sep,Monday,September Equinox,Season
netherlands,2002,5 Dec,Thursday,St Nicholas' Eve/Sinterklaas,Observance
netherlands,2002,6 Dec,Friday,St Nicholas' Day,Observance
netherlands,2002,22 Dec,Sunday,December Solstice,Season
