Geo,Event Year,Date,Day,Name,Type
new-caledonia,2000,1 Jan,Saturday,New Year's Day,Public Holiday
new-caledonia,2000,20 Mar,Monday,March Equinox,Season
new-caledonia,2000,21 Apr,Friday,Good Friday,Observance
new-caledonia,2000,23 Apr,Sunday,Easter Sunday,Observance
new-caledonia,2000,24 Apr,Monday,Easter Monday,Public Holiday
new-caledonia,2000,1 May,Monday,Labor Day / May Day,Public Holiday
new-caledonia,2000,8 May,Monday,Victory Day,Public Holiday
new-caledonia,2000,1 Jun,Thursday,Ascension Day,Public Holiday
new-caledonia,2000,11 Jun,Sunday,Whit Sunday,Observance
new-caledonia,2000,12 Jun,Monday,Whit Monday,Public Holiday
new-caledonia,2000,21 Jun,Wednesday,June Solstice,Season
new-caledonia,2000,14 Jul,Friday,French National Day,Public Holiday
new-caledonia,2000,15 Aug,Tuesday,Assumption of Mary,Public Holiday
new-caledonia,2000,23 Sep,Saturday,September Equinox,Season
new-caledonia,2000,24 Sep,Sunday,New Caledonia Day,Public Holiday
new-caledonia,2000,1 Nov,Wednesday,All Saints' Day,Public Holiday
new-caledonia,2000,11 Nov,Saturday,Armistice Day,Public Holiday
new-caledonia,2000,22 Dec,Friday,December Solstice,Season
new-caledonia,2000,25 Dec,Monday,Christmas Day,Public Holiday
new-caledonia,2000,31 Dec,Sunday,New Year's Eve,Observance
new-caledonia,2001,1 Jan,Monday,New Year's Day,Public Holiday
new-caledonia,2001,21 Mar,Wednesday,March Equinox,Season
new-caledonia,2001,13 Apr,Friday,Good Friday,Observance
new-caledonia,2001,15 Apr,Sunday,Easter Sunday,Observance
new-caledonia,2001,16 Apr,Monday,Easter Monday,Public Holiday
new-caledonia,2001,1 May,Tuesday,Labor Day / May Day,Public Holiday
new-caledonia,2001,8 May,Tuesday,Victory Day,Public Holiday
new-caledonia,2001,24 May,Thursday,Ascension Day,Public Holiday
new-caledonia,2001,3 Jun,Sunday,Whit Sunday,Observance
new-caledonia,2001,4 Jun,Monday,Whit Monday,Public Holiday
new-caledonia,2001,21 Jun,Thursday,June Solstice,Season
new-caledonia,2001,14 Jul,Saturday,French National Day,Public Holiday
new-caledonia,2001,15 Aug,Wednesday,Assumption of Mary,Public Holiday
new-caledonia,2001,23 Sep,Sunday,September Equinox,Season
new-caledonia,2001,24 Sep,Monday,New Caledonia Day,Public Holiday
new-caledonia,2001,1 Nov,Thursday,All Saints' Day,Public Holiday
new-caledonia,2001,11 Nov,Sunday,Armistice Day,Public Holiday
new-caledonia,2001,22 Dec,Saturday,December Solstice,Season
new-caledonia,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
new-caledonia,2001,31 Dec,Monday,New Year's Eve,Observance
new-caledonia,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
new-caledonia,2002,21 Mar,Thursday,March Equinox,Season
new-caledonia,2002,29 Mar,Friday,Good Friday,Observance
new-caledonia,2002,31 Mar,Sunday,Easter Sunday,Observance
new-caledonia,2002,1 Apr,Monday,Easter Monday,Public Holiday
new-caledonia,2002,1 May,Wednesday,Labor Day / May Day,Public Holiday
new-caledonia,2002,8 May,Wednesday,Victory Day,Public Holiday
new-caledonia,2002,9 May,Thursday,Ascension Day,Public Holiday
new-caledonia,2002,19 May,Sunday,Whit Sunday,Observance
new-caledonia,2002,20 May,Monday,Whit Monday,Public Holiday
new-caledonia,2002,22 Jun,Saturday,June Solstice,Season
new-caledonia,2002,14 Jul,Sunday,French National Day,Public Holiday
new-caledonia,2002,15 Aug,Thursday,Assumption of Mary,Public Holiday
new-caledonia,2002,23 Sep,Monday,September Equinox,Season
new-caledonia,2002,24 Sep,Tuesday,New Caledonia Day,Public Holiday
new-caledonia,2002,1 Nov,Friday,All Saints' Day,Public Holiday
new-caledonia,2002,11 Nov,Monday,Armistice Day,Public Holiday
new-caledonia,2002,22 Dec,Sunday,December Solstice,Season
new-caledonia,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
new-caledonia,2002,31 Dec,Tuesday,New Year's Eve,Observance
new-caledonia,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
new-caledonia,2003,21 Mar,Friday,March Equinox,Season
new-caledonia,2003,18 Apr,Friday,Good Friday,Observance
new-caledonia,2003,20 Apr,Sunday,Easter Sunday,Observance
new-caledonia,2003,21 Apr,Monday,Easter Monday,Public Holiday
new-caledonia,2003,1 May,Thursday,Labor Day / May Day,Public Holiday
new-caledonia,2003,8 May,Thursday,Victory Day,Public Holiday
new-caledonia,2003,29 May,Thursday,Ascension Day,Public Holiday
new-caledonia,2003,8 Jun,Sunday,Whit Sunday,Observance
new-caledonia,2003,9 Jun,Monday,Whit Monday,Public Holiday
new-caledonia,2003,22 Jun,Sunday,June Solstice,Season
new-caledonia,2003,14 Jul,Monday,French National Day,Public Holiday
new-caledonia,2003,15 Aug,Friday,Assumption of Mary,Public Holiday
new-caledonia,2003,23 Sep,Tuesday,September Equinox,Season
new-caledonia,2003,24 Sep,Wednesday,New Caledonia Day,Public Holiday
new-caledonia,2003,1 Nov,Saturday,All Saints' Day,Public Holiday
new-caledonia,2003,11 Nov,Tuesday,Armistice Day,Public Holiday
new-caledonia,2003,22 Dec,Monday,December Solstice,Season
new-caledonia,2003,25 Dec,Thursday,Christmas Day,Public Holiday
new-caledonia,2003,31 Dec,Wednesday,New Year's Eve,Observance
new-caledonia,2004,1 Jan,Thursday,New Year's Day,Public Holiday
new-caledonia,2004,20 Mar,Saturday,March Equinox,Season
new-caledonia,2004,9 Apr,Friday,Good Friday,Observance
new-caledonia,2004,11 Apr,Sunday,Easter Sunday,Observance
new-caledonia,2004,12 Apr,Monday,Easter Monday,Public Holiday
new-caledonia,2004,1 May,Saturday,Labor Day / May Day,Public Holiday
new-caledonia,2004,8 May,Saturday,Victory Day,Public Holiday
new-caledonia,2004,20 May,Thursday,Ascension Day,Public Holiday
new-caledonia,2004,30 May,Sunday,Whit Sunday,Observance
