Geo,Event Year,Date,Day,Name,Type
new-zealand,2000,1 Jan,Saturday,New Year's Day,National holiday
new-zealand,2000,2 Jan,Sunday,Day after New Year's Day,National holiday
new-zealand,2000,3 Jan,Monday,Day off for New Year's Day,National holiday
new-zealand,2000,4 Jan,Tuesday,Day off for Day after New Year's Day,National holiday
new-zealand,2000,24 Jan,Monday,Wellington Anniversary Day,Local holiday
new-zealand,2000,6 Feb,Sunday,Waitangi Day,National holiday
new-zealand,2000,14 Feb,Monday,Valentine's Day,Observance
new-zealand,2000,20 Mar,Monday,March Equinox,Season
new-zealand,2000,1 Apr,Saturday,April Fools,Observance
new-zealand,2000,21 Apr,Friday,Good Friday,National holiday
new-zealand,2000,22 Apr,Saturday,Holy Saturday,Observance
new-zealand,2000,23 Apr,Sunday,Easter Sunday,Observance
new-zealand,2000,24 Apr,Monday,Easter Monday,National holiday
new-zealand,2000,25 Apr,Tuesday,ANZAC Day,National holiday
new-zealand,2000,14 May,Sunday,Mother's Day,Observance
new-zealand,2000,5 Jun,Monday,Queen Elizabeth II's Birthday,National holiday
new-zealand,2000,21 Jun,Wednesday,June Solstice,Season
new-zealand,2000,3 Sep,Sunday,Fathers' Day,Observance
new-zealand,2000,23 Sep,Saturday,September Equinox,Season
new-zealand,2000,23 Oct,Monday,Labour Day,National holiday
new-zealand,2000,31 Oct,Tuesday,Halloween,Observance
new-zealand,2000,5 Nov,Sunday,Guy Fawkes Night,Observance
new-zealand,2000,22 Dec,Friday,December Solstice,Season
new-zealand,2000,24 Dec,Sunday,Christmas Eve,Observance
new-zealand,2000,25 Dec,Monday,Christmas Day,National holiday
new-zealand,2000,26 Dec,Tuesday,Boxing Day,National holiday
new-zealand,2000,31 Dec,Sunday,New Year's Eve,Observance
new-zealand,2001,1 Jan,Monday,New Year's Day,National holiday
new-zealand,2001,2 Jan,Tuesday,Day after New Year's Day,National holiday
new-zealand,2001,22 Jan,Monday,Wellington Anniversary Day,Local holiday
new-zealand,2001,6 Feb,Tuesday,Waitangi Day,National holiday
new-zealand,2001,14 Feb,Wednesday,Valentine's Day,Observance
new-zealand,2001,21 Mar,Wednesday,March Equinox,Season
new-zealand,2001,1 Apr,Sunday,April Fools,Observance
new-zealand,2001,13 Apr,Friday,Good Friday,National holiday
new-zealand,2001,14 Apr,Saturday,Holy Saturday,Observance
new-zealand,2001,15 Apr,Sunday,Easter Sunday,Observance
new-zealand,2001,16 Apr,Monday,Easter Monday,National holiday
new-zealand,2001,25 Apr,Wednesday,ANZAC Day,National holiday
new-zealand,2001,13 May,Sunday,Mother's Day,Observance
new-zealand,2001,4 Jun,Monday,Queen Elizabeth II's Birthday,National holiday
new-zealand,2001,21 Jun,Thursday,June Solstice,Season
new-zealand,2001,2 Sep,Sunday,Fathers' Day,Observance
new-zealand,2001,23 Sep,Sunday,September Equinox,Season
new-zealand,2001,22 Oct,Monday,Labour Day,National holiday
new-zealand,2001,31 Oct,Wednesday,Halloween,Observance
new-zealand,2001,5 Nov,Monday,Guy Fawkes Night,Observance
new-zealand,2001,22 Dec,Saturday,December Solstice,Season
new-zealand,2001,24 Dec,Monday,Christmas Eve,Observance
new-zealand,2001,25 Dec,Tuesday,Christmas Day,National holiday
new-zealand,2001,26 Dec,Wednesday,Boxing Day,National holiday
new-zealand,2001,31 Dec,Monday,New Year's Eve,Observance
new-zealand,2002,1 Jan,Tuesday,New Year's Day,National holiday
new-zealand,2002,2 Jan,Wednesday,Day after New Year's Day,National holiday
new-zealand,2002,21 Jan,Monday,Wellington Anniversary Day,Local holiday
new-zealand,2002,6 Feb,Wednesday,Waitangi Day,National holiday
new-zealand,2002,14 Feb,Thursday,Valentine's Day,Observance
new-zealand,2002,21 Mar,Thursday,March Equinox,Season
new-zealand,2002,29 Mar,Friday,Good Friday,National holiday
new-zealand,2002,30 Mar,Saturday,Holy Saturday,Observance
new-zealand,2002,31 Mar,Sunday,Easter Sunday,Observance
new-zealand,2002,1 Apr,Monday,Easter Monday,National holiday
new-zealand,2002,1 Apr,Monday,April Fools,Observance
new-zealand,2002,25 Apr,Thursday,ANZAC Day,National holiday
new-zealand,2002,12 May,Sunday,Mother's Day,Observance
new-zealand,2002,3 Jun,Monday,Queen Elizabeth II's Birthday,National holiday
new-zealand,2002,22 Jun,Saturday,June Solstice,Season
new-zealand,2002,1 Sep,Sunday,Fathers' Day,Observance
new-zealand,2002,23 Sep,Monday,September Equinox,Season
new-zealand,2002,28 Oct,Monday,Labour Day,National holiday
new-zealand,2002,31 Oct,Thursday,Halloween,Observance
new-zealand,2002,5 Nov,Tuesday,Guy Fawkes Night,Observance
new-zealand,2002,22 Dec,Sunday,December Solstice,Season
new-zealand,2002,24 Dec,Tuesday,Christmas Eve,Observance
new-zealand,2002,25 Dec,Wednesday,Christmas Day,National holiday
new-zealand,2002,26 Dec,Thursday,Boxing Day,National holiday
new-zealand,2002,31 Dec,Tuesday,New Year's Eve,Observance
new-zealand,2003,1 Jan,Wednesday,New Year's Day,National holiday
new-zealand,2003,2 Jan,Thursday,Day after New Year's Day,National holiday
new-zealand,2003,20 Jan,Monday,Wellington Anniversary Day,Local holiday
new-zealand,2003,27 Jan,Monday,Northland Anniversary Day,Local holiday
new-zealand,2003,27 Jan,Monday,Auckland Anniversary Day,Local holiday
new-zealand,2003,3 Feb,Monday,Nelson Anniversary Day,Local holiday
