Geo,Event Year,Date,Day,Name,Type
nicaragua,2000,1 Jan,Saturday,New Year's Day,National holiday
nicaragua,2000,14 Feb,Monday,Day of Love and Friendship,Observance
nicaragua,2000,20 Mar,Monday,March Equinox,Season
nicaragua,2000,20 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
nicaragua,2000,21 Apr,Friday,Good Friday,"National holiday, Christian"
nicaragua,2000,22 Apr,Saturday,Holy Saturday,"Observance, Christian"
nicaragua,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
nicaragua,2000,1 May,Monday,Labor Day / May Day,National holiday
nicaragua,2000,30 May,Tuesday,Mothers' Day,Observance
nicaragua,2000,20 Jun,Tuesday,June Solstice,Season
nicaragua,2000,19 Jul,Wednesday,The Sandinista Revolution Day,National holiday
nicaragua,2000,1 Aug,Tuesday,Santo Domingo Celebrations Start,Local holiday
nicaragua,2000,10 Aug,Thursday,Last Day of Santo Domingo Celebrations,Local holiday
nicaragua,2000,2 Sep,Saturday,Army Day,Observance
nicaragua,2000,14 Sep,Thursday,Battle of San Jacinto,National holiday
nicaragua,2000,15 Sep,Friday,Independence Day,National holiday
nicaragua,2000,22 Sep,Friday,September Equinox,Season
nicaragua,2000,12 Oct,Thursday,Columbus Day,Observance
nicaragua,2000,2 Nov,Thursday,All Souls' Day,Observance
nicaragua,2000,8 Dec,Friday,Feast of the Immaculate Conception,National holiday
nicaragua,2000,21 Dec,Thursday,December Solstice,Season
nicaragua,2000,25 Dec,Monday,Christmas Day,"National holiday, Christian"
nicaragua,2000,31 Dec,Sunday,New Year´s Eve,Observance
nicaragua,2001,1 Jan,Monday,New Year's Day,National holiday
nicaragua,2001,14 Feb,Wednesday,Day of Love and Friendship,Observance
nicaragua,2001,20 Mar,Tuesday,March Equinox,Season
nicaragua,2001,12 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
nicaragua,2001,13 Apr,Friday,Good Friday,"National holiday, Christian"
nicaragua,2001,14 Apr,Saturday,Holy Saturday,"Observance, Christian"
nicaragua,2001,15 Apr,Sunday,Easter Sunday,"Observance, Christian"
nicaragua,2001,1 May,Tuesday,Labor Day / May Day,National holiday
nicaragua,2001,30 May,Wednesday,Mothers' Day,Observance
nicaragua,2001,21 Jun,Thursday,June Solstice,Season
nicaragua,2001,19 Jul,Thursday,The Sandinista Revolution Day,National holiday
nicaragua,2001,1 Aug,Wednesday,Santo Domingo Celebrations Start,Local holiday
nicaragua,2001,10 Aug,Friday,Last Day of Santo Domingo Celebrations,Local holiday
nicaragua,2001,2 Sep,Sunday,Army Day,Observance
nicaragua,2001,14 Sep,Friday,Battle of San Jacinto,National holiday
nicaragua,2001,15 Sep,Saturday,Independence Day,National holiday
nicaragua,2001,22 Sep,Saturday,September Equinox,Season
nicaragua,2001,12 Oct,Friday,Columbus Day,Observance
nicaragua,2001,2 Nov,Friday,All Souls' Day,Observance
nicaragua,2001,8 Dec,Saturday,Feast of the Immaculate Conception,National holiday
nicaragua,2001,21 Dec,Friday,December Solstice,Season
nicaragua,2001,25 Dec,Tuesday,Christmas Day,"National holiday, Christian"
nicaragua,2001,31 Dec,Monday,New Year´s Eve,Observance
nicaragua,2002,1 Jan,Tuesday,New Year's Day,National holiday
nicaragua,2002,14 Feb,Thursday,Day of Love and Friendship,Observance
nicaragua,2002,20 Mar,Wednesday,March Equinox,Season
nicaragua,2002,28 Mar,Thursday,Maundy Thursday,"National holiday, Christian"
nicaragua,2002,29 Mar,Friday,Good Friday,"National holiday, Christian"
nicaragua,2002,30 Mar,Saturday,Holy Saturday,"Observance, Christian"
nicaragua,2002,31 Mar,Sunday,Easter Sunday,"Observance, Christian"
nicaragua,2002,1 May,Wednesday,Labor Day / May Day,National holiday
nicaragua,2002,30 May,Thursday,Mothers' Day,Observance
nicaragua,2002,21 Jun,Friday,June Solstice,Season
nicaragua,2002,19 Jul,Friday,The Sandinista Revolution Day,National holiday
nicaragua,2002,1 Aug,Thursday,Santo Domingo Celebrations Start,Local holiday
nicaragua,2002,10 Aug,Saturday,Last Day of Santo Domingo Celebrations,Local holiday
nicaragua,2002,2 Sep,Monday,Army Day,Observance
nicaragua,2002,14 Sep,Saturday,Battle of San Jacinto,National holiday
nicaragua,2002,15 Sep,Sunday,Independence Day,National holiday
nicaragua,2002,22 Sep,Sunday,September Equinox,Season
nicaragua,2002,12 Oct,Saturday,Columbus Day,Observance
nicaragua,2002,2 Nov,Saturday,All Souls' Day,Observance
nicaragua,2002,8 Dec,Sunday,Feast of the Immaculate Conception,National holiday
nicaragua,2002,21 Dec,Saturday,December Solstice,Season
nicaragua,2002,25 Dec,Wednesday,Christmas Day,"National holiday, Christian"
nicaragua,2002,31 Dec,Tuesday,New Year´s Eve,Observance
nicaragua,2003,1 Jan,Wednesday,New Year's Day,National holiday
nicaragua,2003,14 Feb,Friday,Day of Love and Friendship,Observance
nicaragua,2003,20 Mar,Thursday,March Equinox,Season
nicaragua,2003,17 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
nicaragua,2003,18 Apr,Friday,Good Friday,"National holiday, Christian"
nicaragua,2003,19 Apr,Saturday,Holy Saturday,"Observance, Christian"
nicaragua,2003,20 Apr,Sunday,Easter Sunday,"Observance, Christian"
nicaragua,2003,1 May,Thursday,Labor Day / May Day,National holiday
nicaragua,2003,30 May,Friday,Mothers' Day,Observance
nicaragua,2003,21 Jun,Saturday,June Solstice,Season
nicaragua,2003,19 Jul,Saturday,The Sandinista Revolution Day,National holiday
nicaragua,2003,1 Aug,Friday,Santo Domingo Celebrations Start,Local holiday
nicaragua,2003,10 Aug,Sunday,Last Day of Santo Domingo Celebrations,Local holiday
nicaragua,2003,2 Sep,Tuesday,Army Day,Observance
nicaragua,2003,14 Sep,Sunday,Battle of San Jacinto,National holiday
nicaragua,2003,15 Sep,Monday,Independence Day,National holiday
nicaragua,2003,23 Sep,Tuesday,September Equinox,Season
nicaragua,2003,12 Oct,Sunday,Columbus Day,Observance
nicaragua,2003,2 Nov,Sunday,All Souls' Day,Observance
nicaragua,2003,8 Dec,Monday,Feast of the Immaculate Conception,National holiday
nicaragua,2003,22 Dec,Monday,December Solstice,Season
nicaragua,2003,25 Dec,Thursday,Christmas Day,"National holiday, Christian"
nicaragua,2003,31 Dec,Wednesday,New Year´s Eve,Observance
nicaragua,2004,1 Jan,Thursday,New Year's Day,National holiday
nicaragua,2004,14 Feb,Saturday,Day of Love and Friendship,Observance
nicaragua,2004,20 Mar,Saturday,March Equinox,Season
nicaragua,2004,8 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
nicaragua,2004,9 Apr,Friday,Good Friday,"National holiday, Christian"
nicaragua,2004,10 Apr,Saturday,Holy Saturday,"Observance, Christian"
nicaragua,2004,11 Apr,Sunday,Easter Sunday,"Observance, Christian"
nicaragua,2004,1 May,Saturday,Labor Day / May Day,National holiday
