Geo,Event Year,Date,Day,Name,Type
north-korea,2015,1 Jan,Thursday,New Year,Public Holiday
north-korea,2015,16 Feb,Monday,Birth date of Kim Jong Il,Public Holiday
north-korea,2015,19 Feb,Thursday,Seollal,Public Holiday
north-korea,2015,5 Mar,Thursday,Cheongwoldaeboreum,Public Holiday
north-korea,2015,8 Mar,Sunday,International Women's Day,Public Holiday
north-korea,2015,21 Mar,Saturday,March Equinox,Season
north-korea,2015,15 Apr,Wednesday,Birth Date of Kim Il Sung,Public Holiday
north-korea,2015,25 Apr,Saturday,Chosun People's Army Foundation Day,Public Holiday
north-korea,2015,1 May,Friday,May Day,Public Holiday
north-korea,2015,6 Jun,Saturday,Chosun Children's Union Foundation Day,Public Holiday
north-korea,2015,19 Jun,Friday,Great Leader Kim Jong Il Day,Public Holiday
north-korea,2015,22 Jun,Monday,June Solstice,Season
north-korea,2015,27 Jul,Monday,Day of Victory in the Fatherland Liberation War,Public Holiday
north-korea,2015,15 Aug,Saturday,Liberation Day,Public Holiday
north-korea,2015,25 Aug,Tuesday,Day of Songun,Public Holiday
north-korea,2015,9 Sep,Wednesday,National Day,Public Holiday
north-korea,2015,23 Sep,Wednesday,September Equinox,Season
north-korea,2015,27 Sep,Sunday,Chuseok Harvest Festival,Public Holiday
north-korea,2015,10 Oct,Saturday,Party Foundation Day,Public Holiday
north-korea,2015,14 Nov,Saturday,Mother's Day,Public Holiday
north-korea,2015,22 Dec,Tuesday,December Solstice,Season
north-korea,2015,24 Dec,Thursday,Birth Date of Kim Jong Suk,Public Holiday
north-korea,2015,27 Dec,Sunday,Constitution Day,Public Holiday
north-korea,2016,1 Jan,Friday,New Year,Public Holiday
north-korea,2016,9 Feb,Tuesday,Seollal,Public Holiday
north-korea,2016,16 Feb,Tuesday,Birth date of Kim Jong Il,Public Holiday
north-korea,2016,22 Feb,Monday,Cheongwoldaeboreum,Public Holiday
north-korea,2016,8 Mar,Tuesday,International Women's Day,Public Holiday
north-korea,2016,20 Mar,Sunday,March Equinox,Season
north-korea,2016,15 Apr,Friday,Birth Date of Kim Il Sung,Public Holiday
north-korea,2016,25 Apr,Monday,Chosun People's Army Foundation Day,Public Holiday
north-korea,2016,1 May,Sunday,May Day,Public Holiday
north-korea,2016,6 Jun,Monday,Chosun Children's Union Foundation Day,Public Holiday
north-korea,2016,19 Jun,Sunday,Great Leader Kim Jong Il Day,Public Holiday
north-korea,2016,21 Jun,Tuesday,June Solstice,Season
north-korea,2016,27 Jul,Wednesday,Day of Victory in the Fatherland Liberation War,Public Holiday
