Geo,Event Year,Date,Day,Name,Type
oman,2000,1 Jan,Saturday,New Year,Public Holiday
oman,2000,8 Jan,Saturday,Eid al-Fitr,Public Holiday
oman,2000,9 Jan,Sunday,Eid al-Fitr Holiday,Public Holiday
oman,2000,10 Jan,Monday,Eid al-Fitr Holiday,Public Holiday
oman,2000,16 Mar,Thursday,Eid al-Adha,Public Holiday
oman,2000,17 Mar,Friday,Eid al-Adha Holiday,Public Holiday
oman,2000,18 Mar,Saturday,Eid al-Adha Holiday,Public Holiday
oman,2000,19 Mar,Sunday,Eid al-Adha Holiday,Public Holiday
oman,2000,20 Mar,Monday,March Equinox,Season
oman,2000,21 Jun,Wednesday,June Solstice,Season
oman,2000,23 Jul,Sunday,Renaissance Day,Public Holiday
oman,2000,22 Sep,Friday,September Equinox,Season
oman,2000,26 Oct,Thursday,Isra and Mi'raj,Public Holiday
oman,2000,18 Nov,Saturday,National Day,Public Holiday
oman,2000,21 Dec,Thursday,December Solstice,Season
oman,2000,28 Dec,Thursday,Eid al-Fitr,Public Holiday
oman,2000,29 Dec,Friday,Eid al-Fitr Holiday,Public Holiday
oman,2000,30 Dec,Saturday,Eid al-Fitr Holiday,Public Holiday
oman,2001,1 Jan,Monday,New Year,Public Holiday
oman,2001,6 Mar,Tuesday,Eid al-Adha,Public Holiday
oman,2001,7 Mar,Wednesday,Eid al-Adha Holiday,Public Holiday
oman,2001,8 Mar,Thursday,Eid al-Adha Holiday,Public Holiday
oman,2001,9 Mar,Friday,Eid al-Adha Holiday,Public Holiday
oman,2001,20 Mar,Tuesday,March Equinox,Season
oman,2001,21 Jun,Thursday,June Solstice,Season
oman,2001,23 Jul,Monday,Renaissance Day,Public Holiday
oman,2001,23 Sep,Sunday,September Equinox,Season
oman,2001,15 Oct,Monday,Isra and Mi'raj,Public Holiday
oman,2001,18 Nov,Sunday,National Day,Public Holiday
oman,2001,17 Dec,Monday,Eid al-Fitr,Public Holiday
oman,2001,18 Dec,Tuesday,Eid al-Fitr Holiday,Public Holiday
oman,2001,19 Dec,Wednesday,Eid al-Fitr Holiday,Public Holiday
oman,2001,21 Dec,Friday,December Solstice,Season
oman,2002,1 Jan,Tuesday,New Year,Public Holiday
oman,2002,23 Feb,Saturday,Eid al-Adha,Public Holiday
oman,2002,24 Feb,Sunday,Eid al-Adha Holiday,Public Holiday
oman,2002,25 Feb,Monday,Eid al-Adha Holiday,Public Holiday
oman,2002,26 Feb,Tuesday,Eid al-Adha Holiday,Public Holiday
oman,2002,20 Mar,Wednesday,March Equinox,Season
oman,2002,21 Jun,Friday,June Solstice,Season
oman,2002,23 Jul,Tuesday,Renaissance Day,Public Holiday
oman,2002,23 Sep,Monday,September Equinox,Season
oman,2002,4 Oct,Friday,Isra and Mi'raj,Public Holiday
oman,2002,18 Nov,Monday,National Day,Public Holiday
oman,2002,6 Dec,Friday,Eid al-Fitr,Public Holiday
oman,2002,7 Dec,Saturday,Eid al-Fitr Holiday,Public Holiday
oman,2002,8 Dec,Sunday,Eid al-Fitr Holiday,Public Holiday
oman,2002,22 Dec,Sunday,December Solstice,Season
oman,2003,1 Jan,Wednesday,New Year,Public Holiday
oman,2003,12 Feb,Wednesday,Eid al-Adha,Public Holiday
oman,2003,13 Feb,Thursday,Eid al-Adha Holiday,Public Holiday
oman,2003,14 Feb,Friday,Eid al-Adha Holiday,Public Holiday
oman,2003,15 Feb,Saturday,Eid al-Adha Holiday,Public Holiday
oman,2003,21 Mar,Friday,March Equinox,Season
oman,2003,21 Jun,Saturday,June Solstice,Season
oman,2003,23 Jul,Wednesday,Renaissance Day,Public Holiday
oman,2003,23 Sep,Tuesday,September Equinox,Season
oman,2003,24 Sep,Wednesday,Isra and Mi'raj,Public Holiday
oman,2003,18 Nov,Tuesday,National Day,Public Holiday
oman,2003,26 Nov,Wednesday,Eid al-Fitr,Public Holiday
oman,2003,27 Nov,Thursday,Eid al-Fitr Holiday,Public Holiday
oman,2003,28 Nov,Friday,Eid al-Fitr Holiday,Public Holiday
oman,2003,22 Dec,Monday,December Solstice,Season
oman,2004,1 Jan,Thursday,New Year,Public Holiday
oman,2004,2 Feb,Monday,Eid al-Adha,Public Holiday
