Geo,Event Year,Date,Day,Name,Type
panama,2000,1 Jan,Saturday,New Year's Day,National holiday
panama,2000,9 Jan,Sunday,Martyr's Day,National holiday
panama,2000,4 Mar,Saturday,Carnival,Observance
panama,2000,5 Mar,Sunday,Carnival,Observance
panama,2000,6 Mar,Monday,Carnival / Shrove Monday,Common local holiday
panama,2000,7 Mar,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
panama,2000,8 Mar,Wednesday,Carnival / Ash Wednesday,Common local holiday
panama,2000,20 Mar,Monday,March Equinox,Season
panama,2000,20 Apr,Thursday,Maundy Thursday,Observance
panama,2000,21 Apr,Friday,Good Friday,"National holiday, Christian"
panama,2000,22 Apr,Saturday,Holy Saturday,"National holiday, Christian"
panama,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
panama,2000,1 May,Monday,Labor Day / May Day,National holiday
panama,2000,20 Jun,Tuesday,June Solstice,Season
panama,2000,15 Aug,Tuesday,Foundation of Old Panama City,Common local holiday
panama,2000,22 Sep,Friday,September Equinox,Season
panama,2000,3 Nov,Friday,Independence Day,National holiday
panama,2000,4 Nov,Saturday,Flag Day,National holiday
panama,2000,5 Nov,Sunday,Colón Day,National holiday
panama,2000,10 Nov,Friday,Shout in Villa de los Santos,National holiday
panama,2000,28 Nov,Tuesday,Independence from Spain,National holiday
panama,2000,8 Dec,Friday,Mother's Day,National holiday
panama,2000,21 Dec,Thursday,December Solstice,Season
panama,2000,24 Dec,Sunday,Christmas Eve,Observance
panama,2000,25 Dec,Monday,Christmas Day,"National holiday, Christian"
panama,2000,31 Dec,Sunday,New Year's Eve,Observance
panama,2001,1 Jan,Monday,New Year's Day,National holiday
panama,2001,9 Jan,Tuesday,Martyr's Day,National holiday
panama,2001,24 Feb,Saturday,Carnival,Observance
panama,2001,25 Feb,Sunday,Carnival,Observance
panama,2001,26 Feb,Monday,Carnival / Shrove Monday,Common local holiday
panama,2001,27 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,National holiday
