Geo,Event Year,Date,Day,Name,Type
peru,2000,1 Jan,Saturday,New Year's Day,National holiday
peru,2000,6 Jan,Thursday,The Three Wise Men Day,Observance
peru,2000,20 Mar,Monday,March Equinox,Season
peru,2000,20 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
peru,2000,21 Apr,Friday,Good Friday,"National holiday, Christian"
peru,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
peru,2000,1 May,Monday,Labor Day / May Day,National holiday
peru,2000,14 May,Sunday,Mothers' Day,Observance
peru,2000,7 Jun,Wednesday,Flag Day,Observance
peru,2000,18 Jun,Sunday,Fathers' Day,Observance
peru,2000,20 Jun,Tuesday,June Solstice,Season
peru,2000,24 Jun,Saturday,Farmer Day,Observance
peru,2000,24 Jun,Saturday,Inti Raymi Day,Observance
peru,2000,29 Jun,Thursday,St Peter and St Paul,National holiday
peru,2000,28 Jul,Friday,Independence Day,National holiday
peru,2000,6 Aug,Sunday,Battle of Junín,Observance
peru,2000,30 Aug,Wednesday,Santa Rosa De Lima,National holiday
peru,2000,22 Sep,Friday,September Equinox,Season
peru,2000,24 Sep,Sunday,Armed Forces Day,Observance
peru,2000,8 Oct,Sunday,Battle of Angamos,National holiday
peru,2000,1 Nov,Wednesday,All Saints' Day,National holiday
peru,2000,2 Nov,Thursday,All Souls' Day,Observance
peru,2000,8 Dec,Friday,Feast of the Immaculate Conception,National holiday
peru,2000,21 Dec,Thursday,December Solstice,Season
peru,2000,24 Dec,Sunday,Christmas Eve,"Observance, Christian"
peru,2000,25 Dec,Monday,Christmas Day,"National holiday, Christian"
peru,2000,31 Dec,Sunday,New Year's Eve,Observance
peru,2001,1 Jan,Monday,New Year's Day,National holiday
peru,2001,6 Jan,Saturday,The Three Wise Men Day,Observance
peru,2001,20 Mar,Tuesday,March Equinox,Season
peru,2001,12 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
peru,2001,13 Apr,Friday,Good Friday,"National holiday, Christian"
peru,2001,15 Apr,Sunday,Easter Sunday,"Observance, Christian"
peru,2001,1 May,Tuesday,Labor Day / May Day,National holiday
peru,2001,13 May,Sunday,Mothers' Day,Observance
peru,2001,7 Jun,Thursday,Flag Day,Observance
peru,2001,17 Jun,Sunday,Fathers' Day,Observance
peru,2001,21 Jun,Thursday,June Solstice,Season
peru,2001,24 Jun,Sunday,Farmer Day,Observance
peru,2001,24 Jun,Sunday,Inti Raymi Day,Observance
peru,2001,29 Jun,Friday,St Peter and St Paul,National holiday
peru,2001,28 Jul,Saturday,Independence Day,National holiday
peru,2001,6 Aug,Monday,Battle of Junín,Observance
peru,2001,30 Aug,Thursday,Santa Rosa De Lima,National holiday
peru,2001,22 Sep,Saturday,September Equinox,Season
peru,2001,24 Sep,Monday,Armed Forces Day,Observance
peru,2001,8 Oct,Monday,Battle of Angamos,National holiday
peru,2001,1 Nov,Thursday,All Saints' Day,National holiday
peru,2001,2 Nov,Friday,All Souls' Day,Observance
peru,2001,8 Dec,Saturday,Feast of the Immaculate Conception,National holiday
peru,2001,21 Dec,Friday,December Solstice,Season
peru,2001,24 Dec,Monday,Christmas Eve,"Observance, Christian"
peru,2001,25 Dec,Tuesday,Christmas Day,"National holiday, Christian"
peru,2001,31 Dec,Monday,New Year's Eve,Observance
peru,2002,1 Jan,Tuesday,New Year's Day,National holiday
peru,2002,6 Jan,Sunday,The Three Wise Men Day,Observance
peru,2002,20 Mar,Wednesday,March Equinox,Season
peru,2002,28 Mar,Thursday,Maundy Thursday,"National holiday, Christian"
peru,2002,29 Mar,Friday,Good Friday,"National holiday, Christian"
peru,2002,31 Mar,Sunday,Easter Sunday,"Observance, Christian"
peru,2002,1 May,Wednesday,Labor Day / May Day,National holiday
peru,2002,12 May,Sunday,Mothers' Day,Observance
peru,2002,7 Jun,Friday,Flag Day,Observance
peru,2002,16 Jun,Sunday,Fathers' Day,Observance
peru,2002,21 Jun,Friday,June Solstice,Season
peru,2002,24 Jun,Monday,Farmer Day,Observance
peru,2002,24 Jun,Monday,Inti Raymi Day,Observance
peru,2002,29 Jun,Saturday,St Peter and St Paul,National holiday
peru,2002,28 Jul,Sunday,Independence Day,National holiday
peru,2002,6 Aug,Tuesday,Battle of Junín,Observance
peru,2002,30 Aug,Friday,Santa Rosa De Lima,National holiday
peru,2002,22 Sep,Sunday,September Equinox,Season
peru,2002,24 Sep,Tuesday,Armed Forces Day,Observance
peru,2002,8 Oct,Tuesday,Battle of Angamos,National holiday
peru,2002,1 Nov,Friday,All Saints' Day,National holiday
peru,2002,2 Nov,Saturday,All Souls' Day,Observance
peru,2002,8 Dec,Sunday,Feast of the Immaculate Conception,National holiday
peru,2002,21 Dec,Saturday,December Solstice,Season
peru,2002,24 Dec,Tuesday,Christmas Eve,"Observance, Christian"
peru,2002,25 Dec,Wednesday,Christmas Day,"National holiday, Christian"
peru,2002,31 Dec,Tuesday,New Year's Eve,Observance
peru,2003,1 Jan,Wednesday,New Year's Day,National holiday
peru,2003,6 Jan,Monday,The Three Wise Men Day,Observance
peru,2003,20 Mar,Thursday,March Equinox,Season
peru,2003,17 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
peru,2003,18 Apr,Friday,Good Friday,"National holiday, Christian"
peru,2003,20 Apr,Sunday,Easter Sunday,"Observance, Christian"
peru,2003,1 May,Thursday,Labor Day / May Day,National holiday
peru,2003,11 May,Sunday,Mothers' Day,Observance
peru,2003,7 Jun,Saturday,Flag Day,Observance
peru,2003,15 Jun,Sunday,Fathers' Day,Observance
peru,2003,21 Jun,Saturday,June Solstice,Season
peru,2003,24 Jun,Tuesday,Farmer Day,Observance
peru,2003,24 Jun,Tuesday,Inti Raymi Day,Observance
peru,2003,29 Jun,Sunday,St Peter and St Paul,National holiday
peru,2003,28 Jul,Monday,Independence Day,National holiday
peru,2003,6 Aug,Wednesday,Battle of Junín,Observance
peru,2003,30 Aug,Saturday,Santa Rosa De Lima,National holiday
peru,2003,23 Sep,Tuesday,September Equinox,Season
peru,2003,24 Sep,Wednesday,Armed Forces Day,Observance
peru,2003,8 Oct,Wednesday,Battle of Angamos,National holiday
peru,2003,1 Nov,Saturday,All Saints' Day,National holiday
peru,2003,2 Nov,Sunday,All Souls' Day,Observance
peru,2003,8 Dec,Monday,Feast of the Immaculate Conception,National holiday
peru,2003,22 Dec,Monday,December Solstice,Season
peru,2003,24 Dec,Wednesday,Christmas Eve,"Observance, Christian"
peru,2003,25 Dec,Thursday,Christmas Day,"National holiday, Christian"
peru,2003,31 Dec,Wednesday,New Year's Eve,Observance
peru,2004,1 Jan,Thursday,New Year's Day,National holiday
peru,2004,6 Jan,Tuesday,The Three Wise Men Day,Observance
peru,2004,20 Mar,Saturday,March Equinox,Season
peru,2004,8 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
peru,2004,9 Apr,Friday,Good Friday,"National holiday, Christian"
peru,2004,11 Apr,Sunday,Easter Sunday,"Observance, Christian"
peru,2004,1 May,Saturday,Labor Day / May Day,National holiday
peru,2004,9 May,Sunday,Mothers' Day,Observance
peru,2004,7 Jun,Monday,Flag Day,Observance
peru,2004,20 Jun,Sunday,Fathers' Day,Observance
peru,2004,20 Jun,Sunday,June Solstice,Season
peru,2004,24 Jun,Thursday,Farmer Day,Observance
peru,2004,24 Jun,Thursday,Inti Raymi Day,Observance
peru,2004,29 Jun,Tuesday,St Peter and St Paul,National holiday
peru,2004,28 Jul,Wednesday,Independence Day,National holiday
peru,2004,6 Aug,Friday,Battle of Junín,Observance
peru,2004,30 Aug,Monday,Santa Rosa De Lima,National holiday
peru,2004,22 Sep,Wednesday,September Equinox,Season
peru,2004,24 Sep,Friday,Armed Forces Day,Observance
peru,2004,8 Oct,Friday,Battle of Angamos,National holiday
peru,2004,1 Nov,Monday,All Saints' Day,National holiday
peru,2004,2 Nov,Tuesday,All Souls' Day,Observance
peru,2004,8 Dec,Wednesday,Feast of the Immaculate Conception,National holiday
peru,2004,21 Dec,Tuesday,December Solstice,Season
peru,2004,24 Dec,Friday,Christmas Eve,"Observance, Christian"
peru,2004,25 Dec,Saturday,Christmas Day,"National holiday, Christian"
peru,2004,31 Dec,Friday,New Year's Eve,Observance
peru,2005,1 Jan,Saturday,New Year's Day,National holiday
peru,2005,6 Jan,Thursday,The Three Wise Men Day,Observance
peru,2005,20 Mar,Sunday,March Equinox,Season
peru,2005,24 Mar,Thursday,Maundy Thursday,"National holiday, Christian"
peru,2005,25 Mar,Friday,Good Friday,"National holiday, Christian"
peru,2005,27 Mar,Sunday,Easter Sunday,"Observance, Christian"
peru,2005,1 May,Sunday,Labor Day / May Day,National holiday
peru,2005,8 May,Sunday,Mothers' Day,Observance
peru,2005,7 Jun,Tuesday,Flag Day,Observance
peru,2005,19 Jun,Sunday,Fathers' Day,Observance
peru,2005,21 Jun,Tuesday,June Solstice,Season
peru,2005,24 Jun,Friday,Farmer Day,Observance
peru,2005,24 Jun,Friday,Inti Raymi Day,Observance
peru,2005,29 Jun,Wednesday,St Peter and St Paul,National holiday
peru,2005,28 Jul,Thursday,Independence Day,National holiday
peru,2005,6 Aug,Saturday,Battle of Junín,Observance
peru,2005,30 Aug,Tuesday,Santa Rosa De Lima,National holiday
peru,2005,22 Sep,Thursday,September Equinox,Season
peru,2005,24 Sep,Saturday,Armed Forces Day,Observance
peru,2005,8 Oct,Saturday,Battle of Angamos,National holiday
peru,2005,1 Nov,Tuesday,All Saints' Day,National holiday
peru,2005,2 Nov,Wednesday,All Souls' Day,Observance
peru,2005,8 Dec,Thursday,Feast of the Immaculate Conception,National holiday
peru,2005,21 Dec,Wednesday,December Solstice,Season
peru,2005,24 Dec,Saturday,Christmas Eve,"Observance, Christian"
peru,2005,25 Dec,Sunday,Christmas Day,"National holiday, Christian"
peru,2005,31 Dec,Saturday,New Year's Eve,Observance
peru,2006,1 Jan,Sunday,New Year's Day,National holiday
peru,2006,6 Jan,Friday,The Three Wise Men Day,Observance
peru,2006,20 Mar,Monday,March Equinox,Season
peru,2006,13 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
peru,2006,14 Apr,Friday,Good Friday,"National holiday, Christian"
peru,2006,16 Apr,Sunday,Easter Sunday,"Observance, Christian"
peru,2006,1 May,Monday,Labor Day / May Day,National holiday
peru,2006,14 May,Sunday,Mothers' Day,Observance
peru,2006,7 Jun,Wednesday,Flag Day,Observance
peru,2006,18 Jun,Sunday,Fathers' Day,Observance
peru,2006,21 Jun,Wednesday,June Solstice,Season
peru,2006,24 Jun,Saturday,Farmer Day,Observance
peru,2006,24 Jun,Saturday,Inti Raymi Day,Observance
peru,2006,29 Jun,Thursday,St Peter and St Paul,National holiday
peru,2006,28 Jul,Friday,Independence Day,National holiday
peru,2006,6 Aug,Sunday,Battle of Junín,Observance
peru,2006,30 Aug,Wednesday,Santa Rosa De Lima,National holiday
peru,2006,22 Sep,Friday,September Equinox,Season
peru,2006,24 Sep,Sunday,Armed Forces Day,Observance
peru,2006,8 Oct,Sunday,Battle of Angamos,National holiday
peru,2006,1 Nov,Wednesday,All Saints' Day,National holiday
peru,2006,2 Nov,Thursday,All Souls' Day,Observance
peru,2006,8 Dec,Friday,Feast of the Immaculate Conception,National holiday
peru,2006,21 Dec,Thursday,December Solstice,Season
peru,2006,24 Dec,Sunday,Christmas Eve,"Observance, Christian"
peru,2006,25 Dec,Monday,Christmas Day,"National holiday, Christian"
peru,2006,31 Dec,Sunday,New Year's Eve,Observance
peru,2007,1 Jan,Monday,New Year's Day,National holiday
peru,2007,6 Jan,Saturday,The Three Wise Men Day,Observance
peru,2007,20 Mar,Tuesday,March Equinox,Season
peru,2007,5 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
peru,2007,6 Apr,Friday,Good Friday,"National holiday, Christian"
peru,2007,8 Apr,Sunday,Easter Sunday,"Observance, Christian"
peru,2007,1 May,Tuesday,Labor Day / May Day,National holiday
peru,2007,13 May,Sunday,Mothers' Day,Observance
peru,2007,7 Jun,Thursday,Flag Day,Observance
peru,2007,17 Jun,Sunday,Fathers' Day,Observance
peru,2007,21 Jun,Thursday,June Solstice,Season
peru,2007,24 Jun,Sunday,Farmer Day,Observance
peru,2007,24 Jun,Sunday,Inti Raymi Day,Observance
peru,2007,29 Jun,Friday,St Peter and St Paul,National holiday
peru,2007,28 Jul,Saturday,Independence Day,National holiday
peru,2007,6 Aug,Monday,Battle of Junín,Observance
peru,2007,30 Aug,Thursday,Santa Rosa De Lima,National holiday
peru,2007,23 Sep,Sunday,September Equinox,Season
peru,2007,24 Sep,Monday,Armed Forces Day,Observance
peru,2007,8 Oct,Monday,Battle of Angamos,National holiday
peru,2007,1 Nov,Thursday,All Saints' Day,National holiday
peru,2007,2 Nov,Friday,All Souls' Day,Observance
peru,2007,8 Dec,Saturday,Feast of the Immaculate Conception,National holiday
peru,2007,22 Dec,Saturday,December Solstice,Season
peru,2007,24 Dec,Monday,Christmas Eve,"Observance, Christian"
peru,2007,25 Dec,Tuesday,Christmas Day,"National holiday, Christian"
peru,2007,31 Dec,Monday,New Year's Eve,Observance
peru,2008,1 Jan,Tuesday,New Year's Day,National holiday
peru,2008,6 Jan,Sunday,The Three Wise Men Day,Observance
peru,2008,20 Mar,Thursday,Maundy Thursday,"National holiday, Christian"
peru,2008,20 Mar,Thursday,March Equinox,Season
peru,2008,21 Mar,Friday,Good Friday,"National holiday, Christian"
peru,2008,23 Mar,Sunday,Easter Sunday,"Observance, Christian"
peru,2008,1 May,Thursday,Labor Day / May Day,National holiday
peru,2008,11 May,Sunday,Mothers' Day,Observance
peru,2008,7 Jun,Saturday,Flag Day,Observance
peru,2008,15 Jun,Sunday,Fathers' Day,Observance
peru,2008,20 Jun,Friday,June Solstice,Season
peru,2008,24 Jun,Tuesday,Farmer Day,Observance
peru,2008,24 Jun,Tuesday,Inti Raymi Day,Observance
peru,2008,29 Jun,Sunday,St Peter and St Paul,National holiday
peru,2008,28 Jul,Monday,Independence Day,National holiday
peru,2008,6 Aug,Wednesday,Battle of Junín,Observance
peru,2008,30 Aug,Saturday,Santa Rosa De Lima,National holiday
peru,2008,22 Sep,Monday,September Equinox,Season
peru,2008,24 Sep,Wednesday,Armed Forces Day,Observance
peru,2008,8 Oct,Wednesday,Battle of Angamos,National holiday
peru,2008,1 Nov,Saturday,All Saints' Day,National holiday
peru,2008,2 Nov,Sunday,All Souls' Day,Observance
peru,2008,8 Dec,Monday,Feast of the Immaculate Conception,National holiday
peru,2008,21 Dec,Sunday,December Solstice,Season
peru,2008,24 Dec,Wednesday,Christmas Eve,"Observance, Christian"
peru,2008,25 Dec,Thursday,Christmas Day,"National holiday, Christian"
peru,2008,31 Dec,Wednesday,New Year's Eve,Observance
peru,2009,1 Jan,Thursday,New Year's Day,National holiday
peru,2009,6 Jan,Tuesday,The Three Wise Men Day,Observance
peru,2009,20 Mar,Friday,March Equinox,Season
peru,2009,9 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
peru,2009,10 Apr,Friday,Good Friday,"National holiday, Christian"
peru,2009,12 Apr,Sunday,Easter Sunday,"Observance, Christian"
peru,2009,1 May,Friday,Labor Day / May Day,National holiday
peru,2009,10 May,Sunday,Mothers' Day,Observance
peru,2009,7 Jun,Sunday,Flag Day,Observance
peru,2009,21 Jun,Sunday,Fathers' Day,Observance
peru,2009,21 Jun,Sunday,June Solstice,Season
peru,2009,24 Jun,Wednesday,Farmer Day,Observance
peru,2009,24 Jun,Wednesday,Inti Raymi Day,Observance
peru,2009,29 Jun,Monday,St Peter and St Paul,National holiday
peru,2009,28 Jul,Tuesday,Independence Day,National holiday
peru,2009,6 Aug,Thursday,Battle of Junín,Observance
peru,2009,30 Aug,Sunday,Santa Rosa De Lima,National holiday
peru,2009,22 Sep,Tuesday,September Equinox,Season
peru,2009,24 Sep,Thursday,Armed Forces Day,Observance
peru,2009,8 Oct,Thursday,Battle of Angamos,National holiday
peru,2009,1 Nov,Sunday,All Saints' Day,National holiday
peru,2009,2 Nov,Monday,All Souls' Day,Observance
peru,2009,8 Dec,Tuesday,Feast of the Immaculate Conception,National holiday
peru,2009,21 Dec,Monday,December Solstice,Season
peru,2009,24 Dec,Thursday,Christmas Eve,"Observance, Christian"
peru,2009,25 Dec,Friday,Christmas Day,"National holiday, Christian"
peru,2009,31 Dec,Thursday,New Year's Eve,Observance
peru,2010,1 Jan,Friday,New Year's Day,National holiday
peru,2010,6 Jan,Wednesday,The Three Wise Men Day,Observance
peru,2010,20 Mar,Saturday,March Equinox,Season
peru,2010,1 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
peru,2010,2 Apr,Friday,Good Friday,"National holiday, Christian"
peru,2010,4 Apr,Sunday,Easter Sunday,"Observance, Christian"
peru,2010,1 May,Saturday,Labor Day / May Day,National holiday
peru,2010,9 May,Sunday,Mothers' Day,Observance
peru,2010,7 Jun,Monday,Flag Day,Observance
peru,2010,20 Jun,Sunday,Fathers' Day,Observance
peru,2010,21 Jun,Monday,June Solstice,Season
peru,2010,24 Jun,Thursday,Farmer Day,Observance
peru,2010,24 Jun,Thursday,Inti Raymi Day,Observance
peru,2010,29 Jun,Tuesday,St Peter and St Paul,National holiday
peru,2010,28 Jul,Wednesday,Independence Day,National holiday
peru,2010,6 Aug,Friday,Battle of Junín,Observance
peru,2010,30 Aug,Monday,Santa Rosa De Lima,National holiday
peru,2010,22 Sep,Wednesday,September Equinox,Season
peru,2010,24 Sep,Friday,Armed Forces Day,Observance
peru,2010,8 Oct,Friday,Battle of Angamos,National holiday
peru,2010,1 Nov,Monday,All Saints' Day,National holiday
peru,2010,2 Nov,Tuesday,All Souls' Day,Observance
peru,2010,8 Dec,Wednesday,Feast of the Immaculate Conception,National holiday
peru,2010,21 Dec,Tuesday,December Solstice,Season
peru,2010,24 Dec,Friday,Christmas Eve,"Observance, Christian"
peru,2010,25 Dec,Saturday,Christmas Day,"National holiday, Christian"
peru,2010,31 Dec,Friday,New Year's Eve,Observance
peru,2011,1 Jan,Saturday,New Year's Day,National holiday
peru,2011,6 Jan,Thursday,The Three Wise Men Day,Observance
peru,2011,20 Mar,Sunday,March Equinox,Season
peru,2011,21 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
peru,2011,22 Apr,Friday,Good Friday,"National holiday, Christian"
peru,2011,24 Apr,Sunday,Easter Sunday,"Observance, Christian"
peru,2011,1 May,Sunday,Labor Day / May Day,National holiday
peru,2011,8 May,Sunday,Mothers' Day,Observance
peru,2011,7 Jun,Tuesday,Flag Day,Observance
peru,2011,19 Jun,Sunday,Fathers' Day,Observance
peru,2011,21 Jun,Tuesday,June Solstice,Season
peru,2011,24 Jun,Friday,Farmer Day,Observance
peru,2011,24 Jun,Friday,Inti Raymi Day,Observance
peru,2011,29 Jun,Wednesday,St Peter and St Paul,National holiday
peru,2011,28 Jul,Thursday,Independence Day,National holiday
peru,2011,6 Aug,Saturday,Battle of Junín,Observance
peru,2011,30 Aug,Tuesday,Santa Rosa De Lima,National holiday
peru,2011,23 Sep,Friday,September Equinox,Season
peru,2011,24 Sep,Saturday,Armed Forces Day,Observance
peru,2011,8 Oct,Saturday,Battle of Angamos,National holiday
peru,2011,1 Nov,Tuesday,All Saints' Day,National holiday
peru,2011,2 Nov,Wednesday,All Souls' Day,Observance
peru,2011,8 Dec,Thursday,Feast of the Immaculate Conception,National holiday
peru,2011,22 Dec,Thursday,December Solstice,Season
peru,2011,24 Dec,Saturday,Christmas Eve,"Observance, Christian"
peru,2011,25 Dec,Sunday,Christmas Day,"National holiday, Christian"
peru,2011,31 Dec,Saturday,New Year's Eve,Observance
peru,2012,1 Jan,Sunday,New Year's Day,National holiday
peru,2012,6 Jan,Friday,The Three Wise Men Day,Observance
peru,2012,20 Mar,Tuesday,March Equinox,Season
peru,2012,5 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
peru,2012,6 Apr,Friday,Good Friday,"National holiday, Christian"
peru,2012,8 Apr,Sunday,Easter Sunday,"Observance, Christian"
peru,2012,1 May,Tuesday,Labor Day / May Day,National holiday
peru,2012,13 May,Sunday,Mothers' Day,Observance
peru,2012,7 Jun,Thursday,Flag Day,Observance
peru,2012,17 Jun,Sunday,Fathers' Day,Observance
peru,2012,20 Jun,Wednesday,June Solstice,Season
peru,2012,24 Jun,Sunday,Farmer Day,Observance
peru,2012,24 Jun,Sunday,Inti Raymi Day,Observance
peru,2012,29 Jun,Friday,St Peter and St Paul,National holiday
peru,2012,28 Jul,Saturday,Independence Day,National holiday
peru,2012,6 Aug,Monday,Battle of Junín,Observance
peru,2012,30 Aug,Thursday,Santa Rosa De Lima,National holiday
peru,2012,22 Sep,Saturday,September Equinox,Season
peru,2012,24 Sep,Monday,Armed Forces Day,Observance
peru,2012,8 Oct,Monday,Battle of Angamos,National holiday
peru,2012,1 Nov,Thursday,All Saints' Day,National holiday
peru,2012,2 Nov,Friday,All Souls' Day,Observance
peru,2012,8 Dec,Saturday,Feast of the Immaculate Conception,National holiday
peru,2012,21 Dec,Friday,December Solstice,Season
peru,2012,24 Dec,Monday,Christmas Eve,"Observance, Christian"
peru,2012,25 Dec,Tuesday,Christmas Day,"National holiday, Christian"
peru,2012,31 Dec,Monday,New Year's Eve,Observance
peru,2013,1 Jan,Tuesday,New Year's Day,National holiday
peru,2013,6 Jan,Sunday,The Three Wise Men Day,Observance
peru,2013,11 Feb,Monday,Public Sector Holiday,Public Sector Holiday
peru,2013,12 Feb,Tuesday,Public Sector Holiday,Public Sector Holiday
peru,2013,20 Mar,Wednesday,March Equinox,Season
peru,2013,28 Mar,Thursday,Maundy Thursday,"National holiday, Christian"
peru,2013,29 Mar,Friday,Good Friday,"National holiday, Christian"
peru,2013,31 Mar,Sunday,Easter Sunday,"Observance, Christian"
peru,2013,1 May,Wednesday,Labor Day / May Day,National holiday
peru,2013,12 May,Sunday,Mothers' Day,Observance
peru,2013,7 Jun,Friday,Flag Day,Observance
peru,2013,16 Jun,Sunday,Fathers' Day,Observance
peru,2013,21 Jun,Friday,June Solstice,Season
peru,2013,24 Jun,Monday,Farmer Day,Observance
peru,2013,24 Jun,Monday,Inti Raymi Day,Observance
peru,2013,27 Jun,Thursday,Public Sector Holiday,Public Sector Holiday
peru,2013,28 Jun,Friday,Public Sector Holiday,Public Sector Holiday
peru,2013,29 Jun,Saturday,St Peter and St Paul,National holiday
peru,2013,28 Jul,Sunday,Independence Day,National holiday
peru,2013,29 Jul,Monday,Independence Day observed,National holiday
peru,2013,30 Jul,Tuesday,Public Sector Holiday,Public Sector Holiday
peru,2013,6 Aug,Tuesday,Battle of Junín,Observance
peru,2013,29 Aug,Thursday,Public Sector Holiday,Public Sector Holiday
peru,2013,30 Aug,Friday,Santa Rosa De Lima,National holiday
peru,2013,22 Sep,Sunday,September Equinox,Season
peru,2013,24 Sep,Tuesday,Armed Forces Day,Observance
peru,2013,8 Oct,Tuesday,Battle of Angamos,National holiday
peru,2013,1 Nov,Friday,All Saints' Day,National holiday
peru,2013,2 Nov,Saturday,All Souls' Day,Observance
peru,2013,8 Dec,Sunday,Feast of the Immaculate Conception,National holiday
peru,2013,21 Dec,Saturday,December Solstice,Season
peru,2013,24 Dec,Tuesday,Christmas Eve,"Observance, Christian"
peru,2013,25 Dec,Wednesday,Christmas Day,"National holiday, Christian"
peru,2013,26 Dec,Thursday,Public Sector Holiday,Public Sector Holiday
peru,2013,30 Dec,Monday,Public Sector Holiday,Public Sector Holiday
peru,2013,31 Dec,Tuesday,New Year's Eve,Observance
peru,2013,31 Dec,Tuesday,Public Sector Holiday,Public Sector Holiday
peru,2014,1 Jan,Wednesday,New Year's Day,National holiday
peru,2014,6 Jan,Monday,The Three Wise Men Day,Observance
peru,2014,20 Mar,Thursday,March Equinox,Season
peru,2014,17 Apr,Thursday,Maundy Thursday,"National holiday, Christian"
peru,2014,18 Apr,Friday,Good Friday,"National holiday, Christian"
peru,2014,20 Apr,Sunday,Easter Sunday,"Observance, Christian"
peru,2014,1 May,Thursday,Labor Day / May Day,National holiday
peru,2014,11 May,Sunday,Mothers' Day,Observance
peru,2014,7 Jun,Saturday,Flag Day,Observance
peru,2014,15 Jun,Sunday,Fathers' Day,Observance
peru,2014,21 Jun,Saturday,June Solstice,Season
peru,2014,24 Jun,Tuesday,Farmer Day,Observance
peru,2014,24 Jun,Tuesday,Inti Raymi Day,Observance
peru,2014,29 Jun,Sunday,St Peter and St Paul,National holiday
peru,2014,28 Jul,Monday,Independence Day,National holiday
peru,2014,29 Jul,Tuesday,Independence Day (day 2),National holiday
peru,2014,6 Aug,Wednesday,Battle of Junín,Observance
peru,2014,30 Aug,Saturday,Santa Rosa De Lima,National holiday
peru,2014,22 Sep,Monday,September Equinox,Season
peru,2014,24 Sep,Wednesday,Armed Forces Day,Observance
peru,2014,8 Oct,Wednesday,Battle of Angamos,National holiday
peru,2014,1 Nov,Saturday,All Saints' Day,National holiday
peru,2014,2 Nov,Sunday,All Souls' Day,Observance
peru,2014,8 Dec,Monday,Feast of the Immaculate Conception,National holiday
peru,2014,21 Dec,Sunday,December Solstice,Season
peru,2014,24 Dec,Wednesday,Christmas Eve,"Observance, Christian"
peru,2014,25 Dec,Thursday,Christmas Day,"National holiday, Christian"
peru,2014,31 Dec,Wednesday,New Year's Eve,Observance
