Geo,Event Year,Date,Day,Name,Type
puerto-rico,2014,1 Jan,Wednesday,New Year's Day,Public Holiday
puerto-rico,2014,6 Jan,Monday,Epiphany,Public Holiday
puerto-rico,2014,20 Jan,Monday,Martin Luther King Jr Day,Bank/Public Sector Holiday
puerto-rico,2014,14 Feb,Friday,Valentine's Day,Observance
puerto-rico,2014,17 Feb,Monday,Presidents' Day,Bank/Public Sector Holiday
puerto-rico,2014,18 Feb,Tuesday,Day in Commemoration of the Birthday of Don Luis Muñoz-Marín,Observance
puerto-rico,2014,4 Mar,Tuesday,Carnival/Shrove Tuesday,Observance
puerto-rico,2014,20 Mar,Thursday,March Equinox,Season
puerto-rico,2014,22 Mar,Saturday,Emancipation Day,Bank/Public Sector Holiday
puerto-rico,2014,16 Apr,Wednesday,José de Diego’s Birthday,Observance
puerto-rico,2014,18 Apr,Friday,Good Friday,Public Holiday
puerto-rico,2014,20 Apr,Sunday,Easter Sunday,Observance
puerto-rico,2014,11 May,Sunday,Mothers' Day,Public Holiday
puerto-rico,2014,26 May,Monday,Memorial Day,Bank/Public Sector Holiday
puerto-rico,2014,15 Jun,Sunday,Fathers' Day,Public Holiday
puerto-rico,2014,21 Jun,Saturday,June Solstice,Season
puerto-rico,2014,4 Jul,Friday,US Independence Day,Bank/Public Sector Holiday
puerto-rico,2014,21 Jul,Monday,Don Luis Muñoz Rivera’s Birthday,Bank/Public Sector Holiday
puerto-rico,2014,25 Jul,Friday,Constitution Day,Bank/Public Sector Holiday
puerto-rico,2014,27 Jul,Sunday,José Celso Barbosa’s Birthday,Observance
puerto-rico,2014,28 Jul,Monday,José Celso Barbosa’s Birthday observed,Observance
puerto-rico,2014,1 Sep,Monday,Labor Day,Bank/Public Sector Holiday
puerto-rico,2014,22 Sep,Monday,September Equinox,Season
puerto-rico,2014,13 Oct,Monday,Día de la Raza,Bank/Public Sector Holiday
puerto-rico,2014,11 Nov,Tuesday,Veterans Day,Bank/Public Sector Holiday
puerto-rico,2014,19 Nov,Wednesday,Discovery Day,Bank/Public Sector Holiday
puerto-rico,2014,27 Nov,Thursday,Thanksgiving Day,Public Holiday
puerto-rico,2014,21 Dec,Sunday,December Solstice,Season
puerto-rico,2014,24 Dec,Wednesday,Christmas Eve,Bank/Public Sector Holiday
puerto-rico,2014,25 Dec,Thursday,Christmas Day,Public Holiday
puerto-rico,2014,31 Dec,Wednesday,New Year's Eve,Observance
puerto-rico,2015,1 Jan,Thursday,New Year's Day,Public Holiday
puerto-rico,2015,6 Jan,Tuesday,Epiphany,Public Holiday
puerto-rico,2015,11 Jan,Sunday,Birthday of Eugenio María de Hostos,Observance
puerto-rico,2015,19 Jan,Monday,Martin Luther King Jr Day,Bank/Public Sector Holiday
puerto-rico,2015,14 Feb,Saturday,Valentine's Day,Observance
puerto-rico,2015,16 Feb,Monday,Presidents' Day,Bank/Public Sector Holiday
