Geo,Event Year,Date,Day,Name,Type
qatar,2005,1 Jan,Saturday,New Year's Day,Bank holiday
qatar,2005,21 Jan,Friday,Eid al-Adha (Feast of Sacrifice),Public holiday
qatar,2005,6 Mar,Sunday,March bank holiday,Bank holiday
qatar,2005,20 Mar,Sunday,March Equinox,Season
qatar,2005,21 Jun,Tuesday,June Solstice,Season
qatar,2005,3 Sep,Saturday,National Day,Public holiday
qatar,2005,23 Sep,Friday,September Equinox,Season
qatar,2005,4 Nov,Friday,Eid al-Fitr,Public holiday
qatar,2005,5 Nov,Saturday,Eid al-Fitr Holiday,Public holiday
qatar,2005,6 Nov,Sunday,Eid al-Fitr Holiday,Public holiday
qatar,2005,21 Dec,Wednesday,December Solstice,Season
qatar,2005,31 Dec,Saturday,New Year's Eve,Observance
qatar,2006,1 Jan,Sunday,New Year's Day,Bank holiday
qatar,2006,10 Jan,Tuesday,Eid al-Adha (Feast of Sacrifice),Public holiday
qatar,2006,5 Mar,Sunday,March bank holiday,Bank holiday
qatar,2006,20 Mar,Monday,March Equinox,Season
qatar,2006,21 Jun,Wednesday,June Solstice,Season
qatar,2006,3 Sep,Sunday,National Day,Public holiday
qatar,2006,23 Sep,Saturday,September Equinox,Season
qatar,2006,24 Oct,Tuesday,Eid al-Fitr,Public holiday
qatar,2006,25 Oct,Wednesday,Eid al-Fitr Holiday,Public holiday
qatar,2006,26 Oct,Thursday,Eid al-Fitr Holiday,Public holiday
qatar,2006,22 Dec,Friday,December Solstice,Season
qatar,2006,31 Dec,Sunday,New Year's Eve,Observance
qatar,2006,31 Dec,Sunday,Eid al-Adha (Feast of Sacrifice),Public holiday
qatar,2007,1 Jan,Monday,New Year's Day,Bank holiday
qatar,2007,4 Mar,Sunday,March bank holiday,Bank holiday
qatar,2007,21 Mar,Wednesday,March Equinox,Season
qatar,2007,21 Jun,Thursday,June Solstice,Season
qatar,2007,3 Sep,Monday,National Day,Public holiday
qatar,2007,23 Sep,Sunday,September Equinox,Season
qatar,2007,13 Oct,Saturday,Eid al-Fitr,Public holiday
qatar,2007,14 Oct,Sunday,Eid al-Fitr Holiday,Public holiday
qatar,2007,15 Oct,Monday,Eid al-Fitr Holiday,Public holiday
qatar,2007,20 Dec,Thursday,Eid al-Adha (Feast of Sacrifice),Public holiday
qatar,2007,22 Dec,Saturday,December Solstice,Season
qatar,2007,31 Dec,Monday,New Year's Eve,Observance
qatar,2008,1 Jan,Tuesday,New Year's Day,Bank holiday
qatar,2008,2 Mar,Sunday,March bank holiday,Bank holiday
qatar,2008,20 Mar,Thursday,March Equinox,Season
qatar,2008,21 Jun,Saturday,June Solstice,Season
qatar,2008,22 Sep,Monday,September Equinox,Season
qatar,2008,2 Oct,Thursday,Eid al-Fitr,Public holiday
qatar,2008,3 Oct,Friday,Eid al-Fitr Holiday,Public holiday
qatar,2008,4 Oct,Saturday,Eid al-Fitr Holiday,Public holiday
qatar,2008,9 Dec,Tuesday,Eid al-Adha (Feast of Sacrifice),Public holiday
qatar,2008,18 Dec,Thursday,National Day,Public holiday
qatar,2008,21 Dec,Sunday,December Solstice,Season
qatar,2008,31 Dec,Wednesday,New Year's Eve,Observance
qatar,2009,1 Jan,Thursday,New Year's Day,Bank holiday
qatar,2009,1 Mar,Sunday,March bank holiday,Bank holiday
qatar,2009,20 Mar,Friday,March Equinox,Season
qatar,2009,21 Jun,Sunday,June Solstice,Season
qatar,2009,21 Sep,Monday,Eid al-Fitr,Public holiday
qatar,2009,22 Sep,Tuesday,Eid al-Fitr Holiday,Public holiday
qatar,2009,23 Sep,Wednesday,Eid al-Fitr Holiday,Public holiday
qatar,2009,23 Sep,Wednesday,September Equinox,Season
qatar,2009,28 Nov,Saturday,Eid al-Adha (Feast of Sacrifice),Public holiday
qatar,2009,18 Dec,Friday,National Day,Public holiday
qatar,2009,21 Dec,Monday,December Solstice,Season
qatar,2009,31 Dec,Thursday,New Year's Eve,Observance
qatar,2010,1 Jan,Friday,New Year's Day,Bank holiday
qatar,2010,7 Mar,Sunday,March bank holiday,Bank holiday
qatar,2010,20 Mar,Saturday,March Equinox,Season
qatar,2010,21 Jun,Monday,June Solstice,Season
qatar,2010,10 Sep,Friday,Eid al-Fitr,Public holiday
qatar,2010,11 Sep,Saturday,Eid al-Fitr Holiday,Public holiday
qatar,2010,12 Sep,Sunday,Eid al-Fitr Holiday,Public holiday
qatar,2010,23 Sep,Thursday,September Equinox,Season
qatar,2010,15 Nov,Monday,Eid al-Adha (Feast of Sacrifice),Public holiday
qatar,2010,16 Nov,Tuesday,Eid al-Adha Holiday,Public holiday
qatar,2010,17 Nov,Wednesday,Eid al-Adha Holiday,Public holiday
qatar,2010,18 Dec,Saturday,National Day,Public holiday
qatar,2010,22 Dec,Wednesday,December Solstice,Season
qatar,2010,31 Dec,Friday,New Year's Eve,Observance
qatar,2011,1 Jan,Saturday,New Year's Day,Bank holiday
qatar,2011,6 Mar,Sunday,March bank holiday,Bank holiday
qatar,2011,21 Mar,Monday,March Equinox,Season
qatar,2011,21 Jun,Tuesday,June Solstice,Season
qatar,2011,31 Aug,Wednesday,Eid al-Fitr,Public holiday
qatar,2011,1 Sep,Thursday,Eid al-Fitr Holiday,Public holiday
qatar,2011,2 Sep,Friday,Eid al-Fitr Holiday,Public holiday
qatar,2011,23 Sep,Friday,September Equinox,Season
qatar,2011,6 Nov,Sunday,Eid al-Adha (Feast of Sacrifice),Public holiday
qatar,2011,7 Nov,Monday,Eid al-Adha Holiday,Public holiday
qatar,2011,8 Nov,Tuesday,Eid al-Adha Holiday,Public holiday
qatar,2011,18 Dec,Sunday,National Day,Public holiday
qatar,2011,22 Dec,Thursday,December Solstice,Season
qatar,2011,31 Dec,Saturday,New Year's Eve,Observance
qatar,2012,1 Jan,Sunday,New Year's Day,Bank holiday
qatar,2012,14 Feb,Tuesday,National Sports Day,Public holiday
qatar,2012,4 Mar,Sunday,March bank holiday,Bank holiday
qatar,2012,20 Mar,Tuesday,March Equinox,Season
qatar,2012,21 Jun,Thursday,June Solstice,Season
qatar,2012,19 Aug,Sunday,Eid al-Fitr,Public holiday
qatar,2012,20 Aug,Monday,Eid al-Fitr Holiday,Public holiday
qatar,2012,21 Aug,Tuesday,Eid al-Fitr Holiday,Public holiday
qatar,2012,22 Sep,Saturday,September Equinox,Season
qatar,2012,26 Oct,Friday,Eid al-Adha (Feast of Sacrifice),Public holiday
qatar,2012,18 Dec,Tuesday,National Day,Public holiday
qatar,2012,21 Dec,Friday,December Solstice,Season
qatar,2012,31 Dec,Monday,New Year's Eve,Observance
qatar,2013,1 Jan,Tuesday,New Year's Day,Bank holiday
qatar,2013,12 Feb,Tuesday,National Sports Day,Public holiday
qatar,2013,3 Mar,Sunday,March bank holiday,Bank holiday
qatar,2013,20 Mar,Wednesday,March Equinox,Season
qatar,2013,21 Jun,Friday,June Solstice,Season
qatar,2013,8 Aug,Thursday,Eid al-Fitr,Public holiday
qatar,2013,9 Aug,Friday,Eid al-Fitr Holiday,Public holiday
qatar,2013,10 Aug,Saturday,Eid al-Fitr Holiday,Public holiday
qatar,2013,22 Sep,Sunday,September Equinox,Season
qatar,2013,15 Oct,Tuesday,Eid al-Adha (Feast of Sacrifice),Public holiday
qatar,2013,18 Dec,Wednesday,National Day,Public holiday
qatar,2013,21 Dec,Saturday,December Solstice,Season
qatar,2013,31 Dec,Tuesday,New Year's Eve,Observance
qatar,2014,1 Jan,Wednesday,New Year's Day,Bank holiday
qatar,2014,11 Feb,Tuesday,National Sports Day,Public holiday
qatar,2014,2 Mar,Sunday,March bank holiday,Bank holiday
qatar,2014,20 Mar,Thursday,March Equinox,Season
qatar,2014,21 Jun,Saturday,June Solstice,Season
qatar,2014,28 Jul,Monday,Eid al-Fitr,Public holiday
qatar,2014,29 Jul,Tuesday,Eid al-Fitr Holiday,Public holiday
qatar,2014,30 Jul,Wednesday,Eid al-Fitr Holiday,Public holiday
qatar,2014,23 Sep,Tuesday,September Equinox,Season
qatar,2014,3 Oct,Friday,Eid al-Adha Holiday,Public holiday
qatar,2014,4 Oct,Saturday,Eid al-Adha (Feast of Sacrifice),Public holiday
qatar,2014,5 Oct,Sunday,Eid al-Adha Holiday,Public holiday
qatar,2014,6 Oct,Monday,Eid al-Adha Holiday,Public holiday
qatar,2014,7 Oct,Tuesday,Eid al-Adha Holiday,Public holiday
qatar,2014,8 Oct,Wednesday,Eid al-Adha Holiday,Bank holiday
qatar,2014,9 Oct,Thursday,Eid al-Adha Holiday,Bank holiday
qatar,2014,10 Oct,Friday,Eid al-Adha Holiday,Bank holiday
qatar,2014,11 Oct,Saturday,Eid al-Adha Holiday,Bank holiday
qatar,2014,18 Dec,Thursday,National Day,Public holiday
qatar,2014,22 Dec,Monday,December Solstice,Season
qatar,2014,31 Dec,Wednesday,New Year's Eve,Observance
qatar,2015,1 Jan,Thursday,New Year's Day,Bank holiday
qatar,2015,10 Feb,Tuesday,National Sports Day,Public holiday
qatar,2015,1 Mar,Sunday,March bank holiday,Bank holiday
qatar,2015,21 Mar,Saturday,March Equinox,Season
qatar,2015,21 Jun,Sunday,June Solstice,Season
qatar,2015,15 Jul,Wednesday,Eid al-Fitr Holiday,Public Sector Holiday
qatar,2015,16 Jul,Thursday,Eid al-Fitr Holiday,Public Sector Holiday
qatar,2015,17 Jul,Friday,Eid al-Fitr Holiday,Public Sector Holiday
qatar,2015,18 Jul,Saturday,Eid al-Fitr,Public holiday
qatar,2015,19 Jul,Sunday,Eid al-Fitr Holiday,Public holiday
qatar,2015,20 Jul,Monday,Eid al-Fitr Holiday,Public holiday
qatar,2015,21 Jul,Tuesday,Eid al-Fitr Holiday,Public Sector Holiday
qatar,2015,22 Jul,Wednesday,Eid al-Fitr Holiday,Public Sector Holiday
qatar,2015,23 Jul,Thursday,Eid al-Fitr Holiday,Public Sector Holiday
qatar,2015,24 Jul,Friday,Eid al-Fitr Holiday,Public Sector Holiday
qatar,2015,25 Jul,Saturday,Eid al-Fitr Holiday,Public Sector Holiday
qatar,2015,23 Sep,Wednesday,Eid al-Adha (Feast of Sacrifice),Public holiday
qatar,2015,23 Sep,Wednesday,September Equinox,Season
qatar,2015,24 Sep,Thursday,Eid al-Adha Holiday,Public holiday
qatar,2015,25 Sep,Friday,Eid al-Adha Holiday,Public holiday
qatar,2015,26 Sep,Saturday,Eid al-Adha Holiday,Public holiday
qatar,2015,27 Sep,Sunday,Eid al-Adha Holiday,Public holiday
qatar,2015,28 Sep,Monday,Eid al-Adha Holiday,Bank holiday
qatar,2015,29 Sep,Tuesday,Eid al-Adha Holiday,Bank holiday
qatar,2015,18 Dec,Friday,National Day,Public holiday
qatar,2015,20 Dec,Sunday,National Day observed,Public holiday
qatar,2015,22 Dec,Tuesday,December Solstice,Season
qatar,2015,31 Dec,Thursday,New Year's Eve,Observance
qatar,2016,1 Jan,Friday,New Year's Day,Bank holiday
qatar,2016,9 Feb,Tuesday,National Sports Day,Public holiday
qatar,2016,6 Mar,Sunday,March bank holiday,Bank holiday
qatar,2016,20 Mar,Sunday,March Equinox,Season
qatar,2016,21 Jun,Tuesday,June Solstice,Season
qatar,2016,6 Jul,Wednesday,Eid al-Fitr,Public holiday
qatar,2016,7 Jul,Thursday,Eid al-Fitr Holiday,Public holiday
qatar,2016,8 Jul,Friday,Eid al-Fitr Holiday,Public holiday
qatar,2016,9 Sep,Friday,Eid al-Adha Holiday,Public holiday
qatar,2016,10 Sep,Saturday,Eid al-Adha (Feast of Sacrifice),Public holiday
qatar,2016,11 Sep,Sunday,Eid al-Adha Holiday,Public holiday
qatar,2016,12 Sep,Monday,Eid al-Adha Holiday,Public holiday
qatar,2016,13 Sep,Tuesday,Eid al-Adha Holiday,Public holiday
qatar,2016,14 Sep,Wednesday,Eid al-Adha Holiday,Bank holiday
qatar,2016,15 Sep,Thursday,Eid al-Adha Holiday,Bank holiday
qatar,2016,16 Sep,Friday,Eid al-Adha Holiday,Bank holiday
qatar,2016,17 Sep,Saturday,Eid al-Adha Holiday,Bank holiday
qatar,2016,22 Sep,Thursday,September Equinox,Season
qatar,2016,18 Dec,Sunday,National Day,Public holiday
qatar,2016,21 Dec,Wednesday,December Solstice,Season
qatar,2016,31 Dec,Saturday,New Year's Eve,Observance
qatar,2017,1 Jan,Sunday,New Year's Day,Bank holiday
qatar,2017,14 Feb,Tuesday,National Sports Day,Public holiday
qatar,2017,5 Mar,Sunday,March bank holiday,Bank holiday
qatar,2017,20 Mar,Monday,March Equinox,Season
qatar,2017,21 Jun,Wednesday,June Solstice,Season
qatar,2017,25 Jun,Sunday,Eid al-Fitr,Public holiday
qatar,2017,26 Jun,Monday,Eid al-Fitr Holiday,Public holiday
qatar,2017,26 Jun,Monday,Eid al-Fitr Holiday,Public holiday
qatar,2017,31 Aug,Thursday,Eid al-Adha (Feast of Sacrifice),Public holiday
qatar,2017,1 Sep,Friday,Eid al-Adha Holiday,Public holiday
qatar,2017,2 Sep,Saturday,Eid al-Adha Holiday,Public holiday
qatar,2017,22 Sep,Friday,September Equinox,Season
qatar,2017,18 Dec,Monday,National Day,Public holiday
