Geo,Event Year,Date,Day,Name,Type
republic-of-the-congo,2015,1 Jan,Thursday,New Year,Public Holiday
republic-of-the-congo,2015,20 Mar,Friday,March Equinox,Season
republic-of-the-congo,2015,5 Apr,Sunday,Easter Sunday,Observance
republic-of-the-congo,2015,6 Apr,Monday,Easter Monday,Public Holiday
republic-of-the-congo,2015,1 May,Friday,Labour Day,Public Holiday
republic-of-the-congo,2015,10 May,Sunday,Mother's Day,Observance
republic-of-the-congo,2015,14 May,Thursday,Ascension Day,Public Holiday
republic-of-the-congo,2015,25 May,Monday,Whit Monday,Public Holiday
republic-of-the-congo,2015,10 Jun,Wednesday,Reconciliation Day,Public Holiday
republic-of-the-congo,2015,21 Jun,Sunday,Father's Day,Observance
republic-of-the-congo,2015,21 Jun,Sunday,June Solstice,Season
republic-of-the-congo,2015,15 Aug,Saturday,Independence Day,Public Holiday
republic-of-the-congo,2015,23 Sep,Wednesday,September Equinox,Season
republic-of-the-congo,2015,1 Nov,Sunday,All Saints' Day,Public Holiday
republic-of-the-congo,2015,28 Nov,Saturday,Republic Day,Public Holiday
republic-of-the-congo,2015,22 Dec,Tuesday,December Solstice,Season
republic-of-the-congo,2015,25 Dec,Friday,Christmas Day,Public Holiday
republic-of-the-congo,2016,1 Jan,Friday,New Year,Public Holiday
republic-of-the-congo,2016,20 Mar,Sunday,March Equinox,Season
republic-of-the-congo,2016,27 Mar,Sunday,Easter Sunday,Observance
republic-of-the-congo,2016,28 Mar,Monday,Easter Monday,Public Holiday
republic-of-the-congo,2016,1 May,Sunday,Labour Day,Public Holiday
republic-of-the-congo,2016,5 May,Thursday,Ascension Day,Public Holiday
republic-of-the-congo,2016,8 May,Sunday,Mother's Day,Observance
republic-of-the-congo,2016,16 May,Monday,Whit Monday,Public Holiday
republic-of-the-congo,2016,10 Jun,Friday,Reconciliation Day,Public Holiday
republic-of-the-congo,2016,19 Jun,Sunday,Father's Day,Observance
republic-of-the-congo,2016,20 Jun,Monday,June Solstice,Season
republic-of-the-congo,2016,15 Aug,Monday,Independence Day,Public Holiday
republic-of-the-congo,2016,22 Sep,Thursday,September Equinox,Season
republic-of-the-congo,2016,1 Nov,Tuesday,All Saints' Day,Public Holiday
republic-of-the-congo,2016,28 Nov,Monday,Republic Day,Public Holiday
republic-of-the-congo,2016,21 Dec,Wednesday,December Solstice,Season
republic-of-the-congo,2016,25 Dec,Sunday,Christmas Day,Public Holiday
republic-of-the-congo,2017,1 Jan,Sunday,New Year,Public Holiday
republic-of-the-congo,2017,20 Mar,Monday,March Equinox,Season
republic-of-the-congo,2017,16 Apr,Sunday,Easter Sunday,Observance
republic-of-the-congo,2017,17 Apr,Monday,Easter Monday,Public Holiday
republic-of-the-congo,2017,1 May,Monday,Labour Day,Public Holiday
republic-of-the-congo,2017,14 May,Sunday,Mother's Day,Observance
republic-of-the-congo,2017,25 May,Thursday,Ascension Day,Public Holiday
republic-of-the-congo,2017,5 Jun,Monday,Whit Monday,Public Holiday
republic-of-the-congo,2017,10 Jun,Saturday,Reconciliation Day,Public Holiday
republic-of-the-congo,2017,18 Jun,Sunday,Father's Day,Observance
republic-of-the-congo,2017,21 Jun,Wednesday,June Solstice,Season
republic-of-the-congo,2017,15 Aug,Tuesday,Independence Day,Public Holiday
republic-of-the-congo,2017,22 Sep,Friday,September Equinox,Season
republic-of-the-congo,2017,1 Nov,Wednesday,All Saints' Day,Public Holiday
republic-of-the-congo,2017,28 Nov,Tuesday,Republic Day,Public Holiday
republic-of-the-congo,2017,21 Dec,Thursday,December Solstice,Season
republic-of-the-congo,2017,25 Dec,Monday,Christmas Day,Public Holiday
republic-of-the-congo,2018,1 Jan,Monday,New Year,Public Holiday
republic-of-the-congo,2018,20 Mar,Tuesday,March Equinox,Season
republic-of-the-congo,2018,1 Apr,Sunday,Easter Sunday,Observance
republic-of-the-congo,2018,2 Apr,Monday,Easter Monday,Public Holiday
republic-of-the-congo,2018,1 May,Tuesday,Labour Day,Public Holiday
republic-of-the-congo,2018,10 May,Thursday,Ascension Day,Public Holiday
republic-of-the-congo,2018,13 May,Sunday,Mother's Day,Observance
republic-of-the-congo,2018,21 May,Monday,Whit Monday,Public Holiday
republic-of-the-congo,2018,10 Jun,Sunday,Reconciliation Day,Public Holiday
republic-of-the-congo,2018,17 Jun,Sunday,Father's Day,Observance
republic-of-the-congo,2018,21 Jun,Thursday,June Solstice,Season
republic-of-the-congo,2018,15 Aug,Wednesday,Independence Day,Public Holiday
republic-of-the-congo,2018,23 Sep,Sunday,September Equinox,Season
republic-of-the-congo,2018,1 Nov,Thursday,All Saints' Day,Public Holiday
republic-of-the-congo,2018,28 Nov,Wednesday,Republic Day,Public Holiday
republic-of-the-congo,2018,21 Dec,Friday,December Solstice,Season
republic-of-the-congo,2018,25 Dec,Tuesday,Christmas Day,Public Holiday
republic-of-the-congo,2019,1 Jan,Tuesday,New Year,Public Holiday
republic-of-the-congo,2019,20 Mar,Wednesday,March Equinox,Season
republic-of-the-congo,2019,21 Apr,Sunday,Easter Sunday,Observance
republic-of-the-congo,2019,22 Apr,Monday,Easter Monday,Public Holiday
republic-of-the-congo,2019,1 May,Wednesday,Labour Day,Public Holiday
republic-of-the-congo,2019,12 May,Sunday,Mother's Day,Observance
republic-of-the-congo,2019,30 May,Thursday,Ascension Day,Public Holiday
republic-of-the-congo,2019,10 Jun,Monday,Whit Monday,Public Holiday
republic-of-the-congo,2019,10 Jun,Monday,Reconciliation Day,Public Holiday
republic-of-the-congo,2019,16 Jun,Sunday,Father's Day,Observance
republic-of-the-congo,2019,21 Jun,Friday,June Solstice,Season
republic-of-the-congo,2019,15 Aug,Thursday,Independence Day,Public Holiday
republic-of-the-congo,2019,23 Sep,Monday,September Equinox,Season
republic-of-the-congo,2019,1 Nov,Friday,All Saints' Day,Public Holiday
republic-of-the-congo,2019,28 Nov,Thursday,Republic Day,Public Holiday
republic-of-the-congo,2019,22 Dec,Sunday,December Solstice,Season
republic-of-the-congo,2019,25 Dec,Wednesday,Christmas Day,Public Holiday
republic-of-the-congo,2020,1 Jan,Wednesday,New Year,Public Holiday
republic-of-the-congo,2020,20 Mar,Friday,March Equinox,Season
republic-of-the-congo,2020,12 Apr,Sunday,Easter Sunday,Observance
republic-of-the-congo,2020,13 Apr,Monday,Easter Monday,Public Holiday
republic-of-the-congo,2020,1 May,Friday,Labour Day,Public Holiday
republic-of-the-congo,2020,10 May,Sunday,Mother's Day,Observance
republic-of-the-congo,2020,21 May,Thursday,Ascension Day,Public Holiday
republic-of-the-congo,2020,1 Jun,Monday,Whit Monday,Public Holiday
republic-of-the-congo,2020,10 Jun,Wednesday,Reconciliation Day,Public Holiday
republic-of-the-congo,2020,20 Jun,Saturday,June Solstice,Season
republic-of-the-congo,2020,21 Jun,Sunday,Father's Day,Observance
republic-of-the-congo,2020,15 Aug,Saturday,Independence Day,Public Holiday
republic-of-the-congo,2020,22 Sep,Tuesday,September Equinox,Season
republic-of-the-congo,2020,1 Nov,Sunday,All Saints' Day,Public Holiday
republic-of-the-congo,2020,28 Nov,Saturday,Republic Day,Public Holiday
republic-of-the-congo,2020,21 Dec,Monday,December Solstice,Season
republic-of-the-congo,2020,25 Dec,Friday,Christmas Day,Public Holiday
republic-of-the-congo,2021,1 Jan,Friday,New Year,Public Holiday
republic-of-the-congo,2021,20 Mar,Saturday,March Equinox,Season
republic-of-the-congo,2021,4 Apr,Sunday,Easter Sunday,Observance
republic-of-the-congo,2021,5 Apr,Monday,Easter Monday,Public Holiday
republic-of-the-congo,2021,1 May,Saturday,Labour Day,Public Holiday
republic-of-the-congo,2021,9 May,Sunday,Mother's Day,Observance
republic-of-the-congo,2021,13 May,Thursday,Ascension Day,Public Holiday
republic-of-the-congo,2021,14 May,Friday,Bridge Public Holiday,Public Holiday
republic-of-the-congo,2021,24 May,Monday,Whit Monday,Public Holiday
republic-of-the-congo,2021,10 Jun,Thursday,Reconciliation Day,Public Holiday
republic-of-the-congo,2021,20 Jun,Sunday,Father's Day,Observance
republic-of-the-congo,2021,21 Jun,Monday,June Solstice,Season
republic-of-the-congo,2021,15 Aug,Sunday,Independence Day,Public Holiday
republic-of-the-congo,2021,22 Sep,Wednesday,September Equinox,Season
