Geo,Event Year,Date,Day,Name,Type
saint-barthelemy,2007,1 Jan,Monday,New Year's Day,Public Holiday
saint-barthelemy,2007,19 Feb,Monday,Carnival / Shrove Monday,Observance
saint-barthelemy,2007,20 Feb,Tuesday,Carnival / Shrove Tuesday,Observance
saint-barthelemy,2007,21 Feb,Wednesday,Carnival / Ash Wednesday,Observance
saint-barthelemy,2007,20 Mar,Tuesday,March Equinox,Season
saint-barthelemy,2007,6 Apr,Friday,Good Friday,Observance
saint-barthelemy,2007,8 Apr,Sunday,Easter Sunday,Observance
saint-barthelemy,2007,9 Apr,Monday,Easter Monday,Public Holiday
saint-barthelemy,2007,1 May,Tuesday,Labor Day / May Day,Public Holiday
saint-barthelemy,2007,8 May,Tuesday,Victory Day,Public Holiday
saint-barthelemy,2007,17 May,Thursday,Ascension Day,Public Holiday
saint-barthelemy,2007,28 May,Monday,Whit Monday,Public Holiday
saint-barthelemy,2007,21 Jun,Thursday,June Solstice,Season
saint-barthelemy,2007,14 Jul,Saturday,French National Day,Public Holiday
saint-barthelemy,2007,15 Aug,Wednesday,Assumption of Mary,Public Holiday
saint-barthelemy,2007,23 Sep,Sunday,September Equinox,Season
saint-barthelemy,2007,9 Oct,Tuesday,Abolition Day,Public Holiday
saint-barthelemy,2007,1 Nov,Thursday,All Saints' Day,Public Holiday
saint-barthelemy,2007,11 Nov,Sunday,Armistice Day,Public Holiday
saint-barthelemy,2007,22 Dec,Saturday,December Solstice,Season
saint-barthelemy,2007,25 Dec,Tuesday,Christmas Day,Public Holiday
saint-barthelemy,2007,26 Dec,Wednesday,Boxing Day,Observance
saint-barthelemy,2008,1 Jan,Tuesday,New Year's Day,Public Holiday
saint-barthelemy,2008,4 Feb,Monday,Carnival / Shrove Monday,Observance
saint-barthelemy,2008,5 Feb,Tuesday,Carnival / Shrove Tuesday,Observance
saint-barthelemy,2008,6 Feb,Wednesday,Carnival / Ash Wednesday,Observance
saint-barthelemy,2008,20 Mar,Thursday,March Equinox,Season
saint-barthelemy,2008,21 Mar,Friday,Good Friday,Observance
saint-barthelemy,2008,23 Mar,Sunday,Easter Sunday,Observance
saint-barthelemy,2008,24 Mar,Monday,Easter Monday,Public Holiday
saint-barthelemy,2008,1 May,Thursday,Ascension Day,Public Holiday
saint-barthelemy,2008,1 May,Thursday,Labor Day / May Day,Public Holiday
saint-barthelemy,2008,8 May,Thursday,Victory Day,Public Holiday
saint-barthelemy,2008,12 May,Monday,Whit Monday,Public Holiday
saint-barthelemy,2008,20 Jun,Friday,June Solstice,Season
saint-barthelemy,2008,14 Jul,Monday,French National Day,Public Holiday
saint-barthelemy,2008,15 Aug,Friday,Assumption of Mary,Public Holiday
saint-barthelemy,2008,22 Sep,Monday,September Equinox,Season
saint-barthelemy,2008,9 Oct,Thursday,Abolition Day,Public Holiday
saint-barthelemy,2008,1 Nov,Saturday,All Saints' Day,Public Holiday
saint-barthelemy,2008,11 Nov,Tuesday,Armistice Day,Public Holiday
saint-barthelemy,2008,21 Dec,Sunday,December Solstice,Season
saint-barthelemy,2008,25 Dec,Thursday,Christmas Day,Public Holiday
saint-barthelemy,2008,26 Dec,Friday,Boxing Day,Observance
saint-barthelemy,2009,1 Jan,Thursday,New Year's Day,Public Holiday
saint-barthelemy,2009,23 Feb,Monday,Carnival / Shrove Monday,Observance
saint-barthelemy,2009,24 Feb,Tuesday,Carnival / Shrove Tuesday,Observance
saint-barthelemy,2009,25 Feb,Wednesday,Carnival / Ash Wednesday,Observance
saint-barthelemy,2009,20 Mar,Friday,March Equinox,Season
saint-barthelemy,2009,10 Apr,Friday,Good Friday,Observance
saint-barthelemy,2009,12 Apr,Sunday,Easter Sunday,Observance
saint-barthelemy,2009,13 Apr,Monday,Easter Monday,Public Holiday
saint-barthelemy,2009,1 May,Friday,Labor Day / May Day,Public Holiday
saint-barthelemy,2009,8 May,Friday,Victory Day,Public Holiday
saint-barthelemy,2009,21 May,Thursday,Ascension Day,Public Holiday
saint-barthelemy,2009,1 Jun,Monday,Whit Monday,Public Holiday
saint-barthelemy,2009,21 Jun,Sunday,June Solstice,Season
saint-barthelemy,2009,14 Jul,Tuesday,French National Day,Public Holiday
saint-barthelemy,2009,15 Aug,Saturday,Assumption of Mary,Public Holiday
saint-barthelemy,2009,22 Sep,Tuesday,September Equinox,Season
saint-barthelemy,2009,9 Oct,Friday,Abolition Day,Public Holiday
saint-barthelemy,2009,1 Nov,Sunday,All Saints' Day,Public Holiday
saint-barthelemy,2009,11 Nov,Wednesday,Armistice Day,Public Holiday
saint-barthelemy,2009,21 Dec,Monday,December Solstice,Season
saint-barthelemy,2009,25 Dec,Friday,Christmas Day,Public Holiday
saint-barthelemy,2009,26 Dec,Saturday,Boxing Day,Observance
saint-barthelemy,2010,1 Jan,Friday,New Year's Day,Public Holiday
saint-barthelemy,2010,15 Feb,Monday,Carnival / Shrove Monday,Observance
saint-barthelemy,2010,16 Feb,Tuesday,Carnival / Shrove Tuesday,Observance
saint-barthelemy,2010,17 Feb,Wednesday,Carnival / Ash Wednesday,Observance
saint-barthelemy,2010,20 Mar,Saturday,March Equinox,Season
saint-barthelemy,2010,2 Apr,Friday,Good Friday,Observance
saint-barthelemy,2010,4 Apr,Sunday,Easter Sunday,Observance
saint-barthelemy,2010,5 Apr,Monday,Easter Monday,Public Holiday
saint-barthelemy,2010,1 May,Saturday,Labor Day / May Day,Public Holiday
saint-barthelemy,2010,8 May,Saturday,Victory Day,Public Holiday
saint-barthelemy,2010,13 May,Thursday,Ascension Day,Public Holiday
saint-barthelemy,2010,24 May,Monday,Whit Monday,Public Holiday
