Geo,Event Year,Date,Day,Name,Type
saint-helena,2015,1 Jan,Thursday,New Year,Public Holiday
saint-helena,2015,20 Mar,Friday,March Equinox,Season
saint-helena,2015,3 Apr,Friday,Good Friday,Public Holiday
saint-helena,2015,5 Apr,Sunday,Easter Sunday,Observance
saint-helena,2015,6 Apr,Monday,Easter Monday,Public Holiday
saint-helena,2015,21 May,Thursday,Saint Helena Day,Public Holiday
saint-helena,2015,25 May,Monday,Whit Monday,Public Holiday
saint-helena,2015,15 Jun,Monday,Queen Elizabeth II's Birthday,Public Holiday
saint-helena,2015,21 Jun,Sunday,June Solstice,Season
saint-helena,2015,31 Aug,Monday,August Bank Holiday,Public Holiday
saint-helena,2015,23 Sep,Wednesday,September Equinox,Season
saint-helena,2015,22 Dec,Tuesday,December Solstice,Season
saint-helena,2015,25 Dec,Friday,Christmas Day,Public Holiday
saint-helena,2015,26 Dec,Saturday,Boxing Day,Public Holiday
saint-helena,2015,28 Dec,Monday,Day off for Boxing Day,Public Holiday
saint-helena,2016,1 Jan,Friday,New Year,Public Holiday
saint-helena,2016,20 Mar,Sunday,March Equinox,Season
saint-helena,2016,25 Mar,Friday,Good Friday,Public Holiday
saint-helena,2016,27 Mar,Sunday,Easter Sunday,Observance
saint-helena,2016,28 Mar,Monday,Easter Monday,Public Holiday
saint-helena,2016,16 May,Monday,Whit Monday,Public Holiday
saint-helena,2016,21 May,Saturday,Saint Helena Day,Public Holiday
saint-helena,2016,20 Jun,Monday,Queen Elizabeth II's Birthday,Public Holiday
saint-helena,2016,20 Jun,Monday,June Solstice,Season
saint-helena,2016,29 Aug,Monday,August Bank Holiday,Public Holiday
saint-helena,2016,22 Sep,Thursday,September Equinox,Season
saint-helena,2016,21 Dec,Wednesday,December Solstice,Season
saint-helena,2016,25 Dec,Sunday,Christmas Day,Public Holiday
saint-helena,2016,26 Dec,Monday,Boxing Day,Public Holiday
saint-helena,2016,27 Dec,Tuesday,Day off for Christmas Day,Public Holiday
saint-helena,2017,1 Jan,Sunday,New Year,Public Holiday
saint-helena,2017,20 Mar,Monday,March Equinox,Season
saint-helena,2017,14 Apr,Friday,Good Friday,Public Holiday
saint-helena,2017,16 Apr,Sunday,Easter Sunday,Observance
saint-helena,2017,17 Apr,Monday,Easter Monday,Public Holiday
saint-helena,2017,21 May,Sunday,Saint Helena Day,Public Holiday
saint-helena,2017,26 May,Friday,Ratting Day (Tristan da Cunha),Public Holiday
saint-helena,2017,5 Jun,Monday,Whit Monday,Public Holiday
saint-helena,2017,19 Jun,Monday,Queen Elizabeth II's Birthday,Public Holiday
saint-helena,2017,21 Jun,Wednesday,June Solstice,Season
saint-helena,2017,28 Aug,Monday,August Bank Holiday,Public Holiday
saint-helena,2017,22 Sep,Friday,September Equinox,Season
saint-helena,2017,21 Dec,Thursday,December Solstice,Season
saint-helena,2017,25 Dec,Monday,Christmas Day,Public Holiday
saint-helena,2017,26 Dec,Tuesday,Boxing Day,Public Holiday
saint-helena,2018,1 Jan,Monday,New Year,Public Holiday
saint-helena,2018,20 Mar,Tuesday,March Equinox,Season
saint-helena,2018,30 Mar,Friday,Good Friday,Public Holiday
saint-helena,2018,1 Apr,Sunday,Easter Sunday,Observance
saint-helena,2018,2 Apr,Monday,Easter Monday,Public Holiday
saint-helena,2018,21 May,Monday,Whit Monday,Public Holiday
saint-helena,2018,21 May,Monday,Saint Helena Day,Public Holiday
saint-helena,2018,18 Jun,Monday,Queen Elizabeth II's Birthday,Public Holiday
saint-helena,2018,21 Jun,Thursday,June Solstice,Season
saint-helena,2018,27 Aug,Monday,August Bank Holiday,Public Holiday
saint-helena,2018,23 Sep,Sunday,September Equinox,Season
saint-helena,2018,21 Dec,Friday,December Solstice,Season
saint-helena,2018,25 Dec,Tuesday,Christmas Day,Public Holiday
