Geo,Event Year,Date,Day,Name,Type
saint-martin,2010,1 Jan,Friday,New Year's Day,Public Holiday
saint-martin,2010,20 Mar,Saturday,March Equinox,Season
saint-martin,2010,2 Apr,Friday,Good Friday,Bank holiday
saint-martin,2010,4 Apr,Sunday,Easter Day,Observance
saint-martin,2010,5 Apr,Monday,Easter Monday,Public Holiday
saint-martin,2010,1 May,Saturday,Labor Day / May Day,Public Holiday
saint-martin,2010,8 May,Saturday,1945 Victory Day,Public Holiday
saint-martin,2010,13 May,Thursday,Ascension Day,Public Holiday
saint-martin,2010,23 May,Sunday,Whit Sunday,Observance
saint-martin,2010,24 May,Monday,Whit Monday,Public Holiday
saint-martin,2010,21 Jun,Monday,June Solstice,Season
saint-martin,2010,14 Jul,Wednesday,French National Day,Public Holiday
saint-martin,2010,15 Aug,Sunday,Assumption of Mary,Public Holiday
saint-martin,2010,22 Sep,Wednesday,September Equinox,Season
saint-martin,2010,1 Nov,Monday,All Saints' Day,Public Holiday
saint-martin,2010,11 Nov,Thursday,Saint Martin's Day,Public Holiday
saint-martin,2010,21 Dec,Tuesday,December Solstice,Season
saint-martin,2010,25 Dec,Saturday,Christmas Day,Public Holiday
saint-martin,2010,26 Dec,Sunday,Boxing Day,Observance
saint-martin,2010,31 Dec,Friday,New Year's Eve,Observance
saint-martin,2011,1 Jan,Saturday,New Year's Day,Public Holiday
saint-martin,2011,20 Mar,Sunday,March Equinox,Season
saint-martin,2011,22 Apr,Friday,Good Friday,Bank holiday
saint-martin,2011,24 Apr,Sunday,Easter Day,Observance
saint-martin,2011,25 Apr,Monday,Easter Monday,Public Holiday
saint-martin,2011,1 May,Sunday,Labor Day / May Day,Public Holiday
saint-martin,2011,8 May,Sunday,1945 Victory Day,Public Holiday
saint-martin,2011,2 Jun,Thursday,Ascension Day,Public Holiday
saint-martin,2011,12 Jun,Sunday,Whit Sunday,Observance
saint-martin,2011,13 Jun,Monday,Whit Monday,Public Holiday
saint-martin,2011,21 Jun,Tuesday,June Solstice,Season
saint-martin,2011,14 Jul,Thursday,French National Day,Public Holiday
saint-martin,2011,15 Aug,Monday,Assumption of Mary,Public Holiday
saint-martin,2011,23 Sep,Friday,September Equinox,Season
saint-martin,2011,1 Nov,Tuesday,All Saints' Day,Public Holiday
saint-martin,2011,11 Nov,Friday,Saint Martin's Day,Public Holiday
saint-martin,2011,22 Dec,Thursday,December Solstice,Season
saint-martin,2011,25 Dec,Sunday,Christmas Day,Public Holiday
saint-martin,2011,26 Dec,Monday,Boxing Day,Observance
saint-martin,2011,31 Dec,Saturday,New Year's Eve,Observance
saint-martin,2012,1 Jan,Sunday,New Year's Day,Public Holiday
saint-martin,2012,20 Mar,Tuesday,March Equinox,Season
saint-martin,2012,6 Apr,Friday,Good Friday,Bank holiday
saint-martin,2012,8 Apr,Sunday,Easter Day,Observance
saint-martin,2012,9 Apr,Monday,Easter Monday,Public Holiday
saint-martin,2012,1 May,Tuesday,Labor Day / May Day,Public Holiday
saint-martin,2012,8 May,Tuesday,1945 Victory Day,Public Holiday
saint-martin,2012,17 May,Thursday,Ascension Day,Public Holiday
saint-martin,2012,27 May,Sunday,Whit Sunday,Observance
saint-martin,2012,27 May,Sunday,Abolition Day,Public Holiday
saint-martin,2012,28 May,Monday,Whit Monday,Public Holiday
