Geo,Event Year,Date,Day,Name,Type
samoa,2000,1 Jan,Saturday,New Year's Day,Public Holiday
samoa,2000,2 Jan,Sunday,Day After New Year's Day,Public Holiday
samoa,2000,3 Jan,Monday,Day off for Day After New Year's Day,Public Holiday
samoa,2000,19 Mar,Sunday,March Equinox,Season
samoa,2000,21 Apr,Friday,Good Friday,Public Holiday
samoa,2000,22 Apr,Saturday,Day After Good Friday,Public Holiday
samoa,2000,24 Apr,Monday,Easter Monday,Public Holiday
samoa,2000,15 May,Monday,Mother's Day,Public Holiday
samoa,2000,1 Jun,Thursday,Independence Day,Public Holiday
samoa,2000,20 Jun,Tuesday,June Solstice,Season
samoa,2000,14 Aug,Monday,Father's Day,Public Holiday
samoa,2000,22 Sep,Friday,September Equinox,Season
samoa,2000,9 Oct,Monday,Lotu a Tamaiti,Public Holiday
samoa,2000,21 Dec,Thursday,December Solstice,Season
samoa,2000,25 Dec,Monday,Christmas Day,Public Holiday
samoa,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
samoa,2001,1 Jan,Monday,New Year's Day,Public Holiday
samoa,2001,2 Jan,Tuesday,Day After New Year's Day,Public Holiday
samoa,2001,20 Mar,Tuesday,March Equinox,Season
samoa,2001,13 Apr,Friday,Good Friday,Public Holiday
samoa,2001,14 Apr,Saturday,Day After Good Friday,Public Holiday
samoa,2001,16 Apr,Monday,Easter Monday,Public Holiday
samoa,2001,14 May,Monday,Mother's Day,Public Holiday
samoa,2001,1 Jun,Friday,Independence Day,Public Holiday
samoa,2001,20 Jun,Wednesday,June Solstice,Season
samoa,2001,13 Aug,Monday,Father's Day,Public Holiday
samoa,2001,22 Sep,Saturday,September Equinox,Season
samoa,2001,15 Oct,Monday,Lotu a Tamaiti,Public Holiday
samoa,2001,21 Dec,Friday,December Solstice,Season
samoa,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
samoa,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
samoa,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
samoa,2002,2 Jan,Wednesday,Day After New Year's Day,Public Holiday
samoa,2002,20 Mar,Wednesday,March Equinox,Season
samoa,2002,29 Mar,Friday,Good Friday,Public Holiday
samoa,2002,30 Mar,Saturday,Day After Good Friday,Public Holiday
samoa,2002,1 Apr,Monday,Easter Monday,Public Holiday
samoa,2002,13 May,Monday,Mother's Day,Public Holiday
samoa,2002,1 Jun,Saturday,Independence Day,Public Holiday
samoa,2002,21 Jun,Friday,June Solstice,Season
samoa,2002,12 Aug,Monday,Father's Day,Public Holiday
samoa,2002,22 Sep,Sunday,September Equinox,Season
samoa,2002,14 Oct,Monday,Lotu a Tamaiti,Public Holiday
samoa,2002,21 Dec,Saturday,December Solstice,Season
samoa,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
samoa,2002,26 Dec,Thursday,Boxing Day,Public Holiday
samoa,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
samoa,2003,2 Jan,Thursday,Day After New Year's Day,Public Holiday
samoa,2003,20 Mar,Thursday,March Equinox,Season
samoa,2003,18 Apr,Friday,Good Friday,Public Holiday
samoa,2003,19 Apr,Saturday,Day After Good Friday,Public Holiday
samoa,2003,21 Apr,Monday,Easter Monday,Public Holiday
samoa,2003,12 May,Monday,Mother's Day,Public Holiday
samoa,2003,1 Jun,Sunday,Independence Day,Public Holiday
samoa,2003,21 Jun,Saturday,June Solstice,Season
samoa,2003,11 Aug,Monday,Father's Day,Public Holiday
samoa,2003,22 Sep,Monday,September Equinox,Season
samoa,2003,13 Oct,Monday,Lotu a Tamaiti,Public Holiday
samoa,2003,21 Dec,Sunday,December Solstice,Season
samoa,2003,25 Dec,Thursday,Christmas Day,Public Holiday
samoa,2003,26 Dec,Friday,Boxing Day,Public Holiday
samoa,2004,1 Jan,Thursday,New Year's Day,Public Holiday
samoa,2004,2 Jan,Friday,Day After New Year's Day,Public Holiday
samoa,2004,19 Mar,Friday,March Equinox,Season
samoa,2004,9 Apr,Friday,Good Friday,Public Holiday
samoa,2004,10 Apr,Saturday,Day After Good Friday,Public Holiday
samoa,2004,12 Apr,Monday,Easter Monday,Public Holiday
samoa,2004,10 May,Monday,Mother's Day,Public Holiday
samoa,2004,1 Jun,Tuesday,Independence Day,Public Holiday
samoa,2004,20 Jun,Sunday,June Solstice,Season
samoa,2004,9 Aug,Monday,Father's Day,Public Holiday
samoa,2004,22 Sep,Wednesday,September Equinox,Season
samoa,2004,11 Oct,Monday,Lotu a Tamaiti,Public Holiday
samoa,2004,21 Dec,Tuesday,December Solstice,Season
samoa,2004,25 Dec,Saturday,Christmas Day,Public Holiday
samoa,2004,26 Dec,Sunday,Boxing Day,Public Holiday
samoa,2004,27 Dec,Monday,Day off for Boxing Day,Public Holiday
samoa,2005,1 Jan,Saturday,New Year's Day,Public Holiday
samoa,2005,2 Jan,Sunday,Day After New Year's Day,Public Holiday
samoa,2005,3 Jan,Monday,Day off for Day After New Year's Day,Public Holiday
samoa,2005,20 Mar,Sunday,March Equinox,Season
samoa,2005,25 Mar,Friday,Good Friday,Public Holiday
samoa,2005,26 Mar,Saturday,Day After Good Friday,Public Holiday
samoa,2005,28 Mar,Monday,Easter Monday,Public Holiday
samoa,2005,9 May,Monday,Mother's Day,Public Holiday
samoa,2005,1 Jun,Wednesday,Independence Day,Public Holiday
samoa,2005,20 Jun,Monday,June Solstice,Season
samoa,2005,15 Aug,Monday,Father's Day,Public Holiday
samoa,2005,22 Sep,Thursday,September Equinox,Season
samoa,2005,10 Oct,Monday,Lotu a Tamaiti,Public Holiday
samoa,2005,21 Dec,Wednesday,December Solstice,Season
samoa,2005,25 Dec,Sunday,Christmas Day,Public Holiday
samoa,2005,26 Dec,Monday,Boxing Day,Public Holiday
samoa,2005,27 Dec,Tuesday,Day off for Christmas Day,Public Holiday
samoa,2006,1 Jan,Sunday,New Year's Day,Public Holiday
samoa,2006,2 Jan,Monday,Day After New Year's Day,Public Holiday
samoa,2006,3 Jan,Tuesday,New Year's Day observed,Public Holiday
samoa,2006,20 Mar,Monday,March Equinox,Season
samoa,2006,14 Apr,Friday,Good Friday,Public Holiday
samoa,2006,15 Apr,Saturday,Day After Good Friday,Public Holiday
samoa,2006,17 Apr,Monday,Easter Monday,Public Holiday
samoa,2006,15 May,Monday,Mother's Day,Public Holiday
samoa,2006,1 Jun,Thursday,Independence Day,Public Holiday
samoa,2006,21 Jun,Wednesday,June Solstice,Season
samoa,2006,14 Aug,Monday,Father's Day,Public Holiday
samoa,2006,22 Sep,Friday,September Equinox,Season
samoa,2006,9 Oct,Monday,Lotu a Tamaiti,Public Holiday
samoa,2006,21 Dec,Thursday,December Solstice,Season
samoa,2006,25 Dec,Monday,Christmas Day,Public Holiday
samoa,2006,26 Dec,Tuesday,Boxing Day,Public Holiday
samoa,2007,1 Jan,Monday,New Year's Day,Public Holiday
samoa,2007,2 Jan,Tuesday,Day After New Year's Day,Public Holiday
samoa,2007,20 Mar,Tuesday,March Equinox,Season
samoa,2007,6 Apr,Friday,Good Friday,Public Holiday
samoa,2007,7 Apr,Saturday,Day After Good Friday,Public Holiday
samoa,2007,9 Apr,Monday,Easter Monday,Public Holiday
