Geo,Event Year,Date,Day,Name,Type
saudi-arabia,2000,8 Jan,Saturday,Eid al-Fitr,National holiday
saudi-arabia,2000,9 Jan,Sunday,Eid al-Fitr Holiday,National holiday
saudi-arabia,2000,10 Jan,Monday,Eid al-Fitr Holiday,National holiday
saudi-arabia,2000,11 Jan,Tuesday,Eid al-Fitr Holiday,National holiday
saudi-arabia,2000,12 Jan,Wednesday,Eid al-Fitr Holiday,National holiday
saudi-arabia,2000,13 Jan,Thursday,Eid al-Fitr Holiday,National holiday
saudi-arabia,2000,14 Jan,Friday,Eid al-Fitr Holiday (public sector only),Observance
saudi-arabia,2000,11 Mar,Saturday,Eid al-Adha Holiday,National holiday
saudi-arabia,2000,12 Mar,Sunday,Eid al-Adha Holiday,National holiday
saudi-arabia,2000,13 Mar,Monday,Eid al-Adha Holiday,National holiday
saudi-arabia,2000,14 Mar,Tuesday,Eid al-Adha Holiday,National holiday
saudi-arabia,2000,15 Mar,Wednesday,Eid al-Adha Holiday,National holiday
saudi-arabia,2000,16 Mar,Thursday,Eid al-Adha,National holiday
saudi-arabia,2000,17 Mar,Friday,Eid al-Adha Holiday,National holiday
saudi-arabia,2000,18 Mar,Saturday,Eid al-Adha Holiday,National holiday
saudi-arabia,2000,19 Mar,Sunday,Eid al-Adha Holiday,National holiday
saudi-arabia,2000,20 Mar,Monday,Eid al-Adha Holiday,National holiday
saudi-arabia,2000,20 Mar,Monday,March Equinox,Season
saudi-arabia,2000,21 Mar,Tuesday,Eid al-Adha Holiday,National holiday
saudi-arabia,2000,6 Apr,Thursday,Muharram (Muslim New Year),Observance
saudi-arabia,2000,21 Jun,Wednesday,June Solstice,Season
saudi-arabia,2000,22 Sep,Friday,September Equinox,Season
saudi-arabia,2000,23 Sep,Saturday,Saudi National Day,National holiday
saudi-arabia,2000,24 Sep,Sunday,Day off for Saudi National Day,National holiday
saudi-arabia,2000,21 Dec,Thursday,December Solstice,Season
saudi-arabia,2000,28 Dec,Thursday,Eid al-Fitr,National holiday
saudi-arabia,2000,29 Dec,Friday,Eid al-Fitr Holiday,National holiday
saudi-arabia,2000,30 Dec,Saturday,Eid al-Fitr Holiday,National holiday
saudi-arabia,2000,31 Dec,Sunday,Eid al-Fitr Holiday,National holiday
saudi-arabia,2001,1 Jan,Monday,Eid al-Fitr Holiday,National holiday
saudi-arabia,2001,2 Jan,Tuesday,Eid al-Fitr Holiday,National holiday
