Geo,Event Year,Date,Day,Name,Type
seychelles,2015,1 Jan,Thursday,New Year,Public Holiday
seychelles,2015,2 Jan,Friday,New Year holiday,Public Holiday
seychelles,2015,21 Mar,Saturday,March Equinox,Season
seychelles,2015,3 Apr,Friday,Good Friday,Public Holiday
seychelles,2015,4 Apr,Saturday,Holy Saturday,Public Holiday
seychelles,2015,5 Apr,Sunday,Easter Sunday,Observance
seychelles,2015,1 May,Friday,Labour Day,Public Holiday
seychelles,2015,4 Jun,Thursday,Corpus Christi,Public Holiday
seychelles,2015,5 Jun,Friday,Liberation Day,Public Holiday
seychelles,2015,18 Jun,Thursday,Constitution Day,Public Holiday
seychelles,2015,21 Jun,Sunday,June Solstice,Season
seychelles,2015,29 Jun,Monday,National Day,Public Holiday
seychelles,2015,15 Aug,Saturday,Assumption of Mary,Public Holiday
seychelles,2015,23 Sep,Wednesday,September Equinox,Season
seychelles,2015,1 Nov,Sunday,All Saints' Day,Public Holiday
seychelles,2015,2 Nov,Monday,Day off for All Saints' Day,Public Holiday
seychelles,2015,5 Dec,Saturday,Presidential Elections,Public Holiday
seychelles,2015,8 Dec,Tuesday,Immaculate Conception,Public Holiday
seychelles,2015,22 Dec,Tuesday,December Solstice,Season
seychelles,2015,25 Dec,Friday,Christmas Day,Public Holiday
seychelles,2016,1 Jan,Friday,New Year,Public Holiday
seychelles,2016,2 Jan,Saturday,New Year holiday,Public Holiday
seychelles,2016,20 Mar,Sunday,March Equinox,Season
seychelles,2016,25 Mar,Friday,Good Friday,Public Holiday
seychelles,2016,26 Mar,Saturday,Holy Saturday,Public Holiday
seychelles,2016,27 Mar,Sunday,Easter Sunday,Observance
seychelles,2016,1 May,Sunday,Labour Day,Public Holiday
seychelles,2016,2 May,Monday,Day off for Labour Day,Public Holiday
seychelles,2016,26 May,Thursday,Corpus Christi,Public Holiday
seychelles,2016,5 Jun,Sunday,Liberation Day,Public Holiday
seychelles,2016,18 Jun,Saturday,Constitution Day,Public Holiday
seychelles,2016,21 Jun,Tuesday,June Solstice,Season
seychelles,2016,29 Jun,Wednesday,National Day,Public Holiday
seychelles,2016,15 Aug,Monday,Assumption of Mary,Public Holiday
seychelles,2016,22 Sep,Thursday,September Equinox,Season
seychelles,2016,1 Nov,Tuesday,All Saints' Day,Public Holiday
seychelles,2016,8 Dec,Thursday,Immaculate Conception,Public Holiday
seychelles,2016,21 Dec,Wednesday,December Solstice,Season
seychelles,2016,25 Dec,Sunday,Christmas Day,Public Holiday
seychelles,2016,26 Dec,Monday,Day off for Christmas Day,Public Holiday
seychelles,2017,1 Jan,Sunday,New Year,Public Holiday
seychelles,2017,2 Jan,Monday,New Year holiday,Public Holiday
seychelles,2017,3 Jan,Tuesday,Day off for New Year,Public Holiday
seychelles,2017,20 Mar,Monday,March Equinox,Season
seychelles,2017,14 Apr,Friday,Good Friday,Public Holiday
seychelles,2017,15 Apr,Saturday,Holy Saturday,Public Holiday
seychelles,2017,16 Apr,Sunday,Easter Sunday,Observance
seychelles,2017,17 Apr,Monday,Easter Monday,Public Holiday
seychelles,2017,1 May,Monday,Labour Day,Public Holiday
seychelles,2017,15 Jun,Thursday,Corpus Christi,Public Holiday
seychelles,2017,18 Jun,Sunday,Constitution Day,Public Holiday
seychelles,2017,19 Jun,Monday,Day off for Constitution Day,Public Holiday
seychelles,2017,21 Jun,Wednesday,June Solstice,Season
seychelles,2017,29 Jun,Thursday,National Day,Public Holiday
seychelles,2017,15 Aug,Tuesday,Assumption of Mary,Public Holiday
seychelles,2017,23 Sep,Saturday,September Equinox,Season
seychelles,2017,1 Nov,Wednesday,All Saints' Day,Public Holiday
seychelles,2017,8 Dec,Friday,Immaculate Conception,Public Holiday
seychelles,2017,21 Dec,Thursday,December Solstice,Season
seychelles,2017,25 Dec,Monday,Christmas Day,Public Holiday
seychelles,2018,1 Jan,Monday,New Year,Public Holiday
seychelles,2018,2 Jan,Tuesday,New Year holiday,Public Holiday
seychelles,2018,20 Mar,Tuesday,March Equinox,Season
seychelles,2018,30 Mar,Friday,Good Friday,Public Holiday
seychelles,2018,31 Mar,Saturday,Holy Saturday,Public Holiday
seychelles,2018,1 Apr,Sunday,Easter Sunday,Observance
seychelles,2018,2 Apr,Monday,Easter Monday,Public Holiday
seychelles,2018,1 May,Tuesday,Labour Day,Public Holiday
seychelles,2018,31 May,Thursday,Corpus Christi,Public Holiday
seychelles,2018,18 Jun,Monday,Constitution Day,Public Holiday
seychelles,2018,21 Jun,Thursday,June Solstice,Season
seychelles,2018,29 Jun,Friday,National Day,Public Holiday
seychelles,2018,15 Aug,Wednesday,Assumption of Mary,Public Holiday
seychelles,2018,23 Sep,Sunday,September Equinox,Season
seychelles,2018,1 Nov,Thursday,All Saints' Day,Public Holiday
seychelles,2018,8 Dec,Saturday,Immaculate Conception,Public Holiday
seychelles,2018,22 Dec,Saturday,December Solstice,Season
seychelles,2018,25 Dec,Tuesday,Christmas Day,Public Holiday
seychelles,2019,1 Jan,Tuesday,New Year,Public Holiday
seychelles,2019,2 Jan,Wednesday,New Year holiday,Public Holiday
seychelles,2019,21 Mar,Thursday,March Equinox,Season
seychelles,2019,19 Apr,Friday,Good Friday,Public Holiday
seychelles,2019,20 Apr,Saturday,Holy Saturday,Public Holiday
seychelles,2019,21 Apr,Sunday,Easter Sunday,Observance
seychelles,2019,22 Apr,Monday,Easter Monday,Public Holiday
seychelles,2019,1 May,Wednesday,Labour Day,Public Holiday
seychelles,2019,18 Jun,Tuesday,Constitution Day,Public Holiday
seychelles,2019,20 Jun,Thursday,Corpus Christi,Public Holiday
seychelles,2019,21 Jun,Friday,June Solstice,Season
seychelles,2019,29 Jun,Saturday,National Day,Public Holiday
seychelles,2019,15 Aug,Thursday,Assumption of Mary,Public Holiday
seychelles,2019,23 Sep,Monday,September Equinox,Season
seychelles,2019,1 Nov,Friday,All Saints' Day,Public Holiday
seychelles,2019,8 Dec,Sunday,Immaculate Conception,Public Holiday
seychelles,2019,9 Dec,Monday,Day off for Immaculate Conception,Public Holiday
seychelles,2019,22 Dec,Sunday,December Solstice,Season
seychelles,2019,25 Dec,Wednesday,Christmas Day,Public Holiday
seychelles,2020,1 Jan,Wednesday,New Year,Public Holiday
seychelles,2020,2 Jan,Thursday,New Year holiday,Public Holiday
seychelles,2020,3 Jan,Friday,New Year holiday,Public Holiday
seychelles,2020,20 Mar,Friday,March Equinox,Season
seychelles,2020,10 Apr,Friday,Good Friday,Public Holiday
seychelles,2020,11 Apr,Saturday,Holy Saturday,Public Holiday
seychelles,2020,12 Apr,Sunday,Easter Sunday,Observance
seychelles,2020,13 Apr,Monday,Easter Monday,Public Holiday
seychelles,2020,1 May,Friday,Labour Day,Public Holiday
seychelles,2020,11 Jun,Thursday,Corpus Christi,Public Holiday
seychelles,2020,18 Jun,Thursday,Constitution Day,Public Holiday
seychelles,2020,21 Jun,Sunday,June Solstice,Season
seychelles,2020,29 Jun,Monday,National Day,Public Holiday
seychelles,2020,15 Aug,Saturday,Assumption of Mary,Public Holiday
seychelles,2020,22 Sep,Tuesday,September Equinox,Season
seychelles,2020,24 Oct,Saturday,Presidential Elections,Public Holiday
seychelles,2020,1 Nov,Sunday,All Saints' Day,Public Holiday
seychelles,2020,2 Nov,Monday,Day off for All Saints' Day,Public Holiday
seychelles,2020,8 Dec,Tuesday,Immaculate Conception,Public Holiday
seychelles,2020,21 Dec,Monday,December Solstice,Season
seychelles,2020,25 Dec,Friday,Christmas Day,Public Holiday
seychelles,2021,1 Jan,Friday,New Year,Public Holiday
seychelles,2021,2 Jan,Saturday,New Year holiday,Public Holiday
seychelles,2021,20 Mar,Saturday,March Equinox,Season
seychelles,2021,2 Apr,Friday,Good Friday,Public Holiday
seychelles,2021,3 Apr,Saturday,Holy Saturday,Public Holiday
seychelles,2021,4 Apr,Sunday,Easter Sunday,Observance
seychelles,2021,5 Apr,Monday,Easter Monday,Public Holiday
seychelles,2021,1 May,Saturday,Labour Day,Public Holiday
seychelles,2021,3 Jun,Thursday,Corpus Christi,Public Holiday
seychelles,2021,18 Jun,Friday,Constitution Day,Public Holiday
seychelles,2021,21 Jun,Monday,June Solstice,Season
seychelles,2021,29 Jun,Tuesday,National Day,Public Holiday
seychelles,2021,15 Aug,Sunday,Assumption of Mary,Public Holiday
seychelles,2021,16 Aug,Monday,Day off for Assumption of Mary,Public Holiday
seychelles,2021,22 Sep,Wednesday,September Equinox,Season
seychelles,2021,1 Nov,Monday,All Saints' Day,Public Holiday
