Geo,Event Year,Date,Day,Name,Type
singapore,2000,1 Jan,Saturday,New Year's Day,National holiday
singapore,2000,8 Jan,Saturday,Hari Raya Puasa,National holiday
singapore,2000,5 Feb,Saturday,Lunar New Year's Day,National holiday
singapore,2000,7 Feb,Monday,Second Day of Lunar New Year,National holiday
singapore,2000,14 Feb,Monday,Valentine's Day,Observance
singapore,2000,15 Feb,Tuesday,Total Defense Day,Observance
singapore,2000,8 Mar,Wednesday,International Women's Day,Observance
singapore,2000,16 Mar,Thursday,Hari Raya Haji,National holiday
singapore,2000,20 Mar,Monday,March Equinox,Season
singapore,2000,1 Apr,Saturday,April Fool's Day,Observance
singapore,2000,4 Apr,Tuesday,Qingming Festival,Observance
singapore,2000,21 Apr,Friday,Good Friday,National holiday
singapore,2000,22 Apr,Saturday,Easter Saturday,Observance
singapore,2000,23 Apr,Sunday,Easter Sunday,Observance
singapore,2000,1 May,Monday,Labour Day,National holiday
singapore,2000,14 May,Sunday,Mother's Day,Observance
singapore,2000,18 May,Thursday,Vesak Day,National holiday
singapore,2000,18 May,Thursday,International Museum Day,Observance
singapore,2000,18 Jun,Sunday,Father's Day,Observance
singapore,2000,21 Jun,Wednesday,June Solstice,Season
singapore,2000,1 Jul,Saturday,Singapore Armed Forces Day,Observance
singapore,2000,2 Jul,Sunday,Youth Day,Observance
singapore,2000,21 Jul,Friday,Racial Harmony Day,Observance
singapore,2000,9 Aug,Wednesday,National Day,National holiday
singapore,2000,1 Sep,Friday,Teachers' Day,Observance
singapore,2000,23 Sep,Saturday,September Equinox,Season
singapore,2000,1 Oct,Sunday,Children's Day,Observance
singapore,2000,2 Oct,Monday,Children's Day observed,Observance
singapore,2000,26 Oct,Thursday,Diwali/Deepavali,National holiday
singapore,2000,21 Dec,Thursday,December Solstice,Season
singapore,2000,24 Dec,Sunday,Christmas Eve,Observance
singapore,2000,25 Dec,Monday,Christmas Day,National holiday
singapore,2000,31 Dec,Sunday,New Year's Eve,Observance
singapore,2001,1 Jan,Monday,New Year's Day,National holiday
singapore,2001,24 Jan,Wednesday,Lunar New Year's Day,National holiday
singapore,2001,25 Jan,Thursday,Second Day of Lunar New Year,National holiday
singapore,2001,14 Feb,Wednesday,Valentine's Day,Observance
singapore,2001,15 Feb,Thursday,Total Defense Day,Observance
singapore,2001,6 Mar,Tuesday,Hari Raya Haji,National holiday
singapore,2001,8 Mar,Thursday,International Women's Day,Observance
singapore,2001,20 Mar,Tuesday,March Equinox,Season
singapore,2001,1 Apr,Sunday,April Fool's Day,Observance
singapore,2001,5 Apr,Thursday,Qingming Festival,Observance
singapore,2001,13 Apr,Friday,Good Friday,National holiday
singapore,2001,14 Apr,Saturday,Easter Saturday,Observance
singapore,2001,15 Apr,Sunday,Easter Sunday,Observance
