Geo,Event Year,Date,Day,Name,Type
slovakia,2000,1 Jan,Saturday,Republic Day,National holiday
slovakia,2000,6 Jan,Thursday,Epiphany,National holiday
slovakia,2000,20 Mar,Monday,March Equinox,Season
slovakia,2000,25 Mar,Saturday,Struggle for Human Rights Day,Observance
slovakia,2000,13 Apr,Thursday,Unfairly Prosecuted Persons Day,Observance
slovakia,2000,21 Apr,Friday,Good Friday,National holiday
slovakia,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
slovakia,2000,24 Apr,Monday,Easter Monday,National holiday
slovakia,2000,1 May,Monday,Labor Day,National holiday
slovakia,2000,4 May,Thursday,Death Anniversary of M. R. Štefánik,Observance
slovakia,2000,8 May,Monday,Day of Victory Over Fascism,National holiday
slovakia,2000,14 May,Sunday,Mothers' Day,Observance
slovakia,2000,7 Jun,Wednesday,Anniversary of the Memorandum of the Slovak Nation,Observance
slovakia,2000,18 Jun,Sunday,Fathers' Day,Observance
slovakia,2000,21 Jun,Wednesday,Day of the Departure of the Soviet Army from Czechoslovakia,Observance
slovakia,2000,21 Jun,Wednesday,June Solstice,Season
slovakia,2000,24 Jun,Saturday,Remembrance Day for the Victims of the Communist Regime,Observance
slovakia,2000,5 Jul,Wednesday,St. Cyril & St. Methodius Day,National holiday
slovakia,2000,5 Jul,Wednesday,Foreign Slovaks Day,Observance
slovakia,2000,17 Jul,Monday,Anniversary of the Declaration of Sovereignty of the Slovak Republic,Observance
slovakia,2000,4 Aug,Friday,Matice Slovenska Day,Observance
slovakia,2000,10 Aug,Thursday,Day of the Victims of Mining Disasters,Observance
slovakia,2000,21 Aug,Monday,Day of the Victims of the Occupation of Czechoslovakia,Observance
slovakia,2000,29 Aug,Tuesday,National Uprising Day,National holiday
slovakia,2000,1 Sep,Friday,Constitution Day,National holiday
slovakia,2000,9 Sep,Saturday,Day of the Victims of Holocaust and of racial violence,Observance
slovakia,2000,15 Sep,Friday,Day of Our Lady of Sorrows,National holiday
slovakia,2000,19 Sep,Tuesday,Foundation of the Slovak National Council Day,Observance
slovakia,2000,22 Sep,Friday,September Equinox,Season
slovakia,2000,6 Oct,Friday,Day of the Heroes of the Carpathian-Duklian Operation,Observance
slovakia,2000,12 Oct,Thursday,Samizdat Day,Observance
slovakia,2000,27 Oct,Friday,Černová Tragedy Day,Observance
slovakia,2000,28 Oct,Saturday,Establishment of the Independent Czecho-Slovak State,Observance
slovakia,2000,29 Oct,Sunday,Birth of Ľudovíta Štúr,Observance
slovakia,2000,30 Oct,Monday,Anniversary of the Declaration of the Slovak Nation,Observance
slovakia,2000,31 Oct,Tuesday,Reformation Day,Observance
slovakia,2000,1 Nov,Wednesday,All Saints' Day,National holiday
slovakia,2000,17 Nov,Friday,Fight for Freedom and Democracy Day,National holiday
slovakia,2000,21 Dec,Thursday,December Solstice,Season
slovakia,2000,24 Dec,Sunday,Christmas Eve,National holiday
slovakia,2000,25 Dec,Monday,Christmas Day,National holiday
slovakia,2000,26 Dec,Tuesday,St. Stephen's Day,National holiday
slovakia,2000,30 Dec,Saturday,Day of the Declaration of Slovakia as an Independent Ecclesiastic Province,Observance
slovakia,2001,1 Jan,Monday,Republic Day,National holiday
slovakia,2001,6 Jan,Saturday,Epiphany,National holiday
slovakia,2001,20 Mar,Tuesday,March Equinox,Season
slovakia,2001,25 Mar,Sunday,Struggle for Human Rights Day,Observance
slovakia,2001,13 Apr,Friday,Good Friday,National holiday
slovakia,2001,13 Apr,Friday,Unfairly Prosecuted Persons Day,Observance
slovakia,2001,15 Apr,Sunday,Easter Sunday,"Observance, Christian"
slovakia,2001,16 Apr,Monday,Easter Monday,National holiday
slovakia,2001,1 May,Tuesday,Labor Day,National holiday
slovakia,2001,4 May,Friday,Death Anniversary of M. R. Štefánik,Observance
slovakia,2001,8 May,Tuesday,Day of Victory Over Fascism,National holiday
slovakia,2001,13 May,Sunday,Mothers' Day,Observance
slovakia,2001,7 Jun,Thursday,Anniversary of the Memorandum of the Slovak Nation,Observance
slovakia,2001,17 Jun,Sunday,Fathers' Day,Observance
slovakia,2001,21 Jun,Thursday,Day of the Departure of the Soviet Army from Czechoslovakia,Observance
slovakia,2001,21 Jun,Thursday,June Solstice,Season
slovakia,2001,24 Jun,Sunday,Remembrance Day for the Victims of the Communist Regime,Observance
slovakia,2001,5 Jul,Thursday,St. Cyril & St. Methodius Day,National holiday
slovakia,2001,5 Jul,Thursday,Foreign Slovaks Day,Observance
slovakia,2001,17 Jul,Tuesday,Anniversary of the Declaration of Sovereignty of the Slovak Republic,Observance
slovakia,2001,4 Aug,Saturday,Matice Slovenska Day,Observance
slovakia,2001,10 Aug,Friday,Day of the Victims of Mining Disasters,Observance
slovakia,2001,21 Aug,Tuesday,Day of the Victims of the Occupation of Czechoslovakia,Observance
slovakia,2001,29 Aug,Wednesday,National Uprising Day,National holiday
slovakia,2001,1 Sep,Saturday,Constitution Day,National holiday
slovakia,2001,9 Sep,Sunday,Day of the Victims of Holocaust and of racial violence,Observance
slovakia,2001,15 Sep,Saturday,Day of Our Lady of Sorrows,National holiday
slovakia,2001,19 Sep,Wednesday,Foundation of the Slovak National Council Day,Observance
slovakia,2001,23 Sep,Sunday,September Equinox,Season
slovakia,2001,6 Oct,Saturday,Day of the Heroes of the Carpathian-Duklian Operation,Observance
slovakia,2001,12 Oct,Friday,Samizdat Day,Observance
slovakia,2001,27 Oct,Saturday,Černová Tragedy Day,Observance
slovakia,2001,28 Oct,Sunday,Establishment of the Independent Czecho-Slovak State,Observance
slovakia,2001,29 Oct,Monday,Birth of Ľudovíta Štúr,Observance
slovakia,2001,30 Oct,Tuesday,Anniversary of the Declaration of the Slovak Nation,Observance
slovakia,2001,31 Oct,Wednesday,Reformation Day,Observance
slovakia,2001,1 Nov,Thursday,All Saints' Day,National holiday
slovakia,2001,17 Nov,Saturday,Fight for Freedom and Democracy Day,National holiday
slovakia,2001,21 Dec,Friday,December Solstice,Season
slovakia,2001,24 Dec,Monday,Christmas Eve,National holiday
slovakia,2001,25 Dec,Tuesday,Christmas Day,National holiday
slovakia,2001,26 Dec,Wednesday,St. Stephen's Day,National holiday
slovakia,2001,30 Dec,Sunday,Day of the Declaration of Slovakia as an Independent Ecclesiastic Province,Observance
slovakia,2002,1 Jan,Tuesday,Republic Day,National holiday
slovakia,2002,6 Jan,Sunday,Epiphany,National holiday
slovakia,2002,20 Mar,Wednesday,March Equinox,Season
slovakia,2002,25 Mar,Monday,Struggle for Human Rights Day,Observance
slovakia,2002,29 Mar,Friday,Good Friday,National holiday
slovakia,2002,31 Mar,Sunday,Easter Sunday,"Observance, Christian"
slovakia,2002,1 Apr,Monday,Easter Monday,National holiday
slovakia,2002,13 Apr,Saturday,Unfairly Prosecuted Persons Day,Observance
slovakia,2002,1 May,Wednesday,Labor Day,National holiday
slovakia,2002,4 May,Saturday,Death Anniversary of M. R. Štefánik,Observance
slovakia,2002,8 May,Wednesday,Day of Victory Over Fascism,National holiday
slovakia,2002,12 May,Sunday,Mothers' Day,Observance
slovakia,2002,7 Jun,Friday,Anniversary of the Memorandum of the Slovak Nation,Observance
slovakia,2002,16 Jun,Sunday,Fathers' Day,Observance
