Geo,Event Year,Date,Day,Name,Type
slovenia,2000,1 Jan,Saturday,New Year's Day,National holiday
slovenia,2000,2 Jan,Sunday,New Year holiday,National holiday
slovenia,2000,8 Feb,Tuesday,Prešeren Day,National holiday
slovenia,2000,20 Mar,Monday,March Equinox,Season
slovenia,2000,25 Mar,Saturday,Mothers' Day,Observance
slovenia,2000,23 Apr,Sunday,Easter Sunday,National holiday
slovenia,2000,24 Apr,Monday,Easter Monday,National holiday
slovenia,2000,27 Apr,Thursday,Day of Uprising Against Occupation,National holiday
slovenia,2000,1 May,Monday,Labor Day / May Day,National holiday
slovenia,2000,2 May,Tuesday,Labour Day holiday,National holiday
slovenia,2000,8 Jun,Thursday,Primož Trubar Day,Observance
slovenia,2000,11 Jun,Sunday,Whit Sunday,National holiday
slovenia,2000,18 Jun,Sunday,Fathers' Day,Observance
slovenia,2000,21 Jun,Wednesday,June Solstice,Season
slovenia,2000,25 Jun,Sunday,Statehood Day,National holiday
slovenia,2000,15 Aug,Tuesday,Assumption of Mary,National holiday
slovenia,2000,17 Aug,Thursday,Slovenians in Prekmurje Incorporated into the Mother Nation Day,Observance
slovenia,2000,15 Sep,Friday,Restoration of Primorska to the Motherland Day,Observance
slovenia,2000,22 Sep,Friday,September Equinox,Season
slovenia,2000,23 Sep,Saturday,Slovenian Sports Day,Observance
slovenia,2000,31 Oct,Tuesday,Reformation Day,National holiday
slovenia,2000,1 Nov,Wednesday,Remembrance Day,National holiday
slovenia,2000,23 Nov,Thursday,Rudolf Maister Day,Observance
slovenia,2000,21 Dec,Thursday,December Solstice,Season
slovenia,2000,25 Dec,Monday,Christmas Day,National holiday
slovenia,2000,26 Dec,Tuesday,Independence and Unity Day,National holiday
slovenia,2001,1 Jan,Monday,New Year's Day,National holiday
slovenia,2001,2 Jan,Tuesday,New Year holiday,National holiday
slovenia,2001,8 Feb,Thursday,Prešeren Day,National holiday
slovenia,2001,20 Mar,Tuesday,March Equinox,Season
slovenia,2001,25 Mar,Sunday,Mothers' Day,Observance
slovenia,2001,15 Apr,Sunday,Easter Sunday,National holiday
slovenia,2001,16 Apr,Monday,Easter Monday,National holiday
slovenia,2001,27 Apr,Friday,Day of Uprising Against Occupation,National holiday
slovenia,2001,1 May,Tuesday,Labor Day / May Day,National holiday
slovenia,2001,2 May,Wednesday,Labour Day holiday,National holiday
slovenia,2001,3 Jun,Sunday,Whit Sunday,National holiday
slovenia,2001,8 Jun,Friday,Primož Trubar Day,Observance
slovenia,2001,17 Jun,Sunday,Fathers' Day,Observance
slovenia,2001,21 Jun,Thursday,June Solstice,Season
slovenia,2001,25 Jun,Monday,Statehood Day,National holiday
slovenia,2001,15 Aug,Wednesday,Assumption of Mary,National holiday
slovenia,2001,17 Aug,Friday,Slovenians in Prekmurje Incorporated into the Mother Nation Day,Observance
slovenia,2001,15 Sep,Saturday,Restoration of Primorska to the Motherland Day,Observance
slovenia,2001,23 Sep,Sunday,Slovenian Sports Day,Observance
slovenia,2001,23 Sep,Sunday,September Equinox,Season
slovenia,2001,31 Oct,Wednesday,Reformation Day,National holiday
slovenia,2001,1 Nov,Thursday,Remembrance Day,National holiday
slovenia,2001,23 Nov,Friday,Rudolf Maister Day,Observance
slovenia,2001,21 Dec,Friday,December Solstice,Season
slovenia,2001,25 Dec,Tuesday,Christmas Day,National holiday
slovenia,2001,26 Dec,Wednesday,Independence and Unity Day,National holiday
slovenia,2002,1 Jan,Tuesday,New Year's Day,National holiday
slovenia,2002,2 Jan,Wednesday,New Year holiday,National holiday
slovenia,2002,8 Feb,Friday,Prešeren Day,National holiday
slovenia,2002,20 Mar,Wednesday,March Equinox,Season
slovenia,2002,25 Mar,Monday,Mothers' Day,Observance
slovenia,2002,31 Mar,Sunday,Easter Sunday,National holiday
slovenia,2002,1 Apr,Monday,Easter Monday,National holiday
slovenia,2002,27 Apr,Saturday,Day of Uprising Against Occupation,National holiday
slovenia,2002,1 May,Wednesday,Labor Day / May Day,National holiday
slovenia,2002,2 May,Thursday,Labour Day holiday,National holiday
slovenia,2002,19 May,Sunday,Whit Sunday,National holiday
slovenia,2002,8 Jun,Saturday,Primož Trubar Day,Observance
slovenia,2002,16 Jun,Sunday,Fathers' Day,Observance
slovenia,2002,21 Jun,Friday,June Solstice,Season
slovenia,2002,25 Jun,Tuesday,Statehood Day,National holiday
slovenia,2002,15 Aug,Thursday,Assumption of Mary,National holiday
slovenia,2002,17 Aug,Saturday,Slovenians in Prekmurje Incorporated into the Mother Nation Day,Observance
slovenia,2002,15 Sep,Sunday,Restoration of Primorska to the Motherland Day,Observance
slovenia,2002,23 Sep,Monday,Slovenian Sports Day,Observance
slovenia,2002,23 Sep,Monday,September Equinox,Season
slovenia,2002,31 Oct,Thursday,Reformation Day,National holiday
slovenia,2002,1 Nov,Friday,Remembrance Day,National holiday
slovenia,2002,23 Nov,Saturday,Rudolf Maister Day,Observance
slovenia,2002,22 Dec,Sunday,December Solstice,Season
slovenia,2002,25 Dec,Wednesday,Christmas Day,National holiday
slovenia,2002,26 Dec,Thursday,Independence and Unity Day,National holiday
slovenia,2003,1 Jan,Wednesday,New Year's Day,National holiday
slovenia,2003,2 Jan,Thursday,New Year holiday,National holiday
slovenia,2003,8 Feb,Saturday,Prešeren Day,National holiday
slovenia,2003,21 Mar,Friday,March Equinox,Season
slovenia,2003,25 Mar,Tuesday,Mothers' Day,Observance
slovenia,2003,20 Apr,Sunday,Easter Sunday,National holiday
slovenia,2003,21 Apr,Monday,Easter Monday,National holiday
slovenia,2003,27 Apr,Sunday,Day of Uprising Against Occupation,National holiday
slovenia,2003,1 May,Thursday,Labor Day / May Day,National holiday
slovenia,2003,2 May,Friday,Labour Day holiday,National holiday
slovenia,2003,8 Jun,Sunday,Whit Sunday,National holiday
slovenia,2003,8 Jun,Sunday,Primož Trubar Day,Observance
slovenia,2003,15 Jun,Sunday,Fathers' Day,Observance
slovenia,2003,21 Jun,Saturday,June Solstice,Season
slovenia,2003,25 Jun,Wednesday,Statehood Day,National holiday
slovenia,2003,15 Aug,Friday,Assumption of Mary,National holiday
slovenia,2003,17 Aug,Sunday,Slovenians in Prekmurje Incorporated into the Mother Nation Day,Observance
slovenia,2003,15 Sep,Monday,Restoration of Primorska to the Motherland Day,Observance
slovenia,2003,23 Sep,Tuesday,Slovenian Sports Day,Observance
slovenia,2003,23 Sep,Tuesday,September Equinox,Season
slovenia,2003,31 Oct,Friday,Reformation Day,National holiday
slovenia,2003,1 Nov,Saturday,Remembrance Day,National holiday
slovenia,2003,23 Nov,Sunday,Rudolf Maister Day,Observance
slovenia,2003,22 Dec,Monday,December Solstice,Season
slovenia,2003,25 Dec,Thursday,Christmas Day,National holiday
slovenia,2003,26 Dec,Friday,Independence and Unity Day,National holiday
slovenia,2004,1 Jan,Thursday,New Year's Day,National holiday
slovenia,2004,2 Jan,Friday,New Year holiday,National holiday
slovenia,2004,8 Feb,Sunday,Prešeren Day,National holiday
slovenia,2004,20 Mar,Saturday,March Equinox,Season
slovenia,2004,25 Mar,Thursday,Mothers' Day,Observance
slovenia,2004,11 Apr,Sunday,Easter Sunday,National holiday
slovenia,2004,12 Apr,Monday,Easter Monday,National holiday
slovenia,2004,27 Apr,Tuesday,Day of Uprising Against Occupation,National holiday
slovenia,2004,1 May,Saturday,Labor Day / May Day,National holiday
slovenia,2004,2 May,Sunday,Labour Day holiday,National holiday
slovenia,2004,30 May,Sunday,Whit Sunday,National holiday
slovenia,2004,8 Jun,Tuesday,Primož Trubar Day,Observance
slovenia,2004,20 Jun,Sunday,Fathers' Day,Observance
slovenia,2004,21 Jun,Monday,June Solstice,Season
slovenia,2004,25 Jun,Friday,Statehood Day,National holiday
slovenia,2004,15 Aug,Sunday,Assumption of Mary,National holiday
slovenia,2004,17 Aug,Tuesday,Slovenians in Prekmurje Incorporated into the Mother Nation Day,Observance
slovenia,2004,15 Sep,Wednesday,Restoration of Primorska to the Motherland Day,Observance
slovenia,2004,22 Sep,Wednesday,September Equinox,Season
slovenia,2004,23 Sep,Thursday,Slovenian Sports Day,Observance
slovenia,2004,31 Oct,Sunday,Reformation Day,National holiday
