Geo,Event Year,Date,Day,Name,Type
solomon-islands,2000,1 Jan,Saturday,New Year's Day,Public Holiday
solomon-islands,2000,25 Feb,Friday,Choiseul Province Day,Local holiday
solomon-islands,2000,20 Mar,Monday,March Equinox,Season
solomon-islands,2000,21 Apr,Friday,Good Friday,Public Holiday
solomon-islands,2000,22 Apr,Saturday,Holy Saturday,Public Holiday
solomon-islands,2000,23 Apr,Sunday,Easter Sunday,Observance
solomon-islands,2000,24 Apr,Monday,Easter Monday,Public Holiday
solomon-islands,2000,2 Jun,Friday,Isabel Province Day,Local holiday
solomon-islands,2000,8 Jun,Thursday,Temotu Province Day,Local holiday
solomon-islands,2000,9 Jun,Friday,Day off for Queen's Official Birthday,Public Holiday
solomon-islands,2000,10 Jun,Saturday,Queen's Official Birthday,Observance
solomon-islands,2000,12 Jun,Monday,Whit Monday,Public Holiday
solomon-islands,2000,21 Jun,Wednesday,June Solstice,Season
solomon-islands,2000,29 Jun,Thursday,Central Province Day,Local holiday
solomon-islands,2000,7 Jul,Friday,Independence Day,Public Holiday
solomon-islands,2000,20 Jul,Thursday,Rennell and Bellona Province Day,Local holiday
solomon-islands,2000,1 Aug,Tuesday,Gualdalcanal Province Day,Local holiday
solomon-islands,2000,3 Aug,Thursday,Makira-Ulawa Province Day,Local holiday
solomon-islands,2000,15 Aug,Tuesday,Malaita Province Day,Local holiday
solomon-islands,2000,23 Sep,Saturday,September Equinox,Season
solomon-islands,2000,7 Dec,Thursday,Western Province Day,Local holiday
solomon-islands,2000,22 Dec,Friday,December Solstice,Season
solomon-islands,2000,25 Dec,Monday,Christmas Day,Public Holiday
solomon-islands,2000,26 Dec,Tuesday,National Day of Thanksgiving,Public Holiday
solomon-islands,2001,1 Jan,Monday,New Year's Day,Public Holiday
solomon-islands,2001,25 Feb,Sunday,Choiseul Province Day,Local holiday
solomon-islands,2001,26 Feb,Monday,Choiseul Province Day observed,Local holiday
solomon-islands,2001,21 Mar,Wednesday,March Equinox,Season
solomon-islands,2001,13 Apr,Friday,Good Friday,Public Holiday
solomon-islands,2001,14 Apr,Saturday,Holy Saturday,Public Holiday
solomon-islands,2001,15 Apr,Sunday,Easter Sunday,Observance
solomon-islands,2001,16 Apr,Monday,Easter Monday,Public Holiday
solomon-islands,2001,2 Jun,Saturday,Isabel Province Day,Local holiday
solomon-islands,2001,4 Jun,Monday,Whit Monday,Public Holiday
solomon-islands,2001,8 Jun,Friday,Day off for Queen's Official Birthday,Public Holiday
solomon-islands,2001,8 Jun,Friday,Temotu Province Day,Local holiday
solomon-islands,2001,9 Jun,Saturday,Queen's Official Birthday,Observance
solomon-islands,2001,21 Jun,Thursday,June Solstice,Season
solomon-islands,2001,29 Jun,Friday,Central Province Day,Local holiday
solomon-islands,2001,6 Jul,Friday,Day off for Independence Day,Public Holiday
solomon-islands,2001,7 Jul,Saturday,Independence Day,Public Holiday
solomon-islands,2001,20 Jul,Friday,Rennell and Bellona Province Day,Local holiday
solomon-islands,2001,1 Aug,Wednesday,Gualdalcanal Province Day,Local holiday
solomon-islands,2001,3 Aug,Friday,Makira-Ulawa Province Day,Local holiday
solomon-islands,2001,15 Aug,Wednesday,Malaita Province Day,Local holiday
solomon-islands,2001,23 Sep,Sunday,September Equinox,Season
solomon-islands,2001,7 Dec,Friday,Western Province Day,Local holiday
solomon-islands,2001,22 Dec,Saturday,December Solstice,Season
solomon-islands,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
solomon-islands,2001,26 Dec,Wednesday,National Day of Thanksgiving,Public Holiday
solomon-islands,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
solomon-islands,2002,25 Feb,Monday,Choiseul Province Day,Local holiday
solomon-islands,2002,21 Mar,Thursday,March Equinox,Season
solomon-islands,2002,29 Mar,Friday,Good Friday,Public Holiday
solomon-islands,2002,30 Mar,Saturday,Holy Saturday,Public Holiday
solomon-islands,2002,31 Mar,Sunday,Easter Sunday,Observance
solomon-islands,2002,1 Apr,Monday,Easter Monday,Public Holiday
solomon-islands,2002,20 May,Monday,Whit Monday,Public Holiday
solomon-islands,2002,2 Jun,Sunday,Isabel Province Day,Local holiday
solomon-islands,2002,3 Jun,Monday,Day off for Isabel Province Day,Local holiday
solomon-islands,2002,7 Jun,Friday,Day off for Queen's Official Birthday,Public Holiday
solomon-islands,2002,7 Jun,Friday,Day off for Temotu Province Day,Local holiday
solomon-islands,2002,8 Jun,Saturday,Queen's Official Birthday,Observance
solomon-islands,2002,8 Jun,Saturday,Temotu Province Day,Local holiday
solomon-islands,2002,22 Jun,Saturday,June Solstice,Season
solomon-islands,2002,28 Jun,Friday,Day off for Central Province Day,Local holiday
solomon-islands,2002,29 Jun,Saturday,Central Province Day,Local holiday
solomon-islands,2002,7 Jul,Sunday,Independence Day,Public Holiday
solomon-islands,2002,8 Jul,Monday,Day off for Independence Day,Public Holiday
solomon-islands,2002,19 Jul,Friday,Day off for Rennell and Bellona Province Day,Local holiday
solomon-islands,2002,20 Jul,Saturday,Rennell and Bellona Province Day,Local holiday
solomon-islands,2002,1 Aug,Thursday,Gualdalcanal Province Day,Local holiday
solomon-islands,2002,2 Aug,Friday,Day off for Makira-Ulawa Province Day,Local holiday
solomon-islands,2002,3 Aug,Saturday,Makira-Ulawa Province Day,Local holiday
solomon-islands,2002,15 Aug,Thursday,Malaita Province Day,Local holiday
