Geo,Event Year,Date,Day,Name,Type
somalia,2000,1 Jan,Saturday,New Year,Public Holiday
somalia,2000,8 Jan,Saturday,Eid al-Fitr,Public Holiday
somalia,2000,16 Mar,Thursday,Eid al-Adha,Public Holiday
somalia,2000,20 Mar,Monday,March Equinox,Season
somalia,2000,6 Apr,Thursday,Muharram,Common local holiday
somalia,2000,15 Apr,Saturday,Ashura,Public Holiday
somalia,2000,1 May,Monday,May Day,Public Holiday
somalia,2000,18 May,Thursday,Restoration of Somaliland Sovereignty,Common local holiday
somalia,2000,19 May,Friday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
somalia,2000,15 Jun,Thursday,The Prophet's Birthday,Public Holiday
somalia,2000,21 Jun,Wednesday,June Solstice,Season
somalia,2000,26 Jun,Monday,Independence Day,Public Holiday
somalia,2000,1 Jul,Saturday,Republic Day,Common local holiday
somalia,2000,22 Sep,Friday,September Equinox,Season
somalia,2000,26 Oct,Thursday,Isra and Mi'raj,Common local holiday
somalia,2000,21 Dec,Thursday,December Solstice,Season
somalia,2000,28 Dec,Thursday,Eid al-Fitr,Public Holiday
somalia,2001,1 Jan,Monday,New Year,Public Holiday
somalia,2001,6 Mar,Tuesday,Eid al-Adha,Public Holiday
somalia,2001,20 Mar,Tuesday,March Equinox,Season
somalia,2001,26 Mar,Monday,Muharram,Common local holiday
somalia,2001,4 Apr,Wednesday,Ashura,Public Holiday
somalia,2001,1 May,Tuesday,May Day,Public Holiday
somalia,2001,18 May,Friday,Restoration of Somaliland Sovereignty,Common local holiday
somalia,2001,19 May,Saturday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
somalia,2001,4 Jun,Monday,The Prophet's Birthday,Public Holiday
somalia,2001,21 Jun,Thursday,June Solstice,Season
somalia,2001,26 Jun,Tuesday,Independence Day,Public Holiday
somalia,2001,1 Jul,Sunday,Republic Day,Common local holiday
somalia,2001,23 Sep,Sunday,September Equinox,Season
somalia,2001,15 Oct,Monday,Isra and Mi'raj,Common local holiday
somalia,2001,17 Dec,Monday,Eid al-Fitr,Public Holiday
somalia,2001,21 Dec,Friday,December Solstice,Season
somalia,2002,1 Jan,Tuesday,New Year,Public Holiday
somalia,2002,23 Feb,Saturday,Eid al-Adha,Public Holiday
somalia,2002,15 Mar,Friday,Muharram,Common local holiday
somalia,2002,20 Mar,Wednesday,March Equinox,Season
somalia,2002,24 Mar,Sunday,Ashura,Public Holiday
somalia,2002,1 May,Wednesday,May Day,Public Holiday
somalia,2002,18 May,Saturday,Restoration of Somaliland Sovereignty,Common local holiday
somalia,2002,19 May,Sunday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
somalia,2002,24 May,Friday,The Prophet's Birthday,Public Holiday
somalia,2002,21 Jun,Friday,June Solstice,Season
somalia,2002,26 Jun,Wednesday,Independence Day,Public Holiday
somalia,2002,1 Jul,Monday,Republic Day,Common local holiday
somalia,2002,23 Sep,Monday,September Equinox,Season
somalia,2002,4 Oct,Friday,Isra and Mi'raj,Common local holiday
somalia,2002,6 Dec,Friday,Eid al-Fitr,Public Holiday
somalia,2002,22 Dec,Sunday,December Solstice,Season
somalia,2003,1 Jan,Wednesday,New Year,Public Holiday
somalia,2003,12 Feb,Wednesday,Eid al-Adha,Public Holiday
somalia,2003,5 Mar,Wednesday,Muharram,Common local holiday
somalia,2003,14 Mar,Friday,Ashura,Public Holiday
somalia,2003,21 Mar,Friday,March Equinox,Season
somalia,2003,1 May,Thursday,May Day,Public Holiday
somalia,2003,14 May,Wednesday,The Prophet's Birthday,Public Holiday
somalia,2003,18 May,Sunday,Restoration of Somaliland Sovereignty,Common local holiday
somalia,2003,19 May,Monday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
somalia,2003,21 Jun,Saturday,June Solstice,Season
somalia,2003,26 Jun,Thursday,Independence Day,Public Holiday
somalia,2003,1 Jul,Tuesday,Republic Day,Common local holiday
somalia,2003,23 Sep,Tuesday,September Equinox,Season
somalia,2003,24 Sep,Wednesday,Isra and Mi'raj,Common local holiday
somalia,2003,26 Nov,Wednesday,Eid al-Fitr,Public Holiday
somalia,2003,22 Dec,Monday,December Solstice,Season
somalia,2004,1 Jan,Thursday,New Year,Public Holiday
somalia,2004,2 Feb,Monday,Eid al-Adha,Public Holiday
somalia,2004,22 Feb,Sunday,Muharram,Common local holiday
somalia,2004,2 Mar,Tuesday,Ashura,Public Holiday
somalia,2004,20 Mar,Saturday,March Equinox,Season
somalia,2004,1 May,Saturday,May Day,Public Holiday
somalia,2004,2 May,Sunday,The Prophet's Birthday,Public Holiday
somalia,2004,18 May,Tuesday,Restoration of Somaliland Sovereignty,Common local holiday
somalia,2004,19 May,Wednesday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
somalia,2004,21 Jun,Monday,June Solstice,Season
somalia,2004,26 Jun,Saturday,Independence Day,Public Holiday
somalia,2004,1 Jul,Thursday,Republic Day,Common local holiday
somalia,2004,12 Sep,Sunday,Isra and Mi'raj,Common local holiday
somalia,2004,22 Sep,Wednesday,September Equinox,Season
somalia,2004,14 Nov,Sunday,Eid al-Fitr,Public Holiday
somalia,2004,21 Dec,Tuesday,December Solstice,Season
somalia,2005,1 Jan,Saturday,New Year,Public Holiday
somalia,2005,21 Jan,Friday,Eid al-Adha,Public Holiday
somalia,2005,10 Feb,Thursday,Muharram,Common local holiday
somalia,2005,19 Feb,Saturday,Ashura,Public Holiday
somalia,2005,20 Mar,Sunday,March Equinox,Season
somalia,2005,21 Apr,Thursday,The Prophet's Birthday,Public Holiday
somalia,2005,1 May,Sunday,May Day,Public Holiday
somalia,2005,18 May,Wednesday,Restoration of Somaliland Sovereignty,Common local holiday
somalia,2005,19 May,Thursday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
somalia,2005,21 Jun,Tuesday,June Solstice,Season
somalia,2005,26 Jun,Sunday,Independence Day,Public Holiday
somalia,2005,1 Jul,Friday,Republic Day,Common local holiday
somalia,2005,1 Sep,Thursday,Isra and Mi'raj,Common local holiday
somalia,2005,23 Sep,Friday,September Equinox,Season
somalia,2005,4 Nov,Friday,Eid al-Fitr,Public Holiday
somalia,2005,21 Dec,Wednesday,December Solstice,Season
somalia,2006,1 Jan,Sunday,New Year,Public Holiday
somalia,2006,10 Jan,Tuesday,Eid al-Adha,Public Holiday
somalia,2006,31 Jan,Tuesday,Muharram,Common local holiday
somalia,2006,9 Feb,Thursday,Ashura,Public Holiday
somalia,2006,20 Mar,Monday,March Equinox,Season
somalia,2006,11 Apr,Tuesday,The Prophet's Birthday,Public Holiday
somalia,2006,1 May,Monday,May Day,Public Holiday
somalia,2006,18 May,Thursday,Restoration of Somaliland Sovereignty,Common local holiday
somalia,2006,19 May,Friday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
somalia,2006,21 Jun,Wednesday,June Solstice,Season
somalia,2006,26 Jun,Monday,Independence Day,Public Holiday
somalia,2006,1 Jul,Saturday,Republic Day,Common local holiday
somalia,2006,22 Aug,Tuesday,Isra and Mi'raj,Common local holiday
somalia,2006,23 Sep,Saturday,September Equinox,Season
somalia,2006,24 Oct,Tuesday,Eid al-Fitr,Public Holiday
somalia,2006,22 Dec,Friday,December Solstice,Season
somalia,2006,31 Dec,Sunday,Eid al-Adha,Public Holiday
somalia,2007,1 Jan,Monday,New Year,Public Holiday
somalia,2007,1 Jan,Monday,Eid al-Adha Holiday,Common local holiday
somalia,2007,20 Jan,Saturday,Muharram,Common local holiday
somalia,2007,29 Jan,Monday,Ashura,Public Holiday
somalia,2007,21 Mar,Wednesday,March Equinox,Season
somalia,2007,31 Mar,Saturday,The Prophet's Birthday,Public Holiday
somalia,2007,1 May,Tuesday,May Day,Public Holiday
somalia,2007,18 May,Friday,Restoration of Somaliland Sovereignty,Common local holiday
somalia,2007,19 May,Saturday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
somalia,2007,21 Jun,Thursday,June Solstice,Season
somalia,2007,26 Jun,Tuesday,Independence Day,Public Holiday
somalia,2007,1 Jul,Sunday,Republic Day,Common local holiday
somalia,2007,11 Aug,Saturday,Isra and Mi'raj,Common local holiday
somalia,2007,23 Sep,Sunday,September Equinox,Season
somalia,2007,13 Oct,Saturday,Eid al-Fitr,Public Holiday
somalia,2007,14 Oct,Sunday,Eid al-Fitr Holiday,Common local holiday
somalia,2007,20 Dec,Thursday,Eid al-Adha,Public Holiday
somalia,2007,21 Dec,Friday,Eid al-Adha Holiday,Common local holiday
somalia,2007,22 Dec,Saturday,December Solstice,Season
somalia,2008,1 Jan,Tuesday,New Year,Public Holiday
somalia,2008,10 Jan,Thursday,Muharram,Common local holiday
somalia,2008,19 Jan,Saturday,Ashura,Public Holiday
somalia,2008,20 Mar,Thursday,The Prophet's Birthday,Public Holiday
somalia,2008,20 Mar,Thursday,March Equinox,Season
somalia,2008,1 May,Thursday,May Day,Public Holiday
somalia,2008,18 May,Sunday,Restoration of Somaliland Sovereignty,Common local holiday
somalia,2008,19 May,Monday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
somalia,2008,21 Jun,Saturday,June Solstice,Season
somalia,2008,26 Jun,Thursday,Independence Day,Public Holiday
somalia,2008,1 Jul,Tuesday,Republic Day,Common local holiday
somalia,2008,31 Jul,Thursday,Isra and Mi'raj,Common local holiday
somalia,2008,22 Sep,Monday,September Equinox,Season
somalia,2008,2 Oct,Thursday,Eid al-Fitr,Public Holiday
somalia,2008,3 Oct,Friday,Eid al-Fitr Holiday,Common local holiday
somalia,2008,9 Dec,Tuesday,Eid al-Adha,Public Holiday
somalia,2008,10 Dec,Wednesday,Eid al-Adha Holiday,Common local holiday
somalia,2008,21 Dec,Sunday,December Solstice,Season
somalia,2008,29 Dec,Monday,Muharram,Common local holiday
somalia,2009,1 Jan,Thursday,New Year,Public Holiday
somalia,2009,7 Jan,Wednesday,Ashura,Public Holiday
somalia,2009,9 Mar,Monday,The Prophet's Birthday,Public Holiday
somalia,2009,20 Mar,Friday,March Equinox,Season
somalia,2009,1 May,Friday,May Day,Public Holiday
somalia,2009,18 May,Monday,Restoration of Somaliland Sovereignty,Common local holiday
somalia,2009,19 May,Tuesday,Restoration of Somaliland Sovereignty Holiday,Common local holiday
somalia,2009,21 Jun,Sunday,June Solstice,Season
somalia,2009,26 Jun,Friday,Independence Day,Public Holiday
