Geo,Event Year,Date,Day,Name,Type
south-africa,2000,1 Jan,Saturday,New Year's Day,Public Holiday
south-africa,2000,2 Jan,Sunday,Tweede Nuwe Jaar,Observance
south-africa,2000,3 Jan,Monday,Laylatul Qadr (Night of Power),Muslim
south-africa,2000,8 Jan,Saturday,Eid ul Fitr,Muslim
south-africa,2000,16 Mar,Thursday,Eid al-Adha,Muslim
south-africa,2000,20 Mar,Monday,March Equinox,Season
south-africa,2000,21 Mar,Tuesday,Human Rights Day,Public Holiday
south-africa,2000,6 Apr,Thursday,Muharram/Islamic New Year,Muslim
south-africa,2000,21 Apr,Friday,Good Friday,Public Holiday
south-africa,2000,22 Apr,Saturday,Holy Saturday,"Observance, Christian"
south-africa,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
south-africa,2000,24 Apr,Monday,Family Day,Public Holiday
south-africa,2000,27 Apr,Thursday,Freedom Day,Public Holiday
south-africa,2000,1 May,Monday,Workers' Day,Public Holiday
south-africa,2000,15 Jun,Thursday,Milad un Nabi (Mawlid),Muslim
south-africa,2000,15 Jun,Thursday,School holiday,Observance
south-africa,2000,16 Jun,Friday,Youth Day,Public Holiday
south-africa,2000,21 Jun,Wednesday,June Solstice,Season
south-africa,2000,9 Aug,Wednesday,National Women's Day,Public Holiday
south-africa,2000,22 Sep,Friday,September Equinox,Season
south-africa,2000,24 Sep,Sunday,Heritage Day,Public Holiday
south-africa,2000,25 Sep,Monday,Day off for Heritage Day,Public Holiday
south-africa,2000,26 Oct,Thursday,Isra and Mi'raj,Muslim
south-africa,2000,16 Dec,Saturday,Day of Reconciliation,Public Holiday
south-africa,2000,21 Dec,Thursday,December Solstice,Season
south-africa,2000,23 Dec,Saturday,Laylatul Qadr (Night of Power),Muslim
south-africa,2000,24 Dec,Sunday,Christmas Eve,"Observance, Christian"
south-africa,2000,25 Dec,Monday,Christmas Day,Public Holiday
south-africa,2000,26 Dec,Tuesday,Day of Goodwill,Public Holiday
south-africa,2000,28 Dec,Thursday,Eid ul Fitr,Muslim
south-africa,2000,31 Dec,Sunday,New Year's Eve,Observance
south-africa,2001,1 Jan,Monday,New Year's Day,Public Holiday
south-africa,2001,2 Jan,Tuesday,Tweede Nuwe Jaar,Observance
south-africa,2001,6 Mar,Tuesday,Eid al-Adha,Muslim
south-africa,2001,20 Mar,Tuesday,March Equinox,Season
south-africa,2001,21 Mar,Wednesday,Human Rights Day,Public Holiday
south-africa,2001,26 Mar,Monday,Muharram/Islamic New Year,Muslim
south-africa,2001,13 Apr,Friday,Good Friday,Public Holiday
south-africa,2001,14 Apr,Saturday,Holy Saturday,"Observance, Christian"
south-africa,2001,15 Apr,Sunday,Easter Sunday,"Observance, Christian"
south-africa,2001,16 Apr,Monday,Family Day,Public Holiday
south-africa,2001,27 Apr,Friday,Freedom Day,Public Holiday
south-africa,2001,1 May,Tuesday,Workers' Day,Public Holiday
south-africa,2001,4 Jun,Monday,Milad un Nabi (Mawlid),Muslim
