Geo,Event Year,Date,Day,Name,Type
south-sudan,2011,1 Jan,Saturday,New Year,Public Holiday
south-sudan,2011,9 Jan,Sunday,Peace Agreement Day,Public Holiday
south-sudan,2011,14 Feb,Monday,Valentine's Day,Observance
south-sudan,2011,8 Mar,Tuesday,International Women's Day,Observance
south-sudan,2011,21 Mar,Monday,March Equinox,Season
south-sudan,2011,24 Apr,Sunday,Easter Sunday,Public Holiday
south-sudan,2011,1 May,Sunday,May Day,Public Holiday
south-sudan,2011,2 May,Monday,Day off for May Day,Public Holiday
south-sudan,2011,16 May,Monday,SPLA Day,Public Holiday
south-sudan,2011,10 Jun,Friday,Father's Day,Observance
south-sudan,2011,21 Jun,Tuesday,June Solstice,Season
south-sudan,2011,4 Jul,Monday,Mother's Day,Observance
south-sudan,2011,9 Jul,Saturday,Independence Day,Public Holiday
south-sudan,2011,30 Jul,Saturday,Martyrs Day,Public Holiday
south-sudan,2011,31 Aug,Wednesday,Eid al-Fitr,Public Holiday
south-sudan,2011,23 Sep,Friday,September Equinox,Season
south-sudan,2011,7 Nov,Monday,Eid al-Adha,Public Holiday
south-sudan,2011,13 Nov,Sunday,Grandparents' Day,Observance
south-sudan,2011,22 Dec,Thursday,December Solstice,Season
south-sudan,2011,25 Dec,Sunday,Christmas Day,Public Holiday
south-sudan,2011,28 Dec,Wednesday,Republic Day,Observance
south-sudan,2011,31 Dec,Saturday,New Year's Eve,Observance
south-sudan,2012,1 Jan,Sunday,New Year,Public Holiday
south-sudan,2012,9 Jan,Monday,Peace Agreement Day,Public Holiday
south-sudan,2012,14 Feb,Tuesday,Valentine's Day,Observance
south-sudan,2012,8 Mar,Thursday,International Women's Day,Observance
south-sudan,2012,20 Mar,Tuesday,March Equinox,Season
south-sudan,2012,8 Apr,Sunday,Easter Sunday,Public Holiday
south-sudan,2012,1 May,Tuesday,May Day,Public Holiday
south-sudan,2012,16 May,Wednesday,SPLA Day,Public Holiday
south-sudan,2012,10 Jun,Sunday,Father's Day,Observance
south-sudan,2012,21 Jun,Thursday,June Solstice,Season
south-sudan,2012,2 Jul,Monday,Mother's Day,Observance
south-sudan,2012,9 Jul,Monday,Independence Day,Public Holiday
south-sudan,2012,30 Jul,Monday,Martyrs Day,Public Holiday
south-sudan,2012,19 Aug,Sunday,Eid al-Fitr,Public Holiday
south-sudan,2012,22 Sep,Saturday,September Equinox,Season
south-sudan,2012,26 Oct,Friday,Eid al-Adha,Public Holiday
south-sudan,2012,11 Nov,Sunday,Grandparents' Day,Observance
south-sudan,2012,21 Dec,Friday,December Solstice,Season
south-sudan,2012,25 Dec,Tuesday,Christmas Day,Public Holiday
south-sudan,2012,28 Dec,Friday,Republic Day,Observance
south-sudan,2012,31 Dec,Monday,New Year's Eve,Observance
south-sudan,2013,1 Jan,Tuesday,New Year,Public Holiday
south-sudan,2013,9 Jan,Wednesday,Peace Agreement Day,Public Holiday
south-sudan,2013,14 Feb,Thursday,Valentine's Day,Observance
south-sudan,2013,8 Mar,Friday,International Women's Day,Observance
south-sudan,2013,20 Mar,Wednesday,March Equinox,Season
south-sudan,2013,31 Mar,Sunday,Easter Sunday,Public Holiday
south-sudan,2013,1 May,Wednesday,May Day,Public Holiday
south-sudan,2013,16 May,Thursday,SPLA Day,Public Holiday
south-sudan,2013,10 Jun,Monday,Father's Day,Observance
south-sudan,2013,21 Jun,Friday,June Solstice,Season
south-sudan,2013,1 Jul,Monday,Mother's Day,Observance
south-sudan,2013,9 Jul,Tuesday,Independence Day,Public Holiday
south-sudan,2013,30 Jul,Tuesday,Martyrs Day,Public Holiday
south-sudan,2013,8 Aug,Thursday,Eid al-Fitr,Public Holiday
south-sudan,2013,22 Sep,Sunday,September Equinox,Season
south-sudan,2013,15 Oct,Tuesday,Eid al-Adha,Public Holiday
south-sudan,2013,10 Nov,Sunday,Grandparents' Day,Observance
south-sudan,2013,21 Dec,Saturday,December Solstice,Season
south-sudan,2013,25 Dec,Wednesday,Christmas Day,Public Holiday
south-sudan,2013,28 Dec,Saturday,Republic Day,Observance
south-sudan,2013,31 Dec,Tuesday,New Year's Eve,Observance
south-sudan,2014,1 Jan,Wednesday,New Year,Public Holiday
south-sudan,2014,9 Jan,Thursday,Peace Agreement Day,Public Holiday
south-sudan,2014,14 Feb,Friday,Valentine's Day,Observance
south-sudan,2014,8 Mar,Saturday,International Women's Day,Observance
south-sudan,2014,20 Mar,Thursday,March Equinox,Season
south-sudan,2014,20 Apr,Sunday,Easter Sunday,Public Holiday
south-sudan,2014,1 May,Thursday,May Day,Public Holiday
south-sudan,2014,16 May,Friday,SPLA Day,Public Holiday
south-sudan,2014,10 Jun,Tuesday,Father's Day,Observance
south-sudan,2014,21 Jun,Saturday,June Solstice,Season
south-sudan,2014,7 Jul,Monday,Mother's Day,Observance
south-sudan,2014,9 Jul,Wednesday,Independence Day,Public Holiday
south-sudan,2014,29 Jul,Tuesday,Eid al-Fitr,Public Holiday
south-sudan,2014,30 Jul,Wednesday,Martyrs Day,Public Holiday
south-sudan,2014,23 Sep,Tuesday,September Equinox,Season
south-sudan,2014,5 Oct,Sunday,Eid al-Adha,Public Holiday
south-sudan,2014,9 Nov,Sunday,Grandparents' Day,Observance
south-sudan,2014,22 Dec,Monday,December Solstice,Season
south-sudan,2014,25 Dec,Thursday,Christmas Day,Public Holiday
south-sudan,2014,28 Dec,Sunday,Republic Day,Observance
south-sudan,2014,31 Dec,Wednesday,New Year's Eve,Observance
south-sudan,2015,1 Jan,Thursday,New Year,Public Holiday
south-sudan,2015,9 Jan,Friday,Peace Agreement Day,Public Holiday
south-sudan,2015,14 Feb,Saturday,Valentine's Day,Observance
south-sudan,2015,8 Mar,Sunday,International Women's Day,Observance
south-sudan,2015,21 Mar,Saturday,March Equinox,Season
south-sudan,2015,5 Apr,Sunday,Easter Sunday,Public Holiday
south-sudan,2015,1 May,Friday,May Day,Public Holiday
south-sudan,2015,16 May,Saturday,SPLA Day,Public Holiday
south-sudan,2015,10 Jun,Wednesday,Father's Day,Observance
south-sudan,2015,21 Jun,Sunday,June Solstice,Season
south-sudan,2015,6 Jul,Monday,Mother's Day,Observance
south-sudan,2015,9 Jul,Thursday,Independence Day,Public Holiday
south-sudan,2015,18 Jul,Saturday,Eid al-Fitr,Public Holiday
south-sudan,2015,30 Jul,Thursday,Martyrs Day,Public Holiday
south-sudan,2015,23 Sep,Wednesday,September Equinox,Season
south-sudan,2015,24 Sep,Thursday,Eid al-Adha,Public Holiday
south-sudan,2015,8 Nov,Sunday,Grandparents' Day,Observance
south-sudan,2015,22 Dec,Tuesday,December Solstice,Season
south-sudan,2015,25 Dec,Friday,Christmas Day,Public Holiday
south-sudan,2015,28 Dec,Monday,Republic Day,Observance
south-sudan,2015,31 Dec,Thursday,New Year's Eve,Observance
south-sudan,2016,1 Jan,Friday,New Year,Public Holiday
south-sudan,2016,9 Jan,Saturday,Peace Agreement Day,Public Holiday
south-sudan,2016,14 Feb,Sunday,Valentine's Day,Observance
south-sudan,2016,8 Mar,Tuesday,International Women's Day,Observance
south-sudan,2016,20 Mar,Sunday,March Equinox,Season
south-sudan,2016,27 Mar,Sunday,Easter Sunday,Public Holiday
south-sudan,2016,1 May,Sunday,May Day,Public Holiday
south-sudan,2016,2 May,Monday,Day off for May Day,Public Holiday
south-sudan,2016,16 May,Monday,SPLA Day,Public Holiday
south-sudan,2016,10 Jun,Friday,Father's Day,Observance
south-sudan,2016,21 Jun,Tuesday,June Solstice,Season
