Geo,Event Year,Date,Day,Name,Type
spain,2000,1 Jan,Saturday,New Year's Day,National holiday
spain,2000,2 Jan,Sunday,Reconquest Day,Observance
spain,2000,6 Jan,Thursday,Epiphany,National holiday
spain,2000,14 Feb,Monday,Valentine's Day,Observance
spain,2000,28 Feb,Monday,Day of Andalucía,Autonomous Community Holiday
spain,2000,1 Mar,Wednesday,Day of the Balearic Islands,Local holiday
spain,2000,6 Mar,Monday,Carnival Monday,Observance
spain,2000,7 Mar,Tuesday,Carnival Tuesday,Observance
spain,2000,8 Mar,Wednesday,Ash Wednesday,Observance
spain,2000,13 Mar,Monday,Statute of the Autonomous City of Melilla Day,Observance
spain,2000,19 Mar,Sunday,Fathers' Day,Observance
spain,2000,19 Mar,Sunday,San Jose,Common local holiday
spain,2000,19 Mar,Sunday,San Jose,Observance
spain,2000,20 Mar,Monday,March Equinox,Season
spain,2000,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
spain,2000,16 Apr,Sunday,Palm Sunday,Observance
spain,2000,20 Apr,Thursday,Maundy Thursday,Observance
spain,2000,20 Apr,Thursday,Maundy Thursday,Autonomous Community Holiday
spain,2000,21 Apr,Friday,Good Friday,National holiday
spain,2000,22 Apr,Saturday,Holy Saturday,Observance
spain,2000,23 Apr,Sunday,Easter Sunday,Observance
spain,2000,23 Apr,Sunday,St George's Day,Local holiday
spain,2000,23 Apr,Sunday,St George's Day,Observance
spain,2000,23 Apr,Sunday,Castile and León Day,Autonomous Community Holiday
spain,2000,24 Apr,Monday,Easter Monday,Observance
spain,2000,24 Apr,Monday,Easter Monday,Autonomous Community Holiday
spain,2000,1 May,Monday,Labor Day / May Day,National holiday
spain,2000,2 May,Tuesday,Day of Madrid,Autonomous Community Holiday
spain,2000,7 May,Sunday,Mothers' Day,Observance
spain,2000,17 May,Wednesday,Galicia Literature Day,Autonomous Community Holiday
spain,2000,30 May,Tuesday,Day of the Canary Islands,Local holiday
spain,2000,31 May,Wednesday,Day of Castile-La Mancha,Autonomous Community Holiday
spain,2000,9 Jun,Friday,Day of Murcia,Autonomous Community Holiday
spain,2000,9 Jun,Friday,Day of La Rioja,Autonomous Community Holiday
spain,2000,11 Jun,Sunday,Whit Sunday/Pentecost,Observance
spain,2000,12 Jun,Monday,Whit Monday,Observance
spain,2000,13 Jun,Tuesday,San Antonio,Autonomous Community Holiday
