Geo,Event Year,Date,Day,Name,Type
sri-lanka,2014,14 Jan,Tuesday,Milad-Un-Nabi (Holy Prophet's Birthday),Public Holiday
sri-lanka,2014,14 Jan,Tuesday,Tamil Thai Pongal Day,Public Holiday
sri-lanka,2014,15 Jan,Wednesday,Duruthu Full Moon Poya Day,Public Holiday
sri-lanka,2014,4 Feb,Tuesday,National Day,Public Holiday
sri-lanka,2014,14 Feb,Friday,Navam Full Moon Poya Day,Public Holiday
sri-lanka,2014,14 Feb,Friday,Valentine's Day,Observance
sri-lanka,2014,27 Feb,Thursday,Mahasivarathri Day,Public Holiday
sri-lanka,2014,16 Mar,Sunday,Madin Full Moon Poya Day,Public Holiday
sri-lanka,2014,17 Mar,Monday,Holi,Hindu Holiday
sri-lanka,2014,20 Mar,Thursday,March Equinox,Season
sri-lanka,2014,13 Apr,Sunday,Sinhala and Tamil New Year's Eve,Public Holiday
sri-lanka,2014,14 Apr,Monday,Bak Full Moon Poya Day,Public Holiday
sri-lanka,2014,14 Apr,Monday,Sinhala and Tamil New Year's Day,Public Holiday
sri-lanka,2014,18 Apr,Friday,Good Friday,Public Holiday
sri-lanka,2014,20 Apr,Sunday,Easter Sunday,Observance
sri-lanka,2014,1 May,Thursday,May Day,Public Holiday
sri-lanka,2014,11 May,Sunday,Mother's Day,Observance
sri-lanka,2014,14 May,Wednesday,Vesak Full Moon Poya Day,Public Holiday
sri-lanka,2014,15 May,Thursday,Day after Vesak Full Moon Poya Day,Public Holiday
sri-lanka,2014,12 Jun,Thursday,Poson Full Moon Poya Day,Public Holiday
sri-lanka,2014,15 Jun,Sunday,Father's Day,Observance
sri-lanka,2014,21 Jun,Saturday,June Solstice,Season
sri-lanka,2014,12 Jul,Saturday,Esala Full Moon Poya Day,Public Holiday
sri-lanka,2014,29 Jul,Tuesday,Eid al-Fitr,Public Holiday
sri-lanka,2014,10 Aug,Sunday,Raksha Bandhan,Hindu Holiday
sri-lanka,2014,10 Aug,Sunday,Nikini Full Moon Poya Day,Public Holiday
sri-lanka,2014,17 Aug,Sunday,Janmashtami,Hindu Holiday
sri-lanka,2014,29 Aug,Friday,Ganesh Chaturthi,Hindu Holiday
sri-lanka,2014,8 Sep,Monday,Binara Full Moon Poya Day,Public Holiday
sri-lanka,2014,23 Sep,Tuesday,September Equinox,Season
sri-lanka,2014,25 Sep,Thursday,First Day of Navaratri,Hindu Holiday
sri-lanka,2014,3 Oct,Friday,Dussehra,Hindu Holiday
sri-lanka,2014,5 Oct,Sunday,Eid al-Adha,Public Holiday
sri-lanka,2014,8 Oct,Wednesday,Vap Full Moon Poya Day,Public Holiday
sri-lanka,2014,22 Oct,Wednesday,Deepavali,Public Holiday
sri-lanka,2014,6 Nov,Thursday,Il Full Moon Poya Day,Public Holiday
sri-lanka,2014,6 Dec,Saturday,Unduvap Full Moon Poya Day,Public Holiday
sri-lanka,2014,22 Dec,Monday,December Solstice,Season
sri-lanka,2014,24 Dec,Wednesday,Christmas Eve,Observance
sri-lanka,2014,25 Dec,Thursday,Christmas Day,Public Holiday
sri-lanka,2015,3 Jan,Saturday,Milad-Un-Nabi (Holy Prophet's Birthday),Public Holiday
sri-lanka,2015,4 Jan,Sunday,Duruthu Full Moon Poya Day,Public Holiday
sri-lanka,2015,4 Jan,Sunday,Milad-Un-Nabi (Holy Prophet's Birthday),Public Holiday
sri-lanka,2015,14 Jan,Wednesday,Special Public Holiday,Public Holiday
sri-lanka,2015,15 Jan,Thursday,Tamil Thai Pongal Day,Public Holiday
sri-lanka,2015,3 Feb,Tuesday,Navam Full Moon Poya Day,Public Holiday
sri-lanka,2015,4 Feb,Wednesday,National Day,Public Holiday
sri-lanka,2015,14 Feb,Saturday,Valentine's Day,Observance
sri-lanka,2015,17 Feb,Tuesday,Mahasivarathri Day,Public Holiday
sri-lanka,2015,5 Mar,Thursday,Madin Full Moon Poya Day,Public Holiday
sri-lanka,2015,6 Mar,Friday,Holi,Hindu Holiday
sri-lanka,2015,21 Mar,Saturday,March Equinox,Season
sri-lanka,2015,3 Apr,Friday,Bak Full Moon Poya Day,Public Holiday
sri-lanka,2015,3 Apr,Friday,Good Friday,Public Holiday
sri-lanka,2015,5 Apr,Sunday,Easter Sunday,Observance
sri-lanka,2015,13 Apr,Monday,Sinhala and Tamil New Year's Eve,Public Holiday
sri-lanka,2015,14 Apr,Tuesday,Sinhala and Tamil New Year's Day,Public Holiday
sri-lanka,2015,1 May,Friday,May Day,Public Holiday
sri-lanka,2015,3 May,Sunday,Vesak Full Moon Poya Day,Public Holiday
sri-lanka,2015,4 May,Monday,Day after Vesak Full Moon Poya Day,Public Holiday
sri-lanka,2015,10 May,Sunday,Mother's Day,Observance
sri-lanka,2015,2 Jun,Tuesday,Poson Full Moon Poya Day,Public Holiday
sri-lanka,2015,21 Jun,Sunday,Father's Day,Observance
sri-lanka,2015,21 Jun,Sunday,June Solstice,Season
sri-lanka,2015,1 Jul,Wednesday,Esala Full Moon Poya Day,Public Holiday
