Geo,Event Year,Date,Day,Name,Type
suriname,2014,1 Jan,Wednesday,New Year,Public Holiday
suriname,2014,25 Feb,Tuesday,Revolution Day,Public Holiday
suriname,2014,20 Mar,Thursday,March Equinox,Season
suriname,2014,18 Apr,Friday,Good Friday,Public Holiday
suriname,2014,20 Apr,Sunday,Easter Sunday,"Observance, Christian"
suriname,2014,21 Apr,Monday,Easter Monday,Public Holiday
suriname,2014,1 May,Thursday,Labor Day,Public Holiday
suriname,2014,21 Jun,Saturday,June Solstice,Season
suriname,2014,1 Jul,Tuesday,Freedom Day,Public Holiday
suriname,2014,29 Jul,Tuesday,Eid al-Fitr,Public Holiday
suriname,2014,9 Aug,Saturday,Indigenous Peoples Day,Public Holiday
suriname,2014,22 Sep,Monday,September Equinox,Season
suriname,2014,5 Oct,Sunday,Eid al-Adha,Public Holiday
suriname,2014,10 Oct,Friday,Day of the Maroons,Public Holiday
suriname,2014,23 Oct,Thursday,Diwali,Public Holiday
suriname,2014,25 Nov,Tuesday,Independence Day,Public Holiday
suriname,2014,21 Dec,Sunday,December Solstice,Season
suriname,2014,25 Dec,Thursday,Christmas Day,Public Holiday
suriname,2014,26 Dec,Friday,Boxing Day,Public Holiday
suriname,2015,1 Jan,Thursday,New Year,Public Holiday
suriname,2015,19 Feb,Thursday,Lunar New Year,Public Holiday
suriname,2015,25 Feb,Wednesday,Revolution Day,Public Holiday
suriname,2015,6 Mar,Friday,Holi Phagwa,Public Holiday
suriname,2015,20 Mar,Friday,March Equinox,Season
suriname,2015,3 Apr,Friday,Good Friday,Public Holiday
suriname,2015,5 Apr,Sunday,Easter Sunday,"Observance, Christian"
suriname,2015,6 Apr,Monday,Easter Monday,Public Holiday
suriname,2015,1 May,Friday,Labor Day,Public Holiday
suriname,2015,21 Jun,Sunday,June Solstice,Season
suriname,2015,1 Jul,Wednesday,Freedom Day,Public Holiday
suriname,2015,18 Jul,Saturday,Eid al-Fitr,Public Holiday
suriname,2015,9 Aug,Sunday,Indigenous Peoples Day,Public Holiday
suriname,2015,23 Sep,Wednesday,September Equinox,Season
suriname,2015,24 Sep,Thursday,Eid al-Adha,Public Holiday
suriname,2015,10 Oct,Saturday,Day of the Maroons,Public Holiday
suriname,2015,11 Nov,Wednesday,Diwali,Public Holiday
suriname,2015,25 Nov,Wednesday,Independence Day,Public Holiday
suriname,2015,22 Dec,Tuesday,December Solstice,Season
suriname,2015,25 Dec,Friday,Christmas Day,Public Holiday
suriname,2015,26 Dec,Saturday,Boxing Day,Public Holiday
suriname,2016,1 Jan,Friday,New Year,Public Holiday
suriname,2016,8 Feb,Monday,Lunar New Year,Public Holiday
suriname,2016,25 Feb,Thursday,Revolution Day,Public Holiday
suriname,2016,20 Mar,Sunday,March Equinox,Season
suriname,2016,23 Mar,Wednesday,Holi Phagwa,Public Holiday
suriname,2016,25 Mar,Friday,Good Friday,Public Holiday
suriname,2016,27 Mar,Sunday,Easter Sunday,"Observance, Christian"
suriname,2016,28 Mar,Monday,Easter Monday,Public Holiday
suriname,2016,1 May,Sunday,Labor Day,Public Holiday
suriname,2016,20 Jun,Monday,June Solstice,Season
suriname,2016,1 Jul,Friday,Freedom Day,Public Holiday
suriname,2016,7 Jul,Thursday,Eid al-Fitr,Public Holiday
suriname,2016,9 Aug,Tuesday,Indigenous Peoples Day,Public Holiday
suriname,2016,13 Sep,Tuesday,Eid al-Adha,Public Holiday
suriname,2016,22 Sep,Thursday,September Equinox,Season
suriname,2016,10 Oct,Monday,Day of the Maroons,Public Holiday
suriname,2016,30 Oct,Sunday,Diwali,Public Holiday
suriname,2016,25 Nov,Friday,Independence Day,Public Holiday
suriname,2016,21 Dec,Wednesday,December Solstice,Season
suriname,2016,25 Dec,Sunday,Christmas Day,Public Holiday
suriname,2016,26 Dec,Monday,Boxing Day,Public Holiday
suriname,2017,1 Jan,Sunday,New Year,Public Holiday
suriname,2017,28 Jan,Saturday,Lunar New Year,Public Holiday
suriname,2017,25 Feb,Saturday,Revolution Day,Public Holiday
suriname,2017,12 Mar,Sunday,Holi Phagwa,Public Holiday
suriname,2017,20 Mar,Monday,March Equinox,Season
suriname,2017,14 Apr,Friday,Good Friday,Public Holiday
suriname,2017,16 Apr,Sunday,Easter Sunday,"Observance, Christian"
suriname,2017,17 Apr,Monday,Easter Monday,Public Holiday
suriname,2017,1 May,Monday,Labor Day,Public Holiday
suriname,2017,21 Jun,Wednesday,June Solstice,Season
suriname,2017,26 Jun,Monday,Eid al-Fitr,Public Holiday
