Geo,Event Year,Date,Day,Name,Type
swaziland,2000,1 Jan,Saturday,New Year,Public Holiday
swaziland,2000,20 Mar,Monday,March Equinox,Season
swaziland,2000,19 Apr,Wednesday,Birthday of King Mswati III,Public Holiday
swaziland,2000,21 Apr,Friday,Good Friday,Public Holiday
swaziland,2000,24 Apr,Monday,Easter Monday,Public Holiday
swaziland,2000,25 Apr,Tuesday,National Flag Day,Public Holiday
swaziland,2000,1 May,Monday,May Day,Public Holiday
swaziland,2000,1 Jun,Thursday,Ascension Day,Public Holiday
swaziland,2000,21 Jun,Wednesday,June Solstice,Season
swaziland,2000,22 Jul,Saturday,Birthday of the late King Sobhuza,Public Holiday
swaziland,2000,4 Sep,Monday,Umhlanga Reed Dance,Public Holiday
swaziland,2000,6 Sep,Wednesday,Somhlolo Day (Independence Day),Public Holiday
swaziland,2000,22 Sep,Friday,September Equinox,Season
swaziland,2000,21 Dec,Thursday,December Solstice,Season
swaziland,2000,25 Dec,Monday,Christmas Day,Public Holiday
swaziland,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
swaziland,2000,28 Dec,Thursday,Incwala Day,Public Holiday
swaziland,2001,1 Jan,Monday,New Year,Public Holiday
swaziland,2001,20 Mar,Tuesday,March Equinox,Season
swaziland,2001,13 Apr,Friday,Good Friday,Public Holiday
swaziland,2001,16 Apr,Monday,Easter Monday,Public Holiday
swaziland,2001,19 Apr,Thursday,Birthday of King Mswati III,Public Holiday
swaziland,2001,25 Apr,Wednesday,National Flag Day,Public Holiday
swaziland,2001,1 May,Tuesday,May Day,Public Holiday
swaziland,2001,24 May,Thursday,Ascension Day,Public Holiday
swaziland,2001,21 Jun,Thursday,June Solstice,Season
swaziland,2001,22 Jul,Sunday,Birthday of the late King Sobhuza,Public Holiday
swaziland,2001,3 Sep,Monday,Umhlanga Reed Dance,Public Holiday
swaziland,2001,6 Sep,Thursday,Somhlolo Day (Independence Day),Public Holiday
swaziland,2001,23 Sep,Sunday,September Equinox,Season
