Geo,Event Year,Date,Day,Name,Type
sweden,2000,1 Jan,Saturday,New Year's Day,Public holiday
sweden,2000,5 Jan,Wednesday,Twelfth Night,De facto half holiday
sweden,2000,6 Jan,Thursday,Epiphany,Public holiday
sweden,2000,14 Feb,Monday,Valentine's Day,Observance
sweden,2000,20 Mar,Monday,March Equinox,Season
sweden,2000,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
sweden,2000,21 Apr,Friday,Good Friday,Public holiday
sweden,2000,22 Apr,Saturday,Holy Saturday,De facto holiday
sweden,2000,23 Apr,Sunday,Easter Sunday,Public holiday
sweden,2000,24 Apr,Monday,Easter Monday,Public holiday
sweden,2000,30 Apr,Sunday,Walpurgis Night,De facto half holiday
sweden,2000,1 May,Monday,May 1st,Public holiday
sweden,2000,28 May,Sunday,Mother's Day,Observance
sweden,2000,1 Jun,Thursday,Ascension Day,Public holiday
sweden,2000,6 Jun,Tuesday,National day,De facto holiday
sweden,2000,10 Jun,Saturday,Whit Saturday,Public holiday
sweden,2000,11 Jun,Sunday,Whit Sunday,Public holiday
sweden,2000,12 Jun,Monday,Whit Monday,Public holiday
sweden,2000,21 Jun,Wednesday,June Solstice,Season
sweden,2000,23 Jun,Friday,Midsummer Eve,De facto and Bank holiday
sweden,2000,24 Jun,Saturday,Midsummer Day,Public holiday
sweden,2000,22 Sep,Friday,September Equinox,Season
sweden,2000,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
sweden,2000,3 Nov,Friday,All Saints' Eve,De facto half holiday
sweden,2000,4 Nov,Saturday,All Saints' Day,Public holiday
sweden,2000,12 Nov,Sunday,Father's Day,Observance
sweden,2000,3 Dec,Sunday,First Advent Sunday,"Observance, Christian"
sweden,2000,10 Dec,Sunday,Second Advent Sunday,"Observance, Christian"
sweden,2000,17 Dec,Sunday,Third Advent Sunday,"Observance, Christian"
sweden,2000,21 Dec,Thursday,December Solstice,Season
sweden,2000,24 Dec,Sunday,Christmas Eve,De facto holiday
sweden,2000,24 Dec,Sunday,Fourth Advent Sunday,"Observance, Christian"
sweden,2000,25 Dec,Monday,Christmas Day,Public holiday
sweden,2000,26 Dec,Tuesday,Boxing Day,Public holiday
sweden,2000,31 Dec,Sunday,New Year's Eve,De facto and Bank holiday
sweden,2001,1 Jan,Monday,New Year's Day,Public holiday
sweden,2001,5 Jan,Friday,Twelfth Night,De facto half holiday
sweden,2001,6 Jan,Saturday,Epiphany,Public holiday
sweden,2001,14 Feb,Wednesday,Valentine's Day,Observance
sweden,2001,20 Mar,Tuesday,March Equinox,Season
sweden,2001,25 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
sweden,2001,13 Apr,Friday,Good Friday,Public holiday
sweden,2001,14 Apr,Saturday,Holy Saturday,De facto holiday
sweden,2001,15 Apr,Sunday,Easter Sunday,Public holiday
