Geo,Event Year,Date,Day,Name,Type
switzerland,2000,1 Jan,Saturday,New Year's Day,Common local holiday
switzerland,2000,2 Jan,Sunday,Berchtold Day,Common local holiday
switzerland,2000,6 Jan,Thursday,Epiphany,Common local holiday
switzerland,2000,14 Feb,Monday,Valentine's Day,Observance
switzerland,2000,1 Mar,Wednesday,Republic Day,Common local holiday
switzerland,2000,19 Mar,Sunday,Saint Joseph's Day,Common local holiday
switzerland,2000,20 Mar,Monday,March Equinox,Season
switzerland,2000,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
switzerland,2000,6 Apr,Thursday,Näfels Procession,Common local holiday
switzerland,2000,21 Apr,Friday,Good Friday,Common local holiday
switzerland,2000,23 Apr,Sunday,Easter Sunday,Observance
switzerland,2000,24 Apr,Monday,Easter Monday,Common local holiday
switzerland,2000,1 May,Monday,May Day (Half-Day),Common local holiday
switzerland,2000,14 May,Sunday,Mothers' Day,Observance
switzerland,2000,1 Jun,Thursday,Ascension Day,Common local holiday
switzerland,2000,11 Jun,Sunday,Pentecost,Observance
switzerland,2000,12 Jun,Monday,Pentecost Monday,Common local holiday
switzerland,2000,21 Jun,Wednesday,June Solstice,Season
switzerland,2000,22 Jun,Thursday,Corpus Christi,Common local holiday
switzerland,2000,23 Jun,Friday,Jura Independence Day,Common local holiday
switzerland,2000,29 Jun,Thursday,St. Peter and St. Paul,Common local holiday
switzerland,2000,1 Aug,Tuesday,Swiss National Day,National holiday
switzerland,2000,15 Aug,Tuesday,Assumption of Mary,Common local holiday
switzerland,2000,7 Sep,Thursday,Genevese Fast,Common local holiday
switzerland,2000,9 Sep,Saturday,Knabenschiessen,Observance
switzerland,2000,10 Sep,Sunday,Knabenschiessen,Observance
switzerland,2000,11 Sep,Monday,Knabenschiessen,Observance
switzerland,2000,17 Sep,Sunday,Swiss Federal Fast,Common local holiday
switzerland,2000,18 Sep,Monday,Federal Fast Monday,Common local holiday
switzerland,2000,22 Sep,Friday,Mauritius Day,Common local holiday
switzerland,2000,22 Sep,Friday,September Equinox,Season
switzerland,2000,25 Sep,Monday,St. Nicholas of Flüe,Common local holiday
switzerland,2000,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
switzerland,2000,1 Nov,Wednesday,All Saints' Day,Common local holiday
switzerland,2000,8 Dec,Friday,Immaculate Conception,Common local holiday
switzerland,2000,21 Dec,Thursday,December Solstice,Season
switzerland,2000,24 Dec,Sunday,Christmas Eve,Observance
switzerland,2000,25 Dec,Monday,Christmas Day,Common local holiday
switzerland,2000,26 Dec,Tuesday,St. Stephen's Day,Common local holiday
switzerland,2000,31 Dec,Sunday,New Year's Eve,Observance
switzerland,2000,31 Dec,Sunday,Restoration Day,Common local holiday
switzerland,2001,1 Jan,Monday,New Year's Day,Common local holiday
switzerland,2001,2 Jan,Tuesday,Berchtold Day,Common local holiday
switzerland,2001,6 Jan,Saturday,Epiphany,Common local holiday
switzerland,2001,14 Feb,Wednesday,Valentine's Day,Observance
switzerland,2001,1 Mar,Thursday,Republic Day,Common local holiday
switzerland,2001,19 Mar,Monday,Saint Joseph's Day,Common local holiday
switzerland,2001,20 Mar,Tuesday,March Equinox,Season
switzerland,2001,25 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
switzerland,2001,5 Apr,Thursday,Näfels Procession,Common local holiday
switzerland,2001,13 Apr,Friday,Good Friday,Common local holiday
switzerland,2001,15 Apr,Sunday,Easter Sunday,Observance
switzerland,2001,16 Apr,Monday,Easter Monday,Common local holiday
switzerland,2001,1 May,Tuesday,May Day (Half-Day),Common local holiday
switzerland,2001,13 May,Sunday,Mothers' Day,Observance
switzerland,2001,24 May,Thursday,Ascension Day,Common local holiday
switzerland,2001,3 Jun,Sunday,Pentecost,Observance
switzerland,2001,4 Jun,Monday,Pentecost Monday,Common local holiday
switzerland,2001,14 Jun,Thursday,Corpus Christi,Common local holiday
switzerland,2001,21 Jun,Thursday,June Solstice,Season
switzerland,2001,23 Jun,Saturday,Jura Independence Day,Common local holiday
switzerland,2001,29 Jun,Friday,St. Peter and St. Paul,Common local holiday
switzerland,2001,1 Aug,Wednesday,Swiss National Day,National holiday
switzerland,2001,15 Aug,Wednesday,Assumption of Mary,Common local holiday
switzerland,2001,6 Sep,Thursday,Genevese Fast,Common local holiday
switzerland,2001,8 Sep,Saturday,Knabenschiessen,Observance
switzerland,2001,9 Sep,Sunday,Knabenschiessen,Observance
switzerland,2001,10 Sep,Monday,Knabenschiessen,Observance
switzerland,2001,16 Sep,Sunday,Swiss Federal Fast,Common local holiday
switzerland,2001,17 Sep,Monday,Federal Fast Monday,Common local holiday
switzerland,2001,22 Sep,Saturday,Mauritius Day,Common local holiday
switzerland,2001,23 Sep,Sunday,September Equinox,Season
switzerland,2001,25 Sep,Tuesday,St. Nicholas of Flüe,Common local holiday
switzerland,2001,28 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
switzerland,2001,1 Nov,Thursday,All Saints' Day,Common local holiday
switzerland,2001,8 Dec,Saturday,Immaculate Conception,Common local holiday
switzerland,2001,21 Dec,Friday,December Solstice,Season
switzerland,2001,24 Dec,Monday,Christmas Eve,Observance
switzerland,2001,25 Dec,Tuesday,Christmas Day,Common local holiday
switzerland,2001,26 Dec,Wednesday,St. Stephen's Day,Common local holiday
switzerland,2001,31 Dec,Monday,New Year's Eve,Observance
switzerland,2001,31 Dec,Monday,Restoration Day,Common local holiday
switzerland,2002,1 Jan,Tuesday,New Year's Day,Common local holiday
switzerland,2002,2 Jan,Wednesday,Berchtold Day,Common local holiday
switzerland,2002,6 Jan,Sunday,Epiphany,Common local holiday
switzerland,2002,14 Feb,Thursday,Valentine's Day,Observance
switzerland,2002,1 Mar,Friday,Republic Day,Common local holiday
switzerland,2002,19 Mar,Tuesday,Saint Joseph's Day,Common local holiday
switzerland,2002,20 Mar,Wednesday,March Equinox,Season
switzerland,2002,29 Mar,Friday,Good Friday,Common local holiday
switzerland,2002,31 Mar,Sunday,Easter Sunday,Observance
switzerland,2002,31 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
switzerland,2002,1 Apr,Monday,Easter Monday,Common local holiday
switzerland,2002,4 Apr,Thursday,Näfels Procession,Common local holiday
switzerland,2002,1 May,Wednesday,May Day (Half-Day),Common local holiday
switzerland,2002,9 May,Thursday,Ascension Day,Common local holiday
switzerland,2002,12 May,Sunday,Mothers' Day,Observance
switzerland,2002,19 May,Sunday,Pentecost,Observance
switzerland,2002,20 May,Monday,Pentecost Monday,Common local holiday
switzerland,2002,30 May,Thursday,Corpus Christi,Common local holiday
switzerland,2002,21 Jun,Friday,June Solstice,Season
switzerland,2002,23 Jun,Sunday,Jura Independence Day,Common local holiday
switzerland,2002,29 Jun,Saturday,St. Peter and St. Paul,Common local holiday
switzerland,2002,1 Aug,Thursday,Swiss National Day,National holiday
switzerland,2002,15 Aug,Thursday,Assumption of Mary,Common local holiday
switzerland,2002,5 Sep,Thursday,Genevese Fast,Common local holiday
switzerland,2002,7 Sep,Saturday,Knabenschiessen,Observance
switzerland,2002,8 Sep,Sunday,Knabenschiessen,Observance
