Geo,Event Year,Date,Day,Name,Type
syria,2000,1 Jan,Saturday,New Year,Public Holiday
syria,2000,8 Jan,Saturday,Eid al-Fitr,Public Holiday
syria,2000,8 Mar,Wednesday,Revolution Day,Public Holiday
syria,2000,16 Mar,Thursday,Eid al-Adha,Public Holiday
syria,2000,20 Mar,Monday,March Equinox,Season
syria,2000,21 Mar,Tuesday,Mothers' Day,Public Holiday
syria,2000,1 Apr,Saturday,Daylight Saving Time starts,Clock change/Daylight Saving Time
syria,2000,6 Apr,Thursday,Muharram,Public Holiday
syria,2000,17 Apr,Monday,Evacuation Day,Public Holiday
syria,2000,23 Apr,Sunday,Easter Sunday,Observance
syria,2000,30 Apr,Sunday,Orthodox Easter Day,Public Holiday
syria,2000,1 May,Monday,Labor Day,Public Holiday
syria,2000,6 May,Saturday,Martyrs' Day,Public Holiday
syria,2000,15 Jun,Thursday,The Prophet's Birthday,Public Holiday
syria,2000,21 Jun,Wednesday,June Solstice,Season
syria,2000,1 Aug,Tuesday,Armed Forces Day,Observance
syria,2000,22 Sep,Friday,September Equinox,Season
syria,2000,1 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
syria,2000,6 Oct,Friday,October Liberation Day,Public Holiday
syria,2000,21 Dec,Thursday,December Solstice,Season
syria,2000,25 Dec,Monday,Christmas Day,Public Holiday
syria,2000,28 Dec,Thursday,Eid al-Fitr,Public Holiday
syria,2001,1 Jan,Monday,New Year,Public Holiday
syria,2001,6 Mar,Tuesday,Eid al-Adha,Public Holiday
syria,2001,8 Mar,Thursday,Revolution Day,Public Holiday
syria,2001,20 Mar,Tuesday,March Equinox,Season
syria,2001,21 Mar,Wednesday,Mothers' Day,Public Holiday
syria,2001,26 Mar,Monday,Muharram,Public Holiday
syria,2001,1 Apr,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
syria,2001,15 Apr,Sunday,Easter Sunday,Observance
syria,2001,15 Apr,Sunday,Orthodox Easter Day,Public Holiday
syria,2001,17 Apr,Tuesday,Evacuation Day,Public Holiday
syria,2001,1 May,Tuesday,Labor Day,Public Holiday
syria,2001,6 May,Sunday,Martyrs' Day,Public Holiday
syria,2001,4 Jun,Monday,The Prophet's Birthday,Public Holiday
syria,2001,21 Jun,Thursday,June Solstice,Season
syria,2001,1 Aug,Wednesday,Armed Forces Day,Observance
syria,2001,23 Sep,Sunday,September Equinox,Season
syria,2001,1 Oct,Monday,Daylight Saving Time ends,Clock change/Daylight Saving Time
syria,2001,6 Oct,Saturday,October Liberation Day,Public Holiday
syria,2001,17 Dec,Monday,Eid al-Fitr,Public Holiday
syria,2001,21 Dec,Friday,December Solstice,Season
syria,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
syria,2002,1 Jan,Tuesday,New Year,Public Holiday
syria,2002,23 Feb,Saturday,Eid al-Adha,Public Holiday
syria,2002,8 Mar,Friday,Revolution Day,Public Holiday
syria,2002,15 Mar,Friday,Muharram,Public Holiday
syria,2002,20 Mar,Wednesday,March Equinox,Season
syria,2002,21 Mar,Thursday,Mothers' Day,Public Holiday
syria,2002,31 Mar,Sunday,Easter Sunday,Observance
syria,2002,1 Apr,Monday,Daylight Saving Time starts,Clock change/Daylight Saving Time
syria,2002,17 Apr,Wednesday,Evacuation Day,Public Holiday
syria,2002,1 May,Wednesday,Labor Day,Public Holiday
syria,2002,5 May,Sunday,Orthodox Easter Day,Public Holiday
syria,2002,6 May,Monday,Martyrs' Day,Public Holiday
syria,2002,24 May,Friday,The Prophet's Birthday,Public Holiday
syria,2002,21 Jun,Friday,June Solstice,Season
syria,2002,1 Aug,Thursday,Armed Forces Day,Observance
syria,2002,23 Sep,Monday,September Equinox,Season
syria,2002,1 Oct,Tuesday,Daylight Saving Time ends,Clock change/Daylight Saving Time
syria,2002,6 Oct,Sunday,October Liberation Day,Public Holiday
syria,2002,6 Dec,Friday,Eid al-Fitr,Public Holiday
syria,2002,22 Dec,Sunday,December Solstice,Season
syria,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
syria,2003,1 Jan,Wednesday,New Year,Public Holiday
syria,2003,12 Feb,Wednesday,Eid al-Adha,Public Holiday
syria,2003,5 Mar,Wednesday,Muharram,Public Holiday
syria,2003,8 Mar,Saturday,Revolution Day,Public Holiday
syria,2003,21 Mar,Friday,Mothers' Day,Public Holiday
syria,2003,21 Mar,Friday,March Equinox,Season
syria,2003,1 Apr,Tuesday,Daylight Saving Time starts,Clock change/Daylight Saving Time
syria,2003,17 Apr,Thursday,Evacuation Day,Public Holiday
syria,2003,20 Apr,Sunday,Easter Sunday,Observance
syria,2003,27 Apr,Sunday,Orthodox Easter Day,Public Holiday
syria,2003,1 May,Thursday,Labor Day,Public Holiday
syria,2003,6 May,Tuesday,Martyrs' Day,Public Holiday
syria,2003,14 May,Wednesday,The Prophet's Birthday,Public Holiday
syria,2003,21 Jun,Saturday,June Solstice,Season
syria,2003,1 Aug,Friday,Armed Forces Day,Observance
syria,2003,23 Sep,Tuesday,September Equinox,Season
syria,2003,1 Oct,Wednesday,Daylight Saving Time ends,Clock change/Daylight Saving Time
syria,2003,6 Oct,Monday,October Liberation Day,Public Holiday
syria,2003,26 Nov,Wednesday,Eid al-Fitr,Public Holiday
syria,2003,22 Dec,Monday,December Solstice,Season
syria,2003,25 Dec,Thursday,Christmas Day,Public Holiday
syria,2004,1 Jan,Thursday,New Year,Public Holiday
syria,2004,2 Feb,Monday,Eid al-Adha,Public Holiday
syria,2004,22 Feb,Sunday,Muharram,Public Holiday
syria,2004,8 Mar,Monday,Revolution Day,Public Holiday
syria,2004,20 Mar,Saturday,March Equinox,Season
syria,2004,21 Mar,Sunday,Mothers' Day,Public Holiday
syria,2004,1 Apr,Thursday,Daylight Saving Time starts,Clock change/Daylight Saving Time
syria,2004,11 Apr,Sunday,Easter Sunday,Observance
syria,2004,11 Apr,Sunday,Orthodox Easter Day,Public Holiday
syria,2004,17 Apr,Saturday,Evacuation Day,Public Holiday
syria,2004,1 May,Saturday,Labor Day,Public Holiday
syria,2004,2 May,Sunday,The Prophet's Birthday,Public Holiday
syria,2004,6 May,Thursday,Martyrs' Day,Public Holiday
syria,2004,21 Jun,Monday,June Solstice,Season
syria,2004,1 Aug,Sunday,Armed Forces Day,Observance
syria,2004,22 Sep,Wednesday,September Equinox,Season
syria,2004,1 Oct,Friday,Daylight Saving Time ends,Clock change/Daylight Saving Time
syria,2004,6 Oct,Wednesday,October Liberation Day,Public Holiday
syria,2004,14 Nov,Sunday,Eid al-Fitr,Public Holiday
syria,2004,21 Dec,Tuesday,December Solstice,Season
syria,2004,25 Dec,Saturday,Christmas Day,Public Holiday
syria,2005,1 Jan,Saturday,New Year,Public Holiday
syria,2005,21 Jan,Friday,Eid al-Adha,Public Holiday
syria,2005,10 Feb,Thursday,Muharram,Public Holiday
syria,2005,8 Mar,Tuesday,Revolution Day,Public Holiday
syria,2005,20 Mar,Sunday,March Equinox,Season
syria,2005,21 Mar,Monday,Mothers' Day,Public Holiday
syria,2005,27 Mar,Sunday,Easter Sunday,Observance
syria,2005,1 Apr,Friday,Daylight Saving Time starts,Clock change/Daylight Saving Time
syria,2005,17 Apr,Sunday,Evacuation Day,Public Holiday
