Geo,Event Year,Date,Day,Name,Type
taiwan,2000,1 Jan,Saturday,Republic Day/New Year's Day,National holiday
taiwan,2000,4 Feb,Friday,Lunar New Year's Eve,National holiday
taiwan,2000,4 Feb,Friday,Farmer's Day,Observance
taiwan,2000,5 Feb,Saturday,Lunar New Year's Day,National holiday
taiwan,2000,6 Feb,Sunday,Lunar New Year Holiday,National holiday
taiwan,2000,7 Feb,Monday,Lunar New Year Holiday,National holiday
taiwan,2000,8 Feb,Tuesday,Lunar New Year Holiday,National holiday
taiwan,2000,9 Feb,Wednesday,Lunar New Year Holiday,National holiday
taiwan,2000,19 Feb,Saturday,Lantern Festival,Observance
taiwan,2000,19 Feb,Saturday,Tourism Day,Observance
taiwan,2000,28 Feb,Monday,Peace Memorial Day,National holiday
taiwan,2000,7 Mar,Tuesday,Earth God's Birthday,Observance
taiwan,2000,8 Mar,Wednesday,International Women's Day,Observance
taiwan,2000,12 Mar,Sunday,Arbor Day,Observance
taiwan,2000,20 Mar,Monday,March Equinox,Season
taiwan,2000,24 Mar,Friday,Kuan Yin's Birthday,Observance
taiwan,2000,29 Mar,Wednesday,Youth Day,Observance
taiwan,2000,4 Apr,Tuesday,Tomb Sweeping Day,National holiday
taiwan,2000,4 Apr,Tuesday,Children's Day,Observance
taiwan,2000,19 Apr,Wednesday,God of Medicine's Birthday,Observance
taiwan,2000,23 Apr,Sunday,Easter Sunday,Observance
taiwan,2000,27 Apr,Thursday,Matsu's Birthday,Observance
taiwan,2000,1 May,Monday,Labor Day,Private Sector
taiwan,2000,4 May,Thursday,Literary Day,Observance
taiwan,2000,11 May,Thursday,Buddha's Birthday,Observance
taiwan,2000,14 May,Sunday,Mother's Day,Observance
taiwan,2000,3 Jun,Saturday,Opium Suppression Movement Day,Observance
taiwan,2000,6 Jun,Tuesday,Dragon Boat Festival,National holiday
taiwan,2000,14 Jun,Wednesday,Kuan Kung's Birthday,Observance
taiwan,2000,14 Jun,Wednesday,Chen Huang's Birthday,Observance
taiwan,2000,21 Jun,Wednesday,June Solstice,Season
taiwan,2000,6 Aug,Sunday,Chinese Valentine's Day,Observance
taiwan,2000,8 Aug,Tuesday,Father's Day,Observance
taiwan,2000,14 Aug,Monday,Hungry Ghost Festival,Observance
taiwan,2000,3 Sep,Sunday,Armed Forces Day,National holiday
taiwan,2000,12 Sep,Tuesday,Mid-Autumn Festival,National holiday
taiwan,2000,23 Sep,Saturday,September Equinox,Season
taiwan,2000,28 Sep,Thursday,Teachers' Day,Observance
taiwan,2000,6 Oct,Friday,Double Ninth Day,Observance
taiwan,2000,10 Oct,Tuesday,National Day,National holiday
taiwan,2000,21 Oct,Saturday,Overseas Chinese Day,Observance
taiwan,2000,25 Oct,Wednesday,Taiwan's Retrocession Day,Observance
taiwan,2000,31 Oct,Tuesday,Halloween,Observance
taiwan,2000,10 Nov,Friday,Saisiat Festival,Observance
taiwan,2000,12 Nov,Sunday,Sun Yat-sen's Birthday,Observance
taiwan,2000,21 Dec,Thursday,December Solstice,Season
taiwan,2000,21 Dec,Thursday,Dōngzhì Festival,Observance
taiwan,2000,25 Dec,Monday,Constitution Day,Observance
taiwan,2000,25 Dec,Monday,Christmas Day,Observance
taiwan,2001,1 Jan,Monday,Republic Day/New Year's Day,National holiday
taiwan,2001,23 Jan,Tuesday,Lunar New Year's Eve,National holiday
taiwan,2001,24 Jan,Wednesday,Lunar New Year's Day,National holiday
taiwan,2001,25 Jan,Thursday,Lunar New Year Holiday,National holiday
