Geo,Event Year,Date,Day,Name,Type
tanzania,2013,1 Jan,Tuesday,New Year's Day,Public Holiday
tanzania,2013,12 Jan,Saturday,Zanzibar Revolution Day,Public Holiday
tanzania,2013,24 Jan,Thursday,Maulid,Public Holiday
tanzania,2013,20 Mar,Wednesday,March Equinox,Season
tanzania,2013,29 Mar,Friday,Good Friday,Public Holiday
tanzania,2013,31 Mar,Sunday,Easter Sunday,Observance
tanzania,2013,1 Apr,Monday,Easter Monday,Public Holiday
tanzania,2013,7 Apr,Sunday,Karume Day,Public Holiday
tanzania,2013,26 Apr,Friday,Union Day,Public Holiday
tanzania,2013,1 May,Wednesday,Worker's Day,Public Holiday
tanzania,2013,12 May,Sunday,Mothers' Day,Observance
tanzania,2013,21 Jun,Friday,June Solstice,Season
tanzania,2013,7 Jul,Sunday,Saba Saba,Public Holiday
tanzania,2013,8 Aug,Thursday,Eid el Fitri,Public Holiday
tanzania,2013,8 Aug,Thursday,Farmers' Day,Public Holiday
tanzania,2013,9 Aug,Friday,Eid el Fitri Holiday,Public Holiday
tanzania,2013,22 Sep,Sunday,September Equinox,Season
tanzania,2013,14 Oct,Monday,Mwalimu Nyerere Day,Public Holiday
tanzania,2013,15 Oct,Tuesday,Eid al-Adha,Public Holiday
tanzania,2013,9 Dec,Monday,Independence Day,Public Holiday
tanzania,2013,21 Dec,Saturday,December Solstice,Season
tanzania,2013,24 Dec,Tuesday,Christmas Eve,Observance
tanzania,2013,25 Dec,Wednesday,Christmas Day,Public Holiday
tanzania,2013,26 Dec,Thursday,Boxing Day,Public Holiday
tanzania,2014,1 Jan,Wednesday,New Year's Day,Public Holiday
tanzania,2014,12 Jan,Sunday,Zanzibar Revolution Day,Public Holiday
tanzania,2014,14 Jan,Tuesday,Maulid,Public Holiday
tanzania,2014,20 Mar,Thursday,March Equinox,Season
tanzania,2014,7 Apr,Monday,Karume Day,Public Holiday
tanzania,2014,18 Apr,Friday,Good Friday,Public Holiday
tanzania,2014,20 Apr,Sunday,Easter Sunday,Observance
tanzania,2014,21 Apr,Monday,Easter Monday,Public Holiday
tanzania,2014,26 Apr,Saturday,Union Day,Public Holiday
tanzania,2014,1 May,Thursday,Worker's Day,Public Holiday
tanzania,2014,11 May,Sunday,Mothers' Day,Observance
tanzania,2014,21 Jun,Saturday,June Solstice,Season
tanzania,2014,7 Jul,Monday,Saba Saba,Public Holiday
tanzania,2014,29 Jul,Tuesday,Eid el Fitri,Public Holiday
tanzania,2014,30 Jul,Wednesday,Eid el Fitri Holiday,Public Holiday
tanzania,2014,8 Aug,Friday,Farmers' Day,Public Holiday
tanzania,2014,23 Sep,Tuesday,September Equinox,Season
tanzania,2014,5 Oct,Sunday,Eid al-Adha,Public Holiday
tanzania,2014,14 Oct,Tuesday,Mwalimu Nyerere Day,Public Holiday
tanzania,2014,9 Dec,Tuesday,Independence Day,Public Holiday
tanzania,2014,22 Dec,Monday,December Solstice,Season
tanzania,2014,24 Dec,Wednesday,Christmas Eve,Observance
tanzania,2014,25 Dec,Thursday,Christmas Day,Public Holiday
tanzania,2014,26 Dec,Friday,Boxing Day,Public Holiday
tanzania,2015,1 Jan,Thursday,New Year's Day,Public Holiday
tanzania,2015,3 Jan,Saturday,Maulid,Public Holiday
tanzania,2015,12 Jan,Monday,Zanzibar Revolution Day,Public Holiday
tanzania,2015,21 Mar,Saturday,March Equinox,Season
tanzania,2015,3 Apr,Friday,Good Friday,Public Holiday
tanzania,2015,5 Apr,Sunday,Easter Sunday,Observance
tanzania,2015,6 Apr,Monday,Easter Monday,Public Holiday
tanzania,2015,7 Apr,Tuesday,Karume Day,Public Holiday
tanzania,2015,26 Apr,Sunday,Union Day,Public Holiday
tanzania,2015,1 May,Friday,Worker's Day,Public Holiday
tanzania,2015,10 May,Sunday,Mothers' Day,Observance
tanzania,2015,21 Jun,Sunday,June Solstice,Season
tanzania,2015,7 Jul,Tuesday,Saba Saba,Public Holiday
tanzania,2015,18 Jul,Saturday,Eid el Fitri,Public Holiday
tanzania,2015,19 Jul,Sunday,Eid el Fitri Holiday,Public Holiday
tanzania,2015,8 Aug,Saturday,Farmers' Day,Public Holiday
tanzania,2015,23 Sep,Wednesday,Eid al-Adha,Public Holiday
tanzania,2015,23 Sep,Wednesday,September Equinox,Season
tanzania,2015,14 Oct,Wednesday,Mwalimu Nyerere Day,Public Holiday
tanzania,2015,5 Nov,Thursday,John Mugufuli takes office,Public Holiday
tanzania,2015,9 Dec,Wednesday,Independence Day,Public Holiday
tanzania,2015,22 Dec,Tuesday,December Solstice,Season
tanzania,2015,24 Dec,Thursday,Maulid,Public Holiday
tanzania,2015,24 Dec,Thursday,Christmas Eve,Observance
tanzania,2015,25 Dec,Friday,Christmas Day,Public Holiday
tanzania,2015,26 Dec,Saturday,Boxing Day,Public Holiday
tanzania,2016,1 Jan,Friday,New Year's Day,Public Holiday
tanzania,2016,12 Jan,Tuesday,Zanzibar Revolution Day,Public Holiday
tanzania,2016,20 Mar,Sunday,March Equinox,Season
tanzania,2016,25 Mar,Friday,Good Friday,Public Holiday
tanzania,2016,27 Mar,Sunday,Easter Sunday,Observance
tanzania,2016,28 Mar,Monday,Easter Monday,Public Holiday
tanzania,2016,7 Apr,Thursday,Karume Day,Public Holiday
tanzania,2016,26 Apr,Tuesday,Union Day,Public Holiday
tanzania,2016,1 May,Sunday,Worker's Day,Public Holiday
tanzania,2016,8 May,Sunday,Mothers' Day,Observance
tanzania,2016,21 Jun,Tuesday,June Solstice,Season
tanzania,2016,7 Jul,Thursday,Saba Saba,Public Holiday
tanzania,2016,7 Jul,Thursday,Eid el Fitri,Public Holiday
tanzania,2016,8 Jul,Friday,Eid el Fitri Holiday,Public Holiday
tanzania,2016,8 Aug,Monday,Farmers' Day,Public Holiday
tanzania,2016,13 Sep,Tuesday,Eid al-Adha,Public Holiday
tanzania,2016,22 Sep,Thursday,September Equinox,Season
tanzania,2016,14 Oct,Friday,Mwalimu Nyerere Day,Public Holiday
tanzania,2016,9 Dec,Friday,Independence Day,Public Holiday
tanzania,2016,12 Dec,Monday,Maulid,Public Holiday
tanzania,2016,21 Dec,Wednesday,December Solstice,Season
tanzania,2016,24 Dec,Saturday,Christmas Eve,Observance
tanzania,2016,25 Dec,Sunday,Christmas Day,Public Holiday
tanzania,2016,26 Dec,Monday,Boxing Day,Public Holiday
tanzania,2017,1 Jan,Sunday,New Year's Day,Public Holiday
tanzania,2017,12 Jan,Thursday,Zanzibar Revolution Day,Public Holiday
tanzania,2017,20 Mar,Monday,March Equinox,Season
tanzania,2017,7 Apr,Friday,Karume Day,Public Holiday
tanzania,2017,14 Apr,Friday,Good Friday,Public Holiday
tanzania,2017,16 Apr,Sunday,Easter Sunday,Observance
tanzania,2017,17 Apr,Monday,Easter Monday,Public Holiday
tanzania,2017,26 Apr,Wednesday,Union Day,Public Holiday
tanzania,2017,1 May,Monday,Worker's Day,Public Holiday
tanzania,2017,14 May,Sunday,Mothers' Day,Observance
tanzania,2017,21 Jun,Wednesday,June Solstice,Season
tanzania,2017,26 Jun,Monday,Eid el Fitri,Public Holiday
tanzania,2017,27 Jun,Tuesday,Eid el Fitri Holiday,Public Holiday
tanzania,2017,7 Jul,Friday,Saba Saba,Public Holiday
tanzania,2017,8 Aug,Tuesday,Farmers' Day,Public Holiday
tanzania,2017,2 Sep,Saturday,Eid al-Adha,Public Holiday
tanzania,2017,22 Sep,Friday,September Equinox,Season
tanzania,2017,14 Oct,Saturday,Mwalimu Nyerere Day,Public Holiday
tanzania,2017,1 Dec,Friday,Maulid,Public Holiday
tanzania,2017,9 Dec,Saturday,Independence Day,Public Holiday
tanzania,2017,21 Dec,Thursday,December Solstice,Season
tanzania,2017,24 Dec,Sunday,Christmas Eve,Observance
tanzania,2017,25 Dec,Monday,Christmas Day,Public Holiday
tanzania,2017,26 Dec,Tuesday,Boxing Day,Public Holiday
tanzania,2018,1 Jan,Monday,New Year's Day,Public Holiday
tanzania,2018,12 Jan,Friday,Zanzibar Revolution Day,Public Holiday
tanzania,2018,20 Mar,Tuesday,March Equinox,Season
tanzania,2018,30 Mar,Friday,Good Friday,Public Holiday
tanzania,2018,1 Apr,Sunday,Easter Sunday,Observance
tanzania,2018,2 Apr,Monday,Easter Monday,Public Holiday
tanzania,2018,7 Apr,Saturday,Karume Day,Public Holiday
tanzania,2018,26 Apr,Thursday,Union Day,Public Holiday
tanzania,2018,1 May,Tuesday,Worker's Day,Public Holiday
tanzania,2018,13 May,Sunday,Mothers' Day,Observance
tanzania,2018,15 Jun,Friday,Eid el Fitri,Public Holiday
tanzania,2018,16 Jun,Saturday,Eid el Fitri Holiday,Public Holiday
tanzania,2018,21 Jun,Thursday,June Solstice,Season
tanzania,2018,7 Jul,Saturday,Saba Saba,Public Holiday
tanzania,2018,8 Aug,Wednesday,Farmers' Day,Public Holiday
tanzania,2018,22 Aug,Wednesday,Eid al-Adha,Public Holiday
tanzania,2018,23 Sep,Sunday,September Equinox,Season
tanzania,2018,14 Oct,Sunday,Mwalimu Nyerere Day,Public Holiday
tanzania,2018,21 Nov,Wednesday,Maulid,Public Holiday
tanzania,2018,9 Dec,Sunday,Independence Day,Public Holiday
tanzania,2018,22 Dec,Saturday,December Solstice,Season
tanzania,2018,24 Dec,Monday,Christmas Eve,Observance
tanzania,2018,25 Dec,Tuesday,Christmas Day,Public Holiday
tanzania,2018,26 Dec,Wednesday,Boxing Day,Public Holiday
tanzania,2019,1 Jan,Tuesday,New Year's Day,Public Holiday
tanzania,2019,12 Jan,Saturday,Zanzibar Revolution Day,Public Holiday
tanzania,2019,21 Mar,Thursday,March Equinox,Season
tanzania,2019,7 Apr,Sunday,Karume Day,Public Holiday
tanzania,2019,19 Apr,Friday,Good Friday,Public Holiday
tanzania,2019,21 Apr,Sunday,Easter Sunday,Observance
tanzania,2019,22 Apr,Monday,Easter Monday,Public Holiday
tanzania,2019,26 Apr,Friday,Union Day,Public Holiday
tanzania,2019,1 May,Wednesday,Worker's Day,Public Holiday
tanzania,2019,12 May,Sunday,Mothers' Day,Observance
tanzania,2019,5 Jun,Wednesday,Eid el Fitri,Public Holiday
tanzania,2019,6 Jun,Thursday,Eid el Fitri Holiday,Public Holiday
tanzania,2019,21 Jun,Friday,June Solstice,Season
tanzania,2019,7 Jul,Sunday,Saba Saba,Public Holiday
tanzania,2019,8 Aug,Thursday,Farmers' Day,Public Holiday
tanzania,2019,12 Aug,Monday,Eid al-Adha,Public Holiday
tanzania,2019,23 Sep,Monday,September Equinox,Season
tanzania,2019,14 Oct,Monday,Mwalimu Nyerere Day,Public Holiday
tanzania,2019,10 Nov,Sunday,Maulid,Public Holiday
tanzania,2019,9 Dec,Monday,Independence Day,Public Holiday
tanzania,2019,22 Dec,Sunday,December Solstice,Season
tanzania,2019,24 Dec,Tuesday,Christmas Eve,Observance
tanzania,2019,25 Dec,Wednesday,Christmas Day,Public Holiday
tanzania,2019,26 Dec,Thursday,Boxing Day,Public Holiday
tanzania,2020,1 Jan,Wednesday,New Year's Day,Public Holiday
tanzania,2020,12 Jan,Sunday,Zanzibar Revolution Day,Public Holiday
tanzania,2020,20 Mar,Friday,March Equinox,Season
tanzania,2020,7 Apr,Tuesday,Karume Day,Public Holiday
tanzania,2020,10 Apr,Friday,Good Friday,Public Holiday
tanzania,2020,12 Apr,Sunday,Easter Sunday,Observance
