Geo,Event Year,Date,Day,Name,Type
thailand,2000,1 Jan,Saturday,New Year's Day,National holiday
thailand,2000,3 Jan,Monday,Day off for New Year's Day,National holiday
thailand,2000,8 Jan,Saturday,National Children's Day,Observance
thailand,2000,16 Jan,Sunday,Teachers' Day,Observance
thailand,2000,5 Feb,Saturday,Lunar New Year's Day,Observance
thailand,2000,6 Feb,Sunday,Second Day of Lunar New Year,Observance
thailand,2000,7 Feb,Monday,Third Day of Lunar New Year,Observance
thailand,2000,14 Feb,Monday,Valentine's Day,Observance
thailand,2000,20 Mar,Monday,March Equinox,Season
thailand,2000,6 Apr,Thursday,Chakri Day,National holiday
thailand,2000,13 Apr,Thursday,Songkran,National holiday
thailand,2000,14 Apr,Friday,Songkran Holiday,National holiday
thailand,2000,15 Apr,Saturday,Songkran Holiday,National holiday
thailand,2000,17 Apr,Monday,Songkran Holiday Observed,National holiday
thailand,2000,1 May,Monday,Labor Day,Bank holiday
thailand,2000,5 May,Friday,Coronation Day,National holiday
thailand,2000,21 Jun,Wednesday,June Solstice,Season
thailand,2000,11 Aug,Friday,The Queen's Birthday observed,National holiday
thailand,2000,12 Aug,Saturday,The Queen's Birthday,National holiday
thailand,2000,23 Sep,Saturday,September Equinox,Season
thailand,2000,23 Oct,Monday,Chulalongkorn Day,National holiday
thailand,2000,5 Dec,Tuesday,King Bhumibol's Birthday,National holiday
thailand,2000,5 Dec,Tuesday,King Bhumibol's Birthday/Father's Day,National holiday
thailand,2000,10 Dec,Sunday,Constitution Day,National holiday
thailand,2000,11 Dec,Monday,Substitute Holiday for Constitution Day,National holiday
thailand,2000,21 Dec,Thursday,December Solstice,Season
thailand,2000,24 Dec,Sunday,Christmas Eve,Observance
thailand,2000,25 Dec,Monday,Christmas Day,Observance
thailand,2000,31 Dec,Sunday,New Year's Eve,National holiday
thailand,2001,1 Jan,Monday,New Year's Day,National holiday
thailand,2001,13 Jan,Saturday,National Children's Day,Observance
thailand,2001,16 Jan,Tuesday,Teachers' Day,Observance
thailand,2001,24 Jan,Wednesday,Lunar New Year's Day,Observance
thailand,2001,25 Jan,Thursday,Second Day of Lunar New Year,Observance
thailand,2001,26 Jan,Friday,Third Day of Lunar New Year,Observance
thailand,2001,14 Feb,Wednesday,Valentine's Day,Observance
thailand,2001,20 Mar,Tuesday,March Equinox,Season
thailand,2001,6 Apr,Friday,Chakri Day,National holiday
thailand,2001,13 Apr,Friday,Songkran,National holiday
thailand,2001,14 Apr,Saturday,Songkran Holiday,National holiday
thailand,2001,15 Apr,Sunday,Songkran Holiday,National holiday
thailand,2001,16 Apr,Monday,Songkran Observed,National holiday
thailand,2001,17 Apr,Tuesday,Songkran Holiday Observed,National holiday
thailand,2001,1 May,Tuesday,Labor Day,Bank holiday
thailand,2001,5 May,Saturday,Coronation Day,National holiday
thailand,2001,7 May,Monday,Coronation Day observed,National holiday
thailand,2001,21 Jun,Thursday,June Solstice,Season
thailand,2001,12 Aug,Sunday,The Queen's Birthday,National holiday
thailand,2001,13 Aug,Monday,The Queen's Birthday observed,National holiday
thailand,2001,23 Sep,Sunday,September Equinox,Season
thailand,2001,23 Oct,Tuesday,Chulalongkorn Day,National holiday
thailand,2001,5 Dec,Wednesday,King Bhumibol's Birthday,National holiday
thailand,2001,5 Dec,Wednesday,King Bhumibol's Birthday/Father's Day,National holiday
thailand,2001,10 Dec,Monday,Constitution Day,National holiday
thailand,2001,22 Dec,Saturday,December Solstice,Season
thailand,2001,24 Dec,Monday,Christmas Eve,Observance
thailand,2001,25 Dec,Tuesday,Christmas Day,Observance
thailand,2001,31 Dec,Monday,New Year's Eve,National holiday
thailand,2002,1 Jan,Tuesday,New Year's Day,National holiday
thailand,2002,12 Jan,Saturday,National Children's Day,Observance
thailand,2002,16 Jan,Wednesday,Teachers' Day,Observance
thailand,2002,12 Feb,Tuesday,Lunar New Year's Day,Observance
thailand,2002,13 Feb,Wednesday,Second Day of Lunar New Year,Observance
thailand,2002,14 Feb,Thursday,Third Day of Lunar New Year,Observance
thailand,2002,14 Feb,Thursday,Valentine's Day,Observance
thailand,2002,21 Mar,Thursday,March Equinox,Season
thailand,2002,5 Apr,Friday,Chakri Day observed,National holiday
thailand,2002,6 Apr,Saturday,Chakri Day,National holiday
thailand,2002,13 Apr,Saturday,Songkran,National holiday
thailand,2002,14 Apr,Sunday,Songkran Holiday,National holiday
thailand,2002,15 Apr,Monday,Songkran Holiday,National holiday
thailand,2002,16 Apr,Tuesday,Songkran Observed,National holiday
thailand,2002,17 Apr,Wednesday,Songkran Holiday Observed,National holiday
thailand,2002,1 May,Wednesday,Labor Day,Bank holiday
thailand,2002,5 May,Sunday,Coronation Day,National holiday
thailand,2002,6 May,Monday,Coronation Day observed,National holiday
thailand,2002,21 Jun,Friday,June Solstice,Season
thailand,2002,12 Aug,Monday,The Queen's Birthday,National holiday
thailand,2002,23 Sep,Monday,September Equinox,Season
thailand,2002,23 Oct,Wednesday,Chulalongkorn Day,National holiday
thailand,2002,5 Dec,Thursday,King Bhumibol's Birthday,National holiday
thailand,2002,5 Dec,Thursday,King Bhumibol's Birthday/Father's Day,National holiday
thailand,2002,10 Dec,Tuesday,Constitution Day,National holiday
thailand,2002,22 Dec,Sunday,December Solstice,Season
thailand,2002,24 Dec,Tuesday,Christmas Eve,Observance
thailand,2002,25 Dec,Wednesday,Christmas Day,Observance
thailand,2002,31 Dec,Tuesday,New Year's Eve,National holiday
thailand,2003,1 Jan,Wednesday,New Year's Day,National holiday
thailand,2003,11 Jan,Saturday,National Children's Day,Observance
thailand,2003,16 Jan,Thursday,Teachers' Day,Observance
thailand,2003,1 Feb,Saturday,Lunar New Year's Day,Observance
thailand,2003,2 Feb,Sunday,Second Day of Lunar New Year,Observance
thailand,2003,3 Feb,Monday,Third Day of Lunar New Year,Observance
thailand,2003,14 Feb,Friday,Valentine's Day,Observance
thailand,2003,21 Mar,Friday,March Equinox,Season
thailand,2003,6 Apr,Sunday,Chakri Day,National holiday
thailand,2003,7 Apr,Monday,Chakri Day observed,National holiday
thailand,2003,13 Apr,Sunday,Songkran,National holiday
thailand,2003,14 Apr,Monday,Songkran Holiday,National holiday
thailand,2003,15 Apr,Tuesday,Songkran Holiday,National holiday
thailand,2003,16 Apr,Wednesday,Songkran Observed,National holiday
thailand,2003,1 May,Thursday,Labor Day,Bank holiday
thailand,2003,5 May,Monday,Coronation Day,National holiday
thailand,2003,22 Jun,Sunday,June Solstice,Season
thailand,2003,12 Aug,Tuesday,The Queen's Birthday,National holiday
thailand,2003,23 Sep,Tuesday,September Equinox,Season
thailand,2003,23 Oct,Thursday,Chulalongkorn Day,National holiday
thailand,2003,5 Dec,Friday,King Bhumibol's Birthday,National holiday
thailand,2003,5 Dec,Friday,King Bhumibol's Birthday/Father's Day,National holiday
thailand,2003,10 Dec,Wednesday,Constitution Day,National holiday
thailand,2003,22 Dec,Monday,December Solstice,Season
thailand,2003,24 Dec,Wednesday,Christmas Eve,Observance
thailand,2003,25 Dec,Thursday,Christmas Day,Observance
thailand,2003,31 Dec,Wednesday,New Year's Eve,National holiday
thailand,2004,1 Jan,Thursday,New Year's Day,National holiday
thailand,2004,10 Jan,Saturday,National Children's Day,Observance
thailand,2004,16 Jan,Friday,Teachers' Day,Observance
thailand,2004,22 Jan,Thursday,Lunar New Year's Day,Observance
thailand,2004,23 Jan,Friday,Second Day of Lunar New Year,Observance
thailand,2004,24 Jan,Saturday,Third Day of Lunar New Year,Observance
thailand,2004,14 Feb,Saturday,Valentine's Day,Observance
thailand,2004,20 Mar,Saturday,March Equinox,Season
thailand,2004,6 Apr,Tuesday,Chakri Day,National holiday
thailand,2004,13 Apr,Tuesday,Songkran,National holiday
thailand,2004,14 Apr,Wednesday,Songkran Holiday,National holiday
thailand,2004,15 Apr,Thursday,Songkran Holiday,National holiday
thailand,2004,30 Apr,Friday,Labor Day observed,Bank holiday
thailand,2004,1 May,Saturday,Labor Day,Bank holiday
thailand,2004,5 May,Wednesday,Coronation Day,National holiday
thailand,2004,21 Jun,Monday,June Solstice,Season
thailand,2004,12 Aug,Thursday,The Queen's Birthday,National holiday
thailand,2004,22 Sep,Wednesday,September Equinox,Season
thailand,2004,22 Oct,Friday,Day off for Chulalongkorn Day,National holiday
thailand,2004,23 Oct,Saturday,Chulalongkorn Day,National holiday
thailand,2004,5 Dec,Sunday,King Bhumibol's Birthday,National holiday
thailand,2004,5 Dec,Sunday,King Bhumibol's Birthday/Father's Day,National holiday
thailand,2004,6 Dec,Monday,King Bhumibol's Birthday observed,National holiday
thailand,2004,6 Dec,Monday,King Bhumibol's Birthday/Father's Day observed,National holiday
thailand,2004,10 Dec,Friday,Constitution Day,National holiday
thailand,2004,21 Dec,Tuesday,December Solstice,Season
thailand,2004,24 Dec,Friday,Christmas Eve,Observance
thailand,2004,25 Dec,Saturday,Christmas Day,Observance
thailand,2004,31 Dec,Friday,New Year's Eve,National holiday
thailand,2005,1 Jan,Saturday,New Year's Day,National holiday
