Geo,Event Year,Date,Day,Name,Type
tonga,2000,1 Jan,Saturday,New Year's Day,Public Holiday
tonga,2000,20 Mar,Monday,March Equinox,Season
tonga,2000,21 Apr,Friday,Good Friday,Public Holiday
tonga,2000,24 Apr,Monday,Easter Monday,Public Holiday
tonga,2000,25 Apr,Tuesday,ANZAC Day,Public Holiday
tonga,2000,4 Jun,Sunday,Emancipation Day,Public Holiday
tonga,2000,5 Jun,Monday,Day off for Emancipation Day,Public Holiday
tonga,2000,21 Jun,Wednesday,June Solstice,Season
tonga,2000,4 Jul,Tuesday,Birthday of His Majesty King Tupou VI,Public Holiday
tonga,2000,17 Sep,Sunday,Birthday of Crown Prince Tupouto'a-'Ulukalala,Public Holiday
tonga,2000,18 Sep,Monday,Day off for Birthday of Crown Prince Tupouto'a-'Ulukalala,Public Holiday
tonga,2000,23 Sep,Saturday,September Equinox,Season
tonga,2000,4 Nov,Saturday,Constitution Day,Public Holiday
tonga,2000,6 Nov,Monday,Day off for Constitution Day,Public Holiday
tonga,2000,4 Dec,Monday,Anniversary of the Coronation of King Tupou I,Public Holiday
tonga,2000,22 Dec,Friday,December Solstice,Season
tonga,2000,25 Dec,Monday,Christmas Day,Public Holiday
tonga,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
tonga,2001,1 Jan,Monday,New Year's Day,Public Holiday
tonga,2001,21 Mar,Wednesday,March Equinox,Season
tonga,2001,13 Apr,Friday,Good Friday,Public Holiday
tonga,2001,16 Apr,Monday,Easter Monday,Public Holiday
tonga,2001,25 Apr,Wednesday,ANZAC Day,Public Holiday
tonga,2001,4 Jun,Monday,Emancipation Day,Public Holiday
tonga,2001,21 Jun,Thursday,June Solstice,Season
tonga,2001,4 Jul,Wednesday,Birthday of His Majesty King Tupou VI,Public Holiday
tonga,2001,17 Sep,Monday,Birthday of Crown Prince Tupouto'a-'Ulukalala,Public Holiday
tonga,2001,23 Sep,Sunday,September Equinox,Season
tonga,2001,4 Nov,Sunday,Constitution Day,Public Holiday
tonga,2001,5 Nov,Monday,Day off for Constitution Day,Public Holiday
tonga,2001,3 Dec,Monday,Day off for Anniversary of the Coronation of King Tupou I,Public Holiday
tonga,2001,4 Dec,Tuesday,Anniversary of the Coronation of King Tupou I,Public Holiday
tonga,2001,22 Dec,Saturday,December Solstice,Season
tonga,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
tonga,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
tonga,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
tonga,2002,21 Mar,Thursday,March Equinox,Season
tonga,2002,29 Mar,Friday,Good Friday,Public Holiday
tonga,2002,1 Apr,Monday,Easter Monday,Public Holiday
tonga,2002,25 Apr,Thursday,ANZAC Day,Public Holiday
tonga,2002,3 Jun,Monday,Day off for Emancipation Day,Public Holiday
tonga,2002,4 Jun,Tuesday,Emancipation Day,Public Holiday
tonga,2002,22 Jun,Saturday,June Solstice,Season
tonga,2002,4 Jul,Thursday,Birthday of His Majesty King Tupou VI,Public Holiday
tonga,2002,17 Sep,Tuesday,Birthday of Crown Prince Tupouto'a-'Ulukalala,Public Holiday
tonga,2002,23 Sep,Monday,September Equinox,Season
tonga,2002,4 Nov,Monday,Constitution Day,Public Holiday
tonga,2002,2 Dec,Monday,Day off for Anniversary of the Coronation of King Tupou I,Public Holiday
tonga,2002,4 Dec,Wednesday,Anniversary of the Coronation of King Tupou I,Public Holiday
tonga,2002,22 Dec,Sunday,December Solstice,Season
tonga,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
tonga,2002,26 Dec,Thursday,Boxing Day,Public Holiday
tonga,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
tonga,2003,21 Mar,Friday,March Equinox,Season
tonga,2003,18 Apr,Friday,Good Friday,Public Holiday
tonga,2003,21 Apr,Monday,Easter Monday,Public Holiday
tonga,2003,25 Apr,Friday,ANZAC Day,Public Holiday
tonga,2003,2 Jun,Monday,Day off for Emancipation Day,Public Holiday
tonga,2003,4 Jun,Wednesday,Emancipation Day,Public Holiday
tonga,2003,22 Jun,Sunday,June Solstice,Season
tonga,2003,4 Jul,Friday,Birthday of His Majesty King Tupou VI,Public Holiday
tonga,2003,17 Sep,Wednesday,Birthday of Crown Prince Tupouto'a-'Ulukalala,Public Holiday
tonga,2003,23 Sep,Tuesday,September Equinox,Season
tonga,2003,3 Nov,Monday,Day off for Constitution Day,Public Holiday
tonga,2003,4 Nov,Tuesday,Constitution Day,Public Holiday
tonga,2003,4 Dec,Thursday,Anniversary of the Coronation of King Tupou I,Public Holiday
tonga,2003,8 Dec,Monday,Day off for Anniversary of the Coronation of King Tupou I,Public Holiday
tonga,2003,22 Dec,Monday,December Solstice,Season
tonga,2003,25 Dec,Thursday,Christmas Day,Public Holiday
tonga,2003,26 Dec,Friday,Boxing Day,Public Holiday
tonga,2004,1 Jan,Thursday,New Year's Day,Public Holiday
tonga,2004,20 Mar,Saturday,March Equinox,Season
tonga,2004,9 Apr,Friday,Good Friday,Public Holiday
tonga,2004,12 Apr,Monday,Easter Monday,Public Holiday
tonga,2004,25 Apr,Sunday,ANZAC Day,Public Holiday
tonga,2004,4 Jun,Friday,Emancipation Day,Public Holiday
tonga,2004,7 Jun,Monday,Day off for Emancipation Day,Public Holiday
tonga,2004,21 Jun,Monday,June Solstice,Season
tonga,2004,4 Jul,Sunday,Birthday of His Majesty King Tupou VI,Public Holiday
tonga,2004,5 Jul,Monday,Day off for Birthday of His Majesty King Tupou VI,Public Holiday
tonga,2004,17 Sep,Friday,Birthday of Crown Prince Tupouto'a-'Ulukalala,Public Holiday
tonga,2004,23 Sep,Thursday,September Equinox,Season
tonga,2004,4 Nov,Thursday,Constitution Day,Public Holiday
tonga,2004,8 Nov,Monday,Day off for Constitution Day,Public Holiday
tonga,2004,4 Dec,Saturday,Anniversary of the Coronation of King Tupou I,Public Holiday
tonga,2004,6 Dec,Monday,Day off for Anniversary of the Coronation of King Tupou I,Public Holiday
tonga,2004,22 Dec,Wednesday,December Solstice,Season
tonga,2004,25 Dec,Saturday,Christmas Day,Public Holiday
tonga,2004,26 Dec,Sunday,Boxing Day,Public Holiday
tonga,2004,27 Dec,Monday,Day off for Boxing Day,Public Holiday
tonga,2005,1 Jan,Saturday,New Year's Day,Public Holiday
tonga,2005,21 Mar,Monday,March Equinox,Season
tonga,2005,25 Mar,Friday,Good Friday,Public Holiday
tonga,2005,28 Mar,Monday,Easter Monday,Public Holiday
tonga,2005,25 Apr,Monday,ANZAC Day,Public Holiday
tonga,2005,4 Jun,Saturday,Emancipation Day,Public Holiday
tonga,2005,6 Jun,Monday,Day off for Emancipation Day,Public Holiday
tonga,2005,21 Jun,Tuesday,June Solstice,Season
tonga,2005,4 Jul,Monday,Birthday of His Majesty King Tupou VI,Public Holiday
