Geo,Event Year,Date,Day,Name,Type
tunisia,2000,1 Jan,Saturday,New Year,Public Holiday
tunisia,2000,8 Jan,Saturday,Eid al-Fitr,Public Holiday
tunisia,2000,9 Jan,Sunday,Eid al-Fitr Holiday,Public Holiday
tunisia,2000,10 Jan,Monday,Eid al-Fitr Holiday,Public Holiday
tunisia,2000,16 Mar,Thursday,Eid al-Adha,Public Holiday
tunisia,2000,17 Mar,Friday,Eid al-Adha Holiday,Public Holiday
tunisia,2000,20 Mar,Monday,Independence Day,Public Holiday
tunisia,2000,20 Mar,Monday,March Equinox,Season
tunisia,2000,6 Apr,Thursday,Muharram,Public Holiday
tunisia,2000,9 Apr,Sunday,Martyrs' Day,Public Holiday
tunisia,2000,1 May,Monday,Labour Day,Public Holiday
tunisia,2000,15 Jun,Thursday,The Prophet's Birthday,Public Holiday
tunisia,2000,21 Jun,Wednesday,June Solstice,Season
tunisia,2000,25 Jul,Tuesday,Republic Day,Public Holiday
tunisia,2000,13 Aug,Sunday,Women's and Family Day,Observance
tunisia,2000,22 Sep,Friday,September Equinox,Season
tunisia,2000,15 Oct,Sunday,Evacuation Day,Public Holiday
tunisia,2000,21 Dec,Thursday,December Solstice,Season
tunisia,2000,28 Dec,Thursday,Eid al-Fitr,Public Holiday
tunisia,2000,29 Dec,Friday,Eid al-Fitr Holiday,Public Holiday
tunisia,2000,30 Dec,Saturday,Eid al-Fitr Holiday,Public Holiday
tunisia,2001,1 Jan,Monday,New Year,Public Holiday
tunisia,2001,6 Mar,Tuesday,Eid al-Adha,Public Holiday
tunisia,2001,7 Mar,Wednesday,Eid al-Adha Holiday,Public Holiday
tunisia,2001,20 Mar,Tuesday,Independence Day,Public Holiday
tunisia,2001,20 Mar,Tuesday,March Equinox,Season
tunisia,2001,26 Mar,Monday,Muharram,Public Holiday
tunisia,2001,9 Apr,Monday,Martyrs' Day,Public Holiday
tunisia,2001,1 May,Tuesday,Labour Day,Public Holiday
tunisia,2001,4 Jun,Monday,The Prophet's Birthday,Public Holiday
tunisia,2001,21 Jun,Thursday,June Solstice,Season
tunisia,2001,25 Jul,Wednesday,Republic Day,Public Holiday
tunisia,2001,13 Aug,Monday,Women's and Family Day,Observance
tunisia,2001,23 Sep,Sunday,September Equinox,Season
tunisia,2001,15 Oct,Monday,Evacuation Day,Public Holiday
tunisia,2001,17 Dec,Monday,Eid al-Fitr,Public Holiday
tunisia,2001,18 Dec,Tuesday,Eid al-Fitr Holiday,Public Holiday
tunisia,2001,19 Dec,Wednesday,Eid al-Fitr Holiday,Public Holiday
tunisia,2001,21 Dec,Friday,December Solstice,Season
tunisia,2002,1 Jan,Tuesday,New Year,Public Holiday
tunisia,2002,23 Feb,Saturday,Eid al-Adha,Public Holiday
tunisia,2002,24 Feb,Sunday,Eid al-Adha Holiday,Public Holiday
tunisia,2002,15 Mar,Friday,Muharram,Public Holiday
tunisia,2002,20 Mar,Wednesday,Independence Day,Public Holiday
tunisia,2002,20 Mar,Wednesday,March Equinox,Season
tunisia,2002,9 Apr,Tuesday,Martyrs' Day,Public Holiday
tunisia,2002,1 May,Wednesday,Labour Day,Public Holiday
tunisia,2002,24 May,Friday,The Prophet's Birthday,Public Holiday
tunisia,2002,21 Jun,Friday,June Solstice,Season
tunisia,2002,25 Jul,Thursday,Republic Day,Public Holiday
tunisia,2002,13 Aug,Tuesday,Women's and Family Day,Observance
tunisia,2002,23 Sep,Monday,September Equinox,Season
tunisia,2002,15 Oct,Tuesday,Evacuation Day,Public Holiday
tunisia,2002,6 Dec,Friday,Eid al-Fitr,Public Holiday
tunisia,2002,7 Dec,Saturday,Eid al-Fitr Holiday,Public Holiday
tunisia,2002,8 Dec,Sunday,Eid al-Fitr Holiday,Public Holiday
tunisia,2002,22 Dec,Sunday,December Solstice,Season
tunisia,2003,1 Jan,Wednesday,New Year,Public Holiday
tunisia,2003,12 Feb,Wednesday,Eid al-Adha,Public Holiday
tunisia,2003,13 Feb,Thursday,Eid al-Adha Holiday,Public Holiday
tunisia,2003,5 Mar,Wednesday,Muharram,Public Holiday
tunisia,2003,20 Mar,Thursday,Independence Day,Public Holiday
tunisia,2003,21 Mar,Friday,March Equinox,Season
tunisia,2003,9 Apr,Wednesday,Martyrs' Day,Public Holiday
tunisia,2003,1 May,Thursday,Labour Day,Public Holiday
tunisia,2003,14 May,Wednesday,The Prophet's Birthday,Public Holiday
tunisia,2003,21 Jun,Saturday,June Solstice,Season
tunisia,2003,25 Jul,Friday,Republic Day,Public Holiday
tunisia,2003,13 Aug,Wednesday,Women's and Family Day,Observance
tunisia,2003,23 Sep,Tuesday,September Equinox,Season
tunisia,2003,15 Oct,Wednesday,Evacuation Day,Public Holiday
tunisia,2003,26 Nov,Wednesday,Eid al-Fitr,Public Holiday
tunisia,2003,27 Nov,Thursday,Eid al-Fitr Holiday,Public Holiday
tunisia,2003,28 Nov,Friday,Eid al-Fitr Holiday,Public Holiday
tunisia,2003,22 Dec,Monday,December Solstice,Season
tunisia,2004,1 Jan,Thursday,New Year,Public Holiday
tunisia,2004,2 Feb,Monday,Eid al-Adha,Public Holiday
tunisia,2004,3 Feb,Tuesday,Eid al-Adha Holiday,Public Holiday
tunisia,2004,22 Feb,Sunday,Muharram,Public Holiday
tunisia,2004,20 Mar,Saturday,Independence Day,Public Holiday
tunisia,2004,20 Mar,Saturday,March Equinox,Season
tunisia,2004,9 Apr,Friday,Martyrs' Day,Public Holiday
tunisia,2004,1 May,Saturday,Labour Day,Public Holiday
tunisia,2004,2 May,Sunday,The Prophet's Birthday,Public Holiday
tunisia,2004,21 Jun,Monday,June Solstice,Season
tunisia,2004,25 Jul,Sunday,Republic Day,Public Holiday
tunisia,2004,13 Aug,Friday,Women's and Family Day,Observance
tunisia,2004,22 Sep,Wednesday,September Equinox,Season
tunisia,2004,15 Oct,Friday,Evacuation Day,Public Holiday
tunisia,2004,14 Nov,Sunday,Eid al-Fitr,Public Holiday
tunisia,2004,15 Nov,Monday,Eid al-Fitr Holiday,Public Holiday
tunisia,2004,16 Nov,Tuesday,Eid al-Fitr Holiday,Public Holiday
tunisia,2004,21 Dec,Tuesday,December Solstice,Season
tunisia,2005,1 Jan,Saturday,New Year,Public Holiday
tunisia,2005,21 Jan,Friday,Eid al-Adha,Public Holiday
tunisia,2005,22 Jan,Saturday,Eid al-Adha Holiday,Public Holiday
tunisia,2005,10 Feb,Thursday,Muharram,Public Holiday
tunisia,2005,20 Mar,Sunday,Independence Day,Public Holiday
tunisia,2005,20 Mar,Sunday,March Equinox,Season
tunisia,2005,9 Apr,Saturday,Martyrs' Day,Public Holiday
tunisia,2005,21 Apr,Thursday,The Prophet's Birthday,Public Holiday
tunisia,2005,1 May,Sunday,Labour Day,Public Holiday
tunisia,2005,21 Jun,Tuesday,June Solstice,Season
tunisia,2005,25 Jul,Monday,Republic Day,Public Holiday
tunisia,2005,13 Aug,Saturday,Women's and Family Day,Observance
tunisia,2005,23 Sep,Friday,September Equinox,Season
tunisia,2005,15 Oct,Saturday,Evacuation Day,Public Holiday
tunisia,2005,4 Nov,Friday,Eid al-Fitr,Public Holiday
tunisia,2005,5 Nov,Saturday,Eid al-Fitr Holiday,Public Holiday
tunisia,2005,6 Nov,Sunday,Eid al-Fitr Holiday,Public Holiday
tunisia,2005,21 Dec,Wednesday,December Solstice,Season
tunisia,2006,1 Jan,Sunday,New Year,Public Holiday
tunisia,2006,10 Jan,Tuesday,Eid al-Adha,Public Holiday
tunisia,2006,11 Jan,Wednesday,Eid al-Adha Holiday,Public Holiday
tunisia,2006,31 Jan,Tuesday,Muharram,Public Holiday
tunisia,2006,20 Mar,Monday,Independence Day,Public Holiday
tunisia,2006,20 Mar,Monday,March Equinox,Season
tunisia,2006,9 Apr,Sunday,Martyrs' Day,Public Holiday
tunisia,2006,11 Apr,Tuesday,The Prophet's Birthday,Public Holiday
tunisia,2006,1 May,Monday,Labour Day,Public Holiday
tunisia,2006,21 Jun,Wednesday,June Solstice,Season
tunisia,2006,25 Jul,Tuesday,Republic Day,Public Holiday
tunisia,2006,13 Aug,Sunday,Women's and Family Day,Observance
tunisia,2006,23 Sep,Saturday,September Equinox,Season
tunisia,2006,15 Oct,Sunday,Evacuation Day,Public Holiday
tunisia,2006,24 Oct,Tuesday,Eid al-Fitr,Public Holiday
tunisia,2006,25 Oct,Wednesday,Eid al-Fitr Holiday,Public Holiday
tunisia,2006,26 Oct,Thursday,Eid al-Fitr Holiday,Public Holiday
tunisia,2006,22 Dec,Friday,December Solstice,Season
tunisia,2006,31 Dec,Sunday,Eid al-Adha,Public Holiday
tunisia,2007,1 Jan,Monday,New Year,Public Holiday
tunisia,2007,1 Jan,Monday,Eid al-Adha Holiday,Public Holiday
tunisia,2007,20 Jan,Saturday,Muharram,Public Holiday
tunisia,2007,20 Mar,Tuesday,Independence Day,Public Holiday
tunisia,2007,21 Mar,Wednesday,March Equinox,Season
tunisia,2007,31 Mar,Saturday,The Prophet's Birthday,Public Holiday
tunisia,2007,9 Apr,Monday,Martyrs' Day,Public Holiday
tunisia,2007,1 May,Tuesday,Labour Day,Public Holiday
tunisia,2007,21 Jun,Thursday,June Solstice,Season
tunisia,2007,25 Jul,Wednesday,Republic Day,Public Holiday
tunisia,2007,13 Aug,Monday,Women's and Family Day,Observance
tunisia,2007,23 Sep,Sunday,September Equinox,Season
tunisia,2007,13 Oct,Saturday,Eid al-Fitr,Public Holiday
tunisia,2007,14 Oct,Sunday,Eid al-Fitr Holiday,Public Holiday
tunisia,2007,15 Oct,Monday,Eid al-Fitr Holiday,Public Holiday
tunisia,2007,15 Oct,Monday,Evacuation Day,Public Holiday
tunisia,2007,20 Dec,Thursday,Eid al-Adha,Public Holiday
tunisia,2007,21 Dec,Friday,Eid al-Adha Holiday,Public Holiday
tunisia,2007,22 Dec,Saturday,December Solstice,Season
tunisia,2008,1 Jan,Tuesday,New Year,Public Holiday
tunisia,2008,10 Jan,Thursday,Muharram,Public Holiday
tunisia,2008,20 Mar,Thursday,The Prophet's Birthday,Public Holiday
tunisia,2008,20 Mar,Thursday,Independence Day,Public Holiday
tunisia,2008,20 Mar,Thursday,March Equinox,Season
tunisia,2008,9 Apr,Wednesday,Martyrs' Day,Public Holiday
tunisia,2008,1 May,Thursday,Labour Day,Public Holiday
tunisia,2008,21 Jun,Saturday,June Solstice,Season
tunisia,2008,25 Jul,Friday,Republic Day,Public Holiday
tunisia,2008,13 Aug,Wednesday,Women's and Family Day,Observance
tunisia,2008,22 Sep,Monday,September Equinox,Season
tunisia,2008,2 Oct,Thursday,Eid al-Fitr,Public Holiday
tunisia,2008,3 Oct,Friday,Eid al-Fitr Holiday,Public Holiday
tunisia,2008,4 Oct,Saturday,Eid al-Fitr Holiday,Public Holiday
tunisia,2008,15 Oct,Wednesday,Evacuation Day,Public Holiday
tunisia,2008,9 Dec,Tuesday,Eid al-Adha,Public Holiday
tunisia,2008,10 Dec,Wednesday,Eid al-Adha Holiday,Public Holiday
tunisia,2008,21 Dec,Sunday,December Solstice,Season
tunisia,2008,29 Dec,Monday,Muharram,Public Holiday
tunisia,2009,1 Jan,Thursday,New Year,Public Holiday
tunisia,2009,9 Mar,Monday,The Prophet's Birthday,Public Holiday
tunisia,2009,20 Mar,Friday,Independence Day,Public Holiday
tunisia,2009,20 Mar,Friday,March Equinox,Season
tunisia,2009,9 Apr,Thursday,Martyrs' Day,Public Holiday
tunisia,2009,1 May,Friday,Labour Day,Public Holiday
tunisia,2009,21 Jun,Sunday,June Solstice,Season
tunisia,2009,25 Jul,Saturday,Republic Day,Public Holiday
tunisia,2009,13 Aug,Thursday,Women's and Family Day,Observance
tunisia,2009,21 Sep,Monday,Eid al-Fitr,Public Holiday
tunisia,2009,22 Sep,Tuesday,Eid al-Fitr Holiday,Public Holiday
tunisia,2009,22 Sep,Tuesday,September Equinox,Season
tunisia,2009,23 Sep,Wednesday,Eid al-Fitr Holiday,Public Holiday
tunisia,2009,15 Oct,Thursday,Evacuation Day,Public Holiday
tunisia,2009,28 Nov,Saturday,Eid al-Adha,Public Holiday
tunisia,2009,29 Nov,Sunday,Eid al-Adha Holiday,Public Holiday
tunisia,2009,18 Dec,Friday,Muharram,Public Holiday
tunisia,2009,21 Dec,Monday,December Solstice,Season
tunisia,2010,1 Jan,Friday,New Year,Public Holiday
