Geo,Event Year,Date,Day,Name,Type
turkey,2000,1 Jan,Saturday,New Year's Day,National holiday
turkey,2000,20 Mar,Monday,March Equinox,Season
turkey,2000,23 Apr,Sunday,National Sovereignty and Children's Day,National holiday
turkey,2000,19 May,Friday,"Commemoration of Atatürk, Youth and Sports Day",National holiday
turkey,2000,21 Jun,Wednesday,June Solstice,Season
turkey,2000,30 Aug,Wednesday,Victory Day,National holiday
turkey,2000,22 Sep,Friday,September Equinox,Season
turkey,2000,28 Oct,Saturday,Republic Day Eve,Half Day
turkey,2000,29 Oct,Sunday,Republic Day,National holiday
turkey,2000,10 Nov,Friday,Ataturk Commemoration Day,Observance
turkey,2000,21 Dec,Thursday,December Solstice,Season
turkey,2000,31 Dec,Sunday,New Year's Eve,Observance
turkey,2001,1 Jan,Monday,New Year's Day,National holiday
turkey,2001,20 Mar,Tuesday,March Equinox,Season
turkey,2001,23 Apr,Monday,National Sovereignty and Children's Day,National holiday
turkey,2001,19 May,Saturday,"Commemoration of Atatürk, Youth and Sports Day",National holiday
turkey,2001,21 Jun,Thursday,June Solstice,Season
turkey,2001,30 Aug,Thursday,Victory Day,National holiday
turkey,2001,23 Sep,Sunday,September Equinox,Season
turkey,2001,28 Oct,Sunday,Republic Day Eve,Half Day
turkey,2001,29 Oct,Monday,Republic Day,National holiday
turkey,2001,10 Nov,Saturday,Ataturk Commemoration Day,Observance
turkey,2001,21 Dec,Friday,December Solstice,Season
turkey,2001,31 Dec,Monday,New Year's Eve,Observance
turkey,2002,1 Jan,Tuesday,New Year's Day,National holiday
turkey,2002,20 Mar,Wednesday,March Equinox,Season
turkey,2002,23 Apr,Tuesday,National Sovereignty and Children's Day,National holiday
turkey,2002,19 May,Sunday,"Commemoration of Atatürk, Youth and Sports Day",National holiday
turkey,2002,21 Jun,Friday,June Solstice,Season
turkey,2002,30 Aug,Friday,Victory Day,National holiday
turkey,2002,23 Sep,Monday,September Equinox,Season
turkey,2002,28 Oct,Monday,Republic Day Eve,Half Day
turkey,2002,29 Oct,Tuesday,Republic Day,National holiday
turkey,2002,10 Nov,Sunday,Ataturk Commemoration Day,Observance
turkey,2002,22 Dec,Sunday,December Solstice,Season
turkey,2002,31 Dec,Tuesday,New Year's Eve,Observance
turkey,2003,1 Jan,Wednesday,New Year's Day,National holiday
turkey,2003,21 Mar,Friday,March Equinox,Season
turkey,2003,23 Apr,Wednesday,National Sovereignty and Children's Day,National holiday
turkey,2003,19 May,Monday,"Commemoration of Atatürk, Youth and Sports Day",National holiday
turkey,2003,21 Jun,Saturday,June Solstice,Season
turkey,2003,30 Aug,Saturday,Victory Day,National holiday
turkey,2003,23 Sep,Tuesday,September Equinox,Season
turkey,2003,28 Oct,Tuesday,Republic Day Eve,Half Day
turkey,2003,29 Oct,Wednesday,Republic Day,National holiday
turkey,2003,10 Nov,Monday,Ataturk Commemoration Day,Observance
turkey,2003,22 Dec,Monday,December Solstice,Season
turkey,2003,31 Dec,Wednesday,New Year's Eve,Observance
turkey,2004,1 Jan,Thursday,New Year's Day,National holiday
turkey,2004,20 Mar,Saturday,March Equinox,Season
turkey,2004,23 Apr,Friday,National Sovereignty and Children's Day,National holiday
turkey,2004,19 May,Wednesday,"Commemoration of Atatürk, Youth and Sports Day",National holiday
turkey,2004,21 Jun,Monday,June Solstice,Season
turkey,2004,30 Aug,Monday,Victory Day,National holiday
turkey,2004,22 Sep,Wednesday,September Equinox,Season
turkey,2004,28 Oct,Thursday,Republic Day Eve,Half Day
turkey,2004,29 Oct,Friday,Republic Day,National holiday
turkey,2004,10 Nov,Wednesday,Ataturk Commemoration Day,Observance
turkey,2004,21 Dec,Tuesday,December Solstice,Season
turkey,2004,31 Dec,Friday,New Year's Eve,Observance
turkey,2005,1 Jan,Saturday,New Year's Day,National holiday
turkey,2005,20 Mar,Sunday,March Equinox,Season
turkey,2005,23 Apr,Saturday,National Sovereignty and Children's Day,National holiday
turkey,2005,19 May,Thursday,"Commemoration of Atatürk, Youth and Sports Day",National holiday
turkey,2005,21 Jun,Tuesday,June Solstice,Season
