Geo,Event Year,Date,Day,Name,Type
turkmenistan,2000,1 Jan,Saturday,New Year's Day,Public Holiday
turkmenistan,2000,8 Jan,Saturday,Oraza Bayram,Public Holiday
turkmenistan,2000,12 Jan,Wednesday,Memory Day,Public Holiday
turkmenistan,2000,19 Feb,Saturday,State Flag of Turkmenistan Day,Public Holiday
turkmenistan,2000,8 Mar,Wednesday,International Women's Day,Public Holiday
turkmenistan,2000,16 Mar,Thursday,Kurban Bayramy,Public Holiday
turkmenistan,2000,20 Mar,Monday,Nowruz Bayram (Spring Festival),Public Holiday
turkmenistan,2000,20 Mar,Monday,March Equinox,Season
turkmenistan,2000,2 Apr,Sunday,A Drop of Water - A grain of Gold,Observance
turkmenistan,2000,30 Apr,Sunday,Turkmen Racing Horse Festival,Observance
turkmenistan,2000,8 May,Monday,Commemoration National Heroes WWII,Public Holiday
turkmenistan,2000,9 May,Tuesday,Victory Day,Public Holiday
turkmenistan,2000,18 May,Thursday,"Day of Revival, Unity, and the Poetry of Magtymguly",Public Holiday
turkmenistan,2000,28 May,Sunday,Carpet Day,Observance
turkmenistan,2000,21 Jun,Wednesday,June Solstice,Season
turkmenistan,2000,16 Jul,Sunday,Galla Bayramy (Wheat Harvest Festival),Observance
turkmenistan,2000,13 Aug,Sunday,Turkmen Melon Day,Observance
turkmenistan,2000,10 Sep,Sunday,Day of the Workers in the Energy Sector,Observance
turkmenistan,2000,10 Sep,Sunday,Turkmen Bakhshi Day,Observance
turkmenistan,2000,22 Sep,Friday,September Equinox,Season
turkmenistan,2000,6 Oct,Friday,Day of Commemoration and National Mourning,Public Holiday
turkmenistan,2000,27 Oct,Friday,Independence Day,Public Holiday
turkmenistan,2000,4 Nov,Saturday,Health Day,Observance
turkmenistan,2000,26 Nov,Sunday,Harvest Festival,Observance
turkmenistan,2000,3 Dec,Sunday,Good Neighborliness Day,Observance
turkmenistan,2000,12 Dec,Tuesday,Day of Neutrality,Public Holiday
turkmenistan,2000,21 Dec,Thursday,December Solstice,Season
turkmenistan,2000,28 Dec,Thursday,Oraza Bayram,Public Holiday
turkmenistan,2001,1 Jan,Monday,New Year's Day,Public Holiday
turkmenistan,2001,12 Jan,Friday,Memory Day,Public Holiday
turkmenistan,2001,19 Feb,Monday,State Flag of Turkmenistan Day,Public Holiday
turkmenistan,2001,6 Mar,Tuesday,Kurban Bayramy,Public Holiday
turkmenistan,2001,8 Mar,Thursday,International Women's Day,Public Holiday
turkmenistan,2001,20 Mar,Tuesday,Nowruz Bayram (Spring Festival),Public Holiday
turkmenistan,2001,20 Mar,Tuesday,March Equinox,Season
turkmenistan,2001,1 Apr,Sunday,A Drop of Water - A grain of Gold,Observance
turkmenistan,2001,29 Apr,Sunday,Turkmen Racing Horse Festival,Observance
turkmenistan,2001,8 May,Tuesday,Commemoration National Heroes WWII,Public Holiday
turkmenistan,2001,9 May,Wednesday,Victory Day,Public Holiday
turkmenistan,2001,18 May,Friday,"Day of Revival, Unity, and the Poetry of Magtymguly",Public Holiday
turkmenistan,2001,27 May,Sunday,Carpet Day,Observance
turkmenistan,2001,21 Jun,Thursday,June Solstice,Season
turkmenistan,2001,15 Jul,Sunday,Galla Bayramy (Wheat Harvest Festival),Observance
turkmenistan,2001,12 Aug,Sunday,Turkmen Melon Day,Observance
turkmenistan,2001,9 Sep,Sunday,Day of the Workers in the Energy Sector,Observance
turkmenistan,2001,9 Sep,Sunday,Turkmen Bakhshi Day,Observance
turkmenistan,2001,23 Sep,Sunday,September Equinox,Season
turkmenistan,2001,6 Oct,Saturday,Day of Commemoration and National Mourning,Public Holiday
turkmenistan,2001,27 Oct,Saturday,Independence Day,Public Holiday
turkmenistan,2001,3 Nov,Saturday,Health Day,Observance
turkmenistan,2001,25 Nov,Sunday,Harvest Festival,Observance
turkmenistan,2001,2 Dec,Sunday,Good Neighborliness Day,Observance
turkmenistan,2001,12 Dec,Wednesday,Day of Neutrality,Public Holiday
turkmenistan,2001,17 Dec,Monday,Oraza Bayram,Public Holiday
turkmenistan,2001,22 Dec,Saturday,December Solstice,Season
turkmenistan,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
turkmenistan,2002,12 Jan,Saturday,Memory Day,Public Holiday
turkmenistan,2002,19 Feb,Tuesday,State Flag of Turkmenistan Day,Public Holiday
turkmenistan,2002,23 Feb,Saturday,Kurban Bayramy,Public Holiday
turkmenistan,2002,8 Mar,Friday,International Women's Day,Public Holiday
turkmenistan,2002,20 Mar,Wednesday,Nowruz Bayram (Spring Festival),Public Holiday
turkmenistan,2002,21 Mar,Thursday,March Equinox,Season
turkmenistan,2002,7 Apr,Sunday,A Drop of Water - A grain of Gold,Observance
turkmenistan,2002,28 Apr,Sunday,Turkmen Racing Horse Festival,Observance
turkmenistan,2002,8 May,Wednesday,Commemoration National Heroes WWII,Public Holiday
turkmenistan,2002,9 May,Thursday,Victory Day,Public Holiday
turkmenistan,2002,18 May,Saturday,"Day of Revival, Unity, and the Poetry of Magtymguly",Public Holiday
turkmenistan,2002,26 May,Sunday,Carpet Day,Observance
turkmenistan,2002,21 Jun,Friday,June Solstice,Season
turkmenistan,2002,21 Jul,Sunday,Galla Bayramy (Wheat Harvest Festival),Observance
turkmenistan,2002,11 Aug,Sunday,Turkmen Melon Day,Observance
turkmenistan,2002,8 Sep,Sunday,Day of the Workers in the Energy Sector,Observance
turkmenistan,2002,8 Sep,Sunday,Turkmen Bakhshi Day,Observance
turkmenistan,2002,23 Sep,Monday,September Equinox,Season
turkmenistan,2002,6 Oct,Sunday,Day of Commemoration and National Mourning,Public Holiday
turkmenistan,2002,27 Oct,Sunday,Independence Day,Public Holiday
turkmenistan,2002,2 Nov,Saturday,Health Day,Observance
turkmenistan,2002,24 Nov,Sunday,Harvest Festival,Observance
turkmenistan,2002,1 Dec,Sunday,Good Neighborliness Day,Observance
turkmenistan,2002,6 Dec,Friday,Oraza Bayram,Public Holiday
turkmenistan,2002,12 Dec,Thursday,Day of Neutrality,Public Holiday
turkmenistan,2002,22 Dec,Sunday,December Solstice,Season
turkmenistan,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
turkmenistan,2003,12 Jan,Sunday,Memory Day,Public Holiday
turkmenistan,2003,12 Feb,Wednesday,Kurban Bayramy,Public Holiday
turkmenistan,2003,19 Feb,Wednesday,State Flag of Turkmenistan Day,Public Holiday
turkmenistan,2003,8 Mar,Saturday,International Women's Day,Public Holiday
turkmenistan,2003,20 Mar,Thursday,Nowruz Bayram (Spring Festival),Public Holiday
turkmenistan,2003,21 Mar,Friday,March Equinox,Season
turkmenistan,2003,6 Apr,Sunday,A Drop of Water - A grain of Gold,Observance
turkmenistan,2003,27 Apr,Sunday,Turkmen Racing Horse Festival,Observance
turkmenistan,2003,8 May,Thursday,Commemoration National Heroes WWII,Public Holiday
turkmenistan,2003,9 May,Friday,Victory Day,Public Holiday
turkmenistan,2003,18 May,Sunday,"Day of Revival, Unity, and the Poetry of Magtymguly",Public Holiday
turkmenistan,2003,25 May,Sunday,Carpet Day,Observance
turkmenistan,2003,22 Jun,Sunday,June Solstice,Season
turkmenistan,2003,20 Jul,Sunday,Galla Bayramy (Wheat Harvest Festival),Observance
turkmenistan,2003,10 Aug,Sunday,Turkmen Melon Day,Observance
turkmenistan,2003,14 Sep,Sunday,Day of the Workers in the Energy Sector,Observance
turkmenistan,2003,14 Sep,Sunday,Turkmen Bakhshi Day,Observance
turkmenistan,2003,23 Sep,Tuesday,September Equinox,Season
turkmenistan,2003,6 Oct,Monday,Day of Commemoration and National Mourning,Public Holiday
turkmenistan,2003,27 Oct,Monday,Independence Day,Public Holiday
turkmenistan,2003,1 Nov,Saturday,Health Day,Observance
turkmenistan,2003,23 Nov,Sunday,Harvest Festival,Observance
turkmenistan,2003,26 Nov,Wednesday,Oraza Bayram,Public Holiday
turkmenistan,2003,7 Dec,Sunday,Good Neighborliness Day,Observance
turkmenistan,2003,12 Dec,Friday,Day of Neutrality,Public Holiday
turkmenistan,2003,22 Dec,Monday,December Solstice,Season
turkmenistan,2004,1 Jan,Thursday,New Year's Day,Public Holiday
turkmenistan,2004,12 Jan,Monday,Memory Day,Public Holiday
turkmenistan,2004,2 Feb,Monday,Kurban Bayramy,Public Holiday
turkmenistan,2004,19 Feb,Thursday,State Flag of Turkmenistan Day,Public Holiday
turkmenistan,2004,8 Mar,Monday,International Women's Day,Public Holiday
turkmenistan,2004,20 Mar,Saturday,Nowruz Bayram (Spring Festival),Public Holiday
turkmenistan,2004,20 Mar,Saturday,March Equinox,Season
turkmenistan,2004,4 Apr,Sunday,A Drop of Water - A grain of Gold,Observance
turkmenistan,2004,25 Apr,Sunday,Turkmen Racing Horse Festival,Observance
turkmenistan,2004,8 May,Saturday,Commemoration National Heroes WWII,Public Holiday
turkmenistan,2004,9 May,Sunday,Victory Day,Public Holiday
turkmenistan,2004,18 May,Tuesday,"Day of Revival, Unity, and the Poetry of Magtymguly",Public Holiday
turkmenistan,2004,23 May,Sunday,Carpet Day,Observance
turkmenistan,2004,21 Jun,Monday,June Solstice,Season
turkmenistan,2004,18 Jul,Sunday,Galla Bayramy (Wheat Harvest Festival),Observance
turkmenistan,2004,8 Aug,Sunday,Turkmen Melon Day,Observance
turkmenistan,2004,12 Sep,Sunday,Day of the Workers in the Energy Sector,Observance
turkmenistan,2004,12 Sep,Sunday,Turkmen Bakhshi Day,Observance
turkmenistan,2004,22 Sep,Wednesday,September Equinox,Season
turkmenistan,2004,6 Oct,Wednesday,Day of Commemoration and National Mourning,Public Holiday
turkmenistan,2004,27 Oct,Wednesday,Independence Day,Public Holiday
turkmenistan,2004,6 Nov,Saturday,Health Day,Observance
turkmenistan,2004,14 Nov,Sunday,Oraza Bayram,Public Holiday
turkmenistan,2004,28 Nov,Sunday,Harvest Festival,Observance
turkmenistan,2004,5 Dec,Sunday,Good Neighborliness Day,Observance
turkmenistan,2004,12 Dec,Sunday,Day of Neutrality,Public Holiday
turkmenistan,2004,21 Dec,Tuesday,December Solstice,Season
turkmenistan,2005,1 Jan,Saturday,New Year's Day,Public Holiday
turkmenistan,2005,12 Jan,Wednesday,Memory Day,Public Holiday
turkmenistan,2005,21 Jan,Friday,Kurban Bayramy,Public Holiday
turkmenistan,2005,19 Feb,Saturday,State Flag of Turkmenistan Day,Public Holiday
turkmenistan,2005,8 Mar,Tuesday,International Women's Day,Public Holiday
turkmenistan,2005,20 Mar,Sunday,Nowruz Bayram (Spring Festival),Public Holiday
turkmenistan,2005,20 Mar,Sunday,March Equinox,Season
