Geo,Event Year,Date,Day,Name,Type
tuvalu,2000,1 Jan,Saturday,New Year's Day,Public Holiday
tuvalu,2000,3 Jan,Monday,Day off for New Year's Day,Public Holiday
tuvalu,2000,13 Mar,Monday,Commonwealth Day,Public Holiday
tuvalu,2000,20 Mar,Monday,March Equinox,Season
tuvalu,2000,21 Apr,Friday,Good Friday,Public Holiday
tuvalu,2000,22 Apr,Saturday,Holy Saturday,Observance
tuvalu,2000,23 Apr,Sunday,Easter Sunday,Observance
tuvalu,2000,24 Apr,Monday,Easter Monday,Public Holiday
tuvalu,2000,15 May,Monday,Gospel Day,Public Holiday
tuvalu,2000,10 Jun,Saturday,Anniversary of the Birthday of the Sovereign,Public Holiday
tuvalu,2000,21 Jun,Wednesday,June Solstice,Season
tuvalu,2000,7 Aug,Monday,National Children's Day,Public Holiday
tuvalu,2000,23 Sep,Saturday,September Equinox,Season
tuvalu,2000,1 Oct,Sunday,Tuvalu Day,Public Holiday
tuvalu,2000,2 Oct,Monday,Day off for Tuvalu Day,Public Holiday
tuvalu,2000,2 Oct,Monday,Tuvalu Day Holiday,Public Holiday
tuvalu,2000,3 Oct,Tuesday,Day off for Tuvalu Day Holiday,Public Holiday
tuvalu,2000,13 Nov,Monday,Heir to the Throne's Birthday,Public Holiday
tuvalu,2000,22 Dec,Friday,December Solstice,Season
tuvalu,2000,25 Dec,Monday,Christmas Day,Public Holiday
tuvalu,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
tuvalu,2001,1 Jan,Monday,New Year's Day,Public Holiday
tuvalu,2001,12 Mar,Monday,Commonwealth Day,Public Holiday
tuvalu,2001,21 Mar,Wednesday,March Equinox,Season
tuvalu,2001,13 Apr,Friday,Good Friday,Public Holiday
tuvalu,2001,14 Apr,Saturday,Holy Saturday,Observance
tuvalu,2001,15 Apr,Sunday,Easter Sunday,Observance
tuvalu,2001,16 Apr,Monday,Easter Monday,Public Holiday
tuvalu,2001,14 May,Monday,Gospel Day,Public Holiday
tuvalu,2001,9 Jun,Saturday,Anniversary of the Birthday of the Sovereign,Public Holiday
tuvalu,2001,21 Jun,Thursday,June Solstice,Season
tuvalu,2001,6 Aug,Monday,National Children's Day,Public Holiday
tuvalu,2001,23 Sep,Sunday,September Equinox,Season
tuvalu,2001,1 Oct,Monday,Tuvalu Day,Public Holiday
tuvalu,2001,2 Oct,Tuesday,Tuvalu Day Holiday,Public Holiday
tuvalu,2001,12 Nov,Monday,Heir to the Throne's Birthday,Public Holiday
tuvalu,2001,22 Dec,Saturday,December Solstice,Season
tuvalu,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
tuvalu,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
tuvalu,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
tuvalu,2002,11 Mar,Monday,Commonwealth Day,Public Holiday
tuvalu,2002,21 Mar,Thursday,March Equinox,Season
tuvalu,2002,29 Mar,Friday,Good Friday,Public Holiday
tuvalu,2002,30 Mar,Saturday,Holy Saturday,Observance
tuvalu,2002,31 Mar,Sunday,Easter Sunday,Observance
tuvalu,2002,1 Apr,Monday,Easter Monday,Public Holiday
tuvalu,2002,13 May,Monday,Gospel Day,Public Holiday
tuvalu,2002,8 Jun,Saturday,Anniversary of the Birthday of the Sovereign,Public Holiday
tuvalu,2002,22 Jun,Saturday,June Solstice,Season
tuvalu,2002,5 Aug,Monday,National Children's Day,Public Holiday
tuvalu,2002,23 Sep,Monday,September Equinox,Season
tuvalu,2002,1 Oct,Tuesday,Tuvalu Day,Public Holiday
tuvalu,2002,2 Oct,Wednesday,Tuvalu Day Holiday,Public Holiday
tuvalu,2002,11 Nov,Monday,Heir to the Throne's Birthday,Public Holiday
tuvalu,2002,22 Dec,Sunday,December Solstice,Season
tuvalu,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
tuvalu,2002,26 Dec,Thursday,Boxing Day,Public Holiday
tuvalu,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
tuvalu,2003,10 Mar,Monday,Commonwealth Day,Public Holiday
tuvalu,2003,21 Mar,Friday,March Equinox,Season
tuvalu,2003,18 Apr,Friday,Good Friday,Public Holiday
tuvalu,2003,19 Apr,Saturday,Holy Saturday,Observance
tuvalu,2003,20 Apr,Sunday,Easter Sunday,Observance
tuvalu,2003,21 Apr,Monday,Easter Monday,Public Holiday
tuvalu,2003,12 May,Monday,Gospel Day,Public Holiday
tuvalu,2003,14 Jun,Saturday,Anniversary of the Birthday of the Sovereign,Public Holiday
tuvalu,2003,22 Jun,Sunday,June Solstice,Season
tuvalu,2003,4 Aug,Monday,National Children's Day,Public Holiday
tuvalu,2003,23 Sep,Tuesday,September Equinox,Season
tuvalu,2003,1 Oct,Wednesday,Tuvalu Day,Public Holiday
tuvalu,2003,2 Oct,Thursday,Tuvalu Day Holiday,Public Holiday
tuvalu,2003,10 Nov,Monday,Heir to the Throne's Birthday,Public Holiday
tuvalu,2003,22 Dec,Monday,December Solstice,Season
tuvalu,2003,25 Dec,Thursday,Christmas Day,Public Holiday
tuvalu,2003,26 Dec,Friday,Boxing Day,Public Holiday
tuvalu,2004,1 Jan,Thursday,New Year's Day,Public Holiday
tuvalu,2004,8 Mar,Monday,Commonwealth Day,Public Holiday
tuvalu,2004,20 Mar,Saturday,March Equinox,Season
tuvalu,2004,9 Apr,Friday,Good Friday,Public Holiday
tuvalu,2004,10 Apr,Saturday,Holy Saturday,Observance
tuvalu,2004,11 Apr,Sunday,Easter Sunday,Observance
tuvalu,2004,12 Apr,Monday,Easter Monday,Public Holiday
tuvalu,2004,10 May,Monday,Gospel Day,Public Holiday
tuvalu,2004,12 Jun,Saturday,Anniversary of the Birthday of the Sovereign,Public Holiday
tuvalu,2004,21 Jun,Monday,June Solstice,Season
tuvalu,2004,2 Aug,Monday,National Children's Day,Public Holiday
tuvalu,2004,23 Sep,Thursday,September Equinox,Season
tuvalu,2004,1 Oct,Friday,Tuvalu Day,Public Holiday
