Geo,Event Year,Date,Day,Name,Type
uganda,2000,1 Jan,Saturday,New Year,Public Holiday
uganda,2000,8 Jan,Saturday,Eid al-Fitr,Public Holiday
uganda,2000,26 Jan,Wednesday,Liberation Day,Public Holiday
uganda,2000,8 Mar,Wednesday,International Women's Day,Public Holiday
uganda,2000,16 Mar,Thursday,Eid al-Adha,Public Holiday
uganda,2000,20 Mar,Monday,March Equinox,Season
uganda,2000,21 Apr,Friday,Good Friday,Public Holiday
uganda,2000,23 Apr,Sunday,Easter Sunday,Observance
uganda,2000,24 Apr,Monday,Easter Monday,Public Holiday
uganda,2000,1 May,Monday,Labour Day,Public Holiday
uganda,2000,14 May,Sunday,Mother's Day,Observance
uganda,2000,3 Jun,Saturday,Martyr's Day,Public Holiday
uganda,2000,9 Jun,Friday,National Heroes Day,Public Holiday
uganda,2000,20 Jun,Tuesday,June Solstice,Season
uganda,2000,21 Jun,Wednesday,Father's Day,Observance
uganda,2000,22 Sep,Friday,September Equinox,Season
uganda,2000,9 Oct,Monday,Independence Day,Public Holiday
uganda,2000,21 Dec,Thursday,December Solstice,Season
uganda,2000,25 Dec,Monday,Christmas Day,Public Holiday
uganda,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
uganda,2000,28 Dec,Thursday,Eid al-Fitr,Public Holiday
uganda,2001,1 Jan,Monday,New Year,Public Holiday
uganda,2001,26 Jan,Friday,Liberation Day,Public Holiday
uganda,2001,6 Mar,Tuesday,Eid al-Adha,Public Holiday
uganda,2001,8 Mar,Thursday,International Women's Day,Public Holiday
uganda,2001,20 Mar,Tuesday,March Equinox,Season
uganda,2001,13 Apr,Friday,Good Friday,Public Holiday
uganda,2001,15 Apr,Sunday,Easter Sunday,Observance
uganda,2001,16 Apr,Monday,Easter Monday,Public Holiday
uganda,2001,1 May,Tuesday,Labour Day,Public Holiday
uganda,2001,13 May,Sunday,Mother's Day,Observance
uganda,2001,3 Jun,Sunday,Martyr's Day,Public Holiday
uganda,2001,9 Jun,Saturday,National Heroes Day,Public Holiday
uganda,2001,21 Jun,Thursday,Father's Day,Observance
uganda,2001,21 Jun,Thursday,June Solstice,Season
uganda,2001,22 Sep,Saturday,September Equinox,Season
uganda,2001,9 Oct,Tuesday,Independence Day,Public Holiday
uganda,2001,17 Dec,Monday,Eid al-Fitr,Public Holiday
uganda,2001,21 Dec,Friday,December Solstice,Season
uganda,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
uganda,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
uganda,2002,1 Jan,Tuesday,New Year,Public Holiday
uganda,2002,26 Jan,Saturday,Liberation Day,Public Holiday
uganda,2002,23 Feb,Saturday,Eid al-Adha,Public Holiday
uganda,2002,8 Mar,Friday,International Women's Day,Public Holiday
uganda,2002,20 Mar,Wednesday,March Equinox,Season
uganda,2002,29 Mar,Friday,Good Friday,Public Holiday
uganda,2002,31 Mar,Sunday,Easter Sunday,Observance
uganda,2002,1 Apr,Monday,Easter Monday,Public Holiday
uganda,2002,1 May,Wednesday,Labour Day,Public Holiday
uganda,2002,12 May,Sunday,Mother's Day,Observance
uganda,2002,3 Jun,Monday,Martyr's Day,Public Holiday
uganda,2002,9 Jun,Sunday,National Heroes Day,Public Holiday
uganda,2002,21 Jun,Friday,Father's Day,Observance
uganda,2002,21 Jun,Friday,June Solstice,Season
uganda,2002,22 Sep,Sunday,September Equinox,Season
uganda,2002,9 Oct,Wednesday,Independence Day,Public Holiday
uganda,2002,6 Dec,Friday,Eid al-Fitr,Public Holiday
uganda,2002,21 Dec,Saturday,December Solstice,Season
uganda,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
uganda,2002,26 Dec,Thursday,Boxing Day,Public Holiday
uganda,2003,1 Jan,Wednesday,New Year,Public Holiday
uganda,2003,26 Jan,Sunday,Liberation Day,Public Holiday
uganda,2003,12 Feb,Wednesday,Eid al-Adha,Public Holiday
uganda,2003,8 Mar,Saturday,International Women's Day,Public Holiday
uganda,2003,20 Mar,Thursday,March Equinox,Season
uganda,2003,18 Apr,Friday,Good Friday,Public Holiday
uganda,2003,20 Apr,Sunday,Easter Sunday,Observance
uganda,2003,21 Apr,Monday,Easter Monday,Public Holiday
uganda,2003,1 May,Thursday,Labour Day,Public Holiday
uganda,2003,11 May,Sunday,Mother's Day,Observance
uganda,2003,3 Jun,Tuesday,Martyr's Day,Public Holiday
uganda,2003,9 Jun,Monday,National Heroes Day,Public Holiday
uganda,2003,21 Jun,Saturday,Father's Day,Observance
uganda,2003,21 Jun,Saturday,June Solstice,Season
uganda,2003,23 Sep,Tuesday,September Equinox,Season
uganda,2003,9 Oct,Thursday,Independence Day,Public Holiday
uganda,2003,26 Nov,Wednesday,Eid al-Fitr,Public Holiday
uganda,2003,22 Dec,Monday,December Solstice,Season
uganda,2003,25 Dec,Thursday,Christmas Day,Public Holiday
uganda,2003,26 Dec,Friday,Boxing Day,Public Holiday
