Geo,Event Year,Date,Day,Name,Type
uk,2000,1 Jan,Saturday,New Year's Day,Bank Holiday
uk,2000,3 Jan,Monday,Laylatul Qadr (Night of Power),Muslim
uk,2000,3 Jan,Monday,New Year's Day observed,Bank Holiday
uk,2000,4 Jan,Tuesday,2nd January (substitute day),Local Bank Holiday
uk,2000,5 Jan,Wednesday,Twelfth Night,"Observance, Christian"
uk,2000,6 Jan,Thursday,Epiphany,"Observance, Christian"
uk,2000,7 Jan,Friday,Orthodox Christmas Day,"Observance, Orthodox"
uk,2000,8 Jan,Saturday,Eid ul Fitr,Muslim
uk,2000,14 Jan,Friday,Orthodox New Year,"Observance, Orthodox"
uk,2000,22 Jan,Saturday,Tu B'Shevat (Arbor Day),Jewish Holiday
uk,2000,25 Jan,Tuesday,Burns Night,Local Observance
uk,2000,5 Feb,Saturday,Lunar New Year,Observance
uk,2000,14 Feb,Monday,Valentine's Day,Observance
uk,2000,1 Mar,Wednesday,St. David's Day,Local Observance
uk,2000,7 Mar,Tuesday,Carnival / Shrove Tuesday / Pancake Day,"Observance, Christian"
uk,2000,8 Mar,Wednesday,Carnival / Ash Wednesday,"Observance, Christian"
uk,2000,16 Mar,Thursday,Eid al-Adha,Muslim
uk,2000,17 Mar,Friday,St Patrick's Day,Local Bank Holiday
uk,2000,20 Mar,Monday,March Equinox,Season
uk,2000,21 Mar,Tuesday,Purim,Jewish Holiday
uk,2000,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
uk,2000,2 Apr,Sunday,Mother's Day,Observance
uk,2000,6 Apr,Thursday,Muharram/Islamic New Year,Muslim
uk,2000,15 Apr,Saturday,Ashura,Muslim
uk,2000,16 Apr,Sunday,Palm Sunday,"Observance, Christian"
uk,2000,20 Apr,Thursday,Maundy Thursday,"Observance, Christian"
uk,2000,20 Apr,Thursday,First day of Passover,Jewish Holiday
uk,2000,21 Apr,Friday,Good Friday,Bank Holiday
uk,2000,22 Apr,Saturday,Holy Saturday,"Observance, Christian"
uk,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
uk,2000,23 Apr,Sunday,St. George's Day,Local Observance
uk,2000,23 Apr,Sunday,Shakespeare Day,Observance
uk,2000,24 Apr,Monday,Easter Monday,Common Local Holiday
uk,2000,24 Apr,Monday,Easter Monday,Local Observance
uk,2000,27 Apr,Thursday,Last day of Passover,Jewish Holiday
uk,2000,28 Apr,Friday,Orthodox Good Friday,"Observance, Orthodox"
uk,2000,29 Apr,Saturday,Orthodox Holy Saturday,"Observance, Orthodox"
uk,2000,30 Apr,Sunday,Orthodox Easter,"Observance, Orthodox"
uk,2000,1 May,Monday,Orthodox Easter Monday,"Observance, Orthodox"
uk,2000,1 May,Monday,Early May Bank Holiday,Bank Holiday
uk,2000,2 May,Tuesday,Yom HaShoah,Jewish Commemoration
uk,2000,10 May,Wednesday,Yom HaAtzmaut,Jewish Holiday
uk,2000,23 May,Tuesday,Lag B'Omer,Jewish Holiday
uk,2000,29 May,Monday,Spring Bank Holiday,Bank Holiday
uk,2000,1 Jun,Thursday,Ascension Day,"Observance, Christian"
uk,2000,9 Jun,Friday,Shavuot,Jewish Holiday
uk,2000,10 Jun,Saturday,Queen Elizabeth II's Birthday,Observance
uk,2000,11 Jun,Sunday,Pentecost,"Observance, Christian"
uk,2000,12 Jun,Monday,Whit Monday,"Observance, Christian"
uk,2000,15 Jun,Thursday,Milad un Nabi (Mawlid),Muslim
uk,2000,18 Jun,Sunday,Trinity Sunday,"Observance, Christian"
uk,2000,18 Jun,Sunday,Father's Day,Observance
uk,2000,21 Jun,Wednesday,June Solstice,Season
uk,2000,22 Jun,Thursday,Corpus Christi,"Observance, Christian"
uk,2000,12 Jul,Wednesday,Battle of the Boyne,Local Bank Holiday
uk,2000,7 Aug,Monday,Summer Bank Holiday,Common Local Holiday
uk,2000,10 Aug,Thursday,Tisha B'Av,Jewish Holiday
uk,2000,15 Aug,Tuesday,Assumption of Mary,"Observance, Christian"
uk,2000,28 Aug,Monday,Summer Bank Holiday,Common Local Holiday
uk,2000,22 Sep,Friday,September Equinox,Season
uk,2000,30 Sep,Saturday,Rosh Hashana,Jewish Holiday
uk,2000,4 Oct,Wednesday,Feast of St Francis of Assisi,"Observance, Christian"
uk,2000,9 Oct,Monday,Yom Kippur,Jewish Holiday
uk,2000,14 Oct,Saturday,First day of Sukkot,Jewish Holiday
uk,2000,20 Oct,Friday,Hoshana Rabbah,Jewish Holiday
uk,2000,21 Oct,Saturday,Shemini Atzeret,Jewish Holiday
uk,2000,22 Oct,Sunday,Simchat Torah,Jewish Holiday
uk,2000,26 Oct,Thursday,Isra and Mi'raj,Muslim
uk,2000,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
uk,2000,31 Oct,Tuesday,Halloween,Observance
uk,2000,1 Nov,Wednesday,All Saints' Day,"Observance, Christian"
uk,2000,2 Nov,Thursday,All Souls' Day,"Observance, Christian"
uk,2000,5 Nov,Sunday,Guy Fawkes Day,Observance
uk,2000,12 Nov,Sunday,Remembrance Sunday,Observance
uk,2000,28 Nov,Tuesday,Ramadan Start,Muslim
uk,2000,3 Dec,Sunday,First Sunday of Advent,"Observance, Christian"
uk,2000,8 Dec,Friday,Feast of the Immaculate Conception,"Observance, Christian"
uk,2000,21 Dec,Thursday,December Solstice,Season
uk,2000,22 Dec,Friday,First Day of Hanukkah,Jewish Holiday
uk,2000,23 Dec,Saturday,Laylatul Qadr (Night of Power),Muslim
uk,2000,24 Dec,Sunday,Christmas Eve,"Observance, Christian"
