Geo,Event Year,Date,Day,Name,Type
united-states-virgin-islands,2000,1 Jan,Saturday,New Year,Public Holiday
united-states-virgin-islands,2000,6 Jan,Thursday,Three Kings Day,Public Holiday
united-states-virgin-islands,2000,17 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
united-states-virgin-islands,2000,21 Feb,Monday,President's Day,Public Holiday
united-states-virgin-islands,2000,20 Mar,Monday,March Equinox,Season
united-states-virgin-islands,2000,31 Mar,Friday,Transfer Day,Public Holiday
united-states-virgin-islands,2000,1 Apr,Saturday,April Fool's Day,Observance
united-states-virgin-islands,2000,20 Apr,Thursday,Holy Thursday,Public Holiday
united-states-virgin-islands,2000,21 Apr,Friday,Good Friday,Public Holiday
united-states-virgin-islands,2000,23 Apr,Sunday,Easter Sunday,Observance
united-states-virgin-islands,2000,24 Apr,Monday,Easter Monday,Public Holiday
united-states-virgin-islands,2000,14 May,Sunday,Mother's Day,Observance
united-states-virgin-islands,2000,29 May,Monday,Memorial Day,Public Holiday
united-states-virgin-islands,2000,18 Jun,Sunday,Father's Day,Observance
united-states-virgin-islands,2000,20 Jun,Tuesday,June Solstice,Season
united-states-virgin-islands,2000,3 Jul,Monday,Emancipation Day,Public Holiday
united-states-virgin-islands,2000,4 Jul,Tuesday,American Independence Day,Observance
united-states-virgin-islands,2000,24 Jul,Monday,Hurricane Supplication Day,Observance
united-states-virgin-islands,2000,4 Sep,Monday,Labor Day,Public Holiday
united-states-virgin-islands,2000,22 Sep,Friday,September Equinox,Season
united-states-virgin-islands,2000,9 Oct,Monday,Puerto Rico Friendship Day (Columbus Day),Public Holiday
united-states-virgin-islands,2000,25 Oct,Wednesday,Hurricane Thanksgiving,Observance
united-states-virgin-islands,2000,1 Nov,Wednesday,Liberty Day,Public Holiday
united-states-virgin-islands,2000,11 Nov,Saturday,Veterans Day,Public Holiday
united-states-virgin-islands,2000,23 Nov,Thursday,Thanksgiving Day,Public Holiday
united-states-virgin-islands,2000,21 Dec,Thursday,December Solstice,Season
united-states-virgin-islands,2000,25 Dec,Monday,Christmas Day,Public Holiday
united-states-virgin-islands,2000,26 Dec,Tuesday,Christmas Second Day,Public Holiday
united-states-virgin-islands,2000,31 Dec,Sunday,New Year's Eve,Observance
united-states-virgin-islands,2001,1 Jan,Monday,New Year,Public Holiday
united-states-virgin-islands,2001,6 Jan,Saturday,Three Kings Day,Public Holiday
united-states-virgin-islands,2001,15 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
united-states-virgin-islands,2001,19 Feb,Monday,President's Day,Public Holiday
united-states-virgin-islands,2001,20 Mar,Tuesday,March Equinox,Season
united-states-virgin-islands,2001,31 Mar,Saturday,Transfer Day,Public Holiday
united-states-virgin-islands,2001,1 Apr,Sunday,April Fool's Day,Observance
united-states-virgin-islands,2001,12 Apr,Thursday,Holy Thursday,Public Holiday
united-states-virgin-islands,2001,13 Apr,Friday,Good Friday,Public Holiday
united-states-virgin-islands,2001,15 Apr,Sunday,Easter Sunday,Observance
united-states-virgin-islands,2001,16 Apr,Monday,Easter Monday,Public Holiday
united-states-virgin-islands,2001,13 May,Sunday,Mother's Day,Observance
united-states-virgin-islands,2001,28 May,Monday,Memorial Day,Public Holiday
united-states-virgin-islands,2001,17 Jun,Sunday,Father's Day,Observance
united-states-virgin-islands,2001,21 Jun,Thursday,June Solstice,Season
united-states-virgin-islands,2001,3 Jul,Tuesday,Emancipation Day,Public Holiday
united-states-virgin-islands,2001,4 Jul,Wednesday,American Independence Day,Observance
united-states-virgin-islands,2001,23 Jul,Monday,Hurricane Supplication Day,Observance
united-states-virgin-islands,2001,3 Sep,Monday,Labor Day,Public Holiday
united-states-virgin-islands,2001,22 Sep,Saturday,September Equinox,Season
united-states-virgin-islands,2001,8 Oct,Monday,Puerto Rico Friendship Day (Columbus Day),Public Holiday
united-states-virgin-islands,2001,25 Oct,Thursday,Hurricane Thanksgiving,Observance
united-states-virgin-islands,2001,1 Nov,Thursday,Liberty Day,Public Holiday
united-states-virgin-islands,2001,11 Nov,Sunday,Veterans Day,Public Holiday
united-states-virgin-islands,2001,22 Nov,Thursday,Thanksgiving Day,Public Holiday
united-states-virgin-islands,2001,21 Dec,Friday,December Solstice,Season
united-states-virgin-islands,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
united-states-virgin-islands,2001,26 Dec,Wednesday,Christmas Second Day,Public Holiday
united-states-virgin-islands,2001,31 Dec,Monday,New Year's Eve,Observance
united-states-virgin-islands,2002,1 Jan,Tuesday,New Year,Public Holiday
united-states-virgin-islands,2002,6 Jan,Sunday,Three Kings Day,Public Holiday
united-states-virgin-islands,2002,21 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
united-states-virgin-islands,2002,18 Feb,Monday,President's Day,Public Holiday
united-states-virgin-islands,2002,20 Mar,Wednesday,March Equinox,Season
united-states-virgin-islands,2002,28 Mar,Thursday,Holy Thursday,Public Holiday
united-states-virgin-islands,2002,29 Mar,Friday,Good Friday,Public Holiday
united-states-virgin-islands,2002,31 Mar,Sunday,Easter Sunday,Observance
united-states-virgin-islands,2002,31 Mar,Sunday,Transfer Day,Public Holiday
united-states-virgin-islands,2002,1 Apr,Monday,Easter Monday,Public Holiday
united-states-virgin-islands,2002,1 Apr,Monday,April Fool's Day,Observance
united-states-virgin-islands,2002,12 May,Sunday,Mother's Day,Observance
united-states-virgin-islands,2002,27 May,Monday,Memorial Day,Public Holiday
united-states-virgin-islands,2002,16 Jun,Sunday,Father's Day,Observance
united-states-virgin-islands,2002,21 Jun,Friday,June Solstice,Season
united-states-virgin-islands,2002,3 Jul,Wednesday,Emancipation Day,Public Holiday
united-states-virgin-islands,2002,4 Jul,Thursday,American Independence Day,Observance
united-states-virgin-islands,2002,22 Jul,Monday,Hurricane Supplication Day,Observance
united-states-virgin-islands,2002,2 Sep,Monday,Labor Day,Public Holiday
united-states-virgin-islands,2002,23 Sep,Monday,September Equinox,Season
united-states-virgin-islands,2002,14 Oct,Monday,Puerto Rico Friendship Day (Columbus Day),Public Holiday
united-states-virgin-islands,2002,25 Oct,Friday,Hurricane Thanksgiving,Observance
united-states-virgin-islands,2002,1 Nov,Friday,Liberty Day,Public Holiday
united-states-virgin-islands,2002,11 Nov,Monday,Veterans Day,Public Holiday
united-states-virgin-islands,2002,28 Nov,Thursday,Thanksgiving Day,Public Holiday
united-states-virgin-islands,2002,21 Dec,Saturday,December Solstice,Season
united-states-virgin-islands,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
united-states-virgin-islands,2002,26 Dec,Thursday,Christmas Second Day,Public Holiday
united-states-virgin-islands,2002,31 Dec,Tuesday,New Year's Eve,Observance
united-states-virgin-islands,2003,1 Jan,Wednesday,New Year,Public Holiday
united-states-virgin-islands,2003,6 Jan,Monday,Three Kings Day,Public Holiday
united-states-virgin-islands,2003,20 Jan,Monday,Martin Luther King Jr. Day,Public Holiday
