Geo,Event Year,Date,Day,Name,Type
uruguay,2000,1 Jan,Saturday,New Year's Day,National holiday
uruguay,2000,6 Jan,Thursday,The Three Wise Men Day,Bank / working holiday
uruguay,2000,6 Mar,Monday,Carnival / Shrove Monday,Bank / working holiday
uruguay,2000,7 Mar,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Bank / working holiday
uruguay,2000,20 Mar,Monday,March Equinox,Season
uruguay,2000,17 Apr,Monday,Landing of the 33 orientals,Bank / working holiday
uruguay,2000,20 Apr,Thursday,Maundy Thursday,"Observance, Christian"
uruguay,2000,21 Apr,Friday,Good Friday,"Observance, Christian"
uruguay,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
uruguay,2000,1 May,Monday,Labor Day / May Day,National holiday
uruguay,2000,18 May,Thursday,Battle of Las Piedras,Observance
uruguay,2000,19 Jun,Monday,José Artigas' Birthday Memorial,Bank / working holiday
uruguay,2000,20 Jun,Tuesday,June Solstice,Season
uruguay,2000,18 Jul,Tuesday,Constitution Day,National holiday
uruguay,2000,25 Aug,Friday,Independence Day,National holiday
uruguay,2000,22 Sep,Friday,September Equinox,Season
uruguay,2000,12 Oct,Thursday,Columbus Day,Bank / working holiday
uruguay,2000,2 Nov,Thursday,All Souls' Day,"Observance, Christian"
uruguay,2000,21 Dec,Thursday,December Solstice,Season
uruguay,2000,24 Dec,Sunday,Christmas Eve,"Observance, Christian"
uruguay,2000,25 Dec,Monday,Christmas Day,"National holiday, Christian"
uruguay,2000,31 Dec,Sunday,New Year's Eve,Observance
uruguay,2001,1 Jan,Monday,New Year's Day,National holiday
uruguay,2001,6 Jan,Saturday,The Three Wise Men Day,Bank / working holiday
uruguay,2001,26 Feb,Monday,Carnival / Shrove Monday,Bank / working holiday
uruguay,2001,27 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Bank / working holiday
uruguay,2001,20 Mar,Tuesday,March Equinox,Season
uruguay,2001,12 Apr,Thursday,Maundy Thursday,"Observance, Christian"
uruguay,2001,13 Apr,Friday,Good Friday,"Observance, Christian"
uruguay,2001,15 Apr,Sunday,Easter Sunday,"Observance, Christian"
uruguay,2001,23 Apr,Monday,Landing of the 33 orientals,Bank / working holiday
uruguay,2001,1 May,Tuesday,Labor Day / May Day,National holiday
uruguay,2001,18 May,Friday,Battle of Las Piedras,Observance
uruguay,2001,19 Jun,Tuesday,José Artigas' Birthday Memorial,Bank / working holiday
uruguay,2001,21 Jun,Thursday,June Solstice,Season
uruguay,2001,18 Jul,Wednesday,Constitution Day,National holiday
uruguay,2001,25 Aug,Saturday,Independence Day,National holiday
uruguay,2001,22 Sep,Saturday,September Equinox,Season
uruguay,2001,12 Oct,Friday,Columbus Day,Bank / working holiday
uruguay,2001,2 Nov,Friday,All Souls' Day,"Observance, Christian"
uruguay,2001,21 Dec,Friday,December Solstice,Season
uruguay,2001,24 Dec,Monday,Christmas Eve,"Observance, Christian"
uruguay,2001,25 Dec,Tuesday,Christmas Day,"National holiday, Christian"
uruguay,2001,31 Dec,Monday,New Year's Eve,Observance
uruguay,2002,1 Jan,Tuesday,New Year's Day,National holiday
uruguay,2002,6 Jan,Sunday,The Three Wise Men Day,Bank / working holiday
uruguay,2002,11 Feb,Monday,Carnival / Shrove Monday,Bank / working holiday
uruguay,2002,12 Feb,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Bank / working holiday
uruguay,2002,20 Mar,Wednesday,March Equinox,Season
uruguay,2002,28 Mar,Thursday,Maundy Thursday,"Observance, Christian"
uruguay,2002,29 Mar,Friday,Good Friday,"Observance, Christian"
uruguay,2002,31 Mar,Sunday,Easter Sunday,"Observance, Christian"
uruguay,2002,22 Apr,Monday,Landing of the 33 orientals,Bank / working holiday
uruguay,2002,1 May,Wednesday,Labor Day / May Day,National holiday
uruguay,2002,18 May,Saturday,Battle of Las Piedras,Observance
uruguay,2002,19 Jun,Wednesday,José Artigas' Birthday Memorial,Bank / working holiday
uruguay,2002,21 Jun,Friday,June Solstice,Season
uruguay,2002,18 Jul,Thursday,Constitution Day,National holiday
uruguay,2002,25 Aug,Sunday,Independence Day,National holiday
uruguay,2002,23 Sep,Monday,September Equinox,Season
uruguay,2002,12 Oct,Saturday,Columbus Day,Bank / working holiday
uruguay,2002,2 Nov,Saturday,All Souls' Day,"Observance, Christian"
uruguay,2002,21 Dec,Saturday,December Solstice,Season
uruguay,2002,24 Dec,Tuesday,Christmas Eve,"Observance, Christian"
uruguay,2002,25 Dec,Wednesday,Christmas Day,"National holiday, Christian"
uruguay,2002,31 Dec,Tuesday,New Year's Eve,Observance
uruguay,2003,1 Jan,Wednesday,New Year's Day,National holiday
uruguay,2003,6 Jan,Monday,The Three Wise Men Day,Bank / working holiday
uruguay,2003,3 Mar,Monday,Carnival / Shrove Monday,Bank / working holiday
uruguay,2003,4 Mar,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Bank / working holiday
uruguay,2003,20 Mar,Thursday,March Equinox,Season
uruguay,2003,17 Apr,Thursday,Maundy Thursday,"Observance, Christian"
uruguay,2003,18 Apr,Friday,Good Friday,"Observance, Christian"
uruguay,2003,19 Apr,Saturday,Landing of the 33 orientals,Bank / working holiday
uruguay,2003,20 Apr,Sunday,Easter Sunday,"Observance, Christian"
uruguay,2003,1 May,Thursday,Labor Day / May Day,National holiday
uruguay,2003,18 May,Sunday,Battle of Las Piedras,Observance
uruguay,2003,19 Jun,Thursday,José Artigas' Birthday Memorial,Bank / working holiday
uruguay,2003,21 Jun,Saturday,June Solstice,Season
uruguay,2003,18 Jul,Friday,Constitution Day,National holiday
uruguay,2003,25 Aug,Monday,Independence Day,National holiday
uruguay,2003,23 Sep,Tuesday,September Equinox,Season
uruguay,2003,12 Oct,Sunday,Columbus Day,Bank / working holiday
uruguay,2003,2 Nov,Sunday,All Souls' Day,"Observance, Christian"
uruguay,2003,22 Dec,Monday,December Solstice,Season
uruguay,2003,24 Dec,Wednesday,Christmas Eve,"Observance, Christian"
