Geo,Event Year,Date,Day,Name,Type
uzbekistan,2000,1 Jan,Saturday,New Year,Public Holiday
uzbekistan,2000,8 Jan,Saturday,Eid al-Fitr,Public Holiday
uzbekistan,2000,14 Jan,Friday,Defenders of the Motherland Day,Observance
uzbekistan,2000,8 Mar,Wednesday,International Women's Day,Public Holiday
uzbekistan,2000,16 Mar,Thursday,Eid al-Adha,Public Holiday
uzbekistan,2000,20 Mar,Monday,March Equinox,Season
uzbekistan,2000,21 Mar,Tuesday,Nowruz,Public Holiday
uzbekistan,2000,9 May,Tuesday,Remembrance Day,Public Holiday
uzbekistan,2000,21 Jun,Wednesday,June Solstice,Season
uzbekistan,2000,1 Sep,Friday,Independence Day,Public Holiday
uzbekistan,2000,22 Sep,Friday,September Equinox,Season
uzbekistan,2000,1 Oct,Sunday,Teachers Day,Public Holiday
uzbekistan,2000,8 Dec,Friday,Constitution Day,Public Holiday
uzbekistan,2000,21 Dec,Thursday,December Solstice,Season
uzbekistan,2000,28 Dec,Thursday,Eid al-Fitr,Public Holiday
uzbekistan,2001,1 Jan,Monday,New Year,Public Holiday
uzbekistan,2001,14 Jan,Sunday,Defenders of the Motherland Day,Observance
uzbekistan,2001,6 Mar,Tuesday,Eid al-Adha,Public Holiday
uzbekistan,2001,8 Mar,Thursday,International Women's Day,Public Holiday
uzbekistan,2001,20 Mar,Tuesday,March Equinox,Season
uzbekistan,2001,21 Mar,Wednesday,Nowruz,Public Holiday
uzbekistan,2001,9 May,Wednesday,Remembrance Day,Public Holiday
uzbekistan,2001,21 Jun,Thursday,June Solstice,Season
uzbekistan,2001,1 Sep,Saturday,Independence Day,Public Holiday
uzbekistan,2001,23 Sep,Sunday,September Equinox,Season
uzbekistan,2001,1 Oct,Monday,Teachers Day,Public Holiday
uzbekistan,2001,8 Dec,Saturday,Constitution Day,Public Holiday
uzbekistan,2001,17 Dec,Monday,Eid al-Fitr,Public Holiday
uzbekistan,2001,22 Dec,Saturday,December Solstice,Season
uzbekistan,2002,1 Jan,Tuesday,New Year,Public Holiday
uzbekistan,2002,14 Jan,Monday,Defenders of the Motherland Day,Observance
uzbekistan,2002,23 Feb,Saturday,Eid al-Adha,Public Holiday
uzbekistan,2002,8 Mar,Friday,International Women's Day,Public Holiday
uzbekistan,2002,21 Mar,Thursday,Nowruz,Public Holiday
uzbekistan,2002,21 Mar,Thursday,March Equinox,Season
uzbekistan,2002,9 May,Thursday,Remembrance Day,Public Holiday
uzbekistan,2002,21 Jun,Friday,June Solstice,Season
uzbekistan,2002,1 Sep,Sunday,Independence Day,Public Holiday
uzbekistan,2002,23 Sep,Monday,September Equinox,Season
uzbekistan,2002,1 Oct,Tuesday,Teachers Day,Public Holiday
uzbekistan,2002,6 Dec,Friday,Eid al-Fitr,Public Holiday
uzbekistan,2002,8 Dec,Sunday,Constitution Day,Public Holiday
uzbekistan,2002,22 Dec,Sunday,December Solstice,Season
uzbekistan,2003,1 Jan,Wednesday,New Year,Public Holiday
uzbekistan,2003,14 Jan,Tuesday,Defenders of the Motherland Day,Observance
uzbekistan,2003,12 Feb,Wednesday,Eid al-Adha,Public Holiday
uzbekistan,2003,8 Mar,Saturday,International Women's Day,Public Holiday
uzbekistan,2003,21 Mar,Friday,Nowruz,Public Holiday
uzbekistan,2003,21 Mar,Friday,March Equinox,Season
uzbekistan,2003,9 May,Friday,Remembrance Day,Public Holiday
uzbekistan,2003,22 Jun,Sunday,June Solstice,Season
uzbekistan,2003,1 Sep,Monday,Independence Day,Public Holiday
uzbekistan,2003,23 Sep,Tuesday,September Equinox,Season
uzbekistan,2003,1 Oct,Wednesday,Teachers Day,Public Holiday
uzbekistan,2003,26 Nov,Wednesday,Eid al-Fitr,Public Holiday
uzbekistan,2003,8 Dec,Monday,Constitution Day,Public Holiday
uzbekistan,2003,22 Dec,Monday,December Solstice,Season
uzbekistan,2004,1 Jan,Thursday,New Year,Public Holiday
uzbekistan,2004,14 Jan,Wednesday,Defenders of the Motherland Day,Observance
uzbekistan,2004,2 Feb,Monday,Eid al-Adha,Public Holiday
uzbekistan,2004,8 Mar,Monday,International Women's Day,Public Holiday
uzbekistan,2004,20 Mar,Saturday,March Equinox,Season
uzbekistan,2004,21 Mar,Sunday,Nowruz,Public Holiday
uzbekistan,2004,9 May,Sunday,Remembrance Day,Public Holiday
uzbekistan,2004,21 Jun,Monday,June Solstice,Season
uzbekistan,2004,1 Sep,Wednesday,Independence Day,Public Holiday
uzbekistan,2004,22 Sep,Wednesday,September Equinox,Season
uzbekistan,2004,1 Oct,Friday,Teachers Day,Public Holiday
uzbekistan,2004,14 Nov,Sunday,Eid al-Fitr,Public Holiday
uzbekistan,2004,8 Dec,Wednesday,Constitution Day,Public Holiday
uzbekistan,2004,21 Dec,Tuesday,December Solstice,Season
uzbekistan,2005,1 Jan,Saturday,New Year,Public Holiday
uzbekistan,2005,14 Jan,Friday,Defenders of the Motherland Day,Observance
uzbekistan,2005,21 Jan,Friday,Eid al-Adha,Public Holiday
uzbekistan,2005,8 Mar,Tuesday,International Women's Day,Public Holiday
uzbekistan,2005,20 Mar,Sunday,March Equinox,Season
uzbekistan,2005,21 Mar,Monday,Nowruz,Public Holiday
uzbekistan,2005,9 May,Monday,Remembrance Day,Public Holiday
uzbekistan,2005,21 Jun,Tuesday,June Solstice,Season
uzbekistan,2005,1 Sep,Thursday,Independence Day,Public Holiday
uzbekistan,2005,23 Sep,Friday,September Equinox,Season
uzbekistan,2005,1 Oct,Saturday,Teachers Day,Public Holiday
uzbekistan,2005,4 Nov,Friday,Eid al-Fitr,Public Holiday
uzbekistan,2005,8 Dec,Thursday,Constitution Day,Public Holiday
uzbekistan,2005,21 Dec,Wednesday,December Solstice,Season
uzbekistan,2006,1 Jan,Sunday,New Year,Public Holiday
uzbekistan,2006,10 Jan,Tuesday,Eid al-Adha,Public Holiday
uzbekistan,2006,14 Jan,Saturday,Defenders of the Motherland Day,Observance
uzbekistan,2006,8 Mar,Wednesday,International Women's Day,Public Holiday
uzbekistan,2006,20 Mar,Monday,March Equinox,Season
uzbekistan,2006,21 Mar,Tuesday,Nowruz,Public Holiday
uzbekistan,2006,9 May,Tuesday,Remembrance Day,Public Holiday
uzbekistan,2006,21 Jun,Wednesday,June Solstice,Season
uzbekistan,2006,1 Sep,Friday,Independence Day,Public Holiday
uzbekistan,2006,23 Sep,Saturday,September Equinox,Season
uzbekistan,2006,1 Oct,Sunday,Teachers Day,Public Holiday
uzbekistan,2006,24 Oct,Tuesday,Eid al-Fitr,Public Holiday
uzbekistan,2006,8 Dec,Friday,Constitution Day,Public Holiday
uzbekistan,2006,22 Dec,Friday,December Solstice,Season
uzbekistan,2006,31 Dec,Sunday,Eid al-Adha,Public Holiday
uzbekistan,2007,1 Jan,Monday,New Year,Public Holiday
uzbekistan,2007,14 Jan,Sunday,Defenders of the Motherland Day,Observance
uzbekistan,2007,8 Mar,Thursday,International Women's Day,Public Holiday
uzbekistan,2007,21 Mar,Wednesday,Nowruz,Public Holiday
uzbekistan,2007,21 Mar,Wednesday,March Equinox,Season
uzbekistan,2007,9 May,Wednesday,Remembrance Day,Public Holiday
uzbekistan,2007,21 Jun,Thursday,June Solstice,Season
uzbekistan,2007,1 Sep,Saturday,Independence Day,Public Holiday
uzbekistan,2007,23 Sep,Sunday,September Equinox,Season
uzbekistan,2007,1 Oct,Monday,Teachers Day,Public Holiday
uzbekistan,2007,13 Oct,Saturday,Eid al-Fitr,Public Holiday
uzbekistan,2007,8 Dec,Saturday,Constitution Day,Public Holiday
uzbekistan,2007,20 Dec,Thursday,Eid al-Adha,Public Holiday
uzbekistan,2007,22 Dec,Saturday,December Solstice,Season
uzbekistan,2008,1 Jan,Tuesday,New Year,Public Holiday
uzbekistan,2008,14 Jan,Monday,Defenders of the Motherland Day,Observance
uzbekistan,2008,8 Mar,Saturday,International Women's Day,Public Holiday
uzbekistan,2008,20 Mar,Thursday,March Equinox,Season
uzbekistan,2008,21 Mar,Friday,Nowruz,Public Holiday
uzbekistan,2008,9 May,Friday,Remembrance Day,Public Holiday
uzbekistan,2008,21 Jun,Saturday,June Solstice,Season
uzbekistan,2008,1 Sep,Monday,Independence Day,Public Holiday
uzbekistan,2008,22 Sep,Monday,September Equinox,Season
uzbekistan,2008,1 Oct,Wednesday,Teachers Day,Public Holiday
uzbekistan,2008,2 Oct,Thursday,Eid al-Fitr,Public Holiday
uzbekistan,2008,8 Dec,Monday,Constitution Day,Public Holiday
uzbekistan,2008,9 Dec,Tuesday,Eid al-Adha,Public Holiday
uzbekistan,2008,21 Dec,Sunday,December Solstice,Season
uzbekistan,2009,1 Jan,Thursday,New Year,Public Holiday
uzbekistan,2009,14 Jan,Wednesday,Defenders of the Motherland Day,Observance
uzbekistan,2009,8 Mar,Sunday,International Women's Day,Public Holiday
uzbekistan,2009,20 Mar,Friday,March Equinox,Season
uzbekistan,2009,21 Mar,Saturday,Nowruz,Public Holiday
uzbekistan,2009,9 May,Saturday,Remembrance Day,Public Holiday
uzbekistan,2009,21 Jun,Sunday,June Solstice,Season
uzbekistan,2009,1 Sep,Tuesday,Independence Day,Public Holiday
uzbekistan,2009,21 Sep,Monday,Eid al-Fitr,Public Holiday
uzbekistan,2009,23 Sep,Wednesday,September Equinox,Season
uzbekistan,2009,1 Oct,Thursday,Teachers Day,Public Holiday
uzbekistan,2009,28 Nov,Saturday,Eid al-Adha,Public Holiday
uzbekistan,2009,8 Dec,Tuesday,Constitution Day,Public Holiday
uzbekistan,2009,21 Dec,Monday,December Solstice,Season
uzbekistan,2010,1 Jan,Friday,New Year,Public Holiday
uzbekistan,2010,14 Jan,Thursday,Defenders of the Motherland Day,Observance
uzbekistan,2010,8 Mar,Monday,International Women's Day,Public Holiday
uzbekistan,2010,20 Mar,Saturday,March Equinox,Season
uzbekistan,2010,21 Mar,Sunday,Nowruz,Public Holiday
uzbekistan,2010,9 May,Sunday,Remembrance Day,Public Holiday
uzbekistan,2010,21 Jun,Monday,June Solstice,Season
uzbekistan,2010,1 Sep,Wednesday,Independence Day,Public Holiday
uzbekistan,2010,10 Sep,Friday,Eid al-Fitr,Public Holiday
uzbekistan,2010,23 Sep,Thursday,September Equinox,Season
uzbekistan,2010,1 Oct,Friday,Teachers Day,Public Holiday
uzbekistan,2010,17 Nov,Wednesday,Eid al-Adha,Public Holiday
uzbekistan,2010,8 Dec,Wednesday,Constitution Day,Public Holiday
uzbekistan,2010,22 Dec,Wednesday,December Solstice,Season
uzbekistan,2011,1 Jan,Saturday,New Year,Public Holiday
uzbekistan,2011,14 Jan,Friday,Defenders of the Motherland Day,Observance
uzbekistan,2011,8 Mar,Tuesday,International Women's Day,Public Holiday
uzbekistan,2011,21 Mar,Monday,Nowruz,Public Holiday
uzbekistan,2011,21 Mar,Monday,March Equinox,Season
uzbekistan,2011,9 May,Monday,Remembrance Day,Public Holiday
uzbekistan,2011,21 Jun,Tuesday,June Solstice,Season
uzbekistan,2011,31 Aug,Wednesday,Eid al-Fitr,Public Holiday
uzbekistan,2011,1 Sep,Thursday,Independence Day,Public Holiday
uzbekistan,2011,23 Sep,Friday,September Equinox,Season
uzbekistan,2011,1 Oct,Saturday,Teachers Day,Public Holiday
uzbekistan,2011,7 Nov,Monday,Eid al-Adha,Public Holiday
uzbekistan,2011,8 Dec,Thursday,Constitution Day,Public Holiday
uzbekistan,2011,22 Dec,Thursday,December Solstice,Season
uzbekistan,2012,1 Jan,Sunday,New Year,Public Holiday
uzbekistan,2012,14 Jan,Saturday,Defenders of the Motherland Day,Observance
uzbekistan,2012,8 Mar,Thursday,International Women's Day,Public Holiday
uzbekistan,2012,20 Mar,Tuesday,March Equinox,Season
uzbekistan,2012,21 Mar,Wednesday,Nowruz,Public Holiday
uzbekistan,2012,9 May,Wednesday,Remembrance Day,Public Holiday
uzbekistan,2012,21 Jun,Thursday,June Solstice,Season
uzbekistan,2012,19 Aug,Sunday,Eid al-Fitr,Public Holiday
uzbekistan,2012,1 Sep,Saturday,Independence Day,Public Holiday
uzbekistan,2012,22 Sep,Saturday,September Equinox,Season
uzbekistan,2012,1 Oct,Monday,Teachers Day,Public Holiday
uzbekistan,2012,26 Oct,Friday,Eid al-Adha,Public Holiday
uzbekistan,2012,8 Dec,Saturday,Constitution Day,Public Holiday
uzbekistan,2012,21 Dec,Friday,December Solstice,Season
uzbekistan,2013,1 Jan,Tuesday,New Year,Public Holiday
uzbekistan,2013,14 Jan,Monday,Defenders of the Motherland Day,Observance
uzbekistan,2013,8 Mar,Friday,International Women's Day,Public Holiday
uzbekistan,2013,20 Mar,Wednesday,March Equinox,Season
uzbekistan,2013,21 Mar,Thursday,Nowruz,Public Holiday
uzbekistan,2013,9 May,Thursday,Remembrance Day,Public Holiday
uzbekistan,2013,21 Jun,Friday,June Solstice,Season
uzbekistan,2013,8 Aug,Thursday,Eid al-Fitr,Public Holiday
uzbekistan,2013,1 Sep,Sunday,Independence Day,Public Holiday
uzbekistan,2013,23 Sep,Monday,September Equinox,Season
uzbekistan,2013,1 Oct,Tuesday,Teachers Day,Public Holiday
uzbekistan,2013,15 Oct,Tuesday,Eid al-Adha,Public Holiday
uzbekistan,2013,8 Dec,Sunday,Constitution Day,Public Holiday
uzbekistan,2013,21 Dec,Saturday,December Solstice,Season
uzbekistan,2014,1 Jan,Wednesday,New Year,Public Holiday
uzbekistan,2014,14 Jan,Tuesday,Defenders of the Motherland Day,Observance
uzbekistan,2014,8 Mar,Saturday,International Women's Day,Public Holiday
uzbekistan,2014,20 Mar,Thursday,March Equinox,Season
uzbekistan,2014,21 Mar,Friday,Nowruz,Public Holiday
uzbekistan,2014,9 May,Friday,Remembrance Day,Public Holiday
uzbekistan,2014,21 Jun,Saturday,June Solstice,Season
uzbekistan,2014,29 Jul,Tuesday,Eid al-Fitr,Public Holiday
uzbekistan,2014,1 Sep,Monday,Independence Day,Public Holiday
uzbekistan,2014,23 Sep,Tuesday,September Equinox,Season
uzbekistan,2014,1 Oct,Wednesday,Teachers Day,Public Holiday
uzbekistan,2014,5 Oct,Sunday,Eid al-Adha,Public Holiday
uzbekistan,2014,8 Dec,Monday,Constitution Day,Public Holiday
uzbekistan,2014,22 Dec,Monday,December Solstice,Season
uzbekistan,2015,1 Jan,Thursday,New Year,Public Holiday
uzbekistan,2015,14 Jan,Wednesday,Defenders of the Motherland Day,Observance
uzbekistan,2015,8 Mar,Sunday,International Women's Day,Public Holiday
uzbekistan,2015,21 Mar,Saturday,Nowruz,Public Holiday
uzbekistan,2015,21 Mar,Saturday,March Equinox,Season
uzbekistan,2015,9 May,Saturday,Remembrance Day,Public Holiday
uzbekistan,2015,21 Jun,Sunday,June Solstice,Season
uzbekistan,2015,18 Jul,Saturday,Eid al-Fitr,Public Holiday
uzbekistan,2015,1 Sep,Tuesday,Independence Day,Public Holiday
uzbekistan,2015,23 Sep,Wednesday,September Equinox,Season
uzbekistan,2015,24 Sep,Thursday,Eid al-Adha,Public Holiday
