Geo,Event Year,Date,Day,Name,Type
vanuatu,2000,1 Jan,Saturday,New Year's Day,Public Holiday
vanuatu,2000,21 Feb,Monday,Father Lini Day,Public Holiday
vanuatu,2000,5 Mar,Sunday,Custom Chief's Day,Public Holiday
vanuatu,2000,6 Mar,Monday,Day off for Custom Chief's Day,Public Holiday
vanuatu,2000,20 Mar,Monday,March Equinox,Season
vanuatu,2000,21 Apr,Friday,Good Friday,Public Holiday
vanuatu,2000,24 Apr,Monday,Easter Monday,Public Holiday
vanuatu,2000,1 May,Monday,Labor Day / May Day,Public Holiday
vanuatu,2000,1 Jun,Thursday,Ascension Day,Public Holiday
vanuatu,2000,21 Jun,Wednesday,June Solstice,Season
vanuatu,2000,24 Jul,Monday,Children's Day,Public Holiday
vanuatu,2000,30 Jul,Sunday,Independence Day,Public Holiday
vanuatu,2000,31 Jul,Monday,Day off for Independence Day,Public Holiday
vanuatu,2000,15 Aug,Tuesday,Assumption of Mary,Public Holiday
vanuatu,2000,23 Sep,Saturday,September Equinox,Season
vanuatu,2000,5 Oct,Thursday,Constitution Day,Public Holiday
vanuatu,2000,29 Nov,Wednesday,Unity Day,Public Holiday
vanuatu,2000,22 Dec,Friday,December Solstice,Season
vanuatu,2000,25 Dec,Monday,Christmas Day,Public Holiday
vanuatu,2000,26 Dec,Tuesday,Family Day,Public Holiday
vanuatu,2001,1 Jan,Monday,New Year's Day,Public Holiday
vanuatu,2001,21 Feb,Wednesday,Father Lini Day,Public Holiday
vanuatu,2001,5 Mar,Monday,Custom Chief's Day,Public Holiday
vanuatu,2001,21 Mar,Wednesday,March Equinox,Season
vanuatu,2001,13 Apr,Friday,Good Friday,Public Holiday
vanuatu,2001,16 Apr,Monday,Easter Monday,Public Holiday
vanuatu,2001,1 May,Tuesday,Labor Day / May Day,Public Holiday
vanuatu,2001,24 May,Thursday,Ascension Day,Public Holiday
vanuatu,2001,21 Jun,Thursday,June Solstice,Season
vanuatu,2001,24 Jul,Tuesday,Children's Day,Public Holiday
vanuatu,2001,30 Jul,Monday,Independence Day,Public Holiday
vanuatu,2001,15 Aug,Wednesday,Assumption of Mary,Public Holiday
vanuatu,2001,23 Sep,Sunday,September Equinox,Season
