Geo,Event Year,Date,Day,Name,Type
wallis-and-futuna,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
wallis-and-futuna,2003,21 Mar,Friday,March Equinox,Season
wallis-and-futuna,2003,21 Apr,Monday,Easter Monday,Public Holiday
wallis-and-futuna,2003,28 Apr,Monday,St. Pierre Chanel Day,Common local holiday
wallis-and-futuna,2003,1 May,Thursday,Labor Day / May Day,Public Holiday
wallis-and-futuna,2003,29 May,Thursday,Ascension Day,Public Holiday
wallis-and-futuna,2003,9 Jun,Monday,Whit Monday,Public Holiday
wallis-and-futuna,2003,22 Jun,Sunday,June Solstice,Season
wallis-and-futuna,2003,14 Jul,Monday,Bastille Day,Public Holiday
wallis-and-futuna,2003,29 Jul,Tuesday,Territory Day,Common local holiday
wallis-and-futuna,2003,15 Aug,Friday,Assumption of Mary,Public Holiday
wallis-and-futuna,2003,23 Sep,Tuesday,September Equinox,Season
wallis-and-futuna,2003,1 Nov,Saturday,All Saints' Day,Public Holiday
wallis-and-futuna,2003,11 Nov,Tuesday,Armistice Day,Public Holiday
wallis-and-futuna,2003,22 Dec,Monday,December Solstice,Season
wallis-and-futuna,2003,25 Dec,Thursday,Christmas Day,Public Holiday
wallis-and-futuna,2004,1 Jan,Thursday,New Year's Day,Public Holiday
wallis-and-futuna,2004,20 Mar,Saturday,March Equinox,Season
wallis-and-futuna,2004,12 Apr,Monday,Easter Monday,Public Holiday
wallis-and-futuna,2004,28 Apr,Wednesday,St. Pierre Chanel Day,Common local holiday
wallis-and-futuna,2004,1 May,Saturday,Labor Day / May Day,Public Holiday
wallis-and-futuna,2004,20 May,Thursday,Ascension Day,Public Holiday
wallis-and-futuna,2004,31 May,Monday,Whit Monday,Public Holiday
wallis-and-futuna,2004,21 Jun,Monday,June Solstice,Season
wallis-and-futuna,2004,14 Jul,Wednesday,Bastille Day,Public Holiday
wallis-and-futuna,2004,29 Jul,Thursday,Territory Day,Common local holiday
wallis-and-futuna,2004,15 Aug,Sunday,Assumption of Mary,Public Holiday
wallis-and-futuna,2004,23 Sep,Thursday,September Equinox,Season
wallis-and-futuna,2004,1 Nov,Monday,All Saints' Day,Public Holiday
wallis-and-futuna,2004,11 Nov,Thursday,Armistice Day,Public Holiday
wallis-and-futuna,2004,22 Dec,Wednesday,December Solstice,Season
wallis-and-futuna,2004,25 Dec,Saturday,Christmas Day,Public Holiday
wallis-and-futuna,2005,1 Jan,Saturday,New Year's Day,Public Holiday
wallis-and-futuna,2005,21 Mar,Monday,March Equinox,Season
wallis-and-futuna,2005,28 Mar,Monday,Easter Monday,Public Holiday
wallis-and-futuna,2005,28 Apr,Thursday,St. Pierre Chanel Day,Common local holiday
