Geo,Event Year,Date,Day,Name,Type
yemen,2000,6 Jan,Thursday,Eid al-Fitr holiday,Public Holiday
yemen,2000,7 Jan,Friday,Eid al-Fitr Eve,Public Holiday
yemen,2000,8 Jan,Saturday,Eid al-Fitr,Public Holiday
yemen,2000,9 Jan,Sunday,Eid al-Fitr holiday,Public Holiday
yemen,2000,15 Mar,Wednesday,Eid al-Adha Eve,Public Holiday
yemen,2000,16 Mar,Thursday,Eid al-Adha,Public Holiday
yemen,2000,17 Mar,Friday,Eid al-Adha holiday,Public Holiday
yemen,2000,18 Mar,Saturday,Eid al-Adha holiday,Public Holiday
yemen,2000,19 Mar,Sunday,Eid al-Adha holiday,Public Holiday
yemen,2000,20 Mar,Monday,March Equinox,Season
yemen,2000,6 Apr,Thursday,Muharram,Public Holiday
yemen,2000,1 May,Monday,May Day,Public Holiday
yemen,2000,22 May,Monday,Unity Day,Public Holiday
yemen,2000,15 Jun,Thursday,The Prophet's Birthday,Observance
yemen,2000,21 Jun,Wednesday,June Solstice,Season
yemen,2000,22 Sep,Friday,September Equinox,Season
yemen,2000,26 Sep,Tuesday,Revolution Day,Public Holiday
yemen,2000,14 Oct,Saturday,Liberation Day,Public Holiday
yemen,2000,30 Nov,Thursday,Independence Day,Public Holiday
yemen,2000,21 Dec,Thursday,December Solstice,Season
yemen,2000,26 Dec,Tuesday,Eid al-Fitr holiday,Public Holiday
yemen,2000,27 Dec,Wednesday,Eid al-Fitr Eve,Public Holiday
yemen,2000,28 Dec,Thursday,Eid al-Fitr,Public Holiday
yemen,2000,29 Dec,Friday,Eid al-Fitr holiday,Public Holiday
yemen,2001,5 Mar,Monday,Eid al-Adha Eve,Public Holiday
yemen,2001,6 Mar,Tuesday,Eid al-Adha,Public Holiday
yemen,2001,7 Mar,Wednesday,Eid al-Adha holiday,Public Holiday
yemen,2001,8 Mar,Thursday,Eid al-Adha holiday,Public Holiday
yemen,2001,9 Mar,Friday,Eid al-Adha holiday,Public Holiday
yemen,2001,20 Mar,Tuesday,March Equinox,Season
yemen,2001,26 Mar,Monday,Muharram,Public Holiday
yemen,2001,1 May,Tuesday,May Day,Public Holiday
