Geo,Event Year,Date,Day,Name,Type
albania,2010,1 Jan,Friday,New Year's Day,National holiday
albania,2010,2 Jan,Saturday,New Year's Day (Day 2),National holiday
albania,2010,4 Jan,Monday,Day off for New Year's Day (Day 2),National holiday
albania,2010,14 Feb,Sunday,Valentine's Day,Observance
albania,2010,8 Mar,Monday,Mothers' Day,Observance
albania,2010,14 Mar,Sunday,Summer Day,National holiday
albania,2010,15 Mar,Monday,Day off for Summer Day,National holiday
albania,2010,20 Mar,Saturday,March Equinox,Season
albania,2010,22 Mar,Monday,Nevruz Day,National holiday
albania,2010,28 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
albania,2010,2 Apr,Friday,Good Friday,Observance
albania,2010,2 Apr,Friday,Good Friday (Orthodox),"Observance, Orthodox"
albania,2010,3 Apr,Saturday,Holy Saturday,Observance
albania,2010,3 Apr,Saturday,Easter Saturday (Orthodox),"Observance, Orthodox"
albania,2010,4 Apr,Sunday,Easter Sunday,National holiday
albania,2010,4 Apr,Sunday,Easter Sunday (Orthodox),"National holiday, Orthodox"
albania,2010,5 Apr,Monday,Day off for Easter Sunday,National holiday
albania,2010,5 Apr,Monday,Easter Monday,Observance
albania,2010,5 Apr,Monday,Easter Monday (Orthodox),"Observance, Orthodox"
albania,2010,5 Apr,Monday,Day off for Easter Sunday (Orthodox),National holiday
albania,2010,1 May,Saturday,International Worker’s Day,National holiday
albania,2010,3 May,Monday,Day off for International Worker’s Day,National holiday
albania,2010,20 Jun,Sunday,Fathers' Day,Observance
albania,2010,21 Jun,Monday,June Solstice,Season
albania,2010,5 Sep,Sunday,Mother Teresa Beatification Day,National holiday
albania,2010,6 Sep,Monday,Day off for Mother Teresa Beatification Day,National holiday
albania,2010,10 Sep,Friday,Eid al-Fitr,National holiday
albania,2010,23 Sep,Thursday,September Equinox,Season
albania,2010,31 Oct,Sunday,Halloween,Observance
albania,2010,31 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
albania,2010,17 Nov,Wednesday,Feast of the Sacrifice,National holiday
albania,2010,28 Nov,Sunday,Flag and Independence Day,National holiday
albania,2010,29 Nov,Monday,Day off for Flag and Independence Day,National holiday
albania,2010,29 Nov,Monday,Liberation Day,National holiday
albania,2010,8 Dec,Wednesday,National Youth Day,National holiday
albania,2010,22 Dec,Wednesday,December Solstice,Season
albania,2010,24 Dec,Friday,Christmas Eve,Observance
albania,2010,25 Dec,Saturday,Christmas Day,National holiday
albania,2010,27 Dec,Monday,Day off for Christmas Day,National holiday
albania,2010,31 Dec,Friday,New Year's Eve,Observance
albania,2011,1 Jan,Saturday,New Year's Day,National holiday
albania,2011,2 Jan,Sunday,New Year's Day (Day 2),National holiday
albania,2011,3 Jan,Monday,Day off for New Year's Day,National holiday
albania,2011,3 Jan,Monday,Day off for New Year's Day (Day 2),National holiday
albania,2011,14 Feb,Monday,Valentine's Day,Observance
albania,2011,8 Mar,Tuesday,Mothers' Day,Observance
albania,2011,14 Mar,Monday,Summer Day,National holiday
albania,2011,21 Mar,Monday,March Equinox,Season
albania,2011,22 Mar,Tuesday,Nevruz Day,National holiday
albania,2011,27 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
albania,2011,22 Apr,Friday,Good Friday,Observance
albania,2011,22 Apr,Friday,Good Friday (Orthodox),"Observance, Orthodox"
albania,2011,23 Apr,Saturday,Holy Saturday,Observance
