Geo,Event Year,Date,Day,Name,Type
algeria,2000,1 Jan,Saturday,New Year,Public Holiday
algeria,2000,8 Jan,Saturday,Eid al-Fitr,Public Holiday
algeria,2000,9 Jan,Sunday,Eid al-Fitr Holiday,Public Holiday
algeria,2000,16 Mar,Thursday,Eid al-Adha,Public Holiday
algeria,2000,17 Mar,Friday,Eid al-Adha Holiday,Public Holiday
algeria,2000,20 Mar,Monday,March Equinox,Season
algeria,2000,6 Apr,Thursday,Muharram,Public Holiday
algeria,2000,1 May,Monday,May Day,Public Holiday
algeria,2000,21 Jun,Wednesday,June Solstice,Season
algeria,2000,5 Jul,Wednesday,Independence Day,Public Holiday
algeria,2000,22 Sep,Friday,September Equinox,Season
algeria,2000,1 Nov,Wednesday,Anniversary of the Revolution,Public Holiday
algeria,2000,21 Dec,Thursday,December Solstice,Season
algeria,2000,28 Dec,Thursday,Eid al-Fitr,Public Holiday
algeria,2000,29 Dec,Friday,Eid al-Fitr Holiday,Public Holiday
algeria,2001,1 Jan,Monday,New Year,Public Holiday
algeria,2001,6 Mar,Tuesday,Eid al-Adha,Public Holiday
algeria,2001,7 Mar,Wednesday,Eid al-Adha Holiday,Public Holiday
algeria,2001,20 Mar,Tuesday,March Equinox,Season
algeria,2001,26 Mar,Monday,Muharram,Public Holiday
algeria,2001,1 May,Tuesday,May Day,Public Holiday
algeria,2001,21 Jun,Thursday,June Solstice,Season
algeria,2001,5 Jul,Thursday,Independence Day,Public Holiday
algeria,2001,23 Sep,Sunday,September Equinox,Season
algeria,2001,1 Nov,Thursday,Anniversary of the Revolution,Public Holiday
algeria,2001,17 Dec,Monday,Eid al-Fitr,Public Holiday
algeria,2001,18 Dec,Tuesday,Eid al-Fitr Holiday,Public Holiday
algeria,2001,21 Dec,Friday,December Solstice,Season
algeria,2002,1 Jan,Tuesday,New Year,Public Holiday
algeria,2002,23 Feb,Saturday,Eid al-Adha,Public Holiday
algeria,2002,24 Feb,Sunday,Eid al-Adha Holiday,Public Holiday
algeria,2002,15 Mar,Friday,Muharram,Public Holiday
algeria,2002,20 Mar,Wednesday,March Equinox,Season
algeria,2002,1 May,Wednesday,May Day,Public Holiday
algeria,2002,21 Jun,Friday,June Solstice,Season
algeria,2002,5 Jul,Friday,Independence Day,Public Holiday
algeria,2002,23 Sep,Monday,September Equinox,Season
algeria,2002,1 Nov,Friday,Anniversary of the Revolution,Public Holiday
algeria,2002,6 Dec,Friday,Eid al-Fitr,Public Holiday
algeria,2002,7 Dec,Saturday,Eid al-Fitr Holiday,Public Holiday
algeria,2002,22 Dec,Sunday,December Solstice,Season
algeria,2003,1 Jan,Wednesday,New Year,Public Holiday
algeria,2003,12 Feb,Wednesday,Eid al-Adha,Public Holiday
algeria,2003,13 Feb,Thursday,Eid al-Adha Holiday,Public Holiday
algeria,2003,5 Mar,Wednesday,Muharram,Public Holiday
algeria,2003,21 Mar,Friday,March Equinox,Season
algeria,2003,1 May,Thursday,May Day,Public Holiday
algeria,2003,21 Jun,Saturday,June Solstice,Season
algeria,2003,5 Jul,Saturday,Independence Day,Public Holiday
algeria,2003,23 Sep,Tuesday,September Equinox,Season
algeria,2003,1 Nov,Saturday,Anniversary of the Revolution,Public Holiday
algeria,2003,26 Nov,Wednesday,Eid al-Fitr,Public Holiday
