Geo,Event Year,Date,Day,Name,Type
armenia,2009,1 Jan,Thursday,New Year's Day,National holiday
armenia,2009,2 Jan,Friday,New Year's Day (Day 2),National holiday
armenia,2009,3 Jan,Saturday,New Year's Day (Day 3),National holiday
armenia,2009,4 Jan,Sunday,New Year's Day (Day 4),National holiday
armenia,2009,5 Jan,Monday,Christmas Eve,National holiday
armenia,2009,6 Jan,Tuesday,Christmas Day,National holiday
armenia,2009,7 Jan,Wednesday,Christmas Remembrance Day,National holiday
armenia,2009,28 Jan,Wednesday,Army Day,National holiday
armenia,2009,14 Feb,Saturday,Valentine's Day,Observance
armenia,2009,19 Feb,Thursday,Feast of Saint Vartan,Observance
armenia,2009,21 Feb,Saturday,Mother Language Day,Observance
armenia,2009,8 Mar,Sunday,International Women's Day,National holiday
armenia,2009,20 Mar,Friday,March Equinox,Season
armenia,2009,7 Apr,Tuesday,Motherhood and Beauty Day,Observance
armenia,2009,10 Apr,Friday,Good Friday,Observance
armenia,2009,11 Apr,Saturday,Holy Saturday,Observance
armenia,2009,12 Apr,Sunday,Easter Sunday,Observance
armenia,2009,13 Apr,Monday,Easter Monday,Observance
armenia,2009,16 Apr,Thursday,Armenian Cinema Day,Observance
armenia,2009,19 Apr,Sunday,Taxpayers' Day,Observance
armenia,2009,24 Apr,Friday,Genocide Remembrance Day,National holiday
armenia,2009,1 May,Friday,Labor Day,National holiday
armenia,2009,8 May,Friday,Yerkrapah Day,Observance
armenia,2009,9 May,Saturday,Victory and Peace Day,National holiday
armenia,2009,15 May,Friday,Family Day,Observance
armenia,2009,16 May,Saturday,Day of Students and Youth,Observance
armenia,2009,28 May,Thursday,Republic Day,National holiday
armenia,2009,1 Jun,Monday,Children's Day,Observance
armenia,2009,14 Jun,Sunday,Remembrance Day of the Oppressed,Observance
armenia,2009,21 Jun,Sunday,Fathers' Day,Observance
armenia,2009,21 Jun,Sunday,June Solstice,Season
armenia,2009,5 Jul,Sunday,Constitution Day,National holiday
armenia,2009,19 Jul,Sunday,Vardavar,National holiday
armenia,2009,1 Sep,Tuesday,Knowledge and Literature Day,Observance
armenia,2009,21 Sep,Monday,Independence Day,National holiday
armenia,2009,23 Sep,Wednesday,September Equinox,Season
armenia,2009,4 Oct,Sunday,Day of National Minorities of the Republic of Armenia,Observance
armenia,2009,5 Oct,Monday,Teachers' Day,Observance
armenia,2009,10 Oct,Saturday,Translators' Day,Observance
armenia,2009,31 Oct,Saturday,Halloween,Observance
armenia,2009,10 Nov,Tuesday,Local Self-Government Day,Observance
armenia,2009,7 Dec,Monday,Spitak Remembrance Day,Observance
armenia,2009,9 Dec,Wednesday,Genocide Condemnation and Prevention Day,Observance
armenia,2009,21 Dec,Monday,December Solstice,Season
armenia,2009,31 Dec,Thursday,New Year's Eve,National holiday
armenia,2010,1 Jan,Friday,New Year's Day,National holiday
armenia,2010,2 Jan,Saturday,New Year's Day (Day 2),National holiday
armenia,2010,3 Jan,Sunday,New Year's Day (Day 3),National holiday
armenia,2010,4 Jan,Monday,New Year's Day (Day 4),National holiday
armenia,2010,5 Jan,Tuesday,Christmas Eve,National holiday
armenia,2010,6 Jan,Wednesday,Christmas Day,National holiday
armenia,2010,7 Jan,Thursday,Christmas Remembrance Day,National holiday
armenia,2010,28 Jan,Thursday,Army Day,National holiday
armenia,2010,11 Feb,Thursday,Feast of Saint Vartan,Observance
armenia,2010,14 Feb,Sunday,Valentine's Day,Observance
armenia,2010,21 Feb,Sunday,Mother Language Day,Observance
armenia,2010,8 Mar,Monday,International Women's Day,National holiday
armenia,2010,20 Mar,Saturday,March Equinox,Season
armenia,2010,2 Apr,Friday,Good Friday,Observance
armenia,2010,3 Apr,Saturday,Holy Saturday,Observance
armenia,2010,4 Apr,Sunday,Easter Sunday,Observance
armenia,2010,5 Apr,Monday,Easter Monday,Observance
armenia,2010,7 Apr,Wednesday,Motherhood and Beauty Day,Observance
armenia,2010,16 Apr,Friday,Armenian Cinema Day,Observance
armenia,2010,19 Apr,Monday,Taxpayers' Day,Observance
armenia,2010,24 Apr,Saturday,Genocide Remembrance Day,National holiday
armenia,2010,1 May,Saturday,Labor Day,National holiday
