Geo,Event Year,Date,Day,Name,Type
australia,2000,1 Jan,Saturday,New Year's Day,National Holiday
australia,2000,3 Jan,Monday,Laylatul Qadr (Night of Power),Muslim
australia,2000,6 Jan,Thursday,Epiphany,Christian
australia,2000,7 Jan,Friday,Orthodox Christmas Day,Orthodox
australia,2000,8 Jan,Saturday,Eid ul Fitr,Muslim
australia,2000,8 Jan,Saturday,Hari Raya Puasa,State Holiday
australia,2000,10 Jan,Monday,Day off for Hari Raya Puasa,State Holiday
australia,2000,14 Jan,Friday,Orthodox New Year,Orthodox
australia,2000,22 Jan,Saturday,Tu B'Shevat (Arbor Day),Jewish holiday
australia,2000,26 Jan,Wednesday,Australia Day,National Holiday
australia,2000,5 Feb,Saturday,Lunar New Year,Observance
australia,2000,14 Feb,Monday,Royal Hobart Regatta,State Holiday
australia,2000,14 Feb,Monday,Valentine's Day,Observance
australia,2000,6 Mar,Monday,Labour Day,State Holiday
australia,2000,7 Mar,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Christian
australia,2000,8 Mar,Wednesday,Ash Wednesday,Christian
australia,2000,13 Mar,Monday,Labour Day,State Holiday
australia,2000,16 Mar,Thursday,Eid al-Adha,Muslim
australia,2000,17 Mar,Friday,St Patrick's Day,Observance
australia,2000,20 Mar,Monday,Canberra Day,State Holiday
australia,2000,20 Mar,Monday,March Equinox,Season
australia,2000,21 Mar,Tuesday,Purim,Jewish holiday
australia,2000,21 Mar,Tuesday,Harmony Day,Observance
australia,2000,26 Mar,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
australia,2000,6 Apr,Thursday,Muharram/Islamic New Year,Muslim
australia,2000,6 Apr,Thursday,Self Determination Day,State Holiday
australia,2000,15 Apr,Saturday,Ashura,Muslim
australia,2000,16 Apr,Sunday,Palm Sunday,Christian
australia,2000,20 Apr,Thursday,Maundy Thursday,Christian
australia,2000,20 Apr,Thursday,First day of Passover,Jewish holiday
australia,2000,21 Apr,Friday,Good Friday,Restricted Trading Day
australia,2000,21 Apr,Friday,Good Friday,National Holiday
australia,2000,22 Apr,Saturday,Holy Saturday,National Holiday
australia,2000,23 Apr,Sunday,Easter Sunday,National Holiday
australia,2000,24 Apr,Monday,Easter Monday,National Holiday
australia,2000,25 Apr,Tuesday,ANZAC Day,National Holiday
australia,2000,25 Apr,Tuesday,ANZAC Day,Common State holiday
australia,2000,25 Apr,Tuesday,ANZAC Day Observed,State Holiday
australia,2000,25 Apr,Tuesday,Easter Tuesday,State Public Sector Holiday
