Geo,Event Year,Date,Day,Name,Type
bahamas,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
bahamas,2002,14 Feb,Thursday,Valentine's Day,Observance
bahamas,2002,20 Mar,Wednesday,March Equinox,Season
bahamas,2002,29 Mar,Friday,Good Friday,Public Holiday
bahamas,2002,31 Mar,Sunday,Easter Sunday,Observance
bahamas,2002,1 Apr,Monday,Easter Monday,Public Holiday
bahamas,2002,7 Apr,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
bahamas,2002,12 May,Sunday,Mothers' Day,Observance
bahamas,2002,19 May,Sunday,Whit Sunday,Observance
bahamas,2002,20 May,Monday,Whit Monday,Public Holiday
bahamas,2002,7 Jun,Friday,Randol Fawkes Labour Day,Public Holiday
bahamas,2002,16 Jun,Sunday,Fathers' Day,Observance
bahamas,2002,21 Jun,Friday,June Solstice,Season
bahamas,2002,10 Jul,Wednesday,Independence Day,Public Holiday
bahamas,2002,5 Aug,Monday,Emancipation Day,Public Holiday
bahamas,2002,23 Sep,Monday,September Equinox,Season
bahamas,2002,12 Oct,Saturday,Discovery Day,Public Holiday
bahamas,2002,14 Oct,Monday,Discovery Day observed,Public Holiday
bahamas,2002,27 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
bahamas,2002,21 Dec,Saturday,December Solstice,Season
bahamas,2002,24 Dec,Tuesday,Christmas Eve,Observance
bahamas,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
bahamas,2002,26 Dec,Thursday,Boxing Day,Public Holiday
bahamas,2002,31 Dec,Tuesday,New Year's Eve,Observance
bahamas,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
bahamas,2003,3 Jan,Friday,New Year's Day observed,Public Holiday
bahamas,2003,14 Feb,Friday,Valentine's Day,Observance
bahamas,2003,20 Mar,Thursday,March Equinox,Season
bahamas,2003,6 Apr,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
bahamas,2003,18 Apr,Friday,Good Friday,Public Holiday
bahamas,2003,20 Apr,Sunday,Easter Sunday,Observance
bahamas,2003,21 Apr,Monday,Easter Monday,Public Holiday
bahamas,2003,11 May,Sunday,Mothers' Day,Observance
bahamas,2003,6 Jun,Friday,Randol Fawkes Labour Day,Public Holiday
bahamas,2003,8 Jun,Sunday,Whit Sunday,Observance
bahamas,2003,9 Jun,Monday,Whit Monday,Public Holiday
bahamas,2003,15 Jun,Sunday,Fathers' Day,Observance
bahamas,2003,21 Jun,Saturday,June Solstice,Season
bahamas,2003,10 Jul,Thursday,Independence Day,Public Holiday
bahamas,2003,4 Aug,Monday,Emancipation Day,Public Holiday
bahamas,2003,23 Sep,Tuesday,September Equinox,Season
bahamas,2003,12 Oct,Sunday,Discovery Day,Public Holiday
bahamas,2003,13 Oct,Monday,Discovery Day observed,Public Holiday
bahamas,2003,26 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
bahamas,2003,22 Dec,Monday,December Solstice,Season
bahamas,2003,24 Dec,Wednesday,Christmas Eve,Observance
bahamas,2003,25 Dec,Thursday,Christmas Day,Public Holiday
bahamas,2003,26 Dec,Friday,Boxing Day,Public Holiday
bahamas,2003,31 Dec,Wednesday,New Year's Eve,Observance
bahamas,2004,1 Jan,Thursday,New Year's Day,Public Holiday
bahamas,2004,2 Jan,Friday,New Year's Day observed,Public Holiday
bahamas,2004,14 Feb,Saturday,Valentine's Day,Observance
bahamas,2004,20 Mar,Saturday,March Equinox,Season
bahamas,2004,4 Apr,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
bahamas,2004,9 Apr,Friday,Good Friday,Public Holiday
bahamas,2004,11 Apr,Sunday,Easter Sunday,Observance
bahamas,2004,12 Apr,Monday,Easter Monday,Public Holiday
bahamas,2004,9 May,Sunday,Mothers' Day,Observance
bahamas,2004,30 May,Sunday,Whit Sunday,Observance
bahamas,2004,31 May,Monday,Whit Monday,Public Holiday
bahamas,2004,4 Jun,Friday,Randol Fawkes Labour Day,Public Holiday
bahamas,2004,20 Jun,Sunday,Fathers' Day,Observance
bahamas,2004,20 Jun,Sunday,June Solstice,Season
bahamas,2004,10 Jul,Saturday,Independence Day,Public Holiday
bahamas,2004,2 Aug,Monday,Emancipation Day,Public Holiday
bahamas,2004,22 Sep,Wednesday,September Equinox,Season
bahamas,2004,11 Oct,Monday,Discovery Day observed,Public Holiday
bahamas,2004,12 Oct,Tuesday,Discovery Day,Public Holiday
bahamas,2004,31 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
bahamas,2004,21 Dec,Tuesday,December Solstice,Season
bahamas,2004,24 Dec,Friday,Christmas Eve,Observance
bahamas,2004,25 Dec,Saturday,Christmas Day,Public Holiday
bahamas,2004,26 Dec,Sunday,Boxing Day,Public Holiday
bahamas,2004,27 Dec,Monday,Day off for Christmas Day,Public Holiday
bahamas,2004,31 Dec,Friday,New Year's Eve,Observance
bahamas,2005,1 Jan,Saturday,New Year's Day,Public Holiday
bahamas,2005,3 Jan,Monday,New Year's Day observed,Public Holiday
bahamas,2005,14 Feb,Monday,Valentine's Day,Observance
bahamas,2005,20 Mar,Sunday,March Equinox,Season
bahamas,2005,25 Mar,Friday,Good Friday,Public Holiday
bahamas,2005,27 Mar,Sunday,Easter Sunday,Observance
bahamas,2005,28 Mar,Monday,Easter Monday,Public Holiday
bahamas,2005,3 Apr,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
bahamas,2005,8 May,Sunday,Mothers' Day,Observance
bahamas,2005,15 May,Sunday,Whit Sunday,Observance
bahamas,2005,16 May,Monday,Whit Monday,Public Holiday
bahamas,2005,3 Jun,Friday,Randol Fawkes Labour Day,Public Holiday
bahamas,2005,19 Jun,Sunday,Fathers' Day,Observance
bahamas,2005,21 Jun,Tuesday,June Solstice,Season
bahamas,2005,10 Jul,Sunday,Independence Day,Public Holiday
bahamas,2005,11 Jul,Monday,Day off for Independence Day,Public Holiday
bahamas,2005,1 Aug,Monday,Emancipation Day,Public Holiday
bahamas,2005,22 Sep,Thursday,September Equinox,Season
bahamas,2005,12 Oct,Wednesday,Discovery Day,Public Holiday
bahamas,2005,14 Oct,Friday,Discovery Day observed,Public Holiday
bahamas,2005,30 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
bahamas,2005,21 Dec,Wednesday,December Solstice,Season
bahamas,2005,24 Dec,Saturday,Christmas Eve,Observance
bahamas,2005,25 Dec,Sunday,Christmas Day,Public Holiday
