Geo,Event Year,Date,Day,Name,Type
bangladesh,2005,1 Jan,Saturday,New Year's Day,Optional Holiday
bangladesh,2005,10 Jan,Monday,Bangabandhu Homecoming Day,Observance
bangladesh,2005,21 Jan,Friday,Eid al-Adha,Government Holiday
bangladesh,2005,22 Jan,Saturday,Eid al-Adha Holiday,Government Holiday
bangladesh,2005,23 Jan,Sunday,Eid al-Adha Holiday,Government Holiday
bangladesh,2005,24 Jan,Monday,Eid al-Adha Holiday,Optional Holiday
bangladesh,2005,9 Feb,Wednesday,Ash Wednesday,Optional Holiday
bangladesh,2005,13 Feb,Sunday,Saraswati Puja,Optional Holiday
bangladesh,2005,14 Feb,Monday,Valentine's Day,Observance
bangladesh,2005,21 Feb,Monday,Language Martyrs' Day,Government Holiday
bangladesh,2005,2 Mar,Wednesday,National Flag Day,Observance
bangladesh,2005,8 Mar,Tuesday,Maha Shivaratri,Optional Holiday
bangladesh,2005,17 Mar,Thursday,Sheikh Mujibur Rahman’s birthday,Government Holiday
bangladesh,2005,20 Mar,Sunday,March Equinox,Season
bangladesh,2005,24 Mar,Thursday,Maundy Thursday,Optional Holiday
bangladesh,2005,25 Mar,Friday,Good Friday,Optional Holiday
bangladesh,2005,26 Mar,Saturday,Independence Day,Government Holiday
bangladesh,2005,26 Mar,Saturday,Holy Saturday,Optional Holiday
bangladesh,2005,27 Mar,Sunday,Easter Day,Optional Holiday
bangladesh,2005,28 Mar,Monday,Easter Monday,Optional Holiday
bangladesh,2005,14 Apr,Thursday,Bengali New Year,Government Holiday
bangladesh,2005,22 Apr,Friday,Eid e-Milad-un Nabi,Government Holiday
bangladesh,2005,1 May,Sunday,May Day,Government Holiday
bangladesh,2005,8 May,Sunday,Mothers' Day,Observance
bangladesh,2005,23 May,Monday,Buddha Purnima/Vesak,Government Holiday
bangladesh,2005,19 Jun,Sunday,Fathers' Day,Observance
bangladesh,2005,21 Jun,Tuesday,June Solstice,Season
bangladesh,2005,1 Jul,Friday,July 1 Bank Holiday,Bank Holiday
bangladesh,2005,15 Aug,Monday,National Mourning Day,Government Holiday
bangladesh,2005,26 Aug,Friday,Janmashtami,Government Holiday
bangladesh,2005,1 Sep,Thursday,Shab-e-Meraj,Optional Holiday
bangladesh,2005,19 Sep,Monday,Shab e-Barat,Government Holiday
bangladesh,2005,23 Sep,Friday,September Equinox,Season
bangladesh,2005,12 Oct,Wednesday,Durga Puja,Government Holiday
bangladesh,2005,28 Oct,Friday,Jumatul Bidah,Government Holiday
bangladesh,2005,30 Oct,Sunday,Shab-e-qadr,Government Holiday
bangladesh,2005,31 Oct,Monday,Halloween,Observance
bangladesh,2005,4 Nov,Friday,Eid ul-Fitr,Government Holiday
bangladesh,2005,5 Nov,Saturday,Eid ul-Fitr Holiday,Government Holiday
bangladesh,2005,6 Nov,Sunday,Eid ul-Fitr Holiday,Government Holiday
bangladesh,2005,7 Nov,Monday,Eid ul-Fitr Holiday,Optional Holiday
bangladesh,2005,16 Dec,Friday,Victory Day,Government Holiday
bangladesh,2005,22 Dec,Thursday,December Solstice,Season
bangladesh,2005,24 Dec,Saturday,Christmas Eve,Optional Holiday
bangladesh,2005,25 Dec,Sunday,Christmas Day,Government Holiday
bangladesh,2005,26 Dec,Monday,Boxing Day,Optional Holiday
bangladesh,2005,31 Dec,Saturday,New Year's Eve,Bank Holiday
bangladesh,2006,1 Jan,Sunday,New Year's Day,Optional Holiday
bangladesh,2006,10 Jan,Tuesday,Bangabandhu Homecoming Day,Observance
bangladesh,2006,11 Jan,Wednesday,Eid al-Adha,Government Holiday
bangladesh,2006,12 Jan,Thursday,Eid al-Adha Holiday,Government Holiday
bangladesh,2006,13 Jan,Friday,Eid al-Adha Holiday,Government Holiday
bangladesh,2006,14 Jan,Saturday,Eid al-Adha Holiday,Optional Holiday
bangladesh,2006,2 Feb,Thursday,Saraswati Puja,Optional Holiday
bangladesh,2006,14 Feb,Tuesday,Valentine's Day,Observance
bangladesh,2006,21 Feb,Tuesday,Language Martyrs' Day,Government Holiday
bangladesh,2006,26 Feb,Sunday,Maha Shivaratri,Optional Holiday
bangladesh,2006,1 Mar,Wednesday,Ash Wednesday,Optional Holiday
