Geo,Event Year,Date,Day,Name,Type
barbados,2000,1 Jan,Saturday,New Year's Day,Public Holiday
barbados,2000,21 Jan,Friday,Errol Barrow Day,Public Holiday
barbados,2000,14 Feb,Monday,Valentine's Day,Observance
barbados,2000,20 Mar,Monday,March Equinox,Season
barbados,2000,21 Apr,Friday,Good Friday,Public Holiday
barbados,2000,23 Apr,Sunday,Easter Sunday,Observance
barbados,2000,24 Apr,Monday,Easter Monday,Public Holiday
barbados,2000,28 Apr,Friday,National Heroes Day,Public Holiday
barbados,2000,1 May,Monday,Labor Day / May Day,Public Holiday
barbados,2000,14 May,Sunday,Mothers' Day,Observance
barbados,2000,11 Jun,Sunday,Whit Sunday,Observance
barbados,2000,12 Jun,Monday,Whit Monday,Public Holiday
barbados,2000,18 Jun,Sunday,Fathers' Day,Observance
barbados,2000,20 Jun,Tuesday,June Solstice,Season
barbados,2000,1 Aug,Tuesday,Emancipation Day,Public Holiday
barbados,2000,7 Aug,Monday,Kadooment Day,Public Holiday
barbados,2000,22 Sep,Friday,September Equinox,Season
barbados,2000,31 Oct,Tuesday,Halloween,Observance
barbados,2000,30 Nov,Thursday,Independence Day,Public Holiday
barbados,2000,21 Dec,Thursday,December Solstice,Season
barbados,2000,24 Dec,Sunday,Christmas Eve,Observance
barbados,2000,25 Dec,Monday,Christmas Day,Public Holiday
barbados,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
barbados,2000,31 Dec,Sunday,Old Year's Night,Observance
barbados,2001,1 Jan,Monday,New Year's Day,Public Holiday
barbados,2001,21 Jan,Sunday,Errol Barrow Day,Public Holiday
barbados,2001,22 Jan,Monday,Day off for Errol Barrow Day,Public Holiday
barbados,2001,14 Feb,Wednesday,Valentine's Day,Observance
barbados,2001,20 Mar,Tuesday,March Equinox,Season
barbados,2001,13 Apr,Friday,Good Friday,Public Holiday
barbados,2001,15 Apr,Sunday,Easter Sunday,Observance
barbados,2001,16 Apr,Monday,Easter Monday,Public Holiday
barbados,2001,28 Apr,Saturday,National Heroes Day,Public Holiday
barbados,2001,1 May,Tuesday,Labor Day / May Day,Public Holiday
barbados,2001,13 May,Sunday,Mothers' Day,Observance
barbados,2001,3 Jun,Sunday,Whit Sunday,Observance
barbados,2001,4 Jun,Monday,Whit Monday,Public Holiday
barbados,2001,17 Jun,Sunday,Fathers' Day,Observance
barbados,2001,21 Jun,Thursday,June Solstice,Season
barbados,2001,1 Aug,Wednesday,Emancipation Day,Public Holiday
barbados,2001,6 Aug,Monday,Kadooment Day,Public Holiday
barbados,2001,22 Sep,Saturday,September Equinox,Season
barbados,2001,31 Oct,Wednesday,Halloween,Observance
barbados,2001,30 Nov,Friday,Independence Day,Public Holiday
barbados,2001,21 Dec,Friday,December Solstice,Season
barbados,2001,24 Dec,Monday,Christmas Eve,Observance
barbados,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
barbados,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
barbados,2001,31 Dec,Monday,Old Year's Night,Observance
barbados,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
barbados,2002,21 Jan,Monday,Errol Barrow Day,Public Holiday
barbados,2002,14 Feb,Thursday,Valentine's Day,Observance
barbados,2002,20 Mar,Wednesday,March Equinox,Season
barbados,2002,29 Mar,Friday,Good Friday,Public Holiday
barbados,2002,31 Mar,Sunday,Easter Sunday,Observance
barbados,2002,1 Apr,Monday,Easter Monday,Public Holiday
barbados,2002,28 Apr,Sunday,National Heroes Day,Public Holiday
barbados,2002,29 Apr,Monday,Day off for National Heroes Day,Public Holiday
barbados,2002,1 May,Wednesday,Labor Day / May Day,Public Holiday
barbados,2002,12 May,Sunday,Mothers' Day,Observance
barbados,2002,19 May,Sunday,Whit Sunday,Observance
barbados,2002,20 May,Monday,Whit Monday,Public Holiday
barbados,2002,16 Jun,Sunday,Fathers' Day,Observance
barbados,2002,21 Jun,Friday,June Solstice,Season
barbados,2002,1 Aug,Thursday,Emancipation Day,Public Holiday
barbados,2002,5 Aug,Monday,Kadooment Day,Public Holiday
barbados,2002,23 Sep,Monday,September Equinox,Season
barbados,2002,31 Oct,Thursday,Halloween,Observance
barbados,2002,30 Nov,Saturday,Independence Day,Public Holiday
barbados,2002,21 Dec,Saturday,December Solstice,Season
barbados,2002,24 Dec,Tuesday,Christmas Eve,Observance
barbados,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
barbados,2002,26 Dec,Thursday,Boxing Day,Public Holiday
barbados,2002,31 Dec,Tuesday,Old Year's Night,Observance
barbados,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
barbados,2003,21 Jan,Tuesday,Errol Barrow Day,Public Holiday
barbados,2003,14 Feb,Friday,Valentine's Day,Observance
barbados,2003,20 Mar,Thursday,March Equinox,Season
barbados,2003,18 Apr,Friday,Good Friday,Public Holiday
barbados,2003,20 Apr,Sunday,Easter Sunday,Observance
barbados,2003,21 Apr,Monday,Easter Monday,Public Holiday
barbados,2003,28 Apr,Monday,National Heroes Day,Public Holiday
barbados,2003,1 May,Thursday,Labor Day / May Day,Public Holiday
barbados,2003,11 May,Sunday,Mothers' Day,Observance
barbados,2003,8 Jun,Sunday,Whit Sunday,Observance
barbados,2003,9 Jun,Monday,Whit Monday,Public Holiday
barbados,2003,15 Jun,Sunday,Fathers' Day,Observance
barbados,2003,21 Jun,Saturday,June Solstice,Season
barbados,2003,1 Aug,Friday,Emancipation Day,Public Holiday
barbados,2003,4 Aug,Monday,Kadooment Day,Public Holiday
barbados,2003,23 Sep,Tuesday,September Equinox,Season
barbados,2003,31 Oct,Friday,Halloween,Observance
barbados,2003,30 Nov,Sunday,Independence Day,Public Holiday
barbados,2003,1 Dec,Monday,Day off for Independence Day,Public Holiday
barbados,2003,22 Dec,Monday,December Solstice,Season
barbados,2003,24 Dec,Wednesday,Christmas Eve,Observance
barbados,2003,25 Dec,Thursday,Christmas Day,Public Holiday
barbados,2003,26 Dec,Friday,Boxing Day,Public Holiday
barbados,2003,31 Dec,Wednesday,Old Year's Night,Observance
barbados,2004,1 Jan,Thursday,New Year's Day,Public Holiday
barbados,2004,21 Jan,Wednesday,Errol Barrow Day,Public Holiday
barbados,2004,14 Feb,Saturday,Valentine's Day,Observance
barbados,2004,20 Mar,Saturday,March Equinox,Season
barbados,2004,9 Apr,Friday,Good Friday,Public Holiday
barbados,2004,11 Apr,Sunday,Easter Sunday,Observance
barbados,2004,12 Apr,Monday,Easter Monday,Public Holiday
barbados,2004,28 Apr,Wednesday,National Heroes Day,Public Holiday
barbados,2004,1 May,Saturday,Labor Day / May Day,Public Holiday
barbados,2004,9 May,Sunday,Mothers' Day,Observance
barbados,2004,30 May,Sunday,Whit Sunday,Observance
barbados,2004,31 May,Monday,Whit Monday,Public Holiday
barbados,2004,20 Jun,Sunday,Fathers' Day,Observance
barbados,2004,20 Jun,Sunday,June Solstice,Season
barbados,2004,1 Aug,Sunday,Emancipation Day,Public Holiday
barbados,2004,2 Aug,Monday,Kadooment Day,Public Holiday
barbados,2004,3 Aug,Tuesday,Day off for Emancipation Day,Public Holiday
barbados,2004,22 Sep,Wednesday,September Equinox,Season
barbados,2004,31 Oct,Sunday,Halloween,Observance
barbados,2004,30 Nov,Tuesday,Independence Day,Public Holiday
barbados,2004,21 Dec,Tuesday,December Solstice,Season
barbados,2004,24 Dec,Friday,Christmas Eve,Observance
barbados,2004,25 Dec,Saturday,Christmas Day,Public Holiday
barbados,2004,26 Dec,Sunday,Boxing Day,Public Holiday
barbados,2004,27 Dec,Monday,Day off for Boxing Day,Public Holiday
barbados,2004,31 Dec,Friday,Old Year's Night,Observance
barbados,2005,1 Jan,Saturday,New Year's Day,Public Holiday
barbados,2005,21 Jan,Friday,Errol Barrow Day,Public Holiday
barbados,2005,14 Feb,Monday,Valentine's Day,Observance
barbados,2005,20 Mar,Sunday,March Equinox,Season
barbados,2005,25 Mar,Friday,Good Friday,Public Holiday
barbados,2005,27 Mar,Sunday,Easter Sunday,Observance
barbados,2005,28 Mar,Monday,Easter Monday,Public Holiday
barbados,2005,28 Apr,Thursday,National Heroes Day,Public Holiday
barbados,2005,1 May,Sunday,Labor Day / May Day,Public Holiday
barbados,2005,2 May,Monday,Day off for Labor Day / May Day,Public Holiday
barbados,2005,8 May,Sunday,Mothers' Day,Observance
barbados,2005,15 May,Sunday,Whit Sunday,Observance
barbados,2005,16 May,Monday,Whit Monday,Public Holiday
barbados,2005,19 Jun,Sunday,Fathers' Day,Observance
barbados,2005,21 Jun,Tuesday,June Solstice,Season
barbados,2005,1 Aug,Monday,Emancipation Day,Public Holiday
barbados,2005,1 Aug,Monday,Kadooment Day,Public Holiday
barbados,2005,2 Aug,Tuesday,Day off for Emancipation Day,Public Holiday
barbados,2005,22 Sep,Thursday,September Equinox,Season
barbados,2005,31 Oct,Monday,Halloween,Observance
barbados,2005,30 Nov,Wednesday,Independence Day,Public Holiday
barbados,2005,21 Dec,Wednesday,December Solstice,Season
barbados,2005,24 Dec,Saturday,Christmas Eve,Observance
barbados,2005,25 Dec,Sunday,Christmas Day,Public Holiday
barbados,2005,26 Dec,Monday,Boxing Day,Public Holiday
barbados,2005,27 Dec,Tuesday,Day off for Christmas Day,Public Holiday
barbados,2005,31 Dec,Saturday,Old Year's Night,Observance
barbados,2006,1 Jan,Sunday,New Year's Day,Public Holiday
barbados,2006,2 Jan,Monday,Day off for New Year's Day,Public Holiday
barbados,2006,21 Jan,Saturday,Errol Barrow Day,Public Holiday
barbados,2006,14 Feb,Tuesday,Valentine's Day,Observance
barbados,2006,20 Mar,Monday,March Equinox,Season
barbados,2006,14 Apr,Friday,Good Friday,Public Holiday
barbados,2006,16 Apr,Sunday,Easter Sunday,Observance
barbados,2006,17 Apr,Monday,Easter Monday,Public Holiday
barbados,2006,28 Apr,Friday,National Heroes Day,Public Holiday
barbados,2006,1 May,Monday,Labor Day / May Day,Public Holiday
barbados,2006,14 May,Sunday,Mothers' Day,Observance
barbados,2006,4 Jun,Sunday,Whit Sunday,Observance
barbados,2006,5 Jun,Monday,Whit Monday,Public Holiday
barbados,2006,18 Jun,Sunday,Fathers' Day,Observance
barbados,2006,21 Jun,Wednesday,June Solstice,Season
barbados,2006,1 Aug,Tuesday,Emancipation Day,Public Holiday
barbados,2006,7 Aug,Monday,Kadooment Day,Public Holiday
barbados,2006,23 Sep,Saturday,September Equinox,Season
barbados,2006,31 Oct,Tuesday,Halloween,Observance
barbados,2006,30 Nov,Thursday,Independence Day,Public Holiday
barbados,2006,21 Dec,Thursday,December Solstice,Season
barbados,2006,24 Dec,Sunday,Christmas Eve,Observance
barbados,2006,25 Dec,Monday,Christmas Day,Public Holiday
barbados,2006,26 Dec,Tuesday,Boxing Day,Public Holiday
barbados,2006,31 Dec,Sunday,Old Year's Night,Observance
barbados,2007,1 Jan,Monday,New Year's Day,Public Holiday
barbados,2007,21 Jan,Sunday,Errol Barrow Day,Public Holiday
barbados,2007,22 Jan,Monday,Day off for Errol Barrow Day,Public Holiday
barbados,2007,14 Feb,Wednesday,Valentine's Day,Observance
barbados,2007,20 Mar,Tuesday,March Equinox,Season
barbados,2007,6 Apr,Friday,Good Friday,Public Holiday
barbados,2007,8 Apr,Sunday,Easter Sunday,Observance
barbados,2007,9 Apr,Monday,Easter Monday,Public Holiday
barbados,2007,28 Apr,Saturday,National Heroes Day,Public Holiday
barbados,2007,1 May,Tuesday,Labor Day / May Day,Public Holiday
barbados,2007,13 May,Sunday,Mothers' Day,Observance
barbados,2007,27 May,Sunday,Whit Sunday,Observance
barbados,2007,28 May,Monday,Whit Monday,Public Holiday
barbados,2007,17 Jun,Sunday,Fathers' Day,Observance
barbados,2007,21 Jun,Thursday,June Solstice,Season
barbados,2007,1 Aug,Wednesday,Emancipation Day,Public Holiday
barbados,2007,6 Aug,Monday,Kadooment Day,Public Holiday
barbados,2007,23 Sep,Sunday,September Equinox,Season
barbados,2007,31 Oct,Wednesday,Halloween,Observance
barbados,2007,30 Nov,Friday,Independence Day,Public Holiday
barbados,2007,22 Dec,Saturday,December Solstice,Season
barbados,2007,24 Dec,Monday,Christmas Eve,Observance
barbados,2007,25 Dec,Tuesday,Christmas Day,Public Holiday
barbados,2007,26 Dec,Wednesday,Boxing Day,Public Holiday
barbados,2007,31 Dec,Monday,Old Year's Night,Observance
barbados,2008,1 Jan,Tuesday,New Year's Day,Public Holiday
barbados,2008,21 Jan,Monday,Errol Barrow Day,Public Holiday
barbados,2008,14 Feb,Thursday,Valentine's Day,Observance
barbados,2008,21 Feb,Thursday,Rihanna Day,Observance
barbados,2008,20 Mar,Thursday,March Equinox,Season
barbados,2008,21 Mar,Friday,Good Friday,Public Holiday
barbados,2008,23 Mar,Sunday,Easter Sunday,Observance
barbados,2008,24 Mar,Monday,Easter Monday,Public Holiday
barbados,2008,28 Apr,Monday,National Heroes Day,Public Holiday
barbados,2008,1 May,Thursday,Labor Day / May Day,Public Holiday
barbados,2008,11 May,Sunday,Whit Sunday,Observance
barbados,2008,11 May,Sunday,Mothers' Day,Observance
barbados,2008,12 May,Monday,Whit Monday,Public Holiday
barbados,2008,15 Jun,Sunday,Fathers' Day,Observance
barbados,2008,20 Jun,Friday,June Solstice,Season
barbados,2008,1 Aug,Friday,Emancipation Day,Public Holiday
barbados,2008,4 Aug,Monday,Kadooment Day,Public Holiday
barbados,2008,22 Sep,Monday,September Equinox,Season
barbados,2008,31 Oct,Friday,Halloween,Observance
barbados,2008,30 Nov,Sunday,Independence Day,Public Holiday
barbados,2008,1 Dec,Monday,Day off for Independence Day,Public Holiday
barbados,2008,21 Dec,Sunday,December Solstice,Season
barbados,2008,24 Dec,Wednesday,Christmas Eve,Observance
barbados,2008,25 Dec,Thursday,Christmas Day,Public Holiday
barbados,2008,26 Dec,Friday,Boxing Day,Public Holiday
barbados,2008,31 Dec,Wednesday,Old Year's Night,Observance
barbados,2009,1 Jan,Thursday,New Year's Day,Public Holiday
