Geo,Event Year,Date,Day,Name,Type
belize,2000,1 Jan,Saturday,New Year's Day,Public Holiday
belize,2000,6 Mar,Monday,Day off for National Heroes and Benefactors Day,Public Holiday
belize,2000,9 Mar,Thursday,National Heroes and Benefactors Day,Public Holiday
belize,2000,20 Mar,Monday,March Equinox,Season
belize,2000,21 Apr,Friday,Good Friday,Public Holiday
belize,2000,22 Apr,Saturday,Holy Saturday,Public Holiday
belize,2000,23 Apr,Sunday,Easter Sunday,Observance
belize,2000,24 Apr,Monday,Easter Monday,Public Holiday
belize,2000,1 May,Monday,Labor Day / May Day,Public Holiday
belize,2000,22 May,Monday,Day off for Commonwealth Day,Public Holiday
belize,2000,24 May,Wednesday,Commonwealth Day,Public Holiday
belize,2000,20 Jun,Tuesday,June Solstice,Season
belize,2000,10 Sep,Sunday,St. George's Caye Day,Public Holiday
belize,2000,11 Sep,Monday,Day off for St. George's Caye Day,Public Holiday
belize,2000,21 Sep,Thursday,Independence Day,Public Holiday
belize,2000,22 Sep,Friday,September Equinox,Season
belize,2000,9 Oct,Monday,Day off for Pan American Day,Public Holiday
belize,2000,12 Oct,Thursday,Pan American Day,Public Holiday
belize,2000,19 Nov,Sunday,Garifuna Settlement Day,Public Holiday
belize,2000,20 Nov,Monday,Day off for Garifuna Settlement Day,Public Holiday
belize,2000,21 Dec,Thursday,December Solstice,Season
belize,2000,25 Dec,Monday,Christmas Day,Public Holiday
belize,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
belize,2001,1 Jan,Monday,New Year's Day,Public Holiday
belize,2001,9 Mar,Friday,National Heroes and Benefactors Day,Public Holiday
belize,2001,12 Mar,Monday,Day off for National Heroes and Benefactors Day,Public Holiday
belize,2001,20 Mar,Tuesday,March Equinox,Season
belize,2001,13 Apr,Friday,Good Friday,Public Holiday
belize,2001,14 Apr,Saturday,Holy Saturday,Public Holiday
belize,2001,15 Apr,Sunday,Easter Sunday,Observance
belize,2001,16 Apr,Monday,Easter Monday,Public Holiday
belize,2001,1 May,Tuesday,Labor Day / May Day,Public Holiday
belize,2001,21 May,Monday,Day off for Commonwealth Day,Public Holiday
belize,2001,24 May,Thursday,Commonwealth Day,Public Holiday
belize,2001,21 Jun,Thursday,June Solstice,Season
belize,2001,10 Sep,Monday,St. George's Caye Day,Public Holiday
belize,2001,21 Sep,Friday,Independence Day,Public Holiday
belize,2001,22 Sep,Saturday,September Equinox,Season
belize,2001,12 Oct,Friday,Pan American Day,Public Holiday
belize,2001,15 Oct,Monday,Day off for Pan American Day,Public Holiday
belize,2001,19 Nov,Monday,Garifuna Settlement Day,Public Holiday
belize,2001,21 Dec,Friday,December Solstice,Season
belize,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
belize,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
belize,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
belize,2002,9 Mar,Saturday,National Heroes and Benefactors Day,Public Holiday
belize,2002,11 Mar,Monday,Day off for National Heroes and Benefactors Day,Public Holiday
belize,2002,20 Mar,Wednesday,March Equinox,Season
belize,2002,29 Mar,Friday,Good Friday,Public Holiday
belize,2002,30 Mar,Saturday,Holy Saturday,Public Holiday
belize,2002,31 Mar,Sunday,Easter Sunday,Observance
belize,2002,1 Apr,Monday,Easter Monday,Public Holiday
belize,2002,1 May,Wednesday,Labor Day / May Day,Public Holiday
belize,2002,24 May,Friday,Commonwealth Day,Public Holiday
belize,2002,27 May,Monday,Day off for Commonwealth Day,Public Holiday
belize,2002,21 Jun,Friday,June Solstice,Season
belize,2002,10 Sep,Tuesday,St. George's Caye Day,Public Holiday
belize,2002,21 Sep,Saturday,Independence Day,Public Holiday
belize,2002,22 Sep,Sunday,September Equinox,Season
belize,2002,12 Oct,Saturday,Pan American Day,Public Holiday
belize,2002,14 Oct,Monday,Day off for Pan American Day,Public Holiday
belize,2002,19 Nov,Tuesday,Garifuna Settlement Day,Public Holiday
belize,2002,21 Dec,Saturday,December Solstice,Season
belize,2002,25 Dec,Wednesday,Christmas Day,Public Holiday
belize,2002,26 Dec,Thursday,Boxing Day,Public Holiday
belize,2003,1 Jan,Wednesday,New Year's Day,Public Holiday
belize,2003,9 Mar,Sunday,National Heroes and Benefactors Day,Public Holiday
belize,2003,10 Mar,Monday,Day off for National Heroes and Benefactors Day,Public Holiday
belize,2003,20 Mar,Thursday,March Equinox,Season
belize,2003,18 Apr,Friday,Good Friday,Public Holiday
belize,2003,19 Apr,Saturday,Holy Saturday,Public Holiday
belize,2003,20 Apr,Sunday,Easter Sunday,Observance
belize,2003,21 Apr,Monday,Easter Monday,Public Holiday
belize,2003,1 May,Thursday,Labor Day / May Day,Public Holiday
belize,2003,24 May,Saturday,Commonwealth Day,Public Holiday
belize,2003,26 May,Monday,Day off for Commonwealth Day,Public Holiday
belize,2003,21 Jun,Saturday,June Solstice,Season
belize,2003,10 Sep,Wednesday,St. George's Caye Day,Public Holiday
belize,2003,21 Sep,Sunday,Independence Day,Public Holiday
belize,2003,22 Sep,Monday,Day off for Independence Day,Public Holiday
belize,2003,23 Sep,Tuesday,September Equinox,Season
belize,2003,12 Oct,Sunday,Pan American Day,Public Holiday
belize,2003,13 Oct,Monday,Day off for Pan American Day,Public Holiday
belize,2003,19 Nov,Wednesday,Garifuna Settlement Day,Public Holiday
belize,2003,22 Dec,Monday,December Solstice,Season
belize,2003,25 Dec,Thursday,Christmas Day,Public Holiday
belize,2003,26 Dec,Friday,Boxing Day,Public Holiday
belize,2004,1 Jan,Thursday,New Year's Day,Public Holiday
belize,2004,8 Mar,Monday,Day off for National Heroes and Benefactors Day,Public Holiday
belize,2004,9 Mar,Tuesday,National Heroes and Benefactors Day,Public Holiday
belize,2004,20 Mar,Saturday,March Equinox,Season
belize,2004,9 Apr,Friday,Good Friday,Public Holiday
belize,2004,10 Apr,Saturday,Holy Saturday,Public Holiday
belize,2004,11 Apr,Sunday,Easter Sunday,Observance
