Geo,Event Year,Date,Day,Name,Type
bhutan,2016,2 Jan,Saturday,Winter Solstice (Nyilo),Public Holiday
bhutan,2016,10 Jan,Sunday,Traditional Day of Offerings,Public Holiday
bhutan,2016,5 Feb,Friday,Crown Prince Birthday,Public Holiday
bhutan,2016,9 Feb,Tuesday,Losar (New Year),Public Holiday
bhutan,2016,10 Feb,Wednesday,Losar Holiday,Public Holiday
bhutan,2016,21 Feb,Sunday,King's Birthday,Public Holiday
bhutan,2016,22 Feb,Monday,King's Birthday Holiday,Public Holiday
bhutan,2016,23 Feb,Tuesday,King's Birthday Holiday,Public Holiday
bhutan,2016,20 Mar,Sunday,March Equinox,Season
bhutan,2016,16 Apr,Saturday,The Zhabdrung Mourning Day,Public Holiday
bhutan,2016,2 May,Monday,Birth Anniversary of Third Druk Gyalpo,Public Holiday
bhutan,2016,2 May,Monday,Birth Anniversary of Guru Rinpoche,Public Holiday
bhutan,2016,9 May,Monday,Death Anniversary of Zhabdrung (Zhabdrung Kuchoe),Public Holiday
bhutan,2016,2 Jun,Thursday,King Jigme Singye Wangchuck's Coronation,Public Holiday
bhutan,2016,21 Jun,Tuesday,Buddha's Parinirvana,Public Holiday
bhutan,2016,21 Jun,Tuesday,June Solstice,Season
bhutan,2016,8 Jul,Friday,Buddha's First Sermon,Public Holiday
bhutan,2016,5 Aug,Friday,King Jigme Dorji Wangchuck's Death Anniversary,Public Holiday
bhutan,2016,22 Sep,Thursday,September Equinox,Season
bhutan,2016,23 Sep,Friday,Blessed Rainy Day,Public Holiday
bhutan,2016,7 Oct,Friday,Thimphu Drubchoe (Thimphu only),Municipal Holiday
bhutan,2016,11 Oct,Tuesday,Thimphu Tshechu (Thimphu only),Municipal Holiday
bhutan,2016,11 Oct,Tuesday,Dashain,Public Holiday
bhutan,2016,12 Oct,Wednesday,Thimphu Tshechu (Thimphu only),Municipal Holiday
bhutan,2016,13 Oct,Thursday,Thimphu Tshechu (Thimphu only),Municipal Holiday
bhutan,2016,1 Nov,Tuesday,King Jigme Khesar Namgyel's Coronation,Public Holiday
bhutan,2016,11 Nov,Friday,Birth Anniversary of the Fourth Druk Gyalpo,Public Holiday
bhutan,2016,20 Nov,Sunday,Descending Day of Lord Buddha,Public Holiday
bhutan,2016,17 Dec,Saturday,National Day,Public Holiday
bhutan,2016,21 Dec,Wednesday,December Solstice,Season
bhutan,2017,2 Jan,Monday,Winter Solstice (Nyilo),Public Holiday
bhutan,2017,28 Jan,Saturday,Traditional Day of Offerings,Public Holiday
bhutan,2017,5 Feb,Sunday,Crown Prince Birthday,Public Holiday
bhutan,2017,21 Feb,Tuesday,King's Birthday,Public Holiday
bhutan,2017,22 Feb,Wednesday,King's Birthday Holiday,Public Holiday
bhutan,2017,23 Feb,Thursday,King's Birthday Holiday,Public Holiday
bhutan,2017,28 Feb,Tuesday,Losar (New Year),Public Holiday
bhutan,2017,1 Mar,Wednesday,Losar Holiday,Public Holiday
bhutan,2017,20 Mar,Monday,March Equinox,Season
bhutan,2017,2 May,Tuesday,Birth Anniversary of Third Druk Gyalpo,Public Holiday
bhutan,2017,5 May,Friday,The Zhabdrung Mourning Day,Public Holiday
bhutan,2017,9 May,Tuesday,Death Anniversary of Zhabdrung (Zhabdrung Kuchoe),Public Holiday
bhutan,2017,2 Jun,Friday,King Jigme Singye Wangchuck's Coronation,Public Holiday
bhutan,2017,21 Jun,Wednesday,Buddha's Parinirvana,Public Holiday
bhutan,2017,21 Jun,Wednesday,June Solstice,Season
bhutan,2017,3 Jul,Monday,Birth Anniversary of Guru Rinpoche,Public Holiday
bhutan,2017,27 Jul,Thursday,Buddha's First Sermon,Public Holiday
bhutan,2017,5 Aug,Saturday,King Jigme Dorji Wangchuck's Death Anniversary,Public Holiday
bhutan,2017,22 Sep,Friday,Blessed Rainy Day,Public Holiday
bhutan,2017,23 Sep,Saturday,September Equinox,Season
bhutan,2017,26 Sep,Tuesday,Thimphu Drubchoe (Thimphu only),Municipal Holiday
bhutan,2017,30 Sep,Saturday,Thimphu Tshechu (Thimphu only),Municipal Holiday
bhutan,2017,30 Sep,Saturday,Dashain,Public Holiday
bhutan,2017,1 Oct,Sunday,Thimphu Tshechu (Thimphu only),Municipal Holiday
bhutan,2017,2 Oct,Monday,Thimphu Tshechu (Thimphu only),Municipal Holiday
bhutan,2017,1 Nov,Wednesday,King Jigme Khesar Namgyel's Coronation,Public Holiday
bhutan,2017,10 Nov,Friday,Descending Day of Lord Buddha,Public Holiday
bhutan,2017,11 Nov,Saturday,Birth Anniversary of the Fourth Druk Gyalpo,Public Holiday
bhutan,2017,17 Dec,Sunday,National Day,Public Holiday
bhutan,2017,21 Dec,Thursday,December Solstice,Season
bhutan,2018,2 Jan,Tuesday,Winter Solstice (Nyilo),Public Holiday
bhutan,2018,17 Jan,Wednesday,Traditional Day of Offerings,Public Holiday
bhutan,2018,16 Feb,Friday,Losar (New Year),Public Holiday
bhutan,2018,17 Feb,Saturday,Losar Holiday,Public Holiday
bhutan,2018,21 Feb,Wednesday,King's Birthday,Public Holiday
bhutan,2018,22 Feb,Thursday,King's Birthday Holiday,Public Holiday
bhutan,2018,23 Feb,Friday,King's Birthday Holiday,Public Holiday
bhutan,2018,20 Mar,Tuesday,March Equinox,Season
bhutan,2018,20 Apr,Friday,Election Day,Public Holiday
bhutan,2018,25 Apr,Wednesday,Death Anniversary of Zhabdrung (Zhabdrung Kuchoe),Public Holiday
bhutan,2018,2 May,Wednesday,Birth Anniversary of Third Druk Gyalpo,Public Holiday
bhutan,2018,29 May,Tuesday,Buddha's Parinirvana,Public Holiday
bhutan,2018,21 Jun,Thursday,June Solstice,Season
bhutan,2018,23 Jun,Saturday,Birth Anniversary of Guru Rinpoche,Public Holiday
bhutan,2018,16 Jul,Monday,Buddha's First Sermon,Public Holiday
