Geo,Event Year,Date,Day,Name,Type
bosnia,2000,1 Jan,Saturday,New Year's Day,Public holiday
bosnia,2000,2 Jan,Sunday,New Year's (Day 2),Public holiday
bosnia,2000,3 Jan,Monday,New Year Holiday,Public holiday
bosnia,2000,6 Jan,Thursday,Orthodox Christmas Eve,Optional Holiday
bosnia,2000,7 Jan,Friday,Orthodox Christmas Day,Optional Holiday
bosnia,2000,8 Jan,Saturday,End of Ramadan,Optional Holiday
bosnia,2000,14 Jan,Friday,Orthodox New Year,"Local holiday, Orthodox"
bosnia,2000,14 Feb,Monday,Valentine's Day,Observance
bosnia,2000,1 Mar,Wednesday,Independence Day,Public holiday
bosnia,2000,8 Mar,Wednesday,Mothers' Day,Observance
bosnia,2000,8 Mar,Wednesday,Brčko District Establishment Day,Local holiday
bosnia,2000,16 Mar,Thursday,Feast of the Sacrifice,Optional Holiday
bosnia,2000,20 Mar,Monday,March Equinox,Season
bosnia,2000,21 Apr,Friday,Good Friday,Optional Holiday
bosnia,2000,22 Apr,Saturday,Holy Saturday,Observance
bosnia,2000,23 Apr,Sunday,Easter Sunday,Optional Holiday
bosnia,2000,24 Apr,Monday,Easter Monday,Optional Holiday
bosnia,2000,28 Apr,Friday,Orthodox Good Friday,Optional Holiday
bosnia,2000,29 Apr,Saturday,Orthodox Holy Saturday,"Observance, Orthodox"
bosnia,2000,30 Apr,Sunday,Orthodox Easter Sunday,Optional Holiday
bosnia,2000,1 May,Monday,Labor Day,Public holiday
bosnia,2000,1 May,Monday,Orthodox Easter Monday,Optional Holiday
bosnia,2000,2 May,Tuesday,Labor Day (Day 2),Public holiday
bosnia,2000,9 May,Tuesday,Victory Day,Working holiday
bosnia,2000,9 May,Tuesday,Victory Day,Local holiday
bosnia,2000,18 Jun,Sunday,Fathers' Day,Observance
bosnia,2000,21 Jun,Wednesday,June Solstice,Season
bosnia,2000,22 Sep,Friday,September Equinox,Season
bosnia,2000,31 Oct,Tuesday,Halloween,Observance
bosnia,2000,1 Nov,Wednesday,All Saints' Day,Local holiday
bosnia,2000,21 Nov,Tuesday,Dayton Peace Agreement Day,Local holiday
bosnia,2000,25 Nov,Saturday,Statehood Day,Local holiday
bosnia,2000,21 Dec,Thursday,December Solstice,Season
bosnia,2000,24 Dec,Sunday,Christmas Eve,Optional Holiday
bosnia,2000,25 Dec,Monday,Christmas Day,Optional Holiday
bosnia,2000,28 Dec,Thursday,End of Ramadan,Optional Holiday
bosnia,2000,31 Dec,Sunday,New Year's Eve,Observance
bosnia,2001,1 Jan,Monday,New Year's Day,Public holiday
bosnia,2001,2 Jan,Tuesday,New Year's (Day 2),Public holiday
bosnia,2001,6 Jan,Saturday,Orthodox Christmas Eve,Optional Holiday
bosnia,2001,7 Jan,Sunday,Orthodox Christmas Day,Optional Holiday
bosnia,2001,14 Jan,Sunday,Orthodox New Year,"Local holiday, Orthodox"
bosnia,2001,14 Feb,Wednesday,Valentine's Day,Observance
bosnia,2001,1 Mar,Thursday,Independence Day,Public holiday
bosnia,2001,6 Mar,Tuesday,Feast of the Sacrifice,Optional Holiday
bosnia,2001,8 Mar,Thursday,Mothers' Day,Observance
bosnia,2001,8 Mar,Thursday,Brčko District Establishment Day,Local holiday
bosnia,2001,20 Mar,Tuesday,March Equinox,Season
bosnia,2001,13 Apr,Friday,Orthodox Good Friday,Optional Holiday
bosnia,2001,13 Apr,Friday,Good Friday,Optional Holiday
bosnia,2001,14 Apr,Saturday,Orthodox Holy Saturday,"Observance, Orthodox"
bosnia,2001,14 Apr,Saturday,Holy Saturday,Observance
bosnia,2001,15 Apr,Sunday,Orthodox Easter Sunday,Optional Holiday
bosnia,2001,15 Apr,Sunday,Easter Sunday,Optional Holiday
bosnia,2001,16 Apr,Monday,Orthodox Easter Monday,Optional Holiday
bosnia,2001,16 Apr,Monday,Easter Monday,Optional Holiday
bosnia,2001,1 May,Tuesday,Labor Day,Public holiday
bosnia,2001,2 May,Wednesday,Labor Day (Day 2),Public holiday
bosnia,2001,9 May,Wednesday,Victory Day,Working holiday
bosnia,2001,9 May,Wednesday,Victory Day,Local holiday
bosnia,2001,17 Jun,Sunday,Fathers' Day,Observance
bosnia,2001,21 Jun,Thursday,June Solstice,Season
bosnia,2001,23 Sep,Sunday,September Equinox,Season
bosnia,2001,31 Oct,Wednesday,Halloween,Observance
bosnia,2001,1 Nov,Thursday,All Saints' Day,Local holiday
bosnia,2001,21 Nov,Wednesday,Dayton Peace Agreement Day,Local holiday
bosnia,2001,25 Nov,Sunday,Statehood Day,Local holiday
bosnia,2001,17 Dec,Monday,End of Ramadan,Optional Holiday
bosnia,2001,21 Dec,Friday,December Solstice,Season
bosnia,2001,24 Dec,Monday,Christmas Eve,Optional Holiday
bosnia,2001,25 Dec,Tuesday,Christmas Day,Optional Holiday
bosnia,2001,31 Dec,Monday,New Year's Eve,Observance
bosnia,2002,1 Jan,Tuesday,New Year's Day,Public holiday
bosnia,2002,2 Jan,Wednesday,New Year's (Day 2),Public holiday
bosnia,2002,6 Jan,Sunday,Orthodox Christmas Eve,Optional Holiday
bosnia,2002,7 Jan,Monday,Orthodox Christmas Day,Optional Holiday
bosnia,2002,14 Jan,Monday,Orthodox New Year,"Local holiday, Orthodox"
bosnia,2002,14 Feb,Thursday,Valentine's Day,Observance
bosnia,2002,23 Feb,Saturday,Feast of the Sacrifice,Optional Holiday
bosnia,2002,1 Mar,Friday,Independence Day,Public holiday
bosnia,2002,8 Mar,Friday,Mothers' Day,Observance
bosnia,2002,8 Mar,Friday,Brčko District Establishment Day,Local holiday
bosnia,2002,20 Mar,Wednesday,March Equinox,Season
bosnia,2002,29 Mar,Friday,Good Friday,Optional Holiday
bosnia,2002,30 Mar,Saturday,Holy Saturday,Observance
bosnia,2002,31 Mar,Sunday,Easter Sunday,Optional Holiday
bosnia,2002,1 Apr,Monday,Easter Monday,Optional Holiday
bosnia,2002,1 May,Wednesday,Labor Day,Public holiday
bosnia,2002,2 May,Thursday,Labor Day (Day 2),Public holiday
bosnia,2002,3 May,Friday,Orthodox Good Friday,Optional Holiday
bosnia,2002,4 May,Saturday,Orthodox Holy Saturday,"Observance, Orthodox"
bosnia,2002,5 May,Sunday,Orthodox Easter Sunday,Optional Holiday
bosnia,2002,6 May,Monday,Orthodox Easter Monday,Optional Holiday
bosnia,2002,9 May,Thursday,Victory Day,Local holiday
bosnia,2002,9 May,Thursday,Victory Day,Working holiday
bosnia,2002,16 Jun,Sunday,Fathers' Day,Observance
bosnia,2002,21 Jun,Friday,June Solstice,Season
bosnia,2002,23 Sep,Monday,September Equinox,Season
bosnia,2002,31 Oct,Thursday,Halloween,Observance
bosnia,2002,1 Nov,Friday,All Saints' Day,Local holiday
bosnia,2002,21 Nov,Thursday,Dayton Peace Agreement Day,Local holiday
bosnia,2002,25 Nov,Monday,Statehood Day,Local holiday
bosnia,2002,6 Dec,Friday,End of Ramadan,Optional Holiday
bosnia,2002,22 Dec,Sunday,December Solstice,Season
bosnia,2002,24 Dec,Tuesday,Christmas Eve,Optional Holiday
bosnia,2002,25 Dec,Wednesday,Christmas Day,Optional Holiday
bosnia,2002,31 Dec,Tuesday,New Year's Eve,Observance
bosnia,2003,1 Jan,Wednesday,New Year's Day,Public holiday
bosnia,2003,2 Jan,Thursday,New Year's (Day 2),Public holiday
bosnia,2003,6 Jan,Monday,Orthodox Christmas Eve,Optional Holiday
bosnia,2003,7 Jan,Tuesday,Orthodox Christmas Day,Optional Holiday
bosnia,2003,14 Jan,Tuesday,Orthodox New Year,"Local holiday, Orthodox"
bosnia,2003,12 Feb,Wednesday,Feast of the Sacrifice,Optional Holiday
bosnia,2003,14 Feb,Friday,Valentine's Day,Observance
bosnia,2003,1 Mar,Saturday,Independence Day,Public holiday
