Geo,Event Year,Date,Day,Name,Type
british-virgin-islands,2000,1 Jan,Saturday,New Year's Day,Public Holiday
british-virgin-islands,2000,13 Mar,Monday,Commonwealth Day,Public Holiday
british-virgin-islands,2000,20 Mar,Monday,March Equinox,Season
british-virgin-islands,2000,21 Apr,Friday,Good Friday,Public Holiday
british-virgin-islands,2000,24 Apr,Monday,Easter Monday,Public Holiday
british-virgin-islands,2000,10 Jun,Saturday,Sovereign's Birthday,Public Holiday
british-virgin-islands,2000,12 Jun,Monday,Whit Monday,Public Holiday
british-virgin-islands,2000,20 Jun,Tuesday,June Solstice,Season
british-virgin-islands,2000,30 Jun,Friday,Territory Day observed,Public Holiday
british-virgin-islands,2000,1 Jul,Saturday,Territory Day,Public Holiday
british-virgin-islands,2000,7 Aug,Monday,Emancipation Monday,Public Holiday
british-virgin-islands,2000,8 Aug,Tuesday,Emancipation Tuesday,Public Holiday
british-virgin-islands,2000,9 Aug,Wednesday,Emancipation Wednesday,Public Holiday
british-virgin-islands,2000,22 Sep,Friday,September Equinox,Season
british-virgin-islands,2000,20 Oct,Friday,Day off for Saint Ursula's Day,Public Holiday
british-virgin-islands,2000,21 Oct,Saturday,Saint Ursula's Day,Public Holiday
british-virgin-islands,2000,21 Dec,Thursday,December Solstice,Season
british-virgin-islands,2000,25 Dec,Monday,Christmas Day,Public Holiday
british-virgin-islands,2000,26 Dec,Tuesday,Boxing Day,Public Holiday
british-virgin-islands,2001,1 Jan,Monday,New Year's Day,Public Holiday
british-virgin-islands,2001,12 Mar,Monday,Commonwealth Day,Public Holiday
british-virgin-islands,2001,20 Mar,Tuesday,March Equinox,Season
british-virgin-islands,2001,13 Apr,Friday,Good Friday,Public Holiday
british-virgin-islands,2001,16 Apr,Monday,Easter Monday,Public Holiday
british-virgin-islands,2001,4 Jun,Monday,Whit Monday,Public Holiday
british-virgin-islands,2001,9 Jun,Saturday,Sovereign's Birthday,Public Holiday
british-virgin-islands,2001,21 Jun,Thursday,June Solstice,Season
british-virgin-islands,2001,1 Jul,Sunday,Territory Day,Public Holiday
british-virgin-islands,2001,2 Jul,Monday,Territory Day observed,Public Holiday
british-virgin-islands,2001,6 Aug,Monday,Emancipation Monday,Public Holiday
british-virgin-islands,2001,7 Aug,Tuesday,Emancipation Tuesday,Public Holiday
british-virgin-islands,2001,8 Aug,Wednesday,Emancipation Wednesday,Public Holiday
british-virgin-islands,2001,22 Sep,Saturday,September Equinox,Season
british-virgin-islands,2001,21 Oct,Sunday,Saint Ursula's Day,Public Holiday
british-virgin-islands,2001,22 Oct,Monday,Day off for Saint Ursula's Day,Public Holiday
british-virgin-islands,2001,21 Dec,Friday,December Solstice,Season
british-virgin-islands,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
british-virgin-islands,2001,26 Dec,Wednesday,Boxing Day,Public Holiday
british-virgin-islands,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
british-virgin-islands,2002,11 Mar,Monday,Commonwealth Day,Public Holiday
british-virgin-islands,2002,20 Mar,Wednesday,March Equinox,Season
british-virgin-islands,2002,29 Mar,Friday,Good Friday,Public Holiday
british-virgin-islands,2002,1 Apr,Monday,Easter Monday,Public Holiday
british-virgin-islands,2002,20 May,Monday,Whit Monday,Public Holiday
british-virgin-islands,2002,8 Jun,Saturday,Sovereign's Birthday,Public Holiday
british-virgin-islands,2002,21 Jun,Friday,June Solstice,Season
british-virgin-islands,2002,1 Jul,Monday,Territory Day,Public Holiday
