Geo,Event Year,Date,Day,Name,Type
bulgaria,2000,1 Jan,Saturday,New Year's Day,National holiday
bulgaria,2000,1 Feb,Tuesday,Day of Remembrance and Respect to Victims of the Communist Regime,Observance
bulgaria,2000,1 Mar,Wednesday,Baba Marta,Observance
bulgaria,2000,3 Mar,Friday,Liberation Day,National holiday
bulgaria,2000,8 Mar,Wednesday,Mother’s Day,Observance
bulgaria,2000,20 Mar,Monday,March Equinox,Season
bulgaria,2000,26 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
bulgaria,2000,28 Apr,Friday,Good Friday,National holiday
bulgaria,2000,29 Apr,Saturday,Holy Saturday,National holiday
bulgaria,2000,30 Apr,Sunday,Easter Sunday,National holiday
bulgaria,2000,1 May,Monday,Easter Monday,National holiday
bulgaria,2000,1 May,Monday,Labor Day,National holiday
bulgaria,2000,6 May,Saturday,St. George's Day,National holiday
bulgaria,2000,24 May,Wednesday,Culture and Literacy Day,National holiday
bulgaria,2000,21 Jun,Wednesday,June Solstice,Season
bulgaria,2000,1 Jul,Saturday,July Morning,Observance
bulgaria,2000,6 Sep,Wednesday,Unification Day,National holiday
bulgaria,2000,22 Sep,Friday,Independence Day,National holiday
bulgaria,2000,22 Sep,Friday,September Equinox,Season
bulgaria,2000,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
bulgaria,2000,1 Nov,Wednesday,Revival Day,Educational Holiday
bulgaria,2000,21 Dec,Thursday,December Solstice,Season
bulgaria,2000,24 Dec,Sunday,Christmas Eve,National holiday
bulgaria,2000,25 Dec,Monday,Christmas Day,National holiday
bulgaria,2000,26 Dec,Tuesday,Second day of Christmas,National holiday
bulgaria,2000,26 Dec,Tuesday,Father’s Day,Observance
bulgaria,2000,31 Dec,Sunday,New Year's Eve,Observance
bulgaria,2001,1 Jan,Monday,New Year's Day,National holiday
bulgaria,2001,1 Feb,Thursday,Day of Remembrance and Respect to Victims of the Communist Regime,Observance
bulgaria,2001,1 Mar,Thursday,Baba Marta,Observance
bulgaria,2001,3 Mar,Saturday,Liberation Day,National holiday
bulgaria,2001,8 Mar,Thursday,Mother’s Day,Observance
bulgaria,2001,20 Mar,Tuesday,March Equinox,Season
bulgaria,2001,25 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
bulgaria,2001,13 Apr,Friday,Good Friday,National holiday
bulgaria,2001,14 Apr,Saturday,Holy Saturday,National holiday
bulgaria,2001,15 Apr,Sunday,Easter Sunday,National holiday
bulgaria,2001,16 Apr,Monday,Easter Monday,National holiday
bulgaria,2001,1 May,Tuesday,Labor Day,National holiday
bulgaria,2001,6 May,Sunday,St. George's Day,National holiday
bulgaria,2001,24 May,Thursday,Culture and Literacy Day,National holiday
bulgaria,2001,21 Jun,Thursday,June Solstice,Season
bulgaria,2001,1 Jul,Sunday,July Morning,Observance
bulgaria,2001,6 Sep,Thursday,Unification Day,National holiday
bulgaria,2001,22 Sep,Saturday,Independence Day,National holiday
bulgaria,2001,23 Sep,Sunday,September Equinox,Season
bulgaria,2001,28 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
bulgaria,2001,1 Nov,Thursday,Revival Day,Educational Holiday
bulgaria,2001,21 Dec,Friday,December Solstice,Season
bulgaria,2001,24 Dec,Monday,Christmas Eve,National holiday
bulgaria,2001,25 Dec,Tuesday,Christmas Day,National holiday
bulgaria,2001,26 Dec,Wednesday,Second day of Christmas,National holiday
bulgaria,2001,26 Dec,Wednesday,Father’s Day,Observance
bulgaria,2001,31 Dec,Monday,New Year's Eve,Observance
bulgaria,2002,1 Jan,Tuesday,New Year's Day,National holiday
bulgaria,2002,1 Feb,Friday,Day of Remembrance and Respect to Victims of the Communist Regime,Observance
bulgaria,2002,1 Mar,Friday,Baba Marta,Observance
bulgaria,2002,3 Mar,Sunday,Liberation Day,National holiday
bulgaria,2002,8 Mar,Friday,Mother’s Day,Observance
bulgaria,2002,20 Mar,Wednesday,March Equinox,Season
bulgaria,2002,31 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
bulgaria,2002,1 May,Wednesday,Labor Day,National holiday
bulgaria,2002,3 May,Friday,Good Friday,National holiday
bulgaria,2002,4 May,Saturday,Holy Saturday,National holiday
bulgaria,2002,5 May,Sunday,Easter Sunday,National holiday
bulgaria,2002,6 May,Monday,Easter Monday,National holiday
bulgaria,2002,6 May,Monday,St. George's Day,National holiday
bulgaria,2002,24 May,Friday,Culture and Literacy Day,National holiday
bulgaria,2002,21 Jun,Friday,June Solstice,Season
bulgaria,2002,1 Jul,Monday,July Morning,Observance
bulgaria,2002,6 Sep,Friday,Unification Day,National holiday
bulgaria,2002,22 Sep,Sunday,Independence Day,National holiday
bulgaria,2002,23 Sep,Monday,September Equinox,Season
bulgaria,2002,27 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
bulgaria,2002,1 Nov,Friday,Revival Day,Educational Holiday
bulgaria,2002,22 Dec,Sunday,December Solstice,Season
bulgaria,2002,24 Dec,Tuesday,Christmas Eve,National holiday
bulgaria,2002,25 Dec,Wednesday,Christmas Day,National holiday
bulgaria,2002,26 Dec,Thursday,Second day of Christmas,National holiday
bulgaria,2002,26 Dec,Thursday,Father’s Day,Observance
bulgaria,2002,31 Dec,Tuesday,New Year's Eve,Observance
bulgaria,2003,1 Jan,Wednesday,New Year's Day,National holiday
bulgaria,2003,1 Feb,Saturday,Day of Remembrance and Respect to Victims of the Communist Regime,Observance
bulgaria,2003,1 Mar,Saturday,Baba Marta,Observance
bulgaria,2003,3 Mar,Monday,Liberation Day,National holiday
bulgaria,2003,8 Mar,Saturday,Mother’s Day,Observance
bulgaria,2003,21 Mar,Friday,March Equinox,Season
bulgaria,2003,30 Mar,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
bulgaria,2003,25 Apr,Friday,Good Friday,National holiday
bulgaria,2003,26 Apr,Saturday,Holy Saturday,National holiday
bulgaria,2003,27 Apr,Sunday,Easter Sunday,National holiday
bulgaria,2003,28 Apr,Monday,Easter Monday,National holiday
bulgaria,2003,1 May,Thursday,Labor Day,National holiday
bulgaria,2003,6 May,Tuesday,St. George's Day,National holiday
bulgaria,2003,24 May,Saturday,Culture and Literacy Day,National holiday
bulgaria,2003,21 Jun,Saturday,June Solstice,Season
bulgaria,2003,1 Jul,Tuesday,July Morning,Observance
bulgaria,2003,6 Sep,Saturday,Unification Day,National holiday
bulgaria,2003,22 Sep,Monday,Independence Day,National holiday
bulgaria,2003,23 Sep,Tuesday,September Equinox,Season
