Geo,Event Year,Date,Day,Name,Type
cambodia,2000,1 Jan,Saturday,New Year,Public Holiday
cambodia,2000,7 Jan,Friday,Victory over Genocide Day,Public Holiday
cambodia,2000,3 Feb,Thursday,Meak Bochea Day,Public Holiday
cambodia,2000,8 Mar,Wednesday,International Women Day,Public Holiday
cambodia,2000,20 Mar,Monday,March Equinox,Season
cambodia,2000,14 Apr,Friday,Khmer New Year Day (Day 1),Public Holiday
cambodia,2000,15 Apr,Saturday,Khmer New Year Day (Day 2),Public Holiday
cambodia,2000,16 Apr,Sunday,Khmer New Year Day (Day 3),Public Holiday
cambodia,2000,17 Apr,Monday,Khmer New Year Day (Day 3) observed,Public Holiday
cambodia,2000,1 May,Monday,Labour Day,Public Holiday
cambodia,2000,2 May,Tuesday,Visak Bochea Day,Public Holiday
cambodia,2000,6 May,Saturday,Royal Plowing Ceremony,Public Holiday
cambodia,2000,13 May,Saturday,King's Birthday,Public Holiday
cambodia,2000,14 May,Sunday,King's Birthday,Public Holiday
cambodia,2000,15 May,Monday,King's Birthday observed,Public Holiday
cambodia,2000,15 May,Monday,King's Birthday,Public Holiday
cambodia,2000,1 Jun,Thursday,International Children Day,Public Holiday
cambodia,2000,18 Jun,Sunday,King's Mother's Birthday,Observance
cambodia,2000,21 Jun,Wednesday,June Solstice,Season
cambodia,2000,23 Sep,Saturday,September Equinox,Season
cambodia,2000,24 Sep,Sunday,Constitutional Day,Public Holiday
cambodia,2000,11 Oct,Wednesday,Pchum Ben Festival,Public Holiday
cambodia,2000,12 Oct,Thursday,Pchum Ben Festival,Public Holiday
cambodia,2000,15 Oct,Sunday,Commemoration Day of King's Father,Public Holiday
cambodia,2000,23 Oct,Monday,Paris Peace Agreement's Day,Public Holiday
cambodia,2000,29 Oct,Sunday,King's Coronation Day,Public Holiday
cambodia,2000,9 Nov,Thursday,Independence Day,Public Holiday
cambodia,2000,10 Dec,Sunday,International Human Rights Day,Public Holiday
cambodia,2000,21 Dec,Thursday,December Solstice,Season
cambodia,2001,1 Jan,Monday,New Year,Public Holiday
cambodia,2001,7 Jan,Sunday,Victory over Genocide Day,Public Holiday
cambodia,2001,3 Feb,Saturday,Meak Bochea Day,Public Holiday
cambodia,2001,8 Mar,Thursday,International Women Day,Public Holiday
cambodia,2001,20 Mar,Tuesday,March Equinox,Season
