Geo,Event Year,Date,Day,Name,Type
cameroon,2000,1 Jan,Saturday,Independence Day,Public Holiday
cameroon,2000,1 Jan,Saturday,New Year's Day,Public Holiday
cameroon,2000,8 Jan,Saturday,Eid al-Fitr,Public Holiday
cameroon,2000,11 Feb,Friday,Youth Day,Public Holiday
cameroon,2000,16 Mar,Thursday,Eid al-Adha,Public Holiday
cameroon,2000,20 Mar,Monday,March Equinox,Season
cameroon,2000,21 Apr,Friday,Good Friday,Public Holiday
cameroon,2000,23 Apr,Sunday,Easter Sunday,Observance
cameroon,2000,1 May,Monday,Labour Day,Public Holiday
cameroon,2000,20 May,Saturday,National Day,Public Holiday
cameroon,2000,1 Jun,Thursday,Ascension Day,Public Holiday
cameroon,2000,15 Jun,Thursday,The Prophet's Birthday,Observance
cameroon,2000,21 Jun,Wednesday,June Solstice,Season
cameroon,2000,15 Aug,Tuesday,Assumption of Mary,Public Holiday
cameroon,2000,22 Sep,Friday,September Equinox,Season
cameroon,2000,21 Dec,Thursday,December Solstice,Season
cameroon,2000,25 Dec,Monday,Christmas Day,Public Holiday
cameroon,2000,28 Dec,Thursday,Eid al-Fitr,Public Holiday
cameroon,2001,1 Jan,Monday,Independence Day,Public Holiday
cameroon,2001,1 Jan,Monday,New Year's Day,Public Holiday
cameroon,2001,11 Feb,Sunday,Youth Day,Public Holiday
cameroon,2001,12 Feb,Monday,Youth Day observed,Public Holiday
cameroon,2001,6 Mar,Tuesday,Eid al-Adha,Public Holiday
cameroon,2001,20 Mar,Tuesday,March Equinox,Season
cameroon,2001,13 Apr,Friday,Good Friday,Public Holiday
cameroon,2001,15 Apr,Sunday,Easter Sunday,Observance
cameroon,2001,1 May,Tuesday,Labour Day,Public Holiday
cameroon,2001,20 May,Sunday,National Day,Public Holiday
cameroon,2001,21 May,Monday,National Day observed,Public Holiday
cameroon,2001,24 May,Thursday,Ascension Day,Public Holiday
cameroon,2001,4 Jun,Monday,The Prophet's Birthday,Observance
cameroon,2001,21 Jun,Thursday,June Solstice,Season
cameroon,2001,15 Aug,Wednesday,Assumption of Mary,Public Holiday
cameroon,2001,23 Sep,Sunday,September Equinox,Season
cameroon,2001,17 Dec,Monday,Eid al-Fitr,Public Holiday
cameroon,2001,21 Dec,Friday,December Solstice,Season
cameroon,2001,25 Dec,Tuesday,Christmas Day,Public Holiday
cameroon,2002,1 Jan,Tuesday,Independence Day,Public Holiday
cameroon,2002,1 Jan,Tuesday,New Year's Day,Public Holiday
cameroon,2002,11 Feb,Monday,Youth Day,Public Holiday
cameroon,2002,23 Feb,Saturday,Eid al-Adha,Public Holiday
cameroon,2002,20 Mar,Wednesday,March Equinox,Season
cameroon,2002,29 Mar,Friday,Good Friday,Public Holiday
cameroon,2002,31 Mar,Sunday,Easter Sunday,Observance
cameroon,2002,1 May,Wednesday,Labour Day,Public Holiday
cameroon,2002,9 May,Thursday,Ascension Day,Public Holiday
cameroon,2002,20 May,Monday,National Day,Public Holiday
cameroon,2002,24 May,Friday,The Prophet's Birthday,Observance
cameroon,2002,21 Jun,Friday,June Solstice,Season
cameroon,2002,15 Aug,Thursday,Assumption of Mary,Public Holiday
cameroon,2002,23 Sep,Monday,September Equinox,Season
