Geo,Event Year,Date,Day,Name,Type
canada,2000,1 Jan,Saturday,New Year's Day,Statutory Holiday
canada,2000,2 Jan,Sunday,Day After New Year’s Day,Local holiday
canada,2000,3 Jan,Monday,Laylatul Qadr (Night of Power),Muslim
canada,2000,3 Jan,Monday,Day off for New Year's Day,Statutory Holiday
canada,2000,6 Jan,Thursday,Epiphany,"Observance, Christian"
canada,2000,7 Jan,Friday,Orthodox Christmas Day,Orthodox
canada,2000,8 Jan,Saturday,Eid ul Fitr,Muslim
canada,2000,14 Jan,Friday,Orthodox New Year,Orthodox
canada,2000,22 Jan,Saturday,Tu B'Shevat (Arbor Day),Jewish holiday
canada,2000,2 Feb,Wednesday,Groundhog Day,Observance
canada,2000,5 Feb,Saturday,Lunar New Year,Observance
canada,2000,14 Feb,Monday,Valentine's Day,Observance
canada,2000,15 Feb,Tuesday,National Flag of Canada Day,Observance
canada,2000,21 Feb,Monday,Family Day,Local holiday
canada,2000,25 Feb,Friday,Yukon Heritage Day,Local de facto holiday
canada,2000,1 Mar,Wednesday,St David's Day,Observance
canada,2000,7 Mar,Tuesday,Carnival / Shrove Tuesday / Pancake Day,Christian
canada,2000,8 Mar,Wednesday,Ash Wednesday,Christian
canada,2000,13 Mar,Monday,Commonwealth Day,Observance
canada,2000,16 Mar,Thursday,Eid al-Adha,Muslim
canada,2000,17 Mar,Friday,St. Patrick's Day,Observance
canada,2000,20 Mar,Monday,St. Patrick's Day,Local holiday
canada,2000,20 Mar,Monday,March Equinox,Season
canada,2000,21 Mar,Tuesday,Purim,Jewish holiday
canada,2000,1 Apr,Saturday,Nunavut Day,Local holiday
canada,2000,2 Apr,Sunday,Daylight Saving Time starts,Clock change/Daylight Saving Time
canada,2000,6 Apr,Thursday,Muharram/Islamic New Year,Muslim
canada,2000,15 Apr,Saturday,Ashura,Muslim
canada,2000,16 Apr,Sunday,Palm Sunday,Christian
canada,2000,20 Apr,Thursday,Maundy Thursday,Christian
canada,2000,20 Apr,Thursday,First day of Passover,Jewish holiday
canada,2000,21 Apr,Friday,Good Friday,Statutory Holiday
canada,2000,22 Apr,Saturday,Holy Saturday,Christian
canada,2000,23 Apr,Sunday,Easter Sunday,Designated Retail Closing Day
canada,2000,23 Apr,Sunday,Easter Sunday,Shops Closing Day
canada,2000,23 Apr,Sunday,Easter Sunday,"Observance, Christian"
canada,2000,24 Apr,Monday,Easter Monday,Statutory Holiday
canada,2000,24 Apr,Monday,Easter Monday,Statutory Holiday
canada,2000,24 Apr,Monday,Easter Monday,Local de facto holiday
canada,2000,24 Apr,Monday,Easter Monday,Optional Holiday
canada,2000,24 Apr,Monday,St. George's Day,Local holiday
canada,2000,27 Apr,Thursday,Last day of Passover,Jewish holiday
canada,2000,28 Apr,Friday,Orthodox Good Friday,Orthodox
canada,2000,29 Apr,Saturday,Orthodox Holy Saturday,Orthodox
canada,2000,30 Apr,Sunday,Orthodox Easter,Orthodox
canada,2000,1 May,Monday,Orthodox Easter Monday,Orthodox
canada,2000,2 May,Tuesday,Yom HaShoah,Jewish commemoration
canada,2000,10 May,Wednesday,Yom HaAtzmaut,Jewish holiday
canada,2000,14 May,Sunday,Mothers' Day,Observance
canada,2000,22 May,Monday,Victoria Day,Statutory Holiday
canada,2000,23 May,Tuesday,Lag B'Omer,Jewish holiday
canada,2000,1 Jun,Thursday,Ascension Day,Christian
canada,2000,9 Jun,Friday,Shavuot,Jewish holiday
canada,2000,11 Jun,Sunday,Pentecost,Christian
canada,2000,12 Jun,Monday,Whit Monday,Christian
canada,2000,15 Jun,Thursday,Milad un Nabi (Mawlid),Muslim
canada,2000,18 Jun,Sunday,Trinity Sunday,Christian
canada,2000,18 Jun,Sunday,Fathers' Day,Observance
canada,2000,20 Jun,Tuesday,June Solstice,Season
canada,2000,21 Jun,Wednesday,National Aboriginal Day,Observance
canada,2000,22 Jun,Thursday,Corpus Christi,Christian
canada,2000,24 Jun,Saturday,St. Jean Baptiste Day,Local holiday
canada,2000,26 Jun,Monday,Discovery Day,Local holiday
canada,2000,1 Jul,Saturday,Memorial Day,Local holiday
canada,2000,1 Jul,Saturday,Canada Day,Statutory Holiday
canada,2000,10 Jul,Monday,Orangemen's Day,Local holiday
canada,2000,2 Aug,Wednesday,The Royal St John's Regatta (Regatta Day),Local holiday
canada,2000,7 Aug,Monday,Civic/Provincial Day,Local observance
canada,2000,7 Aug,Monday,Civic/Provincial Day,Common local holiday
canada,2000,7 Aug,Monday,Civic/Provincial Day,Statutory Holiday
canada,2000,7 Aug,Monday,Saskatchewan Day,Common local holiday
canada,2000,7 Aug,Monday,New Brunswick Day,Prescribed Day of Rest
canada,2000,7 Aug,Monday,British Columbia Day,Common local holiday
canada,2000,7 Aug,Monday,Natal Day,Common local holiday
canada,2000,7 Aug,Monday,Heritage Day,Optional Holiday
canada,2000,10 Aug,Thursday,Tisha B'Av,Jewish holiday
canada,2000,15 Aug,Tuesday,Assumption of Mary,Christian
canada,2000,18 Aug,Friday,Gold Cup Parade,Local holiday
canada,2000,21 Aug,Monday,Discovery Day,Local holiday
canada,2000,4 Sep,Monday,Labour Day,Statutory Holiday
canada,2000,22 Sep,Friday,September Equinox,Season
canada,2000,30 Sep,Saturday,Rosh Hashana,Jewish holiday
canada,2000,4 Oct,Wednesday,Feast of St Francis of Assisi,Christian
canada,2000,9 Oct,Monday,Yom Kippur,Jewish holiday
canada,2000,9 Oct,Monday,Thanksgiving Day,Statutory Holiday
canada,2000,9 Oct,Monday,Thanksgiving Day,Designated Retail Closing Day
canada,2000,9 Oct,Monday,Thanksgiving Day,Observance
canada,2000,9 Oct,Monday,Thanksgiving Day,Statutory Holiday
canada,2000,14 Oct,Saturday,First day of Sukkot,Jewish holiday
canada,2000,20 Oct,Friday,Hoshana Rabbah,Jewish holiday
canada,2000,21 Oct,Saturday,Shemini Atzeret,Jewish holiday
canada,2000,22 Oct,Sunday,Simchat Torah,Jewish holiday
canada,2000,26 Oct,Thursday,Isra and Mi'raj,Muslim
canada,2000,29 Oct,Sunday,Daylight Saving Time ends,Clock change/Daylight Saving Time
canada,2000,31 Oct,Tuesday,Halloween,Observance
canada,2000,1 Nov,Wednesday,All Saints' Day,"Observance, Christian"
canada,2000,2 Nov,Thursday,All Souls' Day,"Observance, Christian"
canada,2000,8 Nov,Wednesday,National Aboriginal Veterans Day,Observance
canada,2000,11 Nov,Saturday,Remembrance Day,Observance
canada,2000,11 Nov,Saturday,Remembrance Day,Statutory Holiday
canada,2000,28 Nov,Tuesday,Ramadan Start,Muslim
canada,2000,3 Dec,Sunday,First Sunday of Advent,Observance
canada,2000,8 Dec,Friday,Feast of the Immaculate Conception,Christian
canada,2000,11 Dec,Monday,Anniversary of the Statute of Westminster,Observance
canada,2000,21 Dec,Thursday,December Solstice,Season
canada,2000,22 Dec,Friday,First Day of Hanukkah,Jewish holiday
canada,2000,23 Dec,Saturday,Laylatul Qadr (Night of Power),Muslim
canada,2000,24 Dec,Sunday,Christmas Eve,Observance
canada,2000,25 Dec,Monday,Christmas Day,Statutory Holiday
canada,2000,26 Dec,Tuesday,Kwanzaa (first day),Observance
canada,2000,26 Dec,Tuesday,Boxing Day,Statutory Holiday
canada,2000,26 Dec,Tuesday,Boxing Day,Designated Retail Closing Day
canada,2000,26 Dec,Tuesday,Boxing Day,Optional Holiday
canada,2000,26 Dec,Tuesday,Boxing Day,Provincial Public Sector Holiday
canada,2000,26 Dec,Tuesday,Boxing Day,Local de facto holiday
canada,2000,28 Dec,Thursday,Eid ul Fitr,Muslim
canada,2000,29 Dec,Friday,Last day of Hanukkah,Jewish holiday
